,Age 1,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8,Age 9,Age 10,Age 11,Age 12,Age 13,Age 14,Age 15,Age 16
Age 1,2.95985,1.3244,0.62791,0.42016,0.48292,0.92913,1.17577,1.27876,0.66299,0.38289,0.34705,0.27892,0.27842,0.196,0.18348,0.14306
Age 2,0.70262,6.77964,1.57503,0.45737,0.35022,0.70913,1.06146,1.14105,1.08549,0.56583,0.41537,0.25842,0.2629,0.18278,0.17154,0.16143
Age 3,0.51245,1.32805,7.50619,1.31161,0.31175,0.53713,0.67833,1.38636,1.28676,0.60747,0.47778,0.32125,0.19726,0.17874,0.18337,0.19232
Age 4,0.36179,0.84329,2.06005,9.91627,1.22202,1.04428,0.67776,1.22617,1.04266,0.9668,0.56977,0.44609,0.32907,0.24377,0.16112,0.14899
Age 5,0.62127,0.66683,0.36527,1.70411,3.1365,1.30493,0.97116,0.84729,0.82964,1.03422,0.50676,0.46848,0.24251,0.27826,0.18114,0.18994
Age 6,0.86379,0.9396,0.34567,0.74754,1.51796,1.90671,1.29293,0.89622,0.9794,1.01643,0.83572,0.57175,0.42828,0.30494,0.22579,0.13701
Age 7,0.76707,0.97025,0.62396,0.45155,0.85813,1.05979,1.73748,1.63188,0.86122,0.73916,0.66415,0.73784,0.44712,0.21833,0.17431,0.16292
Age 8,0.9171,1.53716,0.85122,0.6388,0.65525,0.78368,0.88688,1.54729,1.28629,0.85966,0.62217,0.55222,0.39228,0.31186,0.28383,0.21111
Age 9,0.41038,1.10007,1.17433,1.09506,0.75726,0.713,1.00271,1.47405,1.58815,1.31493,0.7158,0.64842,0.45362,0.262,0.29508,0.17467
Age 10,0.33713,0.3051,0.89906,1.26328,0.90005,0.97248,0.9308,1.07702,1.34297,1.97207,0.94511,0.53703,0.58194,0.25045,0.28954,0.30987
Age 11,0.38495,0.49522,0.40375,0.84117,1.07475,0.92793,0.86663,0.78432,0.91283,0.69205,0.88437,0.84218,0.46894,0.32069,0.32786,0.20135
Age 12,0.20745,0.24755,0.39696,0.43665,0.73475,0.94784,0.59756,0.66404,0.62955,0.75954,1.1406,1.23858,0.74978,0.36495,0.28501,0.23175
Age 13,0.18449,0.21196,0.24098,0.23524,0.57888,0.70256,0.75762,0.82471,0.92184,0.65356,0.62237,0.94344,0.76767,0.37556,0.27768,0.23704
Age 14,0.21783,0.34725,0.41948,0.5695,0.44799,0.79578,0.54091,0.83515,0.7423,0.58187,0.63676,0.88162,0.95315,0.95666,0.38719,0.19909
Age 15,0.20615,0.17607,0.40609,0.62719,0.48554,0.38674,0.29767,0.21121,0.84441,0.69281,0.37488,0.43745,0.6079,0.8185,0.67106,0.69063
Age 16,0.16758,0.13701,0.16562,0.13701,0.16478,0.21718,0.44824,0.35118,0.53306,0.22181,0.97734,0.13701,0.79284,0.13701,0.44528,0.56072
