iso3,name,year,disease_short,disease_description,cases
ABW,Aruba,2023,crs,Congenital rubella syndrome,0
ABW,Aruba,2023,diphtheria,Diphtheria,0
ABW,Aruba,2023,invasive_mening,Invasive meningococcal disease,1
ABW,Aruba,2023,measles,Measles,
ABW,Aruba,2023,mumps,Mumps,0
ABW,Aruba,2023,ntetanus,Neonatal tetanus,0
ABW,Aruba,2023,pertussis,Pertussis,1
ABW,Aruba,2023,poliomyelitis,Poliomyelitis,0
ABW,Aruba,2023,rubella,Rubella,
ABW,Aruba,2023,ttetanus,Total tetanus,0
ABW,Aruba,2023,typhoid,Typhoid,0
ABW,Aruba,2023,yfever,Yellow fever,0
ABW,Aruba,2022,crs,Congenital rubella syndrome,0
ABW,Aruba,2022,diphtheria,Diphtheria,0
ABW,Aruba,2022,invasive_mening,Invasive meningococcal disease,2
ABW,Aruba,2022,measles,Measles,0
ABW,Aruba,2022,mumps,Mumps,2
ABW,Aruba,2022,ntetanus,Neonatal tetanus,0
ABW,Aruba,2022,pertussis,Pertussis,0
ABW,Aruba,2022,poliomyelitis,Poliomyelitis,0
ABW,Aruba,2022,rubella,Rubella,0
ABW,Aruba,2022,ttetanus,Total tetanus,0
ABW,Aruba,2022,typhoid,Typhoid,0
ABW,Aruba,2022,yfever,Yellow fever,0
ABW,Aruba,2021,crs,Congenital rubella syndrome,0
ABW,Aruba,2021,diphtheria,Diphtheria,0
ABW,Aruba,2021,invasive_mening,Invasive meningococcal disease,0
ABW,Aruba,2021,measles,Measles,0
ABW,Aruba,2021,mumps,Mumps,0
ABW,Aruba,2021,ntetanus,Neonatal tetanus,0
ABW,Aruba,2021,pertussis,Pertussis,0
ABW,Aruba,2021,poliomyelitis,Poliomyelitis,0
ABW,Aruba,2021,rubella,Rubella,0
ABW,Aruba,2021,ttetanus,Total tetanus,0
ABW,Aruba,2021,typhoid,Typhoid,0
ABW,Aruba,2021,yfever,Yellow fever,0
ABW,Aruba,2019,crs,Congenital rubella syndrome,0
ABW,Aruba,2019,diphtheria,Diphtheria,0
ABW,Aruba,2019,japenc,Japanese encephalitis,
ABW,Aruba,2019,measles,Measles,1
ABW,Aruba,2019,mumps,Mumps,1
ABW,Aruba,2019,ntetanus,Neonatal tetanus,0
ABW,Aruba,2019,pertussis,Pertussis,0
ABW,Aruba,2019,poliomyelitis,Poliomyelitis,0
ABW,Aruba,2019,rubella,Rubella,0
ABW,Aruba,2019,typhoid,Typhoid,0
ABW,Aruba,2019,yfever,Yellow fever,0
ABW,Aruba,2018,crs,Congenital rubella syndrome,0
ABW,Aruba,2018,diphtheria,Diphtheria,0
ABW,Aruba,2018,japenc,Japanese encephalitis,
ABW,Aruba,2018,measles,Measles,0
ABW,Aruba,2018,mumps,Mumps,5
ABW,Aruba,2018,ntetanus,Neonatal tetanus,0
ABW,Aruba,2018,pertussis,Pertussis,1
ABW,Aruba,2018,poliomyelitis,Poliomyelitis,0
ABW,Aruba,2018,rubella,Rubella,0
ABW,Aruba,2018,ttetanus,Total tetanus,0
ABW,Aruba,2018,typhoid,Typhoid,0
ABW,Aruba,2018,yfever,Yellow fever,0
ABW,Aruba,2017,crs,Congenital rubella syndrome,0
ABW,Aruba,2017,diphtheria,Diphtheria,0
ABW,Aruba,2017,measles,Measles,0
ABW,Aruba,2017,mumps,Mumps,1
ABW,Aruba,2017,ntetanus,Neonatal tetanus,0
ABW,Aruba,2017,pertussis,Pertussis,1
ABW,Aruba,2017,rubella,Rubella,0
ABW,Aruba,2017,yfever,Yellow fever,0
AFG,Afghanistan,2023,crs,Congenital rubella syndrome,594
AFG,Afghanistan,2023,diphtheria,Diphtheria,61
AFG,Afghanistan,2023,invasive_mening,Invasive meningococcal disease,
AFG,Afghanistan,2023,japenc,Japanese encephalitis,
AFG,Afghanistan,2023,measles,Measles,2792
AFG,Afghanistan,2023,mumps,Mumps,
AFG,Afghanistan,2023,ntetanus,Neonatal tetanus,31
AFG,Afghanistan,2023,pertussis,Pertussis,1531
AFG,Afghanistan,2023,poliomyelitis,Poliomyelitis,6
AFG,Afghanistan,2023,rubella,Rubella,444
AFG,Afghanistan,2023,ttetanus,Total tetanus,87
AFG,Afghanistan,2023,typhoid,Typhoid,
AFG,Afghanistan,2023,yfever,Yellow fever,
AFG,Afghanistan,2022,crs,Congenital rubella syndrome,803
AFG,Afghanistan,2022,diphtheria,Diphtheria,50
AFG,Afghanistan,2022,invasive_mening,Invasive meningococcal disease,
AFG,Afghanistan,2022,japenc,Japanese encephalitis,
AFG,Afghanistan,2022,measles,Measles,5166
AFG,Afghanistan,2022,mumps,Mumps,
AFG,Afghanistan,2022,ntetanus,Neonatal tetanus,20
AFG,Afghanistan,2022,pertussis,Pertussis,331
AFG,Afghanistan,2022,poliomyelitis,Poliomyelitis,
AFG,Afghanistan,2022,rubella,Rubella,195
AFG,Afghanistan,2022,ttetanus,Total tetanus,48
AFG,Afghanistan,2022,typhoid,Typhoid,0
AFG,Afghanistan,2022,yfever,Yellow fever,
AFG,Afghanistan,2021,crs,Congenital rubella syndrome,54
AFG,Afghanistan,2021,diphtheria,Diphtheria,61
AFG,Afghanistan,2021,invasive_mening,Invasive meningococcal disease,
AFG,Afghanistan,2021,japenc,Japanese encephalitis,
AFG,Afghanistan,2021,measles,Measles,2900
AFG,Afghanistan,2021,mumps,Mumps,
AFG,Afghanistan,2021,ntetanus,Neonatal tetanus,3030
AFG,Afghanistan,2021,pertussis,Pertussis,108
AFG,Afghanistan,2021,poliomyelitis,Poliomyelitis,43
AFG,Afghanistan,2021,rubella,Rubella,46
AFG,Afghanistan,2021,ttetanus,Total tetanus,3070
AFG,Afghanistan,2021,typhoid,Typhoid,
AFG,Afghanistan,2021,yfever,Yellow fever,
AFG,Afghanistan,2020,crs,Congenital rubella syndrome,649
AFG,Afghanistan,2020,diphtheria,Diphtheria,
AFG,Afghanistan,2020,invasive_mening,Invasive meningococcal disease,161
