disease,age_min_year,age_max_year,parameter,value,value_min,value_max
"bacterial dysentery",0,0,"cfr",1.72,NA,NA
"bacterial dysentery",0.0833333333333333,0.916666666666667,"cfr",1.72,NA,NA
"bacterial dysentery",1,4.91666666666667,"cfr",1,NA,NA
"bacterial dysentery",5,9,"cfr",0.69,NA,NA
"bacterial dysentery",10,14,"cfr",0.69,NA,NA
"bacterial dysentery",15,19,"cfr",0.44,NA,NA
"bacterial dysentery",20,29,"cfr",0.44,NA,NA
"bacterial dysentery",30,39,"cfr",0.44,NA,NA
"bacterial dysentery",40,49,"cfr",0.44,NA,NA
"bacterial dysentery",50,59,"cfr",0.44,NA,NA
"bacterial dysentery",60,69,"cfr",0.44,NA,NA
"bacterial dysentery",70,79,"cfr",0.44,NA,NA
"bacterial dysentery",80,100,"cfr",0.44,NA,NA
"bacterial dysentery",NA,NA,"cfr",NA,0.006,0.074
"bacterial dysentery",NA,NA,"proportion_symptomatic",NA,0.188,0.45
"bacterial dysentery",NA,NA,"incubation_period",NA,NA,NA
"bacterial dysentery",NA,NA,"r0",NA,1.1,2.2
"bacterial dysentery",NA,NA,"infectious_period",NA,NA,NA
"bacterial dysentery",NA,NA,"infectious_period_treated",NA,NA,NA
"cholera",0,0,"cfr",1,NA,NA
"cholera",0.0833333333333333,0.916666666666667,"cfr",1,NA,NA
"cholera",1,4.91666666666667,"cfr",1,NA,NA
"cholera",5,9,"cfr",1,NA,NA
"cholera",10,14,"cfr",1,NA,NA
"cholera",15,19,"cfr",1,NA,NA
"cholera",20,29,"cfr",1,NA,NA
"cholera",30,39,"cfr",1,NA,NA
"cholera",40,49,"cfr",1.8,NA,NA
"cholera",50,59,"cfr",1.8,NA,NA
"cholera",60,69,"cfr",3,NA,NA
"cholera",70,79,"cfr",3,NA,NA
"cholera",80,100,"cfr",3,NA,NA
"cholera",NA,NA,"cfr",NA,0.005,0.1
"cholera",NA,NA,"cfr_base",NA,0.003,0.005
"cholera",NA,NA,"proportion_symptomatic",NA,0.108,0.589
"cholera",NA,NA,"incubation_period",NA,NA,NA
"cholera",NA,NA,"r0",NA,1.11,2.73
"cholera",NA,NA,"r0_base",NA,0.8,1
"cholera",NA,NA,"infectious_period",NA,NA,NA
"cholera",NA,NA,"infectious_period_treated",NA,NA,NA
"diphtheria",0,0,"cfr",1,NA,NA
"diphtheria",0.0833333333333333,0.916666666666667,"cfr",1,NA,NA
