"Country/Area Name","Year","GROUP","GENC","Population","% of Population","Male Population","% of Males","Female Population","% of Females","Sex Ratio of the Population"
"Gaza Strip","1997","","XG","1,018,271","100.0","516,027","100.0","502,244","100.0","1.03"
"Gaza Strip","1997","0 - 4","XG","202,030","19.8","103,579","20.1","98,451","19.6","1.05"
"Gaza Strip","1997","5 - 9","XG","174,586","17.1","89,561","17.4","85,025","16.9","1.05"
"Gaza Strip","1997","10 - 14","XG","128,129","12.6","65,499","12.7","62,630","12.5","1.05"
"Gaza Strip","1997","15 - 19","XG","110,111","10.8","56,154","10.9","53,957","10.7","1.04"
"Gaza Strip","1997","20 - 24","XG","85,540","8.4","43,778","8.5","41,762","8.3","1.05"
"Gaza Strip","1997","25 - 29","XG","70,421","6.9","36,277","7.0","34,144","6.8","1.06"
"Gaza Strip","1997","30 - 34","XG","59,064","5.8","31,053","6.0","28,011","5.6","1.11"
"Gaza Strip","1997","35 - 39","XG","47,332","4.6","24,801","4.8","22,531","4.5","1.10"
"Gaza Strip","1997","40 - 44","XG","34,525","3.4","17,583","3.4","16,942","3.4","1.04"
"Gaza Strip","1997","45 - 49","XG","26,289","2.6","12,878","2.5","13,411","2.7","0.96"
"Gaza Strip","1997","50 - 54","XG","18,840","1.9","8,391","1.6","10,449","2.1","0.80"
"Gaza Strip","1997","55 - 59","XG","15,381","1.5","6,551","1.3","8,830","1.8","0.74"
"Gaza Strip","1997","60 - 64","XG","14,884","1.5","6,483","1.3","8,401","1.7","0.77"
"Gaza Strip","1997","65 - 69","XG","11,906","1.2","5,198","1.0","6,708","1.3","0.77"
"Gaza Strip","1997","70 - 74","XG","8,844","0.9","3,846","0.7","4,998","1.0","0.77"
"Gaza Strip","1997","75 - 79","XG","5,800","0.6","2,496","0.5","3,304","0.7","0.76"
"Gaza Strip","1997","80 - 84","XG","3,086","0.3","1,300","0.3","1,786","0.4","0.73"
"Gaza Strip","1997","85 - 89","XG","1,179","0.1","476","0.1","703","0.1","0.68"
"Gaza Strip","1997","90 - 94","XG","284","0.0","109","0.0","175","0.0","0.62"
"Gaza Strip","1997","95 - 99","XG","37","0.0","13","0.0","24","0.0","0.54"
"Gaza Strip","1997","100+","XG","3","0.0","1","0.0","2","0.0","0.50"
"Gaza Strip","1998","","XG","1,056,039","100.0","535,488","100.0","520,551","100.0","1.03"
"Gaza Strip","1998","0 - 4","XG","204,582","19.4","104,915","19.6","99,667","19.1","1.05"
"Gaza Strip","1998","5 - 9","XG","181,926","17.2","93,343","17.4","88,583","17.0","1.05"
"Gaza Strip","1998","10 - 14","XG","135,758","12.9","69,457","13.0","66,301","12.7","1.05"
"Gaza Strip","1998","15 - 19","XG","113,401","10.7","57,828","10.8","55,573","10.7","1.04"
"Gaza Strip","1998","20 - 24","XG","89,988","8.5","45,998","8.6","43,990","8.5","1.05"
"Gaza Strip","1998","25 - 29","XG","72,827","6.9","37,424","7.0","35,403","6.8","1.06"
"Gaza Strip","1998","30 - 34","XG","61,184","5.8","32,060","6.0","29,124","5.6","1.10"
"Gaza Strip","1998","35 - 39","XG","49,728","4.7","26,128","4.9","23,600","4.5","1.11"
"Gaza Strip","1998","40 - 44","XG","36,706","3.5","18,824","3.5","17,882","3.4","1.05"
"Gaza Strip","1998","45 - 49","XG","27,688","2.6","13,703","2.6","13,985","2.7","0.98"
"Gaza Strip","1998","50 - 54","XG","19,948","1.9","9,059","1.7","10,889","2.1","0.83"
"Gaza Strip","1998","55 - 59","XG","15,574","1.5","6,632","1.2","8,942","1.7","0.74"
"Gaza Strip","1998","60 - 64","XG","14,833","1.4","6,408","1.2","8,425","1.6","0.76"
"Gaza Strip","1998","65 - 69","XG","12,218","1.2","5,327","1.0","6,891","1.3","0.77"
"Gaza Strip","1998","70 - 74","XG","9,054","0.9","3,908","0.7","5,146","1.0","0.76"
"Gaza Strip","1998","75 - 79","XG","5,929","0.6","2,541","0.5","3,388","0.7","0.75"
"Gaza Strip","1998","80 - 84","XG","3,156","0.3","1,322","0.2","1,834","0.4","0.72"
"Gaza Strip","1998","85 - 89","XG","1,206","0.1","485","0.1","721","0.1","0.67"
"Gaza Strip","1998","90 - 94","XG","291","0.0","111","0.0","180","0.0","0.62"
"Gaza Strip","1998","95 - 99","XG","40","0.0","14","0.0","26","0.0","0.54"
"Gaza Strip","1998","100+","XG","2","0.0","1","0.0","1","0.0","1.00"
"Gaza Strip","1999","","XG","1,092,595","100.0","554,232","100.0","538,363","100.0","1.03"
"Gaza Strip","1999","0 - 4","XG","207,988","19.0","106,697","19.3","101,291","18.8","1.05"
