state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,4583545,4573110,4589477
new_case,All,All,All,1951,319720,318030,324414
new_case,All,All,All,1952,89376,89112,89521
new_case,All,All,All,1953,90847,89987,91836
new_case,All,All,All,1954,93648,93236,94174
new_case,All,All,All,1955,95263,94744,95308
new_case,All,All,All,1956,98155,97434,98266
new_case,All,All,All,1957,102571,102230,103613
new_case,All,All,All,1958,103927,102538,104660
new_case,All,All,All,1959,106272,105882,107065
new_case,All,All,All,1960,110568,109897,111607
new_case,All,All,All,1961,114245,113103,115725
new_case,All,All,All,1962,119399,117713,120777
new_case,All,All,All,1963,125630,125157,126368
new_case,All,All,All,1964,132602,132200,133014
new_case,All,All,All,1965,134097,133013,137030
new_case,All,All,All,1966,140444,139281,141187
new_case,All,All,All,1967,146926,145831,148263
new_case,All,All,All,1968,154953,152200,155914
new_case,All,All,All,1969,160008,154620,161653
new_case,All,All,All,1970,166163,162283,168247
new_case,All,All,All,1971,175737,171246,177168
new_case,All,All,All,1972,176307,172276,178645
new_case,All,All,All,1973,178899,174553,181355
new_case,All,All,All,1974,180912,178957,183155
new_case,All,All,All,1975,181050,180007,182497
new_case,All,All,All,1976,180250,176956,183827
new_case,All,All,All,1977,181322,177601,185421
new_case,All,All,All,1978,185129,183810,187814
new_case,All,All,All,1979,179782,175406,182299
new_case,All,All,All,1980,10350,10131,10630
new_case,All,All,All,1981,1464,1464,1464
new_case,All,All,All,1982,1563,1563,1563
new_case,All,All,All,1983,1940,1940,1940
new_case,All,All,All,1984,555,555,555
new_case,All,All,All,1985,3179,3179,3179
new_case,All,All,All,1986,1053,1053,1053
new_case,All,All,All,1987,1272,1272,1272
new_case,All,All,All,1988,661,661,661
new_case,All,All,All,1989,286,286,286
new_case,All,All,All,1990,368,368,368
new_case,All,All,All,1991,21,21,21
new_case,All,All,All,1992,0,0,0
new_case,All,All,All,1993,0,0,0
new_case,All,All,All,1994,0,0,0
new_case,All,All,All,1995,0,0,0
new_case,All,All,All,1996,0,0,0
new_case,All,All,All,1997,0,0,0
new_case,All,All,All,1998,84,84,84
new_case,All,All,All,1999,297,297,297
new_case,All,All,All,2000,84,84,84
new_case,All,All,All,2001,0,0,0
new_case,All,All,All,2002,854,854,854
new_case,All,All,All,2003,79,79,79
new_case,All,All,All,2004,26,26,26
new_case,All,All,All,2005,179,179,179
new_case,All,All,All,2006,53,53,53
new_case,All,All,All,2007,104,104,104
new_case,All,All,All,2008,0,0,0
new_case,All,All,All,2009,0,0,0
new_case,All,All,All,2010,0,0,0
new_case,All,All,All,2011,0,0,0
new_case,All,All,All,2012,0,0,0
new_case,All,All,All,2013,0,0,0
new_case,All,All,All,2014,0,0,0
new_case,All,All,All,2015,0,0,0
new_case,All,All,All,2016,0,0,0
new_case,All,All,All,2017,1,1,1
new_case,All,All,All,2018,3,3,3
new_case,All,All,All,2019,0,0,0
new_case,All,All,All,2020,0,0,0
new_case,All,All,All,2021,61,61,61
new_case,All,All,All,2022,50,50,50
new_case,All,All,All,2023,61,61,61
S,1,1,1,2023,47778.5,30290,75432
S,2,1,1,2023,74159,61696,80786
S,3,1,1,2023,80327.5,77758,81464
S,4,1,1,2023,82310.5,79240,84284
S,5,1,1,2023,85036.5,82008,87505
S,6,1,1,2023,89418,87337,91874
S,7,1,1,2023,95976,94059,98000
S,8,1,1,2023,104717,103380,105749
S,9,1,1,2023,116899,115653,118769
S,10,1,1,2023,133760.5,130656,137506
S,11,1,1,2023,155616.5,150715,161706
S,12,1,1,2023,182311.5,174791,190706
S,13,1,1,2023,212244,203205,221752
S,14,1,1,2023,243307.5,233542,253193
S,15,1,1,2023,274375.5,263909,285059
S,16,1,1,2023,304766,294601,315458
S,17,1,1,2023,333864,323336,343704
S,18,1,1,2023,360736.5,351047,371093
S,19,1,1,2023,386451,377094,395502
S,20,1,1,2023,408249,399684,416804
S,21,1,1,2023,427678,419394,435899
S,22,1,1,2023,443659,437044,449193
S,23,1,1,2023,456394,452177,460155
S,24,1,1,2023,465279,461493,468215
S,25,1,1,2023,470375.5,467700,471740
S,26,1,1,2023,472333.5,468422,474325
S,27,1,1,2023,470643.5,466844,473824
S,28,1,1,2023,466584.5,461593,471949
S,29,1,1,2023,460352.5,454898,465448
S,30,1,1,2023,452155.5,445123,457840
S,31,1,1,2023,441531.5,433529,447807
S,32,1,1,2023,431496,423573,439053
S,33,1,1,2023,420661,412667,431089
S,34,1,1,2023,409548,401440,419562
S,35,1,1,2023,398213,390074,407806
S,36,1,1,2023,386495.5,378853,395061
S,37,1,1,2023,374963.5,367541,383324
S,38,1,1,2023,363118.5,356387,370785
S,39,1,1,2023,351690,344313,358734
S,40,1,1,2023,339481,331465,346824
S,41,1,1,2023,327058.5,319586,334902
S,42,1,1,2023,314511,307012,322239
S,43,1,1,2023,301784.5,294988,309043
S,44,1,1,2023,288694.5,281965,295469
S,45,1,1,2023,276499.5,269974,283115
S,46,1,1,2023,264210,257148,270410
S,47,1,1,2023,251618,244736,258372
S,48,1,1,2023,238480.5,231769,245230
S,49,1,1,2023,225950,219244,232954
S,50,1,1,2023,213610.5,207277,220286
S,51,1,1,2023,201922,195196,207872
S,52,1,1,2023,190478,183653,196709
S,53,1,1,2023,178997.5,172245,185207
S,54,1,1,2023,167791,160876,174021
S,55,1,1,2023,157259,150034,162999
S,56,1,1,2023,147184.5,140601,153002
S,57,1,1,2023,137448.5,131380,143538
S,58,1,1,2023,128165,122631,133853
S,59,1,1,2023,119056,113630,124493
S,60,1,1,2023,110426.5,104971,115701
S,61,1,1,2023,102093.5,97197,106668
S,62,1,1,2023,94234,89614,98449
S,63,1,1,2023,86765,81955,91082
S,64,1,1,2023,79683.5,75229,83757
S,65,1,1,2023,72860,68473,76727
S,66,1,1,2023,66357.5,62506,70314
S,67,1,1,2023,60107,56811,63946
S,68,1,1,2023,54452.5,51634,58051
S,69,1,1,2023,48909,45853,52265
S,70,1,1,2023,43697.5,40976,46824
S,71,1,1,2023,39048,36384,42038
S,72,1,1,2023,34426,31796,37512
S,73,1,1,2023,30270,28066,33228
S,74,1,1,2023,26282,24215,28963
S,75,1,1,2023,22633,20775,24721
S,76,1,1,2023,19455,17761,21210
S,77,1,1,2023,16588.5,15027,18134
S,78,1,1,2023,13843,12468,15273
S,79,1,1,2023,11462,10208,12666
S,80,1,1,2023,9412,8483,10410
S,81,1,1,2023,7644.5,6883,8511
S,82,1,1,2023,6262.5,5512,6951
S,83,1,1,2023,4983.5,4344,5698
S,84,1,1,2023,3885,3371,4510
S,85,1,1,2023,3035.5,2653,3551
S,86,1,1,2023,2334,1969,2732
S,87,1,1,2023,1759,1456,2067
S,88,1,1,2023,1313,1091,1562
S,89,1,1,2023,961,814,1145
S,90,1,1,2023,696,586,878
S,91,1,1,2023,485,369,618
S,92,1,1,2023,333,249,432
S,93,1,1,2023,207.5,156,273
S,94,1,1,2023,145.5,106,181
S,95,1,1,2023,97,68,138
S,96,1,1,2023,59,37,88
S,97,1,1,2023,34.5,17,55
S,98,1,1,2023,27,12,52
S,99,1,1,2023,17,9,33
S,100,1,1,2023,13,7,21
S,101,1,1,2023,20,13,29
S,1,2,1,2023,122735.5,99741,133335
S,2,2,1,2023,249931.5,235292,252270
S,3,2,1,2023,354289,351029,356186
S,4,2,1,2023,442098,437043,445959
S,5,2,1,2023,515007.5,509663,520318
S,6,2,1,2023,576167.5,569801,582410
S,7,2,1,2023,625674,617776,632724
S,8,2,1,2023,662710.5,653450,670749
S,9,2,1,2023,689376.5,678153,698945
S,10,2,1,2023,704993.5,691749,717038
S,11,2,1,2023,710661.5,694183,725466
S,12,2,1,2023,705992,688914,721929
S,13,2,1,2023,693298.5,674988,711301
S,14,2,1,2023,674619.5,656512,694138
S,15,2,1,2023,651879,632204,671400
S,16,2,1,2023,625499.5,606030,644780
S,17,2,1,2023,596807.5,576766,616060
S,18,2,1,2023,565609,545291,585218
S,19,2,1,2023,533631.5,514355,553001
S,20,2,1,2023,500125.5,480954,519082
S,21,2,1,2023,467036,448404,484981
S,22,2,1,2023,434299.5,416806,451080
S,23,2,1,2023,402067.5,386588,418487
S,24,2,1,2023,372634.5,357594,386894
S,25,2,1,2023,344206.5,331460,358088
S,26,2,1,2023,319526,307170,331848
S,27,2,1,2023,296491,284781,308007
S,28,2,1,2023,275092,264906,285778
S,29,2,1,2023,256136,247343,265138
S,30,2,1,2023,239192.5,231479,247944
S,31,2,1,2023,223380.5,216302,230726
S,32,2,1,2023,208696.5,201838,215239
S,33,2,1,2023,194611,188689,200666
S,34,2,1,2023,181535.5,175620,187255
S,35,2,1,2023,168097,162513,174162
S,36,2,1,2023,155123.5,149298,160538
S,37,2,1,2023,142441,136682,147924
S,38,2,1,2023,129611.5,123634,135210
S,39,2,1,2023,117278,111600,123073
S,40,2,1,2023,105193,99801,110739
S,41,2,1,2023,93900,88990,99219
S,42,2,1,2023,83533,79060,88266
S,43,2,1,2023,73779,69539,78102
S,44,2,1,2023,64866,60691,69033
S,45,2,1,2023,57068.5,53538,60738
S,46,2,1,2023,49857,46858,53103
S,47,2,1,2023,43553,40940,46304
S,48,2,1,2023,38143.5,35645,40459
S,49,2,1,2023,33356,31138,35673
S,50,2,1,2023,29031.5,26858,31311
S,51,2,1,2023,25244,23314,27157
S,52,2,1,2023,21941.5,20186,23776
S,53,2,1,2023,19114.5,17704,20731
S,54,2,1,2023,16621.5,15273,17830
S,55,2,1,2023,14371.5,13280,15463
S,56,2,1,2023,12222.5,11271,13286
S,57,2,1,2023,10494,9649,11438
S,58,2,1,2023,8976,8100,9701
S,59,2,1,2023,7651.5,6943,8271
S,60,2,1,2023,6540,5894,7160
S,61,2,1,2023,5523.5,4932,6129
S,62,2,1,2023,4669,4138,5237
S,63,2,1,2023,3890,3394,4349
S,64,2,1,2023,3306,2838,3683
S,65,2,1,2023,2772,2372,3161
S,66,2,1,2023,2322,2075,2605
S,67,2,1,2023,1973.5,1727,2319
S,68,2,1,2023,1721,1415,1980
S,69,2,1,2023,1447.5,1244,1696
S,70,2,1,2023,1256,1001,1441
S,71,2,1,2023,1070,873,1181
S,72,2,1,2023,906,760,1006
S,73,2,1,2023,785,637,934
S,74,2,1,2023,648,497,756
S,75,2,1,2023,530,389,700
S,76,2,1,2023,441,317,616
S,77,2,1,2023,373,254,479
S,78,2,1,2023,297,182,359
S,79,2,1,2023,215.5,146,270
S,80,2,1,2023,167,107,213
S,81,2,1,2023,130,82,181
S,82,2,1,2023,103.5,63,134
S,83,2,1,2023,67,47,103
S,84,2,1,2023,51,36,87
S,85,2,1,2023,40,26,58
S,86,2,1,2023,28,20,44
S,87,2,1,2023,20,13,28
S,88,2,1,2023,15,10,23
S,89,2,1,2023,10,4,16
S,90,2,1,2023,7,0,13
S,91,2,1,2023,3,0,7
S,92,2,1,2023,1,0,8
S,93,2,1,2023,0,0,2
S,94,2,1,2023,0,0,2
S,95,2,1,2023,0,0,2
S,96,2,1,2023,0,0,2
S,97,2,1,2023,0,0,2
S,98,2,1,2023,0,0,0
S,99,2,1,2023,0,0,0
S,100,2,1,2023,0,0,0
S,101,2,1,2023,0,0,0
S,1,3,1,2023,852392.5,504513,1434748
S,2,3,1,2023,1163583,930275,1274702
S,3,3,1,2023,1128260.5,1053571,1140799
S,4,3,1,2023,1018278,1010560,1024617
S,5,3,1,2023,915373.5,905070,922525
S,6,3,1,2023,818036.5,808157,826827
S,7,3,1,2023,729506.5,720911,737299
S,8,3,1,2023,650178.5,642175,657184
S,9,3,1,2023,578065,571118,585680
S,10,3,1,2023,512659.5,503708,519972
S,11,3,1,2023,452332,443793,460161
S,12,3,1,2023,397063,388196,404475
S,13,3,1,2023,346797,338513,354846
S,14,3,1,2023,301647,293427,309717
S,15,3,1,2023,260970,253215,268508
S,16,3,1,2023,225316,218489,232582
S,17,3,1,2023,194151,187984,200913
S,18,3,1,2023,166898,160906,173024
S,19,3,1,2023,143121,137657,148281
S,20,3,1,2023,122331.5,117571,126771
S,21,3,1,2023,104236.5,100143,108751
S,22,3,1,2023,88777,85414,92386
S,23,3,1,2023,75164.5,72041,78463
S,24,3,1,2023,63459,60796,66107
S,25,3,1,2023,53675,51505,55826
S,26,3,1,2023,45477.5,43508,47315
S,27,3,1,2023,38323,36768,39989
S,28,3,1,2023,32541,31114,33746
S,29,3,1,2023,27760.5,26559,28734
S,30,3,1,2023,23608.5,22504,24611
S,31,3,1,2023,20085,19363,20960
S,32,3,1,2023,17336,16583,17985
S,33,3,1,2023,14884,14279,15469
S,34,3,1,2023,12850.5,12138,13487
S,35,3,1,2023,11014,10560,11668
S,36,3,1,2023,9548,9190,9951
S,37,3,1,2023,8199.5,7806,8515
S,38,3,1,2023,6959,6552,7337
S,39,3,1,2023,5906,5549,6262
S,40,3,1,2023,5015.5,4703,5401
S,41,3,1,2023,4301.5,4024,4530
S,42,3,1,2023,3651.5,3332,3906
S,43,3,1,2023,2990,2814,3297
S,44,3,1,2023,2448,2253,2667
S,45,3,1,2023,2009,1863,2186
S,46,3,1,2023,1641,1456,1760
S,47,3,1,2023,1355,1135,1459
S,48,3,1,2023,1093,925,1215
S,49,3,1,2023,847,758,985
S,50,3,1,2023,702,618,817
S,51,3,1,2023,583,488,663
S,52,3,1,2023,488,368,544
S,53,3,1,2023,383,269,475
S,54,3,1,2023,310,226,397
S,55,3,1,2023,250.5,180,311
S,56,3,1,2023,206,145,235
S,57,3,1,2023,152,96,185
S,58,3,1,2023,121,78,156
S,59,3,1,2023,96.5,80,114
S,60,3,1,2023,71.5,58,103
S,61,3,1,2023,57,42,83
S,62,3,1,2023,38,30,69
S,63,3,1,2023,33,25,47
S,64,3,1,2023,29,18,41
S,65,3,1,2023,24,12,31
S,66,3,1,2023,23,12,31
S,67,3,1,2023,13,5,23
S,68,3,1,2023,10,5,17
S,69,3,1,2023,8,3,22
S,70,3,1,2023,7,0,21
S,71,3,1,2023,4,0,17
S,72,3,1,2023,3.5,1,9
S,73,3,1,2023,3,0,10
S,74,3,1,2023,1,0,8
S,75,3,1,2023,1,0,5
S,76,3,1,2023,0,0,3
S,77,3,1,2023,0,0,3
S,78,3,1,2023,0,0,1
S,79,3,1,2023,0,0,2
S,80,3,1,2023,0,0,2
S,81,3,1,2023,0,0,1
S,82,3,1,2023,0,0,0
S,83,3,1,2023,0,0,0
S,84,3,1,2023,0,0,0
S,85,3,1,2023,0,0,0
S,86,3,1,2023,0,0,0
S,87,3,1,2023,0,0,0
S,88,3,1,2023,0,0,0
S,89,3,1,2023,0,0,0
S,90,3,1,2023,0,0,0
S,91,3,1,2023,0,0,0
S,92,3,1,2023,0,0,0
S,93,3,1,2023,0,0,0
S,94,3,1,2023,0,0,0
S,95,3,1,2023,0,0,0
S,96,3,1,2023,0,0,0
S,97,3,1,2023,0,0,0
S,98,3,1,2023,0,0,0
S,99,3,1,2023,0,0,0
S,100,3,1,2023,0,0,0
S,101,3,1,2023,0,0,0
E,1,1,1,2023,0,0,0
E,2,1,1,2023,0,0,0
E,3,1,1,2023,0,0,0
E,4,1,1,2023,0,0,0
E,5,1,1,2023,0,0,0
E,6,1,1,2023,0,0,0
E,7,1,1,2023,0,0,0
E,8,1,1,2023,0,0,0
E,9,1,1,2023,0,0,0
E,10,1,1,2023,0,0,0
E,11,1,1,2023,0,0,0
E,12,1,1,2023,0,0,0
E,13,1,1,2023,0,0,0
E,14,1,1,2023,0,0,0
E,15,1,1,2023,0,0,0
E,16,1,1,2023,0,0,0
E,17,1,1,2023,0,0,0
E,18,1,1,2023,0,0,0
E,19,1,1,2023,0,0,0
E,20,1,1,2023,0,0,0
E,21,1,1,2023,0,0,0
E,22,1,1,2023,0,0,0
E,23,1,1,2023,0,0,0
E,24,1,1,2023,0,0,0
E,25,1,1,2023,0,0,0
E,26,1,1,2023,0,0,0
E,27,1,1,2023,0,0,0
E,28,1,1,2023,0,0,0
E,29,1,1,2023,0,0,0
E,30,1,1,2023,0,0,0
E,31,1,1,2023,0,0,0
E,32,1,1,2023,0,0,0
E,33,1,1,2023,0,0,0
E,34,1,1,2023,0,0,0
E,35,1,1,2023,0,0,0
E,36,1,1,2023,0,0,0
E,37,1,1,2023,0,0,0
E,38,1,1,2023,0,0,0
E,39,1,1,2023,0,0,0
E,40,1,1,2023,0,0,0
E,41,1,1,2023,0,0,0
E,42,1,1,2023,0,0,0
E,43,1,1,2023,0,0,0
E,44,1,1,2023,0,0,0
E,45,1,1,2023,0,0,0
E,46,1,1,2023,0,0,0
E,47,1,1,2023,0,0,0
E,48,1,1,2023,0,0,0
E,49,1,1,2023,0,0,0
E,50,1,1,2023,0,0,0
E,51,1,1,2023,0,0,0
E,52,1,1,2023,0,0,0
E,53,1,1,2023,0,0,0
E,54,1,1,2023,0,0,0
E,55,1,1,2023,0,0,0
E,56,1,1,2023,0,0,0
E,57,1,1,2023,0,0,0
E,58,1,1,2023,0,0,0
E,59,1,1,2023,0,0,0
E,60,1,1,2023,0,0,0
E,61,1,1,2023,0,0,0
E,62,1,1,2023,0,0,0
E,63,1,1,2023,0,0,0
E,64,1,1,2023,0,0,0
E,65,1,1,2023,0,0,0
E,66,1,1,2023,0,0,0
E,67,1,1,2023,0,0,0
E,68,1,1,2023,0,0,0
E,69,1,1,2023,0,0,0
E,70,1,1,2023,0,0,0
E,71,1,1,2023,0,0,0
E,72,1,1,2023,0,0,0
E,73,1,1,2023,0,0,0
E,74,1,1,2023,0,0,0
E,75,1,1,2023,0,0,0
E,76,1,1,2023,0,0,0
E,77,1,1,2023,0,0,0
E,78,1,1,2023,0,0,0
E,79,1,1,2023,0,0,0
E,80,1,1,2023,0,0,0
E,81,1,1,2023,0,0,0
E,82,1,1,2023,0,0,0
E,83,1,1,2023,0,0,0
E,84,1,1,2023,0,0,0
E,85,1,1,2023,0,0,0
E,86,1,1,2023,0,0,0
E,87,1,1,2023,0,0,0
E,88,1,1,2023,0,0,0
E,89,1,1,2023,0,0,0
E,90,1,1,2023,0,0,0
E,91,1,1,2023,0,0,0
E,92,1,1,2023,0,0,0
E,93,1,1,2023,0,0,0
E,94,1,1,2023,0,0,0
E,95,1,1,2023,0,0,0
E,96,1,1,2023,0,0,0
E,97,1,1,2023,0,0,0
E,98,1,1,2023,0,0,0
E,99,1,1,2023,0,0,0
E,100,1,1,2023,0,0,0
E,101,1,1,2023,0,0,0
E,1,2,1,2023,0,0,0
E,2,2,1,2023,0,0,0
E,3,2,1,2023,0,0,0
E,4,2,1,2023,0,0,0
E,5,2,1,2023,0,0,0
E,6,2,1,2023,0,0,0
E,7,2,1,2023,0,0,0
E,8,2,1,2023,0,0,0
E,9,2,1,2023,0,0,0
E,10,2,1,2023,0,0,0
E,11,2,1,2023,0,0,0
E,12,2,1,2023,0,0,0
E,13,2,1,2023,0,0,0
E,14,2,1,2023,0,0,0
E,15,2,1,2023,0,0,0
E,16,2,1,2023,0,0,0
E,17,2,1,2023,0,0,0
E,18,2,1,2023,0,0,0
E,19,2,1,2023,0,0,0
E,20,2,1,2023,0,0,0
E,21,2,1,2023,0,0,0
E,22,2,1,2023,0,0,0
E,23,2,1,2023,0,0,0
E,24,2,1,2023,0,0,0
E,25,2,1,2023,0,0,0
E,26,2,1,2023,0,0,0
E,27,2,1,2023,0,0,0
E,28,2,1,2023,0,0,0
E,29,2,1,2023,0,0,0
E,30,2,1,2023,0,0,0
E,31,2,1,2023,0,0,0
E,32,2,1,2023,0,0,0
E,33,2,1,2023,0,0,0
E,34,2,1,2023,0,0,0
E,35,2,1,2023,0,0,0
E,36,2,1,2023,0,0,0
E,37,2,1,2023,0,0,0
E,38,2,1,2023,0,0,0
E,39,2,1,2023,0,0,0
E,40,2,1,2023,0,0,0
E,41,2,1,2023,0,0,0
E,42,2,1,2023,0,0,0
E,43,2,1,2023,0,0,0
E,44,2,1,2023,0,0,0
E,45,2,1,2023,0,0,0
E,46,2,1,2023,0,0,0
E,47,2,1,2023,0,0,0
E,48,2,1,2023,0,0,0
E,49,2,1,2023,0,0,0
E,50,2,1,2023,0,0,0
E,51,2,1,2023,0,0,0
E,52,2,1,2023,0,0,0
E,53,2,1,2023,0,0,0
E,54,2,1,2023,0,0,0
E,55,2,1,2023,0,0,0
E,56,2,1,2023,0,0,0
E,57,2,1,2023,0,0,0
E,58,2,1,2023,0,0,0
E,59,2,1,2023,0,0,0
E,60,2,1,2023,0,0,0
E,61,2,1,2023,0,0,0
E,62,2,1,2023,0,0,0
E,63,2,1,2023,0,0,0
E,64,2,1,2023,0,0,0
E,65,2,1,2023,0,0,0
E,66,2,1,2023,0,0,0
E,67,2,1,2023,0,0,0
E,68,2,1,2023,0,0,0
E,69,2,1,2023,0,0,0
E,70,2,1,2023,0,0,0
E,71,2,1,2023,0,0,0
E,72,2,1,2023,0,0,0
E,73,2,1,2023,0,0,0
E,74,2,1,2023,0,0,0
E,75,2,1,2023,0,0,0
E,76,2,1,2023,0,0,0
E,77,2,1,2023,0,0,0
E,78,2,1,2023,0,0,0
E,79,2,1,2023,0,0,0
E,80,2,1,2023,0,0,0
E,81,2,1,2023,0,0,0
E,82,2,1,2023,0,0,0
E,83,2,1,2023,0,0,0
E,84,2,1,2023,0,0,0
E,85,2,1,2023,0,0,0
E,86,2,1,2023,0,0,0
E,87,2,1,2023,0,0,0
E,88,2,1,2023,0,0,0
E,89,2,1,2023,0,0,0
E,90,2,1,2023,0,0,0
E,91,2,1,2023,0,0,0
E,92,2,1,2023,0,0,0
E,93,2,1,2023,0,0,0
E,94,2,1,2023,0,0,0
E,95,2,1,2023,0,0,0
E,96,2,1,2023,0,0,0
E,97,2,1,2023,0,0,0
E,98,2,1,2023,0,0,0
E,99,2,1,2023,0,0,0
E,100,2,1,2023,0,0,0
E,101,2,1,2023,0,0,0
E,1,3,1,2023,0,0,0
E,2,3,1,2023,0,0,0
E,3,3,1,2023,0,0,0
E,4,3,1,2023,0,0,0
E,5,3,1,2023,0,0,0
E,6,3,1,2023,0,0,0
E,7,3,1,2023,0,0,0
E,8,3,1,2023,0,0,0
E,9,3,1,2023,0,0,0
E,10,3,1,2023,0,0,0
E,11,3,1,2023,0,0,0
E,12,3,1,2023,0,0,0
E,13,3,1,2023,0,0,0
E,14,3,1,2023,0,0,0
