state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,51270.5,32302,81193,Susceptible
S,2,1,1,2023,79391.5,66159,86134,Susceptible
S,3,1,1,2023,85939,83338,86881,Susceptible
S,4,1,1,2023,88129.5,84960,89918,Susceptible
S,5,1,1,2023,90974.5,87797,93827,Susceptible
S,6,1,1,2023,95728.5,93184,98542,Susceptible
S,7,1,1,2023,102670,100756,105277,Susceptible
S,8,1,1,2023,111749,110427,113296,Susceptible
S,9,1,1,2023,125170,123816,127310,Susceptible
S,10,1,1,2023,143678,139723,147817,Susceptible
S,11,1,1,2023,167948,161947,175014,Susceptible
S,12,1,1,2023,196665,188394,205794,Susceptible
S,13,1,1,2023,228692,218854,239660,Susceptible
S,14,1,1,2023,262214,251537,273387,Susceptible
S,15,1,1,2023,295743,284299,307228,Susceptible
S,16,1,1,2023,327873.5,316688,339271,Susceptible
S,17,1,1,2023,358142,347645,368138,Susceptible
S,18,1,1,2023,387162.5,376574,396738,Susceptible
S,19,1,1,2023,412999,403530,421644,Susceptible
S,20,1,1,2023,436292,427463,444440,Susceptible
S,21,1,1,2023,457329,449122,464595,Susceptible
S,22,1,1,2023,474182,467484,480027,Susceptible
S,23,1,1,2023,488069,482010,492059,Susceptible
S,24,1,1,2023,497718.5,494247,502119,Susceptible
S,25,1,1,2023,504616.5,501617,508736,Susceptible
S,26,1,1,2023,508571.5,505909,512129,Susceptible
S,27,1,1,2023,510277,507198,513282,Susceptible
S,28,1,1,2023,509834.5,504273,513470,Susceptible
S,29,1,1,2023,506367.5,500746,511083,Susceptible
S,30,1,1,2023,500393,493748,506909,Susceptible
S,31,1,1,2023,492898,486732,499712,Susceptible
S,32,1,1,2023,484299,477627,491271,Susceptible
S,33,1,1,2023,473684.5,465587,481212,Susceptible
S,34,1,1,2023,460606,451288,469622,Susceptible
S,35,1,1,2023,444400.5,434438,454568,Susceptible
S,36,1,1,2023,427230,416193,437198,Susceptible
S,37,1,1,2023,407738,395559,418087,Susceptible
S,38,1,1,2023,386652.5,374059,398706,Susceptible
S,39,1,1,2023,363642.5,351162,376289,Susceptible
S,40,1,1,2023,339950,326207,352018,Susceptible
S,41,1,1,2023,314488,299648,327756,Susceptible
S,42,1,1,2023,288257,274398,302264,Susceptible
S,43,1,1,2023,262674,249275,276479,Susceptible
S,44,1,1,2023,237358,223468,250974,Susceptible
S,45,1,1,2023,212062,198858,224754,Susceptible
S,46,1,1,2023,188475,175440,200717,Susceptible
S,47,1,1,2023,165659.5,153876,177887,Susceptible
S,48,1,1,2023,144559,134208,156062,Susceptible
S,49,1,1,2023,125815.5,116201,135790,Susceptible
S,50,1,1,2023,108399,99443,117770,Susceptible
S,51,1,1,2023,93050.5,85366,101475,Susceptible
S,52,1,1,2023,79516,72825,86739,Susceptible
S,53,1,1,2023,67717.5,61842,73829,Susceptible
S,54,1,1,2023,57358.5,52180,62764,Susceptible
S,55,1,1,2023,48382.5,44185,52865,Susceptible
S,56,1,1,2023,41180,37218,44865,Susceptible
S,57,1,1,2023,34675.5,31346,38098,Susceptible
S,58,1,1,2023,29235.5,26490,32117,Susceptible
S,59,1,1,2023,24674,22408,27155,Susceptible
S,60,1,1,2023,20775,18854,22851,Susceptible
S,61,1,1,2023,17461,15865,19256,Susceptible
S,62,1,1,2023,14705,13419,16083,Susceptible
S,63,1,1,2023,12363,11136,13563,Susceptible
S,64,1,1,2023,10278,9341,11301,Susceptible
S,65,1,1,2023,8531,7653,9511,Susceptible
S,66,1,1,2023,7039,6237,7812,Susceptible
S,67,1,1,2023,5795,5181,6417,Susceptible
S,68,1,1,2023,4819.5,4326,5308,Susceptible
S,69,1,1,2023,3976,3506,4416,Susceptible
S,70,1,1,2023,3273.5,2883,3801,Susceptible
S,71,1,1,2023,2640.5,2344,3020,Susceptible
S,72,1,1,2023,2143,1839,2382,Susceptible
S,73,1,1,2023,1698,1415,1904,Susceptible
S,74,1,1,2023,1321,1109,1534,Susceptible
S,75,1,1,2023,1024.5,807,1239,Susceptible
S,76,1,1,2023,782,607,978,Susceptible
S,77,1,1,2023,596,458,756,Susceptible
