state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,258812,160188,416436,Susceptible
S,2,1,1,2023,389930,318789,427604,Susceptible
S,3,1,1,2023,416192,393865,420339,Susceptible
S,4,1,1,2023,405427.5,394855,409054,Susceptible
S,5,1,1,2023,382884,369163,394550,Susceptible
S,6,1,1,2023,359289,345595,372330,Susceptible
S,7,1,1,2023,339791.5,329309,351317,Susceptible
S,8,1,1,2023,330041,323392,337724,Susceptible
S,9,1,1,2023,332970,330356,335800,Susceptible
S,10,1,1,2023,349561,344389,358067,Susceptible
S,11,1,1,2023,380170,368741,393823,Susceptible
S,12,1,1,2023,419156,403602,437290,Susceptible
S,13,1,1,2023,463840,444621,483858,Susceptible
S,14,1,1,2023,507726.5,488380,526960,Susceptible
S,15,1,1,2023,548606.5,529858,566233,Susceptible
S,16,1,1,2023,583884,567480,599988,Susceptible
S,17,1,1,2023,613741,599456,626546,Susceptible
S,18,1,1,2023,636917,623843,647691,Susceptible
S,19,1,1,2023,654003,644778,661679,Susceptible
S,20,1,1,2023,664865.5,658547,670596,Susceptible
S,21,1,1,2023,671903,665680,673869,Susceptible
S,22,1,1,2023,672534.5,668999,675411,Susceptible
S,23,1,1,2023,669901,665079,673591,Susceptible
S,24,1,1,2023,664267,659055,668842,Susceptible
S,25,1,1,2023,656876.5,651009,662994,Susceptible
S,26,1,1,2023,649407,642516,654729,Susceptible
S,27,1,1,2023,642193,634954,648602,Susceptible
S,28,1,1,2023,634769,628281,641045,Susceptible
S,29,1,1,2023,626982.5,619722,634219,Susceptible
S,30,1,1,2023,618390.5,611233,624786,Susceptible
S,31,1,1,2023,609295,602192,615246,Susceptible
S,32,1,1,2023,597473.5,590335,605421,Susceptible
S,33,1,1,2023,583322,574259,592490,Susceptible
S,34,1,1,2023,565626.5,555232,575474,Susceptible
S,35,1,1,2023,543517,531176,555139,Susceptible
S,36,1,1,2023,516968.5,502419,530693,Susceptible
S,37,1,1,2023,486365,470457,501536,Susceptible
S,38,1,1,2023,452492.5,434587,468928,Susceptible
S,39,1,1,2023,414923,395822,433081,Susceptible
S,40,1,1,2023,375378.5,355766,394256,Susceptible
S,41,1,1,2023,335331,314919,355179,Susceptible
S,42,1,1,2023,295232.5,275435,315110,Susceptible
S,43,1,1,2023,256204.5,237164,275257,Susceptible
S,44,1,1,2023,219017.5,200437,237264,Susceptible
S,45,1,1,2023,184499,168207,201718,Susceptible
S,46,1,1,2023,153045,138160,168236,Susceptible
S,47,1,1,2023,125060,112042,138800,Susceptible
S,48,1,1,2023,100773.5,89360,112910,Susceptible
S,49,1,1,2023,79756,70205,89970,Susceptible
S,50,1,1,2023,62316.5,54424,70856,Susceptible
S,51,1,1,2023,48018,41481,55097,Susceptible
S,52,1,1,2023,36383.5,31013,42190,Susceptible
S,53,1,1,2023,26922.5,22748,31738,Susceptible
S,54,1,1,2023,19735.5,16491,23352,Susceptible
S,55,1,1,2023,14299.5,11602,17139,Susceptible
S,56,1,1,2023,10027,8077,12245,Susceptible
S,57,1,1,2023,7048,5576,8731,Susceptible
S,58,1,1,2023,4795,3711,6121,Susceptible
S,59,1,1,2023,3208,2425,4120,Susceptible
S,60,1,1,2023,2086.5,1551,2721,Susceptible
S,61,1,1,2023,1333,913,1809,Susceptible
S,62,1,1,2023,832.5,535,1168,Susceptible
S,63,1,1,2023,478,317,716,Susceptible
S,64,1,1,2023,288,178,450,Susceptible
S,65,1,1,2023,154.5,94,260,Susceptible
S,66,1,1,2023,72,32,127,Susceptible
S,67,1,1,2023,28,5,56,Susceptible
S,68,1,1,2023,9,0,29,Susceptible
S,69,1,1,2023,1,0,9,Susceptible
S,70,1,1,2023,0,0,3,Susceptible
S,71,1,1,2023,0,0,2,Susceptible
S,72,1,1,2023,0,0,2,Susceptible
S,73,1,1,2023,0,0,1,Susceptible
S,74,1,1,2023,0,0,1,Susceptible
S,75,1,1,2023,0,0,0,Susceptible
S,76,1,1,2023,0,0,1,Susceptible
S,77,1,1,2023,0,0,0,Susceptible
S,78,1,1,2023,0,0,0,Susceptible
S,79,1,1,2023,0,0,0,Susceptible
S,80,1,1,2023,0,0,0,Susceptible
S,81,1,1,2023,0,0,1,Susceptible
S,82,1,1,2023,0,0,0,Susceptible
S,83,1,1,2023,0,0,1,Susceptible
S,84,1,1,2023,0,0,0,Susceptible
S,85,1,1,2023,0,0,0,Susceptible
S,86,1,1,2023,0,0,0,Susceptible
S,87,1,1,2023,0,0,0,Susceptible
S,88,1,1,2023,0,0,0,Susceptible
S,89,1,1,2023,0,0,0,Susceptible
S,90,1,1,2023,0,0,0,Susceptible
S,91,1,1,2023,0,0,0,Susceptible
S,92,1,1,2023,0,0,0,Susceptible
S,93,1,1,2023,0,0,0,Susceptible
S,94,1,1,2023,0,0,0,Susceptible
S,95,1,1,2023,0,0,0,Susceptible
S,96,1,1,2023,0,0,0,Susceptible
S,97,1,1,2023,0,0,0,Susceptible
S,98,1,1,2023,0,0,0,Susceptible
S,99,1,1,2023,0,0,0,Susceptible
S,100,1,1,2023,0,0,0,Susceptible
S,101,1,1,2023,0,0,0,Susceptible
S,1,2,1,2023,48521.5,39891,52066,Vaccine protected
S,2,2,1,2023,99798.5,95054,100788,Vaccine protected
S,3,2,1,2023,145964.5,144842,146831,Vaccine protected
S,4,2,1,2023,188762,187055,190452,Vaccine protected
S,5,2,1,2023,229045,226940,230866,Vaccine protected
S,6,2,1,2023,265461,262350,267483,Vaccine protected
S,7,2,1,2023,297052,293867,300329,Vaccine protected
S,8,2,1,2023,322761,318238,326841,Vaccine protected
S,9,2,1,2023,341631,334995,347578,Vaccine protected
S,10,2,1,2023,352754,344118,360980,Vaccine protected
S,11,2,1,2023,356485.5,345108,367242,Vaccine protected
S,12,2,1,2023,353946.5,340694,366237,Vaccine protected
S,13,2,1,2023,346026,332421,359469,Vaccine protected
S,14,2,1,2023,334869,320729,349339,Vaccine protected
S,15,2,1,2023,321112,306821,335705,Vaccine protected
S,16,2,1,2023,306073,292448,319911,Vaccine protected
S,17,2,1,2023,290484.5,277598,303787,Vaccine protected
S,18,2,1,2023,274570,262110,287498,Vaccine protected
S,19,2,1,2023,258990.5,247916,270995,Vaccine protected
S,20,2,1,2023,244296.5,233432,255370,Vaccine protected
S,21,2,1,2023,230506,221003,240989,Vaccine protected
S,22,2,1,2023,217955.5,209685,227086,Vaccine protected
S,23,2,1,2023,206758,199598,214679,Vaccine protected
S,24,2,1,2023,197159,190501,204033,Vaccine protected
S,25,2,1,2023,188469.5,182474,194719,Vaccine protected
S,26,2,1,2023,180291,175183,185779,Vaccine protected
S,27,2,1,2023,173131.5,168528,178404,Vaccine protected
S,28,2,1,2023,165740,160885,170779,Vaccine protected
S,29,2,1,2023,157971,152957,163185,Vaccine protected
S,30,2,1,2023,149950.5,144988,155044,Vaccine protected
S,31,2,1,2023,141846,136868,146420,Vaccine protected
S,32,2,1,2023,132745.5,127189,137807,Vaccine protected
S,33,2,1,2023,123603.5,118027,128872,Vaccine protected
S,34,2,1,2023,113744.5,108037,118862,Vaccine protected
S,35,2,1,2023,103473,97858,108751,Vaccine protected
S,36,2,1,2023,93281,88149,98741,Vaccine protected
S,37,2,1,2023,83256.5,78093,88348,Vaccine protected
S,38,2,1,2023,73504.5,68541,78474,Vaccine protected
S,39,2,1,2023,63997,59316,68754,Vaccine protected
S,40,2,1,2023,55393.5,50666,59985,Vaccine protected
S,41,2,1,2023,47088.5,43003,51391,Vaccine protected
S,42,2,1,2023,39570.5,36139,43575,Vaccine protected
S,43,2,1,2023,33056,29603,36563,Vaccine protected
S,44,2,1,2023,26919,23817,30154,Vaccine protected
S,45,2,1,2023,21730,18903,24527,Vaccine protected
S,46,2,1,2023,17296,15068,19675,Vaccine protected
S,47,2,1,2023,13638.5,11707,15835,Vaccine protected
S,48,2,1,2023,10694.5,9096,12357,Vaccine protected
S,49,2,1,2023,8260.5,7004,9575,Vaccine protected
S,50,2,1,2023,6246.5,5310,7289,Vaccine protected
S,51,2,1,2023,4672.5,3947,5617,Vaccine protected
S,52,2,1,2023,3488,2920,4150,Vaccine protected
S,53,2,1,2023,2602.5,2103,3110,Vaccine protected
S,54,2,1,2023,1876,1431,2290,Vaccine protected
S,55,2,1,2023,1372.5,1029,1667,Vaccine protected
S,56,2,1,2023,975.5,717,1295,Vaccine protected
S,57,2,1,2023,721.5,555,951,Vaccine protected
S,58,2,1,2023,520.5,388,685,Vaccine protected
S,59,2,1,2023,378,265,526,Vaccine protected
S,60,2,1,2023,290.5,176,363,Vaccine protected
S,61,2,1,2023,213,140,288,Vaccine protected
S,62,2,1,2023,142.5,109,215,Vaccine protected
S,63,2,1,2023,129.5,79,179,Vaccine protected
S,64,2,1,2023,91,53,150,Vaccine protected
S,65,2,1,2023,76,39,110,Vaccine protected
S,66,2,1,2023,63,25,91,Vaccine protected
S,67,2,1,2023,40.5,15,107,Vaccine protected
S,68,2,1,2023,43,15,71,Vaccine protected
S,69,2,1,2023,40,12,55,Vaccine protected
S,70,2,1,2023,34,13,50,Vaccine protected
S,71,2,1,2023,34,8,52,Vaccine protected
S,72,2,1,2023,28,7,43,Vaccine protected
S,73,2,1,2023,18.5,4,34,Vaccine protected
S,74,2,1,2023,14,3,33,Vaccine protected
S,75,2,1,2023,13,1,33,Vaccine protected
S,76,2,1,2023,12,4,28,Vaccine protected
S,77,2,1,2023,7,0,18,Vaccine protected
S,78,2,1,2023,7,0,14,Vaccine protected
S,79,2,1,2023,4,0,14,Vaccine protected
S,80,2,1,2023,2,0,12,Vaccine protected
S,81,2,1,2023,1,0,10,Vaccine protected
S,82,2,1,2023,2,0,10,Vaccine protected
S,83,2,1,2023,1,0,10,Vaccine protected
S,84,2,1,2023,0,0,11,Vaccine protected
S,85,2,1,2023,0,0,9,Vaccine protected
S,86,2,1,2023,0,0,5,Vaccine protected
S,87,2,1,2023,0,0,3,Vaccine protected
S,88,2,1,2023,1,0,4,Vaccine protected
S,89,2,1,2023,0,0,1,Vaccine protected
S,90,2,1,2023,0,0,1,Vaccine protected
S,91,2,1,2023,0,0,1,Vaccine protected
S,92,2,1,2023,0,0,2,Vaccine protected
S,93,2,1,2023,0,0,1,Vaccine protected
S,94,2,1,2023,0,0,2,Vaccine protected
S,95,2,1,2023,0,0,0,Vaccine protected
S,96,2,1,2023,0,0,0,Vaccine protected
S,97,2,1,2023,0,0,0,Vaccine protected
S,98,2,1,2023,0,0,0,Vaccine protected
S,99,2,1,2023,0,0,0,Vaccine protected
S,100,2,1,2023,0,0,0,Vaccine protected
S,101,2,1,2023,0,0,0,Vaccine protected
S,1,3,1,2023,865734.5,528267,1418178,Vaccine protected
S,2,3,1,2023,1212923,991617,1310084,Vaccine protected
S,3,3,1,2023,1225238,1160700,1236577,Vaccine protected
