state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,7873428,7872532,7876997
new_case,All,All,All,1951,60416,60102,60555
new_case,All,All,All,1952,89520,88821,90254
new_case,All,All,All,1953,218626,217450,222103
new_case,All,All,All,1954,450117,448941,460037
new_case,All,All,All,1955,312429,307633,318540
new_case,All,All,All,1956,357729,347106,372096
new_case,All,All,All,1957,376389,368947,398233
new_case,All,All,All,1958,366438,352512,371273
new_case,All,All,All,1959,376371,374807,384595
new_case,All,All,All,1960,398030,390695,410165
new_case,All,All,All,1961,407710,403302,413466
new_case,All,All,All,1962,419503,410691,427942
new_case,All,All,All,1963,431968,423448,447068
new_case,All,All,All,1964,448290,434545,454704
new_case,All,All,All,1965,455840,451182,464072
new_case,All,All,All,1966,467835,456607,474748
new_case,All,All,All,1967,479515,470272,487268
new_case,All,All,All,1968,486844,482010,494272
new_case,All,All,All,1969,512976,506494,520082
new_case,All,All,All,1970,515071,501582,525976
new_case,All,All,All,1971,545443,532746,554261
new_case,All,All,All,1972,524484,509606,533013
new_case,All,All,All,1973,533039,527936,549737
new_case,All,All,All,1974,527788,523327,532210
new_case,All,All,All,1975,527654,526260,536527
new_case,All,All,All,1976,523018,517254,537236
new_case,All,All,All,1977,537530,530231,550423
new_case,All,All,All,1978,554151,538849,564987
new_case,All,All,All,1979,470544,458961,479153
new_case,All,All,All,1980,55175,54595,55914
new_case,All,All,All,1981,31107,31107,31107
new_case,All,All,All,1982,20320,20320,20320
new_case,All,All,All,1983,18808,18808,18808
new_case,All,All,All,1984,16199,16199,16199
new_case,All,All,All,1985,14457,14457,14457
new_case,All,All,All,1986,8107,8107,8107
new_case,All,All,All,1987,10357,10357,10357
new_case,All,All,All,1988,4561,4561,4561
new_case,All,All,All,1989,1170,1170,1170
new_case,All,All,All,1990,1609,1609,1609
new_case,All,All,All,1991,792,792,792
new_case,All,All,All,1992,0,0,0
new_case,All,All,All,1993,0,0,0
new_case,All,All,All,1994,0,0,0
new_case,All,All,All,1995,0,0,0
new_case,All,All,All,1996,0,0,0
new_case,All,All,All,1997,0,0,0
new_case,All,All,All,1998,2205,2205,2205
new_case,All,All,All,1999,3609,3609,3609
new_case,All,All,All,2000,6532,6532,6532
new_case,All,All,All,2001,8762,8762,8762
new_case,All,All,All,2002,2486,2486,2486
new_case,All,All,All,2003,798,798,798
new_case,All,All,All,2004,466,466,466
new_case,All,All,All,2005,1296,1296,1296
new_case,All,All,All,2006,1990,1990,1990
new_case,All,All,All,2007,1141,1141,1141
new_case,All,All,All,2008,1599,1599,1599
new_case,All,All,All,2009,2861,2861,2861
new_case,All,All,All,2010,1989,1989,1989
new_case,All,All,All,2011,3013,3013,3013
new_case,All,All,All,2012,2787,2787,2787
new_case,All,All,All,2013,430,430,430
