state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,7983280,7981998,7984333
new_case,All,All,All,1951,377429,374687,380236
new_case,All,All,All,1952,1302886,1301450,1310894
new_case,All,All,All,1953,927870,916576,934179
new_case,All,All,All,1954,1074173,1062651,1082243
new_case,All,All,All,1955,1069076,1067474,1076720
new_case,All,All,All,1956,1069584,1063489,1072312
new_case,All,All,All,1957,1134467,1130443,1143896
new_case,All,All,All,1958,1102319,1100668,1119476
new_case,All,All,All,1959,1159416,1143478,1167469
new_case,All,All,All,1960,1175102,1170430,1186589
new_case,All,All,All,1961,1209564,1205230,1211465
new_case,All,All,All,1962,1241841,1228319,1242928
new_case,All,All,All,1963,1272735,1268923,1277288
new_case,All,All,All,1964,1317211,1311130,1321683
new_case,All,All,All,1965,1334329,1329454,1346913
new_case,All,All,All,1966,1368940,1359804,1371046
new_case,All,All,All,1967,1395674,1382415,1404349
new_case,All,All,All,1968,1443120,1429191,1447772
new_case,All,All,All,1969,1484273,1452860,1493791
new_case,All,All,All,1970,1511854,1503170,1524467
new_case,All,All,All,1971,1580740,1568682,1598874
new_case,All,All,All,1972,1571835,1569719,1597987
new_case,All,All,All,1973,1620288,1609778,1644715
new_case,All,All,All,1974,1642410,1631466,1657263
new_case,All,All,All,1975,1664020,1656152,1678367
new_case,All,All,All,1976,1687770,1680150,1698133
new_case,All,All,All,1977,1720834,1709594,1733885
new_case,All,All,All,1978,1787702,1770821,1801031
new_case,All,All,All,1979,1547514,1535496,1560890
new_case,All,All,All,1980,95241,94192,96963
new_case,All,All,All,1981,15388,15388,15388
new_case,All,All,All,1982,8528,8528,8528
new_case,All,All,All,1983,10209,10209,10209
new_case,All,All,All,1984,6175,6175,6175
new_case,All,All,All,1985,8531,8531,8531
new_case,All,All,All,1986,5872,5872,5872
new_case,All,All,All,1987,6073,6073,6073
new_case,All,All,All,1988,4587,4587,4587
new_case,All,All,All,1989,1494,1494,1494
new_case,All,All,All,1990,411,411,411
new_case,All,All,All,1991,541,541,541
new_case,All,All,All,1992,0,0,0
new_case,All,All,All,1993,0,0,0
new_case,All,All,All,1994,0,0,0
new_case,All,All,All,1995,0,0,0
new_case,All,All,All,1996,0,0,0
new_case,All,All,All,1997,0,0,0
new_case,All,All,All,1998,896,896,896
new_case,All,All,All,1999,1582,1582,1582
new_case,All,All,All,2000,896,896,896
new_case,All,All,All,2001,0,0,0
new_case,All,All,All,2002,1439,1439,1439
new_case,All,All,All,2003,0,0,0
new_case,All,All,All,2004,558,558,558
new_case,All,All,All,2005,2173,2173,2173
new_case,All,All,All,2006,2515,2515,2515
new_case,All,All,All,2007,5904,5904,5904
new_case,All,All,All,2008,2448,2448,2448
new_case,All,All,All,2009,0,0,0
new_case,All,All,All,2010,0,0,0
new_case,All,All,All,2011,0,0,0
new_case,All,All,All,2012,1497,1497,1497
new_case,All,All,All,2013,371,371,371
new_case,All,All,All,2014,0,0,0
new_case,All,All,All,2015,432,432,432
new_case,All,All,All,2016,0,0,0
new_case,All,All,All,2017,1,1,1
new_case,All,All,All,2018,488,488,488
new_case,All,All,All,2019,0,0,0
new_case,All,All,All,2020,0,0,0
new_case,All,All,All,2021,108,108,108
new_case,All,All,All,2022,331,331,331
new_case,All,All,All,2023,1531,1531,1531
S,1,1,1,2023,67652.5,47881,97187
S,2,1,1,2023,126345,112910,132924
S,3,1,1,2023,172238.5,169042,173721
S,4,1,1,2023,218930.5,213426,222548
S,5,1,1,2023,268523.5,263099,273610
S,6,1,1,2023,319999.5,314433,325421
S,7,1,1,2023,371970.5,365590,378078
S,8,1,1,2023,422925,415830,430153
S,9,1,1,2023,473026,465887,479862
S,10,1,1,2023,522343,517201,528196
S,11,1,1,2023,570654.5,564759,575488
S,12,1,1,2023,616046,610141,620443
S,13,1,1,2023,658834.5,652292,663775
S,14,1,1,2023,698415.5,691396,704256
S,15,1,1,2023,733423,723678,737462
S,16,1,1,2023,761163,751283,767249
S,17,1,1,2023,783591.5,772130,790986
S,18,1,1,2023,802463,789339,810263
S,19,1,1,2023,814855.5,802797,825908
S,20,1,1,2023,822409.5,810745,832652
