state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,67652.5,47881,97187,Susceptible
S,2,1,1,2023,126345,112910,132924,Susceptible
S,3,1,1,2023,172238.5,169042,173721,Susceptible
S,4,1,1,2023,218930.5,213426,222548,Susceptible
S,5,1,1,2023,268523.5,263099,273610,Susceptible
S,6,1,1,2023,319999.5,314433,325421,Susceptible
S,7,1,1,2023,371970.5,365590,378078,Susceptible
S,8,1,1,2023,422925,415830,430153,Susceptible
S,9,1,1,2023,473026,465887,479862,Susceptible
S,10,1,1,2023,522343,517201,528196,Susceptible
S,11,1,1,2023,570654.5,564759,575488,Susceptible
S,12,1,1,2023,616046,610141,620443,Susceptible
S,13,1,1,2023,658834.5,652292,663775,Susceptible
S,14,1,1,2023,698415.5,691396,704256,Susceptible
S,15,1,1,2023,733423,723678,737462,Susceptible
S,16,1,1,2023,761163,751283,767249,Susceptible
S,17,1,1,2023,783591.5,772130,790986,Susceptible
S,18,1,1,2023,802463,789339,810263,Susceptible
S,19,1,1,2023,814855.5,802797,825908,Susceptible
S,20,1,1,2023,822409.5,810745,832652,Susceptible
S,21,1,1,2023,825448.5,814223,835766,Susceptible
S,22,1,1,2023,824094,812664,836067,Susceptible
S,23,1,1,2023,819231,805393,829655,Susceptible
S,24,1,1,2023,810186,797587,822736,Susceptible
S,25,1,1,2023,798855,784837,812014,Susceptible
S,26,1,1,2023,784908,768528,799369,Susceptible
S,27,1,1,2023,768224.5,751214,782959,Susceptible
S,28,1,1,2023,749748,732131,764890,Susceptible
S,29,1,1,2023,728937.5,711679,744626,Susceptible
S,30,1,1,2023,707718.5,690555,723074,Susceptible
S,31,1,1,2023,685179.5,667157,700976,Susceptible
S,32,1,1,2023,661301,644702,678937,Susceptible
S,33,1,1,2023,636376.5,620298,654081,Susceptible
S,34,1,1,2023,610975,594100,627870,Susceptible
S,35,1,1,2023,583680.5,566271,600762,Susceptible
S,36,1,1,2023,555618.5,538338,572869,Susceptible
S,37,1,1,2023,528072,511598,545166,Susceptible
S,38,1,1,2023,500551,484473,517234,Susceptible
S,39,1,1,2023,472783.5,458444,488040,Susceptible
S,40,1,1,2023,447079.5,433704,460939,Susceptible
S,41,1,1,2023,423035.5,410035,435468,Susceptible
S,42,1,1,2023,400154.5,387692,413052,Susceptible
S,43,1,1,2023,379628,367785,391370,Susceptible
S,44,1,1,2023,360380.5,349085,371786,Susceptible
S,45,1,1,2023,342853,333412,352713,Susceptible
S,46,1,1,2023,327107.5,318055,335946,Susceptible
S,47,1,1,2023,313037.5,304322,321086,Susceptible
S,48,1,1,2023,300225,291886,307904,Susceptible
S,49,1,1,2023,288511.5,281628,297204,Susceptible
S,50,1,1,2023,278014,271491,284950,Susceptible
S,51,1,1,2023,268460,262238,274811,Susceptible
S,52,1,1,2023,260229,254372,265589,Susceptible
S,53,1,1,2023,251673.5,245240,257807,Susceptible
S,54,1,1,2023,242573.5,236401,250016,Susceptible
S,55,1,1,2023,234146,228730,240610,Susceptible
S,56,1,1,2023,225156.5,219512,231442,Susceptible
S,57,1,1,2023,216000.5,210056,222592,Susceptible
S,58,1,1,2023,207028.5,200915,212615,Susceptible
S,59,1,1,2023,197770.5,192334,203204,Susceptible
S,60,1,1,2023,188001,182781,193408,Susceptible
S,61,1,1,2023,178602.5,173406,183715,Susceptible
S,62,1,1,2023,169192.5,164261,174053,Susceptible
S,63,1,1,2023,159886.5,154661,164754,Susceptible
S,64,1,1,2023,150574.5,145859,155572,Susceptible
S,65,1,1,2023,141775.5,137099,146644,Susceptible
S,66,1,1,2023,132980,128353,138209,Susceptible
S,67,1,1,2023,124238.5,119056,128817,Susceptible
S,68,1,1,2023,116076,111232,120887,Susceptible
S,69,1,1,2023,107853.5,103342,111824,Susceptible
S,70,1,1,2023,100039.5,96010,104144,Susceptible
S,71,1,1,2023,92411,88597,96246,Susceptible
S,72,1,1,2023,85304.5,81294,88906,Susceptible
S,73,1,1,2023,77997.5,74060,81962,Susceptible
S,74,1,1,2023,70748.5,67191,74413,Susceptible
S,75,1,1,2023,64071,60759,67379,Susceptible
S,76,1,1,2023,57623.5,54373,60997,Susceptible
S,77,1,1,2023,51565.5,48595,54475,Susceptible
S,78,1,1,2023,45734,42764,48531,Susceptible
S,79,1,1,2023,40096,37299,42934,Susceptible
S,80,1,1,2023,34682.5,32243,37247,Susceptible
S,81,1,1,2023,29952.5,27638,32297,Susceptible
S,82,1,1,2023,25659.5,23427,27796,Susceptible
S,83,1,1,2023,21609,19553,23620,Susceptible
S,84,1,1,2023,17992.5,16208,19907,Susceptible
S,85,1,1,2023,14858,13254,16606,Susceptible
S,86,1,1,2023,12047.5,10670,13569,Susceptible
S,87,1,1,2023,9652.5,8478,10909,Susceptible
S,88,1,1,2023,7596.5,6562,8702,Susceptible
S,89,1,1,2023,5904,5038,6831,Susceptible
S,90,1,1,2023,4467,3743,5237,Susceptible
S,91,1,1,2023,3317.5,2755,3956,Susceptible
S,92,1,1,2023,2400.5,1875,2881,Susceptible
S,93,1,1,2023,1699,1351,2083,Susceptible
S,94,1,1,2023,1205,981,1504,Susceptible
S,95,1,1,2023,857.5,671,1075,Susceptible
S,96,1,1,2023,564.5,420,733,Susceptible
S,97,1,1,2023,372,285,506,Susceptible
S,98,1,1,2023,242,173,327,Susceptible
S,99,1,1,2023,166,122,220,Susceptible
S,100,1,1,2023,103.5,66,147,Susceptible
S,101,1,1,2023,139,89,193,Susceptible
S,1,2,1,2023,223203.5,176214,245875,Vaccine protected
S,2,2,1,2023,425537.5,395969,432328,Vaccine protected
S,3,2,1,2023,561990,553616,566846,Vaccine protected
S,4,2,1,2023,652614,643893,658586,Vaccine protected
S,5,2,1,2023,707179.5,694531,717084,Vaccine protected
S,6,2,1,2023,735407,722630,746335,Vaccine protected
