state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,4022114,4020730,4022979
new_case,All,All,All,1951,46308,46234,46459
new_case,All,All,All,1952,48754,48504,48909
new_case,All,All,All,1953,51935,51631,52167
new_case,All,All,All,1954,56073,55887,56422
new_case,All,All,All,1955,61948,61786,62129
new_case,All,All,All,1956,69630,68913,69849
new_case,All,All,All,1957,79479,79267,79887
new_case,All,All,All,1958,89417,88480,91207
new_case,All,All,All,1959,103034,100207,104890
new_case,All,All,All,1960,114870,113108,116831
new_case,All,All,All,1961,127443,122955,129625
new_case,All,All,All,1962,136943,135017,138583
new_case,All,All,All,1963,142560,140934,146992
new_case,All,All,All,1964,149333,147637,150513
new_case,All,All,All,1965,147412,146418,153495
new_case,All,All,All,1966,155265,150212,156466
new_case,All,All,All,1967,156485,154052,158451
new_case,All,All,All,1968,158451,153697,159758
new_case,All,All,All,1969,159995,158729,161268
new_case,All,All,All,1970,165404,158314,166321
new_case,All,All,All,1971,171516,168360,174232
new_case,All,All,All,1972,168550,168315,170934
new_case,All,All,All,1973,176751,171256,177119
new_case,All,All,All,1974,179212,178137,180622
new_case,All,All,All,1975,185396,177819,187424
new_case,All,All,All,1976,188400,184125,189787
new_case,All,All,All,1977,193810,187111,195264
new_case,All,All,All,1978,204669,200192,208890
new_case,All,All,All,1979,209137,203035,214198
new_case,All,All,All,1980,11477,11171,11614
new_case,All,All,All,1981,759,759,759
new_case,All,All,All,1982,751,751,751
new_case,All,All,All,1983,737,737,737
new_case,All,All,All,1984,383,383,383
new_case,All,All,All,1985,51,51,51
new_case,All,All,All,1986,42,42,42
new_case,All,All,All,1987,28,28,28
new_case,All,All,All,1988,15,15,15
new_case,All,All,All,1989,13,13,13
new_case,All,All,All,1990,0,0,0
new_case,All,All,All,1991,0,0,0
new_case,All,All,All,1992,0,0,0
new_case,All,All,All,1993,0,0,0
new_case,All,All,All,1994,0,0,0
new_case,All,All,All,1995,0,0,0
new_case,All,All,All,1996,0,0,0
new_case,All,All,All,1997,0,0,0
new_case,All,All,All,1998,0,0,0
new_case,All,All,All,1999,0,0,0
new_case,All,All,All,2000,0,0,0
new_case,All,All,All,2001,0,0,0
new_case,All,All,All,2002,0,0,0
new_case,All,All,All,2003,0,0,0
new_case,All,All,All,2004,0,0,0
new_case,All,All,All,2005,0,0,0
new_case,All,All,All,2006,0,0,0
new_case,All,All,All,2007,0,0,0
new_case,All,All,All,2008,0,0,0
new_case,All,All,All,2009,0,0,0
new_case,All,All,All,2010,0,0,0
new_case,All,All,All,2011,0,0,0
new_case,All,All,All,2012,0,0,0
new_case,All,All,All,2013,0,0,0
new_case,All,All,All,2014,0,0,0
new_case,All,All,All,2015,0,0,0
new_case,All,All,All,2016,0,0,0
new_case,All,All,All,2017,0,0,0
new_case,All,All,All,2018,3,3,3
new_case,All,All,All,2019,0,0,0
new_case,All,All,All,2020,10,10,10
new_case,All,All,All,2021,147,147,147
new_case,All,All,All,2022,34,34,34
new_case,All,All,All,2023,0,0,0
S,1,1,1,2023,9085,5882,14079
S,2,1,1,2023,23680.5,18016,30155
S,3,1,1,2023,35758.5,31000,39670
S,4,1,1,2023,43648.5,40926,45460
S,5,1,1,2023,49465.5,48205,50586
S,6,1,1,2023,54629,53924,55045
S,7,1,1,2023,59152,58619,59772
S,8,1,1,2023,63633,62909,64095
S,9,1,1,2023,67931,66925,68889
S,10,1,1,2023,71565.5,70032,72952
S,11,1,1,2023,74462,72580,76090
S,12,1,1,2023,76402.5,74209,78902
S,13,1,1,2023,78075,75493,80897
S,14,1,1,2023,79789,77231,82243
S,15,1,1,2023,81618,79508,83841
S,16,1,1,2023,84924,82793,86455
S,17,1,1,2023,89417,88049,90354
S,18,1,1,2023,95625,94162,96762
S,19,1,1,2023,102615,100953,103743
S,20,1,1,2023,110647.5,108960,113140
S,21,1,1,2023,119234,117348,122161
S,22,1,1,2023,127897,125245,130002
S,23,1,1,2023,136027,134019,138287
S,24,1,1,2023,143185.5,141233,145301
S,25,1,1,2023,149166.5,146969,150448
S,26,1,1,2023,153348,152070,155207
S,27,1,1,2023,156224,155565,158905
S,28,1,1,2023,158861,157277,161355
S,29,1,1,2023,161074.5,159419,163379
S,30,1,1,2023,162398.5,161181,164320
S,31,1,1,2023,163364,162055,164887
S,32,1,1,2023,164309,162897,166079
S,33,1,1,2023,165575.5,163752,166880
S,34,1,1,2023,167164,166009,168203
S,35,1,1,2023,168677.5,168057,170124
S,36,1,1,2023,170752.5,169669,172252
S,37,1,1,2023,172235.5,171033,174683
S,38,1,1,2023,173327,172286,175334
S,39,1,1,2023,173843.5,172438,176117
S,40,1,1,2023,173655,171787,175184
S,41,1,1,2023,171839,169542,174300
S,42,1,1,2023,169155.5,166978,171530
S,43,1,1,2023,165287,162955,168432
S,44,1,1,2023,160172,156452,163230
S,45,1,1,2023,153922,149172,157329
S,46,1,1,2023,146844.5,142692,150820
S,47,1,1,2023,138771,134307,143348
S,48,1,1,2023,130605.5,125547,135368
S,49,1,1,2023,121254,116250,126172
S,50,1,1,2023,111707.5,106969,117269
S,51,1,1,2023,102408,97653,107256
S,52,1,1,2023,93057.5,88182,97832
S,53,1,1,2023,83613.5,79354,88382
S,54,1,1,2023,75433.5,70962,79669
S,55,1,1,2023,67498.5,63559,71868
S,56,1,1,2023,59813.5,55957,63515
S,57,1,1,2023,52755,48843,56291
S,58,1,1,2023,45931.5,42655,49392
S,59,1,1,2023,39994,36980,43301
S,60,1,1,2023,34592.5,31894,37532
S,61,1,1,2023,29755.5,27511,32152
S,62,1,1,2023,25654.5,23477,27731
S,63,1,1,2023,21929,19816,23784
S,64,1,1,2023,18743.5,16966,20534
S,65,1,1,2023,15866,14337,17568
S,66,1,1,2023,13418.5,11971,14866
S,67,1,1,2023,11053.5,9816,12568
S,68,1,1,2023,9148.5,8143,10436
S,69,1,1,2023,7537,6669,8621
S,70,1,1,2023,6164.5,5309,6992
S,71,1,1,2023,4924,4099,5729
S,72,1,1,2023,3932.5,3376,4525
S,73,1,1,2023,3110.5,2631,3636
S,74,1,1,2023,2450.5,2024,2929
S,75,1,1,2023,1877,1546,2296
S,76,1,1,2023,1403,1141,1786
S,77,1,1,2023,1055,823,1395
S,78,1,1,2023,785,603,982
S,79,1,1,2023,573.5,431,739
S,80,1,1,2023,400.5,297,534
S,81,1,1,2023,289,191,371
S,82,1,1,2023,198,124,282
S,83,1,1,2023,131,59,206
S,84,1,1,2023,78,34,128
S,85,1,1,2023,47.5,22,85
S,86,1,1,2023,26,11,41
S,87,1,1,2023,12,6,37
S,88,1,1,2023,9,1,22
S,89,1,1,2023,4,1,16
S,90,1,1,2023,2,0,8
S,91,1,1,2023,0,0,5
S,92,1,1,2023,0,0,1
S,93,1,1,2023,0,0,1
S,94,1,1,2023,0,0,1
S,95,1,1,2023,0,0,0
S,96,1,1,2023,0,0,0
S,97,1,1,2023,0,0,0
S,98,1,1,2023,0,0,0
S,99,1,1,2023,0,0,0
S,100,1,1,2023,0,0,0
S,101,1,1,2023,0,0,0
S,1,2,1,2023,59610,48445,64360
S,2,2,1,2023,120929.5,114216,122252
S,3,2,1,2023,172484.5,170855,174029
S,4,2,1,2023,218220.5,216635,219163
S,5,2,1,2023,258823,257015,259487
S,6,2,1,2023,294116,291709,295182
S,7,2,1,2023,322742.5,320284,325486
S,8,2,1,2023,346150.5,343857,351351
S,9,2,1,2023,365309,362460,369823
S,10,2,1,2023,379834,375550,384013
S,11,2,1,2023,389927,385167,394525
S,12,2,1,2023,395930,390781,401265
S,13,2,1,2023,398795,393319,405493
S,14,2,1,2023,398499,392483,405452
S,15,2,1,2023,395589.5,388582,401791
S,16,2,1,2023,389692,382284,397159
S,17,2,1,2023,381003,372454,389297
S,18,2,1,2023,369535.5,359614,378395
S,19,2,1,2023,355334,344870,364887
S,20,2,1,2023,339425,327910,349577
S,21,2,1,2023,322317,312952,332959
S,22,2,1,2023,305269,296489,314855
S,23,2,1,2023,288387.5,279787,297493
S,24,2,1,2023,272236.5,263958,280408
S,25,2,1,2023,256515,248975,264102
S,26,2,1,2023,241677,235079,248734
S,27,2,1,2023,228658,221800,235161
S,28,2,1,2023,216402.5,209892,222601
S,29,2,1,2023,204424,198478,210130
S,30,2,1,2023,192574,186235,198393
S,31,2,1,2023,180886,174612,186680
S,32,2,1,2023,169235.5,163262,174982
S,33,2,1,2023,157466.5,151191,162667
S,34,2,1,2023,145568.5,138918,151132
S,35,2,1,2023,133273.5,126779,138745
S,36,2,1,2023,120765.5,115034,126206
S,37,2,1,2023,108300,102137,113635
S,38,2,1,2023,95788,89899,101399
S,39,2,1,2023,83501,77715,89161
S,40,2,1,2023,72145.5,66850,77942
S,41,2,1,2023,61705.5,56683,66839
S,42,2,1,2023,51788.5,47559,56372
S,43,2,1,2023,42990,39204,47130
S,44,2,1,2023,35234.5,31802,38777
S,45,2,1,2023,28523,25335,31690
S,46,2,1,2023,22727.5,19977,25619
S,47,2,1,2023,17891,15658,20331
S,48,2,1,2023,13974.5,12048,15864
S,49,2,1,2023,10759,9087,12392
S,50,2,1,2023,8067,6780,9510
S,51,2,1,2023,5979,5001,7201
S,52,2,1,2023,4380,3573,5345
S,53,2,1,2023,3184,2610,3897
S,54,2,1,2023,2270,1789,2752
S,55,2,1,2023,1564.5,1248,1941
S,56,2,1,2023,1131.5,883,1397
S,57,2,1,2023,792.5,528,1004
S,58,2,1,2023,530.5,337,711
S,59,2,1,2023,340,231,462
S,60,2,1,2023,222,160,326
S,61,2,1,2023,138.5,98,195
S,62,2,1,2023,83,53,121
S,63,2,1,2023,51,29,77
S,64,2,1,2023,35,19,66
S,65,2,1,2023,21,9,42
S,66,2,1,2023,12,3,23
S,67,2,1,2023,5,0,17
S,68,2,1,2023,2,0,9
S,69,2,1,2023,0,0,2
S,70,2,1,2023,0,0,2
S,71,2,1,2023,0,0,0
S,72,2,1,2023,0,0,0
S,73,2,1,2023,0,0,0
S,74,2,1,2023,0,0,0
S,75,2,1,2023,0,0,0
S,76,2,1,2023,0,0,0
S,77,2,1,2023,0,0,0
S,78,2,1,2023,0,0,0
S,79,2,1,2023,0,0,0
S,80,2,1,2023,0,0,0
S,81,2,1,2023,0,0,0
S,82,2,1,2023,0,0,0
S,83,2,1,2023,0,0,0
S,84,2,1,2023,0,0,0
S,85,2,1,2023,0,0,0
S,86,2,1,2023,0,0,0
S,87,2,1,2023,0,0,0
S,88,2,1,2023,0,0,0
S,89,2,1,2023,0,0,0
S,90,2,1,2023,0,0,0
S,91,2,1,2023,0,0,0
S,92,2,1,2023,0,0,0
S,93,2,1,2023,0,0,0
S,94,2,1,2023,0,0,0
S,95,2,1,2023,0,0,0
S,96,2,1,2023,0,0,0
S,97,2,1,2023,0,0,0
S,98,2,1,2023,0,0,0
S,99,2,1,2023,0,0,0
S,100,2,1,2023,0,0,0
S,101,2,1,2023,0,0,0
S,1,3,1,2023,417146,246329,699714
S,2,3,1,2023,564951,451593,617260
S,3,3,1,2023,546873.5,511004,553622
S,4,3,1,2023,496538.5,491250,500973
S,5,3,1,2023,450387,449090,452865
S,6,3,1,2023,408504,406618,411568
S,7,3,1,2023,370071.5,369113,373056
S,8,3,1,2023,334580,332490,337785
S,9,3,1,2023,301495,299365,304305
S,10,3,1,2023,270583,268020,274367
S,11,3,1,2023,242083,239288,245942
S,12,3,1,2023,216601,213007,219750
S,13,3,1,2023,192959,190186,195717
S,14,3,1,2023,171495,169261,174513
S,15,3,1,2023,152046.5,149323,155039
S,16,3,1,2023,134800,132625,137463
S,17,3,1,2023,118854,116673,121369
S,18,3,1,2023,104420,102493,106945
S,19,3,1,2023,91481.5,89513,93236
S,20,3,1,2023,79975.5,77542,81878
S,21,3,1,2023,69255.5,67458,71266
S,22,3,1,2023,60025,58272,62037
S,23,3,1,2023,51833.5,50318,53463
S,24,3,1,2023,44654.5,43117,46248
S,25,3,1,2023,38330.5,37112,39866
S,26,3,1,2023,33091.5,31741,34383
S,27,3,1,2023,28551.5,27305,29549
S,28,3,1,2023,24504.5,23425,25305
S,29,3,1,2023,21318,20564,21984
S,30,3,1,2023,18438.5,17816,19008
S,31,3,1,2023,16091.5,15310,16552
S,32,3,1,2023,13945,13183,14325
S,33,3,1,2023,12076,11444,12450
S,34,3,1,2023,10322.5,9878,10851
S,35,3,1,2023,8906,8562,9382
S,36,3,1,2023,7622,7280,7966
S,37,3,1,2023,6470,6199,6849
S,38,3,1,2023,5473,5130,5921
S,39,3,1,2023,4549,4227,4832
S,40,3,1,2023,3787,3515,4102
S,41,3,1,2023,3087,2854,3409
S,42,3,1,2023,2513.5,2310,2769
S,43,3,1,2023,2045,1864,2252
S,44,3,1,2023,1617,1440,1818
S,45,3,1,2023,1237,1056,1420
S,46,3,1,2023,950.5,810,1038
S,47,3,1,2023,717.5,558,825
S,48,3,1,2023,536,437,647
S,49,3,1,2023,391,327,474
S,50,3,1,2023,298.5,254,362
S,51,3,1,2023,232,180,267
S,52,3,1,2023,156,109,190
S,53,3,1,2023,106,52,150
S,54,3,1,2023,71,44,100
S,55,3,1,2023,53,35,79
S,56,3,1,2023,39,27,59
S,57,3,1,2023,26.5,14,40
S,58,3,1,2023,19.5,11,35
S,59,3,1,2023,11,5,26
S,60,3,1,2023,6,2,23
S,61,3,1,2023,3,0,9
S,62,3,1,2023,2,0,7
S,63,3,1,2023,1,0,7
S,64,3,1,2023,0,0,4
S,65,3,1,2023,0,0,9
S,66,3,1,2023,0,0,2
S,67,3,1,2023,0,0,1
