state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,9302,6050,14383,Susceptible
S,2,1,1,2023,24383,18686,31040,Susceptible
S,3,1,1,2023,37003,31992,41418,Susceptible
S,4,1,1,2023,45346.5,42225,47383,Susceptible
S,5,1,1,2023,51177.5,49720,52349,Susceptible
S,6,1,1,2023,56375,55469,57628,Susceptible
S,7,1,1,2023,61325,60716,62353,Susceptible
S,8,1,1,2023,66057.5,64860,67628,Susceptible
S,9,1,1,2023,70500.5,68927,72447,Susceptible
S,10,1,1,2023,74122.5,72360,76129,Susceptible
S,11,1,1,2023,76953.5,75066,79068,Susceptible
S,12,1,1,2023,79164.5,76902,81344,Susceptible
S,13,1,1,2023,80764.5,78330,82973,Susceptible
S,14,1,1,2023,82509,79808,84701,Susceptible
S,15,1,1,2023,84726,82209,86821,Susceptible
S,16,1,1,2023,87859,85996,89674,Susceptible
S,17,1,1,2023,92783,91647,93965,Susceptible
S,18,1,1,2023,99083,97375,100214,Susceptible
S,19,1,1,2023,106527,104622,108286,Susceptible
S,20,1,1,2023,114934.5,113038,117095,Susceptible
S,21,1,1,2023,123817,121705,126870,Susceptible
S,22,1,1,2023,132925,130635,135873,Susceptible
S,23,1,1,2023,141204,139109,144213,Susceptible
S,24,1,1,2023,148232.5,145955,151353,Susceptible
S,25,1,1,2023,154014,151298,157534,Susceptible
S,26,1,1,2023,158938,156662,162923,Susceptible
S,27,1,1,2023,162548.5,160253,166032,Susceptible
S,28,1,1,2023,163893.5,161553,167940,Susceptible
S,29,1,1,2023,166031,163638,170280,Susceptible
S,30,1,1,2023,166778,164875,171499,Susceptible
S,31,1,1,2023,167696,166102,172817,Susceptible
S,32,1,1,2023,169127.5,167404,173990,Susceptible
S,33,1,1,2023,170298.5,168359,175061,Susceptible
S,34,1,1,2023,171505.5,169284,176464,Susceptible
S,35,1,1,2023,172993,171600,176738,Susceptible
S,36,1,1,2023,174206,173286,178341,Susceptible
S,37,1,1,2023,175165,173968,178879,Susceptible
S,38,1,1,2023,175883.5,174276,178509,Susceptible
S,39,1,1,2023,175427,173734,178642,Susceptible
S,40,1,1,2023,174470.5,171927,177316,Susceptible
S,41,1,1,2023,171983.5,168626,174972,Susceptible
S,42,1,1,2023,168124,164992,172121,Susceptible
S,43,1,1,2023,163227,159749,168134,Susceptible
S,44,1,1,2023,157371.5,153763,161546,Susceptible
S,45,1,1,2023,149817,145855,154792,Susceptible
S,46,1,1,2023,141783.5,136921,146263,Susceptible
S,47,1,1,2023,132589.5,126963,137677,Susceptible
S,48,1,1,2023,123143.5,117848,128502,Susceptible
S,49,1,1,2023,113519.5,108487,118658,Susceptible
S,50,1,1,2023,103727,98241,108699,Susceptible
S,51,1,1,2023,93953.5,88565,99036,Susceptible
S,52,1,1,2023,83987,78959,89484,Susceptible
S,53,1,1,2023,74920,69905,79740,Susceptible
S,54,1,1,2023,65816.5,61138,70488,Susceptible
S,55,1,1,2023,57661,53392,61964,Susceptible
S,56,1,1,2023,50269,46337,54190,Susceptible
S,57,1,1,2023,43409,39762,46998,Susceptible
S,58,1,1,2023,37206,34097,40468,Susceptible
S,59,1,1,2023,31597.5,28702,34562,Susceptible
S,60,1,1,2023,26682,24157,29549,Susceptible
S,61,1,1,2023,22376,20254,24631,Susceptible
S,62,1,1,2023,18639.5,16819,20583,Susceptible
S,63,1,1,2023,15409.5,13850,17105,Susceptible
S,64,1,1,2023,12790,11282,14379,Susceptible
S,65,1,1,2023,10401,9108,11865,Susceptible
S,66,1,1,2023,8376,7261,9747,Susceptible
S,67,1,1,2023,6775,5834,7891,Susceptible
S,68,1,1,2023,5413.5,4667,6411,Susceptible
S,69,1,1,2023,4305,3697,5041,Susceptible
S,70,1,1,2023,3377,2871,3875,Susceptible
S,71,1,1,2023,2622.5,2232,3131,Susceptible
S,72,1,1,2023,2022.5,1674,2404,Susceptible
S,73,1,1,2023,1585.5,1194,1882,Susceptible
