state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,4276030,4275089,4278464
new_case,All,All,All,1951,55291,55049,55363
new_case,All,All,All,1952,71605,70905,71815
new_case,All,All,All,1953,110400,108812,111133
new_case,All,All,All,1954,173989,171470,174990
new_case,All,All,All,1955,185403,181628,187588
new_case,All,All,All,1956,179212,177217,180623
new_case,All,All,All,1957,187135,185941,188408
new_case,All,All,All,1958,190031,187816,193138
new_case,All,All,All,1959,190262,187019,192142
new_case,All,All,All,1960,196627,194610,203244
new_case,All,All,All,1961,205584,202543,207319
new_case,All,All,All,1962,207824,204011,212973
new_case,All,All,All,1963,209074,206150,213963
new_case,All,All,All,1964,222309,219606,224418
new_case,All,All,All,1965,220741,218914,225222
new_case,All,All,All,1966,227026,225274,228863
new_case,All,All,All,1967,236332,228269,239925
new_case,All,All,All,1968,240152,236170,242084
new_case,All,All,All,1969,243173,241869,245673
new_case,All,All,All,1970,249204,246361,255239
new_case,All,All,All,1971,254584,250777,258819
new_case,All,All,All,1972,241920,237037,245170
new_case,All,All,All,1973,234729,231330,244006
new_case,All,All,All,1974,228612,228210,232347
new_case,All,All,All,1975,231575,224771,236205
new_case,All,All,All,1976,234600,229025,236731
new_case,All,All,All,1977,246402,242147,250169
new_case,All,All,All,1978,259481,255035,268394
new_case,All,All,All,1979,271003,264043,274227
new_case,All,All,All,1980,30593,30372,31485
new_case,All,All,All,1981,17327,17327,17327
new_case,All,All,All,1982,20940,20940,20940
new_case,All,All,All,1983,21395,21395,21395
new_case,All,All,All,1984,30094,30094,30094
new_case,All,All,All,1985,17461,17461,17461
new_case,All,All,All,1986,11722,11722,11722
new_case,All,All,All,1987,28282,28282,28282
new_case,All,All,All,1988,7782,7782,7782
new_case,All,All,All,1989,7474,7474,7474
new_case,All,All,All,1990,9804,9804,9804
new_case,All,All,All,1991,6590,6590,6590
new_case,All,All,All,1992,21751,21751,21751
new_case,All,All,All,1993,14445,14445,14445
new_case,All,All,All,1994,2925,2925,2925
new_case,All,All,All,1995,5669,5669,5669
new_case,All,All,All,1996,18534,18534,18534
new_case,All,All,All,1997,1438,1438,1438
new_case,All,All,All,1998,0,0,0
new_case,All,All,All,1999,5516,5516,5516
new_case,All,All,All,2000,6074,6074,6074
new_case,All,All,All,2001,4174,4174,4174
new_case,All,All,All,2002,1744,1744,1744
new_case,All,All,All,2003,2946,2946,2946
new_case,All,All,All,2004,77,77,77
new_case,All,All,All,2005,253,253,253
new_case,All,All,All,2006,125,125,125
new_case,All,All,All,2007,12,12,12
new_case,All,All,All,2008,395,395,395
new_case,All,All,All,2009,54118,54118,54118
new_case,All,All,All,2010,2511,2511,2511
new_case,All,All,All,2011,860,860,860
new_case,All,All,All,2012,7362,7362,7362
new_case,All,All,All,2013,375,375,375
new_case,All,All,All,2014,343,343,343
new_case,All,All,All,2015,99,99,99
new_case,All,All,All,2016,226,226,226
new_case,All,All,All,2017,49,49,49
new_case,All,All,All,2018,4072,4072,4072
new_case,All,All,All,2019,672,672,672
new_case,All,All,All,2020,2480,2480,2480
new_case,All,All,All,2021,0,0,0
new_case,All,All,All,2022,252,252,252
new_case,All,All,All,2023,680,680,680
S,1,1,1,2023,25354,15849,40359
S,2,1,1,2023,55946.5,42653,70179
S,3,1,1,2023,73408.5,64501,79432
S,4,1,1,2023,75170.5,73665,76225
S,5,1,1,2023,70946.5,66781,73515
S,6,1,1,2023,65767.5,62333,68987
S,7,1,1,2023,63443,61505,65874
S,8,1,1,2023,65493,64938,66113
S,9,1,1,2023,71184,69754,73062
S,10,1,1,2023,78682,76268,81496
S,11,1,1,2023,86430,84053,89186
S,12,1,1,2023,92708.5,90873,95086
S,13,1,1,2023,97429.5,96113,98621
S,14,1,1,2023,101783,100873,103238
S,15,1,1,2023,106917.5,105644,108629
S,16,1,1,2023,113943,111983,116490
S,17,1,1,2023,123021.5,120073,126498
S,18,1,1,2023,134024,130064,138066
S,19,1,1,2023,145679,141470,150264
S,20,1,1,2023,157301.5,153128,161868
S,21,1,1,2023,167585,162414,171657
S,22,1,1,2023,176265.5,171629,179646
S,23,1,1,2023,182517.5,179511,184856
S,24,1,1,2023,186621,185447,189190
S,25,1,1,2023,189686.5,187544,192077
S,26,1,1,2023,190508,189438,192593
S,27,1,1,2023,190560,188506,192186
S,28,1,1,2023,189840.5,187099,192293
S,29,1,1,2023,188562,186343,191100
S,30,1,1,2023,187353.5,184884,189506
S,31,1,1,2023,185890,183218,188087
S,32,1,1,2023,184116.5,180869,186768
S,33,1,1,2023,182231.5,178922,184391
S,34,1,1,2023,180555.5,178044,182552
S,35,1,1,2023,178255,176022,180435
S,36,1,1,2023,175122.5,172668,177621
S,37,1,1,2023,171779,168789,174555
S,38,1,1,2023,167462,164661,170861
S,39,1,1,2023,162730.5,158701,166024
S,40,1,1,2023,156847,152452,161083
S,41,1,1,2023,149836,144683,154921
S,42,1,1,2023,141959,136787,147108
S,43,1,1,2023,133120,128158,137722
S,44,1,1,2023,123786.5,118507,128933
S,45,1,1,2023,113845.5,108393,119275
S,46,1,1,2023,103357,97961,109259
S,47,1,1,2023,92954,87595,98469
S,48,1,1,2023,82557,77283,88273
S,49,1,1,2023,72446,67333,77720
S,50,1,1,2023,62777.5,57630,67572
S,51,1,1,2023,53493,49091,58243
S,52,1,1,2023,44995.5,40970,49267
S,53,1,1,2023,37499.5,33806,41251
S,54,1,1,2023,30913,27496,34314
S,55,1,1,2023,24881,21983,27931
S,56,1,1,2023,19931.5,17451,22468
S,57,1,1,2023,15626,13517,17838
S,58,1,1,2023,12174,10169,13965
S,59,1,1,2023,9200.5,7800,10756
S,60,1,1,2023,6883.5,5708,8023
S,61,1,1,2023,4994.5,4111,6073
S,62,1,1,2023,3570.5,2931,4367
S,63,1,1,2023,2563,2053,3151
S,64,1,1,2023,1766.5,1352,2225
S,65,1,1,2023,1187.5,880,1534
S,66,1,1,2023,796.5,584,1041
S,67,1,1,2023,520,375,704
S,68,1,1,2023,351.5,250,495
S,69,1,1,2023,234,156,329
S,70,1,1,2023,149,99,214
S,71,1,1,2023,96.5,59,149
S,72,1,1,2023,60,42,89
S,73,1,1,2023,42.5,24,60
S,74,1,1,2023,27,17,52
S,75,1,1,2023,17,7,35
S,76,1,1,2023,9,3,20
S,77,1,1,2023,6,2,22
S,78,1,1,2023,7,4,16
S,79,1,1,2023,2,0,13
S,80,1,1,2023,2,0,9
S,81,1,1,2023,2,0,6
S,82,1,1,2023,2,0,4
S,83,1,1,2023,1,0,5
S,84,1,1,2023,0,0,3
S,85,1,1,2023,0,0,2
S,86,1,1,2023,0,0,2
S,87,1,1,2023,0,0,1
S,88,1,1,2023,0,0,0
S,89,1,1,2023,0,0,0
S,90,1,1,2023,0,0,2
S,91,1,1,2023,0,0,0
S,92,1,1,2023,0,0,0
S,93,1,1,2023,0,0,0
S,94,1,1,2023,0,0,0
S,95,1,1,2023,0,0,0
S,96,1,1,2023,0,0,0
S,97,1,1,2023,0,0,0
S,98,1,1,2023,0,0,0
S,99,1,1,2023,0,0,0
S,100,1,1,2023,0,0,0
S,101,1,1,2023,0,0,0
S,1,2,1,2023,26719.5,21986,28609
S,2,2,1,2023,54869.5,52099,55596
S,3,2,1,2023,80918,80231,81281
S,4,2,1,2023,105905,105450,106343
S,5,2,1,2023,129759,128675,130201
S,6,2,1,2023,151174.5,150316,152492
S,7,2,1,2023,170200,168642,172052
S,8,2,1,2023,186842,184144,189463
S,9,2,1,2023,200362.5,196863,203251
S,10,2,1,2023,211622,207857,215080
S,11,2,1,2023,220587.5,216711,224592
S,12,2,1,2023,227733,222795,232076
S,13,2,1,2023,232467.5,227244,238376
S,14,2,1,2023,235568,230338,240478
S,15,2,1,2023,235689.5,229336,240995
S,16,2,1,2023,233402,226723,239295
S,17,2,1,2023,228663,221848,235071
S,18,2,1,2023,221635,214443,228546
S,19,2,1,2023,213339,206476,220869
S,20,2,1,2023,204704,197830,212152
S,21,2,1,2023,195998,189185,203036
S,22,2,1,2023,187795.5,181653,194196
S,23,2,1,2023,180412,174669,186311
S,24,2,1,2023,172929,167778,178359
S,25,2,1,2023,166465,161647,171340
S,26,2,1,2023,159912,155315,164597
S,27,2,1,2023,153735.5,149833,157943
S,28,2,1,2023,147983,144053,151773
S,29,2,1,2023,142294.5,138149,145748
S,30,2,1,2023,136181,132056,140333
S,31,2,1,2023,129931.5,124861,133659
S,32,2,1,2023,123309,118459,127198
S,33,2,1,2023,116719,112484,120789
S,34,2,1,2023,110111,105722,113808
S,35,2,1,2023,103129.5,99187,106969
S,36,2,1,2023,96333,92365,100341
S,37,2,1,2023,89505.5,85484,93510
S,38,2,1,2023,82580,78731,86602
S,39,2,1,2023,75845.5,72085,79337
S,40,2,1,2023,69177.5,65266,72942
S,41,2,1,2023,62734.5,59300,66070
S,42,2,1,2023,56597.5,53355,59833
S,43,2,1,2023,50651.5,47631,53827
S,44,2,1,2023,45333,42455,47997
S,45,2,1,2023,40185,37628,42655
