state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,21887,13593,34657,Susceptible
S,2,1,1,2023,48140.5,36315,60480,Susceptible
S,3,1,1,2023,62696,54768,68176,Susceptible
S,4,1,1,2023,64334.5,62598,65765,Susceptible
S,5,1,1,2023,61101.5,57325,63185,Susceptible
S,6,1,1,2023,56766,53520,59658,Susceptible
S,7,1,1,2023,55032,53345,57286,Susceptible
S,8,1,1,2023,56756,56161,58125,Susceptible
S,9,1,1,2023,61907.5,60176,64119,Susceptible
S,10,1,1,2023,68204,65846,71184,Susceptible
S,11,1,1,2023,74487,71543,77523,Susceptible
S,12,1,1,2023,79775.5,77498,81973,Susceptible
S,13,1,1,2023,83799,82107,85395,Susceptible
S,14,1,1,2023,87334,86462,88769,Susceptible
S,15,1,1,2023,91071.5,90256,93891,Susceptible
S,16,1,1,2023,96975.5,95001,100193,Susceptible
S,17,1,1,2023,104377.5,101364,107805,Susceptible
S,18,1,1,2023,113073.5,109679,116896,Susceptible
S,19,1,1,2023,122756.5,118936,127775,Susceptible
S,20,1,1,2023,132398,128225,136842,Susceptible
S,21,1,1,2023,140624.5,136441,145642,Susceptible
S,22,1,1,2023,147695.5,144214,152392,Susceptible
S,23,1,1,2023,153466.5,150741,158698,Susceptible
S,24,1,1,2023,157249.5,155351,161895,Susceptible
S,25,1,1,2023,159069.5,158256,163526,Susceptible
S,26,1,1,2023,161136.5,158532,164701,Susceptible
S,27,1,1,2023,161129,158472,164769,Susceptible
S,28,1,1,2023,160534.5,157678,163689,Susceptible
S,29,1,1,2023,159731.5,156611,163480,Susceptible
S,30,1,1,2023,160030,155508,163411,Susceptible
S,31,1,1,2023,159041.5,154766,162037,Susceptible
S,32,1,1,2023,157629.5,154437,161574,Susceptible
S,33,1,1,2023,155870.5,154015,159683,Susceptible
S,34,1,1,2023,155329,152845,158433,Susceptible
S,35,1,1,2023,154313.5,151835,157356,Susceptible
S,36,1,1,2023,152990.5,149959,155871,Susceptible
S,37,1,1,2023,150740,148451,153856,Susceptible
S,38,1,1,2023,149092.5,147175,152688,Susceptible
S,39,1,1,2023,147233.5,144826,150035,Susceptible
S,40,1,1,2023,145318.5,142938,147632,Susceptible
S,41,1,1,2023,142811,140312,145081,Susceptible
S,42,1,1,2023,139585,136959,141576,Susceptible
S,43,1,1,2023,135990,132920,139337,Susceptible
S,44,1,1,2023,132323,129081,135171,Susceptible
S,45,1,1,2023,127917.5,124419,131456,Susceptible
S,46,1,1,2023,123917,120921,127458,Susceptible
S,47,1,1,2023,118989,116304,122079,Susceptible
S,48,1,1,2023,114043.5,110904,117789,Susceptible
S,49,1,1,2023,108666,105626,112313,Susceptible
S,50,1,1,2023,102783.5,99565,106500,Susceptible
S,51,1,1,2023,97143,93070,101176,Susceptible
S,52,1,1,2023,91373,87455,94725,Susceptible
S,53,1,1,2023,85617,81907,89246,Susceptible
S,54,1,1,2023,79981.5,76497,83571,Susceptible
S,55,1,1,2023,74578.5,71208,77642,Susceptible
S,56,1,1,2023,69166,66135,72054,Susceptible
S,57,1,1,2023,63817,60846,66847,Susceptible
S,58,1,1,2023,58637,55731,61800,Susceptible
S,59,1,1,2023,53812,51203,56310,Susceptible
S,60,1,1,2023,49447.5,47239,51699,Susceptible
S,61,1,1,2023,45355.5,43184,47572,Susceptible
S,62,1,1,2023,41022.5,39086,43230,Susceptible
S,63,1,1,2023,37119.5,35228,39202,Susceptible
S,64,1,1,2023,33442.5,31495,35229,Susceptible
S,65,1,1,2023,29995.5,28070,31712,Susceptible
S,66,1,1,2023,26484,24477,28652,Susceptible
S,67,1,1,2023,23337.5,21467,25390,Susceptible
S,68,1,1,2023,20454,18981,22686,Susceptible
S,69,1,1,2023,17866.5,16320,19458,Susceptible
S,70,1,1,2023,15402.5,13928,17143,Susceptible
S,71,1,1,2023,13081,11866,14704,Susceptible
S,72,1,1,2023,11114.5,10067,12312,Susceptible
S,73,1,1,2023,9272.5,8320,10324,Susceptible
S,74,1,1,2023,7781,6938,8693,Susceptible
S,75,1,1,2023,6481.5,5710,7191,Susceptible
S,76,1,1,2023,5300.5,4567,6015,Susceptible
S,77,1,1,2023,4292,3704,4889,Susceptible
S,78,1,1,2023,3306,2887,3882,Susceptible
S,79,1,1,2023,2590.5,2196,2975,Susceptible
S,80,1,1,2023,1950.5,1669,2241,Susceptible
S,81,1,1,2023,1449.5,1182,1723,Susceptible
S,82,1,1,2023,1084.5,897,1324,Susceptible
S,83,1,1,2023,770.5,594,975,Susceptible
S,84,1,1,2023,517,374,703,Susceptible
S,85,1,1,2023,362,266,483,Susceptible
S,86,1,1,2023,238.5,168,351,Susceptible
S,87,1,1,2023,151,96,231,Susceptible
S,88,1,1,2023,96.5,68,139,Susceptible
S,89,1,1,2023,60,37,86,Susceptible
S,90,1,1,2023,29,15,49,Susceptible
S,91,1,1,2023,16,7,35,Susceptible
S,92,1,1,2023,11,3,27,Susceptible
S,93,1,1,2023,4,1,10,Susceptible
S,94,1,1,2023,2,0,4,Susceptible
