state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,16407,12928,21123,Susceptible
S,2,1,1,2023,44443,38843,50460,Susceptible
S,3,1,1,2023,74302,69648,78411,Susceptible
S,4,1,1,2023,103095.5,100598,105112,Susceptible
S,5,1,1,2023,131560.5,129835,132346,Susceptible
S,6,1,1,2023,159677,158556,160503,Susceptible
S,7,1,1,2023,186984.5,185546,188313,Susceptible
S,8,1,1,2023,213184.5,210684,215777,Susceptible
S,9,1,1,2023,237506.5,233508,240702,Susceptible
S,10,1,1,2023,259016,255428,262811,Susceptible
S,11,1,1,2023,278225.5,274175,282496,Susceptible
S,12,1,1,2023,293716,288675,298504,Susceptible
S,13,1,1,2023,306895.5,301601,312345,Susceptible
S,14,1,1,2023,318141,311815,323795,Susceptible
S,15,1,1,2023,326783.5,319907,333047,Susceptible
S,16,1,1,2023,333407,326051,340215,Susceptible
S,17,1,1,2023,338573,332124,345695,Susceptible
S,18,1,1,2023,343397,336857,350403,Susceptible
S,19,1,1,2023,346317,340421,352724,Susceptible
S,20,1,1,2023,348432,343615,353870,Susceptible
S,21,1,1,2023,349642,344730,354925,Susceptible
S,22,1,1,2023,349793,345048,354878,Susceptible
S,23,1,1,2023,348912.5,344080,354035,Susceptible
S,24,1,1,2023,347059.5,342437,352621,Susceptible
S,25,1,1,2023,344364.5,339667,349037,Susceptible
S,26,1,1,2023,340970,335313,345934,Susceptible
S,27,1,1,2023,335955,330721,341146,Susceptible
S,28,1,1,2023,330749,325549,336111,Susceptible
S,29,1,1,2023,325197,319459,330429,Susceptible
S,30,1,1,2023,318282.5,313281,323441,Susceptible
S,31,1,1,2023,311315,306309,316700,Susceptible
S,32,1,1,2023,303567.5,298205,308588,Susceptible
S,33,1,1,2023,296223,291556,301500,Susceptible
S,34,1,1,2023,289126,284858,294129,Susceptible
S,35,1,1,2023,282204,277635,286836,Susceptible
S,36,1,1,2023,274443.5,269355,279158,Susceptible
S,37,1,1,2023,266990,261242,271932,Susceptible
S,38,1,1,2023,259564.5,253435,263893,Susceptible
S,39,1,1,2023,251690,245895,256431,Susceptible
S,40,1,1,2023,243365,237558,247852,Susceptible
S,41,1,1,2023,235061,229627,240344,Susceptible
S,42,1,1,2023,226848.5,221439,232462,Susceptible
S,43,1,1,2023,218267,213321,224137,Susceptible
S,44,1,1,2023,210409.5,205133,215368,Susceptible
S,45,1,1,2023,202451,197202,207796,Susceptible
S,46,1,1,2023,194637,189538,199624,Susceptible
S,47,1,1,2023,186629.5,181787,191838,Susceptible
S,48,1,1,2023,178493.5,172414,183078,Susceptible
S,49,1,1,2023,170762.5,165643,175386,Susceptible
S,50,1,1,2023,163368.5,159204,167388,Susceptible
S,51,1,1,2023,156350.5,151826,161102,Susceptible
S,52,1,1,2023,148893,144924,153373,Susceptible
S,53,1,1,2023,142274,138052,145618,Susceptible
S,54,1,1,2023,135778.5,132073,140061,Susceptible
S,55,1,1,2023,129955.5,126366,133775,Susceptible
S,56,1,1,2023,123885.5,120496,127639,Susceptible
S,57,1,1,2023,117783,114459,121418,Susceptible
S,58,1,1,2023,111970,108623,115464,Susceptible
S,59,1,1,2023,106507,103056,109713,Susceptible
S,60,1,1,2023,101126,98111,104298,Susceptible
S,61,1,1,2023,95854.5,92758,98934,Susceptible
S,62,1,1,2023,91004,88394,93814,Susceptible
S,63,1,1,2023,86242.5,83709,89030,Susceptible
S,64,1,1,2023,81529,79343,83895,Susceptible
S,65,1,1,2023,77400.5,75205,79660,Susceptible
S,66,1,1,2023,72887.5,70714,74867,Susceptible
S,67,1,1,2023,68428,66220,70438,Susceptible
S,68,1,1,2023,64209.5,61963,66132,Susceptible
S,69,1,1,2023,60157.5,57998,62320,Susceptible
S,70,1,1,2023,56117,53990,58424,Susceptible
S,71,1,1,2023,52128,49830,54256,Susceptible
S,72,1,1,2023,47928,45496,50034,Susceptible
S,73,1,1,2023,43937.5,41836,46139,Susceptible
S,74,1,1,2023,40298.5,38030,42382,Susceptible
S,75,1,1,2023,36541.5,34467,38395,Susceptible
S,76,1,1,2023,33131,31013,35134,Susceptible
S,77,1,1,2023,29579.5,27554,31512,Susceptible
S,78,1,1,2023,26236,24249,28152,Susceptible
S,79,1,1,2023,22802,21019,24868,Susceptible
S,80,1,1,2023,19710.5,18129,21486,Susceptible
S,81,1,1,2023,16862,15402,18692,Susceptible
S,82,1,1,2023,14283,12790,15678,Susceptible
S,83,1,1,2023,11805.5,10563,13024,Susceptible
S,84,1,1,2023,9674,8505,10804,Susceptible
S,85,1,1,2023,7706,6838,8852,Susceptible
S,86,1,1,2023,6155.5,5392,7039,Susceptible
S,87,1,1,2023,4804,4145,5567,Susceptible
S,88,1,1,2023,3657.5,3139,4250,Susceptible
