state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,11655139,11653776,11660534
new_case,All,All,All,1951,21383,21258,21477
new_case,All,All,All,1952,23248,23132,23422
new_case,All,All,All,1953,25868,25438,25920
new_case,All,All,All,1954,29485,29432,29715
new_case,All,All,All,1955,34702,34096,35076
new_case,All,All,All,1956,42904,41808,43052
new_case,All,All,All,1957,56670,55084,57697
new_case,All,All,All,1958,76910,75839,80127
new_case,All,All,All,1959,119715,117700,121294
new_case,All,All,All,1960,206673,204270,213095
new_case,All,All,All,1961,377143,368800,386501
new_case,All,All,All,1962,515180,477819,523379
new_case,All,All,All,1963,439409,428857,451186
new_case,All,All,All,1964,351847,343238,373991
new_case,All,All,All,1965,339460,330791,350510
new_case,All,All,All,1966,389932,388184,401624
new_case,All,All,All,1967,458055,441972,465130
new_case,All,All,All,1968,467224,464429,477155
new_case,All,All,All,1969,457466,436038,472739
new_case,All,All,All,1970,448654,438821,452375
new_case,All,All,All,1971,460333,443167,477823
new_case,All,All,All,1972,436641,405914,454087
new_case,All,All,All,1973,378732,374156,402855
new_case,All,All,All,1974,354533,343083,362568
new_case,All,All,All,1975,335671,331620,366716
new_case,All,All,All,1976,334311,326838,362725
new_case,All,All,All,1977,348434,343401,349698
new_case,All,All,All,1978,363037,360500,371718
new_case,All,All,All,1979,397195,383535,397494
new_case,All,All,All,1980,23478,23282,24588
new_case,All,All,All,1981,24,24,24
new_case,All,All,All,1982,26,26,26
new_case,All,All,All,1983,54,54,54
new_case,All,All,All,1984,0,0,0
new_case,All,All,All,1985,0,0,0
new_case,All,All,All,1986,0,0,0
new_case,All,All,All,1987,0,0,0
new_case,All,All,All,1988,0,0,0
new_case,All,All,All,1989,0,0,0
new_case,All,All,All,1990,0,0,0
new_case,All,All,All,1991,0,0,0
new_case,All,All,All,1992,0,0,0
new_case,All,All,All,1993,0,0,0
new_case,All,All,All,1994,0,0,0
new_case,All,All,All,1995,0,0,0
new_case,All,All,All,1996,0,0,0
new_case,All,All,All,1997,0,0,0
new_case,All,All,All,1998,0,0,0
new_case,All,All,All,1999,0,0,0
new_case,All,All,All,2000,0,0,0
new_case,All,All,All,2001,0,0,0
new_case,All,All,All,2002,0,0,0
new_case,All,All,All,2003,0,0,0
new_case,All,All,All,2004,0,0,0
new_case,All,All,All,2005,0,0,0
new_case,All,All,All,2006,0,0,0
new_case,All,All,All,2007,0,0,0
new_case,All,All,All,2008,0,0,0
new_case,All,All,All,2009,0,0,0
new_case,All,All,All,2010,0,0,0
new_case,All,All,All,2011,0,0,0
new_case,All,All,All,2012,0,0,0
new_case,All,All,All,2013,0,0,0
new_case,All,All,All,2014,0,0,0
new_case,All,All,All,2015,0,0,0
new_case,All,All,All,2016,0,0,0
new_case,All,All,All,2017,0,0,0
new_case,All,All,All,2018,0,0,0
new_case,All,All,All,2019,0,0,0
new_case,All,All,All,2020,0,0,0
new_case,All,All,All,2021,0,0,0
new_case,All,All,All,2022,44,44,44
new_case,All,All,All,2023,38,38,38
S,1,1,1,2023,505941,315699,809724
S,2,1,1,2023,722908.5,603406,769689
S,3,1,1,2023,738944,717818,746133
S,4,1,1,2023,729534,713127,738643
S,5,1,1,2023,722403.5,711719,734854
S,6,1,1,2023,725870.5,718377,734344
S,7,1,1,2023,735455,730100,743331
S,8,1,1,2023,747782.5,740213,753067
S,9,1,1,2023,757768,751500,763160
S,10,1,1,2023,764308.5,756963,772489
S,11,1,1,2023,767458.5,757517,776054
S,12,1,1,2023,765420,753563,776303
S,13,1,1,2023,761464,748214,775082
S,14,1,1,2023,756560.5,744570,769841
S,15,1,1,2023,757623.5,748316,768755
S,16,1,1,2023,766457,761708,775324
S,17,1,1,2023,786319.5,782513,789024
S,18,1,1,2023,813760.5,807505,821538
S,19,1,1,2023,848465.5,839742,859780
S,20,1,1,2023,886710,875247,900409
S,21,1,1,2023,925685,913138,938129
S,22,1,1,2023,959470,946672,970417
S,23,1,1,2023,985051.5,976620,992169
S,24,1,1,2023,1000387,994541,1005148
S,25,1,1,2023,1006416.5,1001874,1009578
S,26,1,1,2023,1002709,993223,1009041
S,27,1,1,2023,990064.5,977067,1000004
S,28,1,1,2023,969824.5,954759,984200
S,29,1,1,2023,944357,927435,961520
