state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,508085.5,315997,811019,Susceptible
S,2,1,1,2023,724638,602895,772566,Susceptible
S,3,1,1,2023,741234,719607,749679,Susceptible
S,4,1,1,2023,731008,713057,741902,Susceptible
S,5,1,1,2023,723135.5,708464,736340,Susceptible
S,6,1,1,2023,725941.5,716105,737257,Susceptible
S,7,1,1,2023,735759,726600,742527,Susceptible
S,8,1,1,2023,747663,738452,754463,Susceptible
S,9,1,1,2023,757588.5,749250,765593,Susceptible
S,10,1,1,2023,764330.5,753887,772459,Susceptible
S,11,1,1,2023,767894.5,756510,777220,Susceptible
S,12,1,1,2023,766315.5,752591,777786,Susceptible
S,13,1,1,2023,761481,747337,774326,Susceptible
S,14,1,1,2023,757988,743168,770928,Susceptible
S,15,1,1,2023,758855,747625,770281,Susceptible
S,16,1,1,2023,768253,761452,777849,Susceptible
S,17,1,1,2023,787685,783435,793483,Susceptible
S,18,1,1,2023,816453,808999,824940,Susceptible
S,19,1,1,2023,851711.5,841822,863290,Susceptible
S,20,1,1,2023,890105.5,875793,903104,Susceptible
S,21,1,1,2023,927710,915004,941316,Susceptible
S,22,1,1,2023,960749,948930,971818,Susceptible
S,23,1,1,2023,985781,975728,994961,Susceptible
S,24,1,1,2023,1000875,993861,1005904,Susceptible
S,25,1,1,2023,1005964.5,999484,1011371,Susceptible
S,26,1,1,2023,1001840,990719,1010184,Susceptible
S,27,1,1,2023,988664,972527,1000997,Susceptible
S,28,1,1,2023,969113,951958,984510,Susceptible
S,29,1,1,2023,944104,924781,961398,Susceptible
S,30,1,1,2023,915556.5,895826,935009,Susceptible
S,31,1,1,2023,886380.5,865931,907748,Susceptible
S,32,1,1,2023,856647,836182,876865,Susceptible
S,33,1,1,2023,825625,806800,846303,Susceptible
S,34,1,1,2023,796726.5,778668,815884,Susceptible
S,35,1,1,2023,768964.5,750433,786178,Susceptible
S,36,1,1,2023,744080.5,727122,760325,Susceptible
S,37,1,1,2023,719888.5,703320,735930,Susceptible
S,38,1,1,2023,696898.5,680400,712541,Susceptible
S,39,1,1,2023,674078.5,658501,690406,Susceptible
S,40,1,1,2023,652102.5,637327,668584,Susceptible
S,41,1,1,2023,629719,614705,645861,Susceptible
S,42,1,1,2023,607029.5,592357,622588,Susceptible
S,43,1,1,2023,583983,569352,598343,Susceptible
S,44,1,1,2023,560174.5,545416,574278,Susceptible
S,45,1,1,2023,535502,520311,550397,Susceptible
S,46,1,1,2023,509920.5,495382,525628,Susceptible
S,47,1,1,2023,483984.5,469709,498193,Susceptible
S,48,1,1,2023,457838.5,442257,471573,Susceptible
S,49,1,1,2023,430289.5,414265,444545,Susceptible
S,50,1,1,2023,402473,387146,417160,Susceptible
S,51,1,1,2023,374504.5,359365,389529,Susceptible
S,52,1,1,2023,346675.5,332651,362259,Susceptible
S,53,1,1,2023,319830,306256,333643,Susceptible
S,54,1,1,2023,293122,278830,306793,Susceptible
S,55,1,1,2023,267142,254454,280288,Susceptible
S,56,1,1,2023,242651,230816,255161,Susceptible
S,57,1,1,2023,219331.5,208096,231086,Susceptible
S,58,1,1,2023,197784.5,187418,208699,Susceptible
S,59,1,1,2023,177643,167439,187994,Susceptible
S,60,1,1,2023,158767.5,149482,168625,Susceptible
S,61,1,1,2023,141922,133156,150644,Susceptible
S,62,1,1,2023,126359,118344,134748,Susceptible
S,63,1,1,2023,112418.5,105283,119874,Susceptible
S,64,1,1,2023,99224.5,92663,106033,Susceptible
S,65,1,1,2023,87463,81784,93432,Susceptible
S,66,1,1,2023,76963,71236,82364,Susceptible
S,67,1,1,2023,67043.5,61940,72099,Susceptible
S,68,1,1,2023,58125,53741,62934,Susceptible
S,69,1,1,2023,50352,46364,54380,Susceptible
S,70,1,1,2023,43415.5,40042,46867,Susceptible
S,71,1,1,2023,37164.5,33937,40602,Susceptible
S,72,1,1,2023,31611,28751,34647,Susceptible
S,73,1,1,2023,26610,24173,29418,Susceptible
S,74,1,1,2023,22382,20071,24596,Susceptible
S,75,1,1,2023,18601.5,16680,20747,Susceptible
S,76,1,1,2023,15331,13661,17043,Susceptible
S,77,1,1,2023,12482,10975,13992,Susceptible
S,78,1,1,2023,10039,8811,11491,Susceptible
S,79,1,1,2023,7971,6976,9101,Susceptible
S,80,1,1,2023,6312.5,5292,7277,Susceptible
S,81,1,1,2023,4846.5,4061,5689,Susceptible
S,82,1,1,2023,3550.5,2941,4316,Susceptible
S,83,1,1,2023,2628,2186,3253,Susceptible
S,84,1,1,2023,1956.5,1563,2401,Susceptible
S,85,1,1,2023,1401.5,1122,1757,Susceptible
S,86,1,1,2023,980.5,780,1259,Susceptible
S,87,1,1,2023,697,541,842,Susceptible
S,88,1,1,2023,451,344,609,Susceptible
S,89,1,1,2023,309,237,419,Susceptible
S,90,1,1,2023,202,147,277,Susceptible
S,91,1,1,2023,127,85,190,Susceptible
S,92,1,1,2023,81,54,118,Susceptible
S,93,1,1,2023,48,30,71,Susceptible
S,94,1,1,2023,32,15,49,Susceptible
S,95,1,1,2023,17,9,30,Susceptible
S,96,1,1,2023,8,2,14,Susceptible
S,97,1,1,2023,4,0,9,Susceptible
S,98,1,1,2023,3,0,7,Susceptible
S,99,1,1,2023,1,0,6,Susceptible
S,100,1,1,2023,1,0,5,Susceptible
S,101,1,1,2023,1,0,7,Susceptible
S,1,2,1,2023,272448.5,221214,295130,Vaccine protected
S,2,2,1,2023,549117.5,519590,556715,Vaccine protected
S,3,2,1,2023,773080,761037,780227,Vaccine protected
S,4,2,1,2023,950874.5,932182,965435,Vaccine protected
S,5,2,1,2023,1086420.5,1061030,1108803,Vaccine protected
S,6,2,1,2023,1189321,1161258,1218048,Vaccine protected
S,7,2,1,2023,1267120.5,1237576,1296042,Vaccine protected
S,8,2,1,2023,1320438.5,1291870,1351286,Vaccine protected
S,9,2,1,2023,1356498,1327272,1387811,Vaccine protected
S,10,2,1,2023,1379252,1349024,1408481,Vaccine protected
S,11,2,1,2023,1390408,1360479,1419102,Vaccine protected
S,12,2,1,2023,1390292,1362355,1420273,Vaccine protected
S,13,2,1,2023,1382005.5,1352462,1410527,Vaccine protected
S,14,2,1,2023,1362453,1332336,1391396,Vaccine protected
S,15,2,1,2023,1332847.5,1299206,1363902,Vaccine protected
S,16,2,1,2023,1290247.5,1253069,1324431,Vaccine protected
S,17,2,1,2023,1233769.5,1195057,1272118,Vaccine protected
S,18,2,1,2023,1166197.5,1124403,1207155,Vaccine protected
S,19,2,1,2023,1090953,1047886,1133546,Vaccine protected
S,20,2,1,2023,1010432.5,967122,1054146,Vaccine protected
S,21,2,1,2023,929792.5,886841,972625,Vaccine protected
S,22,2,1,2023,851094.5,811306,891774,Vaccine protected
S,23,2,1,2023,779820.5,745113,816926,Vaccine protected
S,24,2,1,2023,716234,685949,749273,Vaccine protected
S,25,2,1,2023,662480.5,636775,690323,Vaccine protected
S,26,2,1,2023,616492,594216,640342,Vaccine protected
S,27,2,1,2023,579019.5,561598,599047,Vaccine protected
S,28,2,1,2023,548081,533784,564105,Vaccine protected
S,29,2,1,2023,521790,510260,534095,Vaccine protected
S,30,2,1,2023,500319,490988,510485,Vaccine protected
S,31,2,1,2023,480684,472164,488988,Vaccine protected
S,32,2,1,2023,462772.5,455224,470062,Vaccine protected
S,33,2,1,2023,446010.5,438671,453614,Vaccine protected
S,34,2,1,2023,428769.5,420901,436852,Vaccine protected
S,35,2,1,2023,411696,402848,419907,Vaccine protected
S,36,2,1,2023,393625,384648,402041,Vaccine protected
S,37,2,1,2023,374144,364129,382398,Vaccine protected
S,38,2,1,2023,354148,345524,362550,Vaccine protected
S,39,2,1,2023,333776.5,325183,342119,Vaccine protected
S,40,2,1,2023,312806,304354,321090,Vaccine protected
S,41,2,1,2023,291981.5,283603,299963,Vaccine protected
S,42,2,1,2023,270845.5,262292,279754,Vaccine protected
S,43,2,1,2023,250415.5,241527,259290,Vaccine protected
S,44,2,1,2023,230140,221388,238380,Vaccine protected
S,45,2,1,2023,210200,201647,218450,Vaccine protected
S,46,2,1,2023,191749,183788,199923,Vaccine protected
