state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,1170860,726176,1879292,Susceptible
S,2,1,1,2023,1620323.5,1352555,1715383,Susceptible
S,3,1,1,2023,1570228.5,1522086,1591564,Susceptible
S,4,1,1,2023,1447672,1376803,1498499,Susceptible
S,5,1,1,2023,1327400,1271705,1387496,Susceptible
S,6,1,1,2023,1233666,1189376,1285311,Susceptible
S,7,1,1,2023,1159439,1122256,1201585,Susceptible
S,8,1,1,2023,1098771.5,1067735,1133035,Susceptible
S,9,1,1,2023,1047321.5,1019723,1077918,Susceptible
S,10,1,1,2023,1003503,979008,1030655,Susceptible
S,11,1,1,2023,965078.5,942943,988845,Susceptible
S,12,1,1,2023,930708.5,910810,953370,Susceptible
S,13,1,1,2023,902977,885373,922028,Susceptible
S,14,1,1,2023,881444.5,867229,897684,Susceptible
S,15,1,1,2023,868790.5,857399,880537,Susceptible
S,16,1,1,2023,865258,857248,874058,Susceptible
S,17,1,1,2023,871759,868078,877215,Susceptible
S,18,1,1,2023,887036,882104,892762,Susceptible
S,19,1,1,2023,908174.5,898897,917507,Susceptible
S,20,1,1,2023,933292,919783,944724,Susceptible
S,21,1,1,2023,958609.5,945070,968873,Susceptible
S,22,1,1,2023,979504.5,966396,988590,Susceptible
S,23,1,1,2023,995455.5,983774,1002389,Susceptible
S,24,1,1,2023,1003474.5,994749,1007310,Susceptible
S,25,1,1,2023,1002501,993705,1008344,Susceptible
S,26,1,1,2023,993651,985764,1003135,Susceptible
S,27,1,1,2023,979768,968545,990749,Susceptible
S,28,1,1,2023,960474,948283,973001,Susceptible
S,29,1,1,2023,938902,926212,951959,Susceptible
S,30,1,1,2023,915968,902492,928788,Susceptible
S,31,1,1,2023,892610.5,878349,906232,Susceptible
S,32,1,1,2023,868740.5,854703,883619,Susceptible
S,33,1,1,2023,844861.5,832063,859041,Susceptible
S,34,1,1,2023,821681,808926,836898,Susceptible
S,35,1,1,2023,798294.5,784836,813324,Susceptible
S,36,1,1,2023,773166.5,758959,787417,Susceptible
S,37,1,1,2023,746013,731952,760118,Susceptible
S,38,1,1,2023,717577.5,702972,732297,Susceptible
S,39,1,1,2023,686600.5,670890,701674,Susceptible
S,40,1,1,2023,653516,635854,670234,Susceptible
S,41,1,1,2023,617591.5,598175,636359,Susceptible
S,42,1,1,2023,578387.5,558283,599444,Susceptible
S,43,1,1,2023,536337.5,514789,558551,Susceptible
S,44,1,1,2023,493113.5,471556,515800,Susceptible
S,45,1,1,2023,448742.5,426445,470427,Susceptible
S,46,1,1,2023,403825.5,381724,426942,Susceptible
S,47,1,1,2023,359238,337016,381174,Susceptible
S,48,1,1,2023,315243,294470,336667,Susceptible
S,49,1,1,2023,273320,253678,294229,Susceptible
S,50,1,1,2023,234105,215788,253464,Susceptible
S,51,1,1,2023,197639.5,180958,215786,Susceptible
S,52,1,1,2023,164643.5,149584,180996,Susceptible
S,53,1,1,2023,135249,121509,150159,Susceptible
S,54,1,1,2023,109399,97744,122552,Susceptible
S,55,1,1,2023,87389.5,76992,98520,Susceptible
S,56,1,1,2023,68178.5,59538,77653,Susceptible
S,57,1,1,2023,52393.5,45347,60344,Susceptible
S,58,1,1,2023,39608.5,33687,46034,Susceptible
S,59,1,1,2023,28991.5,24350,34392,Susceptible
S,60,1,1,2023,20695.5,17023,25005,Susceptible
S,61,1,1,2023,14160,11114,17653,Susceptible
S,62,1,1,2023,9396.5,7071,12068,Susceptible
S,63,1,1,2023,5761,4121,7814,Susceptible
S,64,1,1,2023,3174.5,2040,4636,Susceptible
S,65,1,1,2023,1469.5,632,2390,Susceptible
S,66,1,1,2023,443,12,1015,Susceptible
S,67,1,1,2023,114,1,383,Susceptible
S,68,1,1,2023,36,0,154,Susceptible
S,69,1,1,2023,24,0,79,Susceptible
S,70,1,1,2023,24,0,57,Susceptible
S,71,1,1,2023,18,0,52,Susceptible
S,72,1,1,2023,13,0,34,Susceptible
S,73,1,1,2023,14,0,34,Susceptible
S,74,1,1,2023,10,0,25,Susceptible
S,75,1,1,2023,6,0,19,Susceptible
S,76,1,1,2023,6,0,15,Susceptible
S,77,1,1,2023,4,0,17,Susceptible
S,78,1,1,2023,4,0,13,Susceptible
S,79,1,1,2023,3,0,10,Susceptible
S,80,1,1,2023,2,0,9,Susceptible
S,81,1,1,2023,2,0,9,Susceptible
S,82,1,1,2023,1,0,6,Susceptible
S,83,1,1,2023,0,0,3,Susceptible
S,84,1,1,2023,1,0,2,Susceptible
S,85,1,1,2023,1,0,2,Susceptible
S,86,1,1,2023,0,0,2,Susceptible
S,87,1,1,2023,0,0,1,Susceptible
S,88,1,1,2023,0,0,1,Susceptible
S,89,1,1,2023,0,0,1,Susceptible
S,90,1,1,2023,0,0,0,Susceptible
S,91,1,1,2023,0,0,1,Susceptible
