state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,12557453,12551078,12561117
new_case,All,All,All,1951,157291,154974,157663
new_case,All,All,All,1952,1463415,1461638,1465476
new_case,All,All,All,1953,1597165,1589387,1608857
new_case,All,All,All,1954,1371793,1368596,1375588
new_case,All,All,All,1955,1691058,1688993,1698768
new_case,All,All,All,1956,1457155,1449502,1474425
new_case,All,All,All,1957,1741116,1719410,1746247
new_case,All,All,All,1958,1572802,1568567,1583547
new_case,All,All,All,1959,1741076,1734023,1742860
new_case,All,All,All,1960,1715252,1713417,1722138
new_case,All,All,All,1961,1827971,1813321,1840377
new_case,All,All,All,1962,1847058,1836198,1849596
new_case,All,All,All,1963,1911674,1906037,1931965
new_case,All,All,All,1964,1984310,1978183,2006328
new_case,All,All,All,1965,2018974,2011174,2051438
new_case,All,All,All,1966,2084815,2071856,2090195
new_case,All,All,All,1967,2142026,2123267,2149391
new_case,All,All,All,1968,2198762,2181926,2214729
new_case,All,All,All,1969,2256472,2238754,2272379
new_case,All,All,All,1970,2315592,2278359,2342119
new_case,All,All,All,1971,2377451,2360474,2419884
new_case,All,All,All,1972,2357491,2326364,2371785
new_case,All,All,All,1973,2402900,2376700,2412171
new_case,All,All,All,1974,2426306,2415566,2439400
new_case,All,All,All,1975,2443127,2439915,2461422
new_case,All,All,All,1976,2517672,2497577,2523097
new_case,All,All,All,1977,2547252,2544543,2567969
new_case,All,All,All,1978,2823363,2791865,2842296
new_case,All,All,All,1979,2897313,2858606,2916698
new_case,All,All,All,1980,182237,178132,183085
new_case,All,All,All,1981,13731,13731,13731
new_case,All,All,All,1982,7265,7265,7265
new_case,All,All,All,1983,5926,5926,5926
new_case,All,All,All,1984,635,635,635
new_case,All,All,All,1985,1590,1590,1590
new_case,All,All,All,1986,1209,1209,1209
new_case,All,All,All,1987,1473,1473,1473
new_case,All,All,All,1988,1447,1447,1447
new_case,All,All,All,1989,492,492,492
new_case,All,All,All,1990,0,0,0
new_case,All,All,All,1991,0,0,0
new_case,All,All,All,1992,0,0,0
new_case,All,All,All,1993,0,0,0
new_case,All,All,All,1994,0,0,0
new_case,All,All,All,1995,0,0,0
new_case,All,All,All,1996,0,0,0
new_case,All,All,All,1997,0,0,0
new_case,All,All,All,1998,44,44,44
new_case,All,All,All,1999,150,150,150
new_case,All,All,All,2000,75,75,75
new_case,All,All,All,2001,6300,6300,6300
new_case,All,All,All,2002,0,0,0
new_case,All,All,All,2003,2534,2534,2534
new_case,All,All,All,2004,7104,7104,7104
new_case,All,All,All,2005,4564,4564,4564
new_case,All,All,All,2006,3558,3558,3558
new_case,All,All,All,2007,3799,3799,3799
new_case,All,All,All,2008,3190,3190,3190
new_case,All,All,All,2009,830,830,830
new_case,All,All,All,2010,2157,2157,2157
new_case,All,All,All,2011,2452,2452,2452
new_case,All,All,All,2012,3407,3407,3407
new_case,All,All,All,2013,0,0,0
new_case,All,All,All,2014,0,0,0
new_case,All,All,All,2015,0,0,0
new_case,All,All,All,2016,0,0,0
new_case,All,All,All,2017,1602,1602,1602
new_case,All,All,All,2018,1326,1326,1326
new_case,All,All,All,2019,1290,1290,1290
new_case,All,All,All,2020,1027,1027,1027
new_case,All,All,All,2021,1494,1494,1494
new_case,All,All,All,2022,2752,2752,2752
new_case,All,All,All,2023,600,600,600
S,1,1,1,2023,534804.5,343812,833387
S,2,1,1,2023,809791.5,690504,856177
S,3,1,1,2023,902499,883656,912786
S,4,1,1,2023,977103,954511,992220
S,5,1,1,2023,1053886.5,1035514,1075169
S,6,1,1,2023,1138468,1120984,1156908
S,7,1,1,2023,1222842,1207616,1240373
S,8,1,1,2023,1304309,1287475,1322423
S,9,1,1,2023,1376293,1357275,1395752
S,10,1,1,2023,1437814,1415945,1458287
S,11,1,1,2023,1486474.5,1461697,1511088
S,12,1,1,2023,1522700,1495994,1549738
S,13,1,1,2023,1549452,1519893,1578690
S,14,1,1,2023,1566037.5,1535600,1594891
S,15,1,1,2023,1575184,1546865,1606600
S,16,1,1,2023,1582896.5,1554000,1612183
S,17,1,1,2023,1586820.5,1559242,1614578
S,18,1,1,2023,1588523.5,1564386,1614349
S,19,1,1,2023,1589063.5,1566069,1612871
S,20,1,1,2023,1588743.5,1568864,1611262
S,21,1,1,2023,1584042.5,1563863,1603852
S,22,1,1,2023,1573318.5,1553582,1594129
S,23,1,1,2023,1558157.5,1537569,1578054
S,24,1,1,2023,1536910.5,1515652,1557714
S,25,1,1,2023,1512441,1489537,1534658
S,26,1,1,2023,1480964.5,1456500,1504813
S,27,1,1,2023,1445960,1420916,1470098
S,28,1,1,2023,1407473.5,1380833,1431267
S,29,1,1,2023,1368448.5,1341891,1392846
S,30,1,1,2023,1327626,1301628,1352436
S,31,1,1,2023,1286047,1261182,1311907
S,32,1,1,2023,1245457,1219367,1270767
S,33,1,1,2023,1203326.5,1178196,1228288
S,34,1,1,2023,1163006.5,1139799,1188088
S,35,1,1,2023,1124119.5,1101638,1147753
S,36,1,1,2023,1086936.5,1065497,1108444
S,37,1,1,2023,1049979,1028540,1070721
S,38,1,1,2023,1013927.5,994567,1033683
S,39,1,1,2023,979281.5,959932,997396
S,40,1,1,2023,944893,925905,963342
S,41,1,1,2023,911017,893853,928989
S,42,1,1,2023,878240.5,861723,895597
S,43,1,1,2023,846456,830398,862784
S,44,1,1,2023,815982,800534,831633
S,45,1,1,2023,786069,770780,801823
S,46,1,1,2023,756317,740981,771550
S,47,1,1,2023,726517,711151,742385
S,48,1,1,2023,698354,683732,713941
S,49,1,1,2023,670629,657346,685862
S,50,1,1,2023,644560,631073,657980
S,51,1,1,2023,618272.5,604043,632417
S,52,1,1,2023,591913,578676,605194
S,53,1,1,2023,567099.5,554255,580197
S,54,1,1,2023,543119,530346,555693
S,55,1,1,2023,519345.5,507238,531461
S,56,1,1,2023,495840,484003,508139
S,57,1,1,2023,474343.5,460928,486231
S,58,1,1,2023,452250.5,439297,464459
S,59,1,1,2023,431508,418894,443400
S,60,1,1,2023,410375,397520,421683
S,61,1,1,2023,389944,378577,401096
S,62,1,1,2023,369893,358691,380480
S,63,1,1,2023,350222.5,339418,360417
S,64,1,1,2023,331698,321531,341279
S,65,1,1,2023,313053.5,302869,322693
S,66,1,1,2023,294837,285293,303813
S,67,1,1,2023,277055.5,268020,286078
S,68,1,1,2023,259367.5,250681,268643
S,69,1,1,2023,242713,233976,250987
S,70,1,1,2023,226496,217489,234905
S,71,1,1,2023,210158,202174,218552
S,72,1,1,2023,195172,187055,202870
S,73,1,1,2023,180224.5,172526,187636
S,74,1,1,2023,165378,157887,173172
S,75,1,1,2023,151198,144013,158386
S,76,1,1,2023,137359,130405,144214
S,77,1,1,2023,124271.5,117548,131010
S,78,1,1,2023,111616.5,104648,118128
S,79,1,1,2023,99240.5,92818,106067
S,80,1,1,2023,87722,81704,93637
S,81,1,1,2023,76822.5,71104,82450
S,82,1,1,2023,66640,61540,71893
S,83,1,1,2023,57212.5,52480,62250
S,84,1,1,2023,48457,44365,53025
S,85,1,1,2023,40686.5,36883,44893
S,86,1,1,2023,33532.5,30083,37237
S,87,1,1,2023,27082.5,23981,30530
S,88,1,1,2023,21677.5,19188,24576
S,89,1,1,2023,17028.5,14876,19400
S,90,1,1,2023,13132,11414,15042
S,91,1,1,2023,9970.5,8594,11579
S,92,1,1,2023,7501.5,6264,8737
S,93,1,1,2023,5522,4588,6535
S,94,1,1,2023,3982,3243,4811
S,95,1,1,2023,2771.5,2233,3438
S,96,1,1,2023,1889.5,1385,2428
S,97,1,1,2023,1246.5,899,1648
S,98,1,1,2023,810,608,1101
S,99,1,1,2023,503.5,371,694
S,100,1,1,2023,327,230,456
S,101,1,1,2023,469.5,319,658
S,1,2,1,2023,460246,364612,504250
S,2,2,1,2023,873312,812590,882552
S,3,2,1,2023,1139742.5,1126369,1146775
S,4,2,1,2023,1305163,1280578,1324120
S,5,2,1,2023,1391089,1362782,1417720
S,6,2,1,2023,1420850,1390706,1449481
S,7,2,1,2023,1408256.5,1377623,1437933
S,8,2,1,2023,1367599.5,1338312,1397006
S,9,2,1,2023,1309668.5,1280129,1338470
S,10,2,1,2023,1238989.5,1212753,1266851
S,11,2,1,2023,1163229.5,1139187,1187474
S,12,2,1,2023,1084602.5,1063390,1107344
S,13,2,1,2023,1005734.5,986168,1025877
S,14,2,1,2023,927417.5,909591,944707
S,15,2,1,2023,850396,833489,867219
S,16,2,1,2023,775138,757176,791734
S,17,2,1,2023,699503,680817,716738
S,18,2,1,2023,625135,606250,642706
S,19,2,1,2023,552966,533908,571146
S,20,2,1,2023,484329.5,465138,502156
S,21,2,1,2023,419769,401235,437542
S,22,2,1,2023,361293.5,344207,377218
S,23,2,1,2023,309113.5,294439,324791
S,24,2,1,2023,264830.5,252240,277885
S,25,2,1,2023,227037.5,216556,237978
S,26,2,1,2023,195145,186749,204295
S,27,2,1,2023,168839,162088,176293
S,28,2,1,2023,147177.5,142305,153035
S,29,2,1,2023,129391.5,125861,133814
S,30,2,1,2023,115138,112182,118332
S,31,2,1,2023,102641.5,100344,105241
S,32,2,1,2023,91911.5,90569,93928
S,33,2,1,2023,82976,81510,84487
S,34,2,1,2023,74814.5,73286,76080
S,35,2,1,2023,67276.5,66300,68522
S,36,2,1,2023,60643,59698,61855
S,37,2,1,2023,54581,53705,55579
S,38,2,1,2023,49026,48162,50171
S,39,2,1,2023,43710.5,42932,45327
S,40,2,1,2023,39071.5,38036,40175
S,41,2,1,2023,34614.5,33482,35627
S,42,2,1,2023,30509,29250,31352
S,43,2,1,2023,26587,25538,27727
S,44,2,1,2023,23123.5,22053,24098
S,45,2,1,2023,20151,19114,20998
S,46,2,1,2023,17432,16412,18289
S,47,2,1,2023,15067,14240,15732
S,48,2,1,2023,12984.5,12244,13782
S,49,2,1,2023,10971,10339,11602
S,50,2,1,2023,9399,8812,9867
S,51,2,1,2023,7957.5,7541,8394
S,52,2,1,2023,6690.5,6336,7013
S,53,2,1,2023,5592,5266,6036
S,54,2,1,2023,4742.5,4359,5018
S,55,2,1,2023,3919,3602,4197
S,56,2,1,2023,3192.5,2941,3442
S,57,2,1,2023,2644,2409,2867
S,58,2,1,2023,2162.5,2003,2410
S,59,2,1,2023,1808,1609,1980
S,60,2,1,2023,1485.5,1305,1606
S,61,2,1,2023,1203.5,1051,1311
S,62,2,1,2023,974.5,802,1079
S,63,2,1,2023,770.5,625,877
S,64,2,1,2023,649,535,721
S,65,2,1,2023,544.5,443,606
S,66,2,1,2023,444,344,510
S,67,2,1,2023,343,255,433
S,68,2,1,2023,266,205,339
S,69,2,1,2023,219,172,267
S,70,2,1,2023,182,159,235
S,71,2,1,2023,150.5,122,222
S,72,2,1,2023,121,77,154
S,73,2,1,2023,100.5,60,130
S,74,2,1,2023,86,43,98
S,75,2,1,2023,68.5,26,83
S,76,2,1,2023,54,23,74
S,77,2,1,2023,41,22,64
S,78,2,1,2023,27,16,66
S,79,2,1,2023,25,15,42
S,80,2,1,2023,18,9,27
S,81,2,1,2023,11,5,17
S,82,2,1,2023,7.5,3,15
S,83,2,1,2023,8,1,11
S,84,2,1,2023,5,0,15
S,85,2,1,2023,4,2,10
S,86,2,1,2023,2,0,7
S,87,2,1,2023,2,0,6
S,88,2,1,2023,0,0,3
S,89,2,1,2023,1,0,2
S,90,2,1,2023,0,0,2
S,91,2,1,2023,0,0,1
S,92,2,1,2023,0,0,1
S,93,2,1,2023,0,0,0
S,94,2,1,2023,0,0,0
S,95,2,1,2023,0,0,0
S,96,2,1,2023,0,0,0
S,97,2,1,2023,0,0,0
S,98,2,1,2023,0,0,0
S,99,2,1,2023,0,0,0
S,100,2,1,2023,0,0,0
S,101,2,1,2023,0,0,0
S,1,3,1,2023,1642371,928263,2897434
S,2,3,1,2023,2119107.5,1643324,2355555
S,3,3,1,2023,1901397.5,1750702,1924257
S,4,3,1,2023,1564435,1547308,1574121
S,5,3,1,2023,1273916.5,1251006,1288764
S,6,3,1,2023,1028896.5,1009019,1046676
S,7,3,1,2023,829210.5,812776,844878
S,8,3,1,2023,666957,652967,681360
S,9,3,1,2023,536244.5,524043,548423
S,10,3,1,2023,431086.5,421003,441535
S,11,3,1,2023,345546.5,338002,354153
S,12,3,1,2023,277884.5,271810,284637
S,13,3,1,2023,223972.5,219490,228773
S,14,3,1,2023,180681,177212,184661
S,15,3,1,2023,145820.5,142704,148859
S,16,3,1,2023,117581.5,115477,120187
S,17,3,1,2023,95182,93211,96830
S,18,3,1,2023,76449.5,74640,78227
S,19,3,1,2023,61035.5,59337,62546
S,20,3,1,2023,48373,46840,49878
S,21,3,1,2023,38184.5,36866,39667
S,22,3,1,2023,29835,28497,31240
S,23,3,1,2023,23095.5,21857,24150
S,24,3,1,2023,17741,16791,18786
S,25,3,1,2023,13646,12900,14475
S,26,3,1,2023,10553.5,9908,11156
S,27,3,1,2023,8042.5,7597,8639
S,28,3,1,2023,6249,5889,6687
S,29,3,1,2023,4776,4494,5119
S,30,3,1,2023,3766,3463,3996
S,31,3,1,2023,2922,2703,3129
S,32,3,1,2023,2331.5,2113,2446
S,33,3,1,2023,1848,1752,1959
S,34,3,1,2023,1481,1413,1579
S,35,3,1,2023,1222,1153,1306
S,36,3,1,2023,975.5,921,1033
S,37,3,1,2023,814.5,756,893
S,38,3,1,2023,684,590,754
S,39,3,1,2023,542,481,620
S,40,3,1,2023,437.5,413,501
S,41,3,1,2023,360,324,396
S,42,3,1,2023,283,235,319
S,43,3,1,2023,233,202,251
S,44,3,1,2023,179,159,209
S,45,3,1,2023,149,108,178
S,46,3,1,2023,112,87,145
S,47,3,1,2023,86,75,111
S,48,3,1,2023,66,54,84
S,49,3,1,2023,49,29,76
S,50,3,1,2023,40,24,67
S,51,3,1,2023,29,15,61
S,52,3,1,2023,30,19,46
S,53,3,1,2023,20,9,34
S,54,3,1,2023,16,7,27
S,55,3,1,2023,13,4,34
S,56,3,1,2023,13,2,28
S,57,3,1,2023,7,1,25
S,58,3,1,2023,5,0,20
S,59,3,1,2023,3,0,15
S,60,3,1,2023,2,0,6
S,61,3,1,2023,1,0,5
S,62,3,1,2023,0,0,2
S,63,3,1,2023,0,0,1
S,64,3,1,2023,0,0,1
S,65,3,1,2023,0,0,1
S,66,3,1,2023,0,0,0
S,67,3,1,2023,0,0,0
S,68,3,1,2023,0,0,0
S,69,3,1,2023,0,0,0
S,70,3,1,2023,0,0,0
S,71,3,1,2023,0,0,0
S,72,3,1,2023,0,0,0
S,73,3,1,2023,0,0,0
S,74,3,1,2023,0,0,1
S,75,3,1,2023,0,0,1
S,76,3,1,2023,0,0,2
S,77,3,1,2023,0,0,1
S,78,3,1,2023,0,0,0
S,79,3,1,2023,0,0,1
S,80,3,1,2023,0,0,2
S,81,3,1,2023,0,0,2
S,82,3,1,2023,0,0,0
S,83,3,1,2023,0,0,0
S,84,3,1,2023,0,0,0
S,85,3,1,2023,0,0,0
S,86,3,1,2023,0,0,0
S,87,3,1,2023,0,0,0
S,88,3,1,2023,0,0,0
S,89,3,1,2023,0,0,0
S,90,3,1,2023,0,0,0
S,91,3,1,2023,0,0,0
S,92,3,1,2023,0,0,0
S,93,3,1,2023,0,0,0
S,94,3,1,2023,0,0,0
S,95,3,1,2023,0,0,0
S,96,3,1,2023,0,0,0
S,97,3,1,2023,0,0,0
S,98,3,1,2023,0,0,0
S,99,3,1,2023,0,0,0
S,100,3,1,2023,0,0,0
S,101,3,1,2023,0,0,0
E,1,1,1,2023,0,0,0
E,2,1,1,2023,0,0,0
E,3,1,1,2023,0,0,0
E,4,1,1,2023,0,0,0
E,5,1,1,2023,0,0,0
E,6,1,1,2023,0,0,0
E,7,1,1,2023,0,0,0
E,8,1,1,2023,0,0,0
E,9,1,1,2023,0,0,0
E,10,1,1,2023,0,0,0
E,11,1,1,2023,0,0,0
E,12,1,1,2023,0,0,0
E,13,1,1,2023,0,0,0
E,14,1,1,2023,0,0,0
E,15,1,1,2023,0,0,0
E,16,1,1,2023,0,0,0
E,17,1,1,2023,0,0,0
E,18,1,1,2023,0,0,0
E,19,1,1,2023,0,0,0
E,20,1,1,2023,0,0,0
E,21,1,1,2023,0,0,0
E,22,1,1,2023,0,0,0
E,23,1,1,2023,0,0,0
E,24,1,1,2023,0,0,0
E,25,1,1,2023,0,0,0
E,26,1,1,2023,0,0,0
E,27,1,1,2023,0,0,0
E,28,1,1,2023,0,0,0
E,29,1,1,2023,0,0,0
E,30,1,1,2023,0,0,0
E,31,1,1,2023,0,0,0
E,32,1,1,2023,0,0,0
E,33,1,1,2023,0,0,0
E,34,1,1,2023,0,0,0
E,35,1,1,2023,0,0,0
E,36,1,1,2023,0,0,0
E,37,1,1,2023,0,0,0
E,38,1,1,2023,0,0,0
E,39,1,1,2023,0,0,0
E,40,1,1,2023,0,0,0
E,41,1,1,2023,0,0,0
E,42,1,1,2023,0,0,0
E,43,1,1,2023,0,0,0
E,44,1,1,2023,0,0,0
E,45,1,1,2023,0,0,0
E,46,1,1,2023,0,0,0
E,47,1,1,2023,0,0,0
E,48,1,1,2023,0,0,0
E,49,1,1,2023,0,0,0
E,50,1,1,2023,0,0,0
E,51,1,1,2023,0,0,0
E,52,1,1,2023,0,0,0
E,53,1,1,2023,0,0,0
E,54,1,1,2023,0,0,0
E,55,1,1,2023,0,0,0
E,56,1,1,2023,0,0,0
E,57,1,1,2023,0,0,0
E,58,1,1,2023,0,0,0
E,59,1,1,2023,0,0,0
E,60,1,1,2023,0,0,0
E,61,1,1,2023,0,0,0
E,62,1,1,2023,0,0,0
E,63,1,1,2023,0,0,0
E,64,1,1,2023,0,0,0
E,65,1,1,2023,0,0,0
E,66,1,1,2023,0,0,0
E,67,1,1,2023,0,0,0
E,68,1,1,2023,0,0,0
E,69,1,1,2023,0,0,0
E,70,1,1,2023,0,0,0
E,71,1,1,2023,0,0,0
E,72,1,1,2023,0,0,0
E,73,1,1,2023,0,0,0
E,74,1,1,2023,0,0,0
E,75,1,1,2023,0,0,0
E,76,1,1,2023,0,0,0
E,77,1,1,2023,0,0,0
E,78,1,1,2023,0,0,0
E,79,1,1,2023,0,0,0
E,80,1,1,2023,0,0,0
E,81,1,1,2023,0,0,0
E,82,1,1,2023,0,0,0
E,83,1,1,2023,0,0,0
E,84,1,1,2023,0,0,0
E,85,1,1,2023,0,0,0
E,86,1,1,2023,0,0,0
E,87,1,1,2023,0,0,0
E,88,1,1,2023,0,0,0
E,89,1,1,2023,0,0,0
E,90,1,1,2023,0,0,0
E,91,1,1,2023,0,0,0
E,92,1,1,2023,0,0,0
E,93,1,1,2023,0,0,0
E,94,1,1,2023,0,0,0
E,95,1,1,2023,0,0,0
E,96,1,1,2023,0,0,0
E,97,1,1,2023,0,0,0
E,98,1,1,2023,0,0,0
E,99,1,1,2023,0,0,0
E,100,1,1,2023,0,0,0
E,101,1,1,2023,0,0,0
E,1,2,1,2023,0,0,0
E,2,2,1,2023,0,0,0
E,3,2,1,2023,0,0,0
E,4,2,1,2023,0,0,0
E,5,2,1,2023,0,0,0
E,6,2,1,2023,0,0,0
E,7,2,1,2023,0,0,0
E,8,2,1,2023,0,0,0
E,9,2,1,2023,0,0,0
E,10,2,1,2023,0,0,0
E,11,2,1,2023,0,0,0
E,12,2,1,2023,0,0,0
E,13,2,1,2023,0,0,0
E,14,2,1,2023,0,0,0
E,15,2,1,2023,0,0,0
E,16,2,1,2023,0,0,0
E,17,2,1,2023,0,0,0
E,18,2,1,2023,0,0,0
E,19,2,1,2023,0,0,0
E,20,2,1,2023,0,0,0
E,21,2,1,2023,0,0,0
E,22,2,1,2023,0,0,0
E,23,2,1,2023,0,0,0
E,24,2,1,2023,0,0,0
E,25,2,1,2023,0,0,0
E,26,2,1,2023,0,0,0
E,27,2,1,2023,0,0,0
E,28,2,1,2023,0,0,0
E,29,2,1,2023,0,0,0
E,30,2,1,2023,0,0,0
E,31,2,1,2023,0,0,0
E,32,2,1,2023,0,0,0
E,33,2,1,2023,0,0,0
E,34,2,1,2023,0,0,0
E,35,2,1,2023,0,0,0
E,36,2,1,2023,0,0,0
E,37,2,1,2023,0,0,0
E,38,2,1,2023,0,0,0
E,39,2,1,2023,0,0,0
E,40,2,1,2023,0,0,0
E,41,2,1,2023,0,0,0
E,42,2,1,2023,0,0,0
E,43,2,1,2023,0,0,0
E,44,2,1,2023,0,0,0
E,45,2,1,2023,0,0,0
E,46,2,1,2023,0,0,0
E,47,2,1,2023,0,0,0
E,48,2,1,2023,0,0,0
E,49,2,1,2023,0,0,0
E,50,2,1,2023,0,0,0
E,51,2,1,2023,0,0,0
E,52,2,1,2023,0,0,0
E,53,2,1,2023,0,0,0
E,54,2,1,2023,0,0,0
E,55,2,1,2023,0,0,0
E,56,2,1,2023,0,0,0
E,57,2,1,2023,0,0,0
E,58,2,1,2023,0,0,0
E,59,2,1,2023,0,0,0
E,60,2,1,2023,0,0,0
E,61,2,1,2023,0,0,0
E,62,2,1,2023,0,0,0
E,63,2,1,2023,0,0,0
E,64,2,1,2023,0,0,0
E,65,2,1,2023,0,0,0
E,66,2,1,2023,0,0,0
E,67,2,1,2023,0,0,0
E,68,2,1,2023,0,0,0
E,69,2,1,2023,0,0,0
E,70,2,1,2023,0,0,0
E,71,2,1,2023,0,0,0
E,72,2,1,2023,0,0,0
E,73,2,1,2023,0,0,0
E,74,2,1,2023,0,0,0
E,75,2,1,2023,0,0,0
E,76,2,1,2023,0,0,0
E,77,2,1,2023,0,0,0
E,78,2,1,2023,0,0,0
E,79,2,1,2023,0,0,0
E,80,2,1,2023,0,0,0
E,81,2,1,2023,0,0,0
E,82,2,1,2023,0,0,0
E,83,2,1,2023,0,0,0
E,84,2,1,2023,0,0,0
E,85,2,1,2023,0,0,0
E,86,2,1,2023,0,0,0
E,87,2,1,2023,0,0,0
E,88,2,1,2023,0,0,0
E,89,2,1,2023,0,0,0
E,90,2,1,2023,0,0,0
E,91,2,1,2023,0,0,0
E,92,2,1,2023,0,0,0
E,93,2,1,2023,0,0,0
E,94,2,1,2023,0,0,0
E,95,2,1,2023,0,0,0
E,96,2,1,2023,0,0,0
E,97,2,1,2023,0,0,0
E,98,2,1,2023,0,0,0
E,99,2,1,2023,0,0,0
E,100,2,1,2023,0,0,0
E,101,2,1,2023,0,0,0
E,1,3,1,2023,0,0,0
E,2,3,1,2023,0,0,0
E,3,3,1,2023,0,0,0
E,4,3,1,2023,0,0,0
E,5,3,1,2023,0,0,0
E,6,3,1,2023,0,0,0
E,7,3,1,2023,0,0,0
E,8,3,1,2023,0,0,0
E,9,3,1,2023,0,0,0
E,10,3,1,2023,0,0,0
E,11,3,1,2023,0,0,0
E,12,3,1,2023,0,0,0
E,13,3,1,2023,0,0,0
E,14,3,1,2023,0,0,0
E,15,3,1,2023,0,0,0
E,16,3,1,2023,0,0,0
E,17,3,1,2023,0,0,0
E,18,3,1,2023,0,0,0
E,19,3,1,2023,0,0,0
E,20,3,1,2023,0,0,0
E,21,3,1,2023,0,0,0
E,22,3,1,2023,0,0,0
E,23,3,1,2023,0,0,0
E,24,3,1,2023,0,0,0
E,25,3,1,2023,0,0,0
E,26,3,1,2023,0,0,0
E,27,3,1,2023,0,0,0
E,28,3,1,2023,0,0,0
E,29,3,1,2023,0,0,0
E,30,3,1,2023,0,0,0
E,31,3,1,2023,0,0,0
E,32,3,1,2023,0,0,0
E,33,3,1,2023,0,0,0
E,34,3,1,2023,0,0,0
E,35,3,1,2023,0,0,0
E,36,3,1,2023,0,0,0
E,37,3,1,2023,0,0,0
E,38,3,1,2023,0,0,0
E,39,3,1,2023,0,0,0
E,40,3,1,2023,0,0,0
E,41,3,1,2023,0,0,0
E,42,3,1,2023,0,0,0
E,43,3,1,2023,0,0,0
E,44,3,1,2023,0,0,0
E,45,3,1,2023,0,0,0
E,46,3,1,2023,0,0,0
E,47,3,1,2023,0,0,0
E,48,3,1,2023,0,0,0
E,49,3,1,2023,0,0,0
E,50,3,1,2023,0,0,0
E,51,3,1,2023,0,0,0
E,52,3,1,2023,0,0,0
E,53,3,1,2023,0,0,0
E,54,3,1,2023,0,0,0
E,55,3,1,2023,0,0,0
E,56,3,1,2023,0,0,0
E,57,3,1,2023,0,0,0
E,58,3,1,2023,0,0,0
E,59,3,1,2023,0,0,0
E,60,3,1,2023,0,0,0
E,61,3,1,2023,0,0,0
E,62,3,1,2023,0,0,0
E,63,3,1,2023,0,0,0
E,64,3,1,2023,0,0,0
E,65,3,1,2023,0,0,0
E,66,3,1,2023,0,0,0
E,67,3,1,2023,0,0,0
E,68,3,1,2023,0,0,0
E,69,3,1,2023,0,0,0
E,70,3,1,2023,0,0,0
E,71,3,1,2023,0,0,0
E,72,3,1,2023,0,0,0
E,73,3,1,2023,0,0,0
E,74,3,1,2023,0,0,0
E,75,3,1,2023,0,0,0
E,76,3,1,2023,0,0,0
E,77,3,1,2023,0,0,0
E,78,3,1,2023,0,0,0
E,79,3,1,2023,0,0,0
E,80,3,1,2023,0,0,0
E,81,3,1,2023,0,0,0
E,82,3,1,2023,0,0,0
E,83,3,1,2023,0,0,0
E,84,3,1,2023,0,0,0
E,85,3,1,2023,0,0,0
E,86,3,1,2023,0,0,0
E,87,3,1,2023,0,0,0
E,88,3,1,2023,0,0,0
E,89,3,1,2023,0,0,0
E,90,3,1,2023,0,0,0
E,91,3,1,2023,0,0,0
E,92,3,1,2023,0,0,0
E,93,3,1,2023,0,0,0
E,94,3,1,2023,0,0,0
E,95,3,1,2023,0,0,0
E,96,3,1,2023,0,0,0
E,97,3,1,2023,0,0,0
E,98,3,1,2023,0,0,0
E,99,3,1,2023,0,0,0
E,100,3,1,2023,0,0,0
E,101,3,1,2023,0,0,0
I,1,1,1,2023,0,0,9
I,2,1,1,2023,0,0,15
I,3,1,1,2023,0,0,16
I,4,1,1,2023,0,0,18
I,5,1,1,2023,0,0,15
I,6,1,1,2023,0,0,11
I,7,1,1,2023,0,0,11
I,8,1,1,2023,0,0,14
I,9,1,1,2023,0,0,11
I,10,1,1,2023,0,0,13
I,11,1,1,2023,0,0,14
I,12,1,1,2023,0,0,16
I,13,1,1,2023,0,0,14
I,14,1,1,2023,0,0,12
I,15,1,1,2023,0,0,10
I,16,1,1,2023,0,0,15
I,17,1,1,2023,0,0,14
I,18,1,1,2023,0,0,9
I,19,1,1,2023,0,0,6
I,20,1,1,2023,0,0,8
I,21,1,1,2023,0,0,4
I,22,1,1,2023,0,0,5
I,23,1,1,2023,0,0,6
I,24,1,1,2023,0,0,5
I,25,1,1,2023,0,0,9
I,26,1,1,2023,0,0,12
I,27,1,1,2023,0,0,4
I,28,1,1,2023,0,0,7
I,29,1,1,2023,0,0,5
