state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,534804.5,343812,833387,Susceptible
S,2,1,1,2023,809791.5,690504,856177,Susceptible
S,3,1,1,2023,902499,883656,912786,Susceptible
S,4,1,1,2023,977103,954511,992220,Susceptible
S,5,1,1,2023,1053886.5,1035514,1075169,Susceptible
S,6,1,1,2023,1138468,1120984,1156908,Susceptible
S,7,1,1,2023,1222842,1207616,1240373,Susceptible
S,8,1,1,2023,1304309,1287475,1322423,Susceptible
S,9,1,1,2023,1376293,1357275,1395752,Susceptible
S,10,1,1,2023,1437814,1415945,1458287,Susceptible
S,11,1,1,2023,1486474.5,1461697,1511088,Susceptible
S,12,1,1,2023,1522700,1495994,1549738,Susceptible
S,13,1,1,2023,1549452,1519893,1578690,Susceptible
S,14,1,1,2023,1566037.5,1535600,1594891,Susceptible
S,15,1,1,2023,1575184,1546865,1606600,Susceptible
S,16,1,1,2023,1582896.5,1554000,1612183,Susceptible
S,17,1,1,2023,1586820.5,1559242,1614578,Susceptible
S,18,1,1,2023,1588523.5,1564386,1614349,Susceptible
S,19,1,1,2023,1589063.5,1566069,1612871,Susceptible
S,20,1,1,2023,1588743.5,1568864,1611262,Susceptible
S,21,1,1,2023,1584042.5,1563863,1603852,Susceptible
S,22,1,1,2023,1573318.5,1553582,1594129,Susceptible
S,23,1,1,2023,1558157.5,1537569,1578054,Susceptible
S,24,1,1,2023,1536910.5,1515652,1557714,Susceptible
S,25,1,1,2023,1512441,1489537,1534658,Susceptible
S,26,1,1,2023,1480964.5,1456500,1504813,Susceptible
S,27,1,1,2023,1445960,1420916,1470098,Susceptible
S,28,1,1,2023,1407473.5,1380833,1431267,Susceptible
S,29,1,1,2023,1368448.5,1341891,1392846,Susceptible
S,30,1,1,2023,1327626,1301628,1352436,Susceptible
S,31,1,1,2023,1286047,1261182,1311907,Susceptible
S,32,1,1,2023,1245457,1219367,1270767,Susceptible
S,33,1,1,2023,1203326.5,1178196,1228288,Susceptible
S,34,1,1,2023,1163006.5,1139799,1188088,Susceptible
S,35,1,1,2023,1124119.5,1101638,1147753,Susceptible
S,36,1,1,2023,1086936.5,1065497,1108444,Susceptible
S,37,1,1,2023,1049979,1028540,1070721,Susceptible
S,38,1,1,2023,1013927.5,994567,1033683,Susceptible
S,39,1,1,2023,979281.5,959932,997396,Susceptible
S,40,1,1,2023,944893,925905,963342,Susceptible
S,41,1,1,2023,911017,893853,928989,Susceptible
S,42,1,1,2023,878240.5,861723,895597,Susceptible
S,43,1,1,2023,846456,830398,862784,Susceptible
S,44,1,1,2023,815982,800534,831633,Susceptible
S,45,1,1,2023,786069,770780,801823,Susceptible
S,46,1,1,2023,756317,740981,771550,Susceptible
S,47,1,1,2023,726517,711151,742385,Susceptible
S,48,1,1,2023,698354,683732,713941,Susceptible
S,49,1,1,2023,670629,657346,685862,Susceptible
S,50,1,1,2023,644560,631073,657980,Susceptible
S,51,1,1,2023,618272.5,604043,632417,Susceptible
S,52,1,1,2023,591913,578676,605194,Susceptible
S,53,1,1,2023,567099.5,554255,580197,Susceptible
S,54,1,1,2023,543119,530346,555693,Susceptible
S,55,1,1,2023,519345.5,507238,531461,Susceptible
S,56,1,1,2023,495840,484003,508139,Susceptible
S,57,1,1,2023,474343.5,460928,486231,Susceptible
S,58,1,1,2023,452250.5,439297,464459,Susceptible
S,59,1,1,2023,431508,418894,443400,Susceptible
S,60,1,1,2023,410375,397520,421683,Susceptible
S,61,1,1,2023,389944,378577,401096,Susceptible
S,62,1,1,2023,369893,358691,380480,Susceptible
S,63,1,1,2023,350222.5,339418,360417,Susceptible
S,64,1,1,2023,331698,321531,341279,Susceptible
S,65,1,1,2023,313053.5,302869,322693,Susceptible
S,66,1,1,2023,294837,285293,303813,Susceptible
S,67,1,1,2023,277055.5,268020,286078,Susceptible
S,68,1,1,2023,259367.5,250681,268643,Susceptible
S,69,1,1,2023,242713,233976,250987,Susceptible
S,70,1,1,2023,226496,217489,234905,Susceptible
S,71,1,1,2023,210158,202174,218552,Susceptible
S,72,1,1,2023,195172,187055,202870,Susceptible
S,73,1,1,2023,180224.5,172526,187636,Susceptible
S,74,1,1,2023,165378,157887,173172,Susceptible
S,75,1,1,2023,151198,144013,158386,Susceptible
S,76,1,1,2023,137359,130405,144214,Susceptible
S,77,1,1,2023,124271.5,117548,131010,Susceptible
S,78,1,1,2023,111616.5,104648,118128,Susceptible
S,79,1,1,2023,99240.5,92818,106067,Susceptible
S,80,1,1,2023,87722,81704,93637,Susceptible
S,81,1,1,2023,76822.5,71104,82450,Susceptible
S,82,1,1,2023,66640,61540,71893,Susceptible
S,83,1,1,2023,57212.5,52480,62250,Susceptible
S,84,1,1,2023,48457,44365,53025,Susceptible
S,85,1,1,2023,40686.5,36883,44893,Susceptible
S,86,1,1,2023,33532.5,30083,37237,Susceptible
S,87,1,1,2023,27082.5,23981,30530,Susceptible
S,88,1,1,2023,21677.5,19188,24576,Susceptible
S,89,1,1,2023,17028.5,14876,19400,Susceptible
S,90,1,1,2023,13132,11414,15042,Susceptible
S,91,1,1,2023,9970.5,8594,11579,Susceptible
S,92,1,1,2023,7501.5,6264,8737,Susceptible
S,93,1,1,2023,5522,4588,6535,Susceptible
S,94,1,1,2023,3982,3243,4811,Susceptible
S,95,1,1,2023,2771.5,2233,3438,Susceptible
S,96,1,1,2023,1889.5,1385,2428,Susceptible
S,97,1,1,2023,1246.5,899,1648,Susceptible
S,98,1,1,2023,810,608,1101,Susceptible
S,99,1,1,2023,503.5,371,694,Susceptible
S,100,1,1,2023,327,230,456,Susceptible
S,101,1,1,2023,469.5,319,658,Susceptible
S,1,2,1,2023,460246,364612,504250,Vaccine protected
S,2,2,1,2023,873312,812590,882552,Vaccine protected
S,3,2,1,2023,1139742.5,1126369,1146775,Vaccine protected
S,4,2,1,2023,1305163,1280578,1324120,Vaccine protected
S,5,2,1,2023,1391089,1362782,1417720,Vaccine protected
S,6,2,1,2023,1420850,1390706,1449481,Vaccine protected
S,7,2,1,2023,1408256.5,1377623,1437933,Vaccine protected
S,8,2,1,2023,1367599.5,1338312,1397006,Vaccine protected
S,9,2,1,2023,1309668.5,1280129,1338470,Vaccine protected
S,10,2,1,2023,1238989.5,1212753,1266851,Vaccine protected
S,11,2,1,2023,1163229.5,1139187,1187474,Vaccine protected
S,12,2,1,2023,1084602.5,1063390,1107344,Vaccine protected
S,13,2,1,2023,1005734.5,986168,1025877,Vaccine protected
S,14,2,1,2023,927417.5,909591,944707,Vaccine protected
S,15,2,1,2023,850396,833489,867219,Vaccine protected
S,16,2,1,2023,775138,757176,791734,Vaccine protected
S,17,2,1,2023,699503,680817,716738,Vaccine protected
S,18,2,1,2023,625135,606250,642706,Vaccine protected
S,19,2,1,2023,552966,533908,571146,Vaccine protected
S,20,2,1,2023,484329.5,465138,502156,Vaccine protected
S,21,2,1,2023,419769,401235,437542,Vaccine protected
S,22,2,1,2023,361293.5,344207,377218,Vaccine protected
S,23,2,1,2023,309113.5,294439,324791,Vaccine protected
S,24,2,1,2023,264830.5,252240,277885,Vaccine protected
S,25,2,1,2023,227037.5,216556,237978,Vaccine protected
S,26,2,1,2023,195145,186749,204295,Vaccine protected
S,27,2,1,2023,168839,162088,176293,Vaccine protected
S,28,2,1,2023,147177.5,142305,153035,Vaccine protected
S,29,2,1,2023,129391.5,125861,133814,Vaccine protected
S,30,2,1,2023,115138,112182,118332,Vaccine protected
S,31,2,1,2023,102641.5,100344,105241,Vaccine protected
S,32,2,1,2023,91911.5,90569,93928,Vaccine protected
S,33,2,1,2023,82976,81510,84487,Vaccine protected
S,34,2,1,2023,74814.5,73286,76080,Vaccine protected
S,35,2,1,2023,67276.5,66300,68522,Vaccine protected
S,36,2,1,2023,60643,59698,61855,Vaccine protected
S,37,2,1,2023,54581,53705,55579,Vaccine protected
S,38,2,1,2023,49026,48162,50171,Vaccine protected
S,39,2,1,2023,43710.5,42932,45327,Vaccine protected
S,40,2,1,2023,39071.5,38036,40175,Vaccine protected
S,41,2,1,2023,34614.5,33482,35627,Vaccine protected
S,42,2,1,2023,30509,29250,31352,Vaccine protected
S,43,2,1,2023,26587,25538,27727,Vaccine protected
S,44,2,1,2023,23123.5,22053,24098,Vaccine protected
S,45,2,1,2023,20151,19114,20998,Vaccine protected
S,46,2,1,2023,17432,16412,18289,Vaccine protected
S,47,2,1,2023,15067,14240,15732,Vaccine protected
S,48,2,1,2023,12984.5,12244,13782,Vaccine protected
S,49,2,1,2023,10971,10339,11602,Vaccine protected
S,50,2,1,2023,9399,8812,9867,Vaccine protected
S,51,2,1,2023,7957.5,7541,8394,Vaccine protected
S,52,2,1,2023,6690.5,6336,7013,Vaccine protected
S,53,2,1,2023,5592,5266,6036,Vaccine protected
S,54,2,1,2023,4742.5,4359,5018,Vaccine protected
S,55,2,1,2023,3919,3602,4197,Vaccine protected
S,56,2,1,2023,3192.5,2941,3442,Vaccine protected
S,57,2,1,2023,2644,2409,2867,Vaccine protected
S,58,2,1,2023,2162.5,2003,2410,Vaccine protected
S,59,2,1,2023,1808,1609,1980,Vaccine protected
S,60,2,1,2023,1485.5,1305,1606,Vaccine protected
S,61,2,1,2023,1203.5,1051,1311,Vaccine protected
S,62,2,1,2023,974.5,802,1079,Vaccine protected
S,63,2,1,2023,770.5,625,877,Vaccine protected
S,64,2,1,2023,649,535,721,Vaccine protected
S,65,2,1,2023,544.5,443,606,Vaccine protected
S,66,2,1,2023,444,344,510,Vaccine protected
S,67,2,1,2023,343,255,433,Vaccine protected
S,68,2,1,2023,266,205,339,Vaccine protected
S,69,2,1,2023,219,172,267,Vaccine protected
S,70,2,1,2023,182,159,235,Vaccine protected
S,71,2,1,2023,150.5,122,222,Vaccine protected
S,72,2,1,2023,121,77,154,Vaccine protected
S,73,2,1,2023,100.5,60,130,Vaccine protected
S,74,2,1,2023,86,43,98,Vaccine protected
S,75,2,1,2023,68.5,26,83,Vaccine protected
S,76,2,1,2023,54,23,74,Vaccine protected
S,77,2,1,2023,41,22,64,Vaccine protected
S,78,2,1,2023,27,16,66,Vaccine protected
S,79,2,1,2023,25,15,42,Vaccine protected
S,80,2,1,2023,18,9,27,Vaccine protected
S,81,2,1,2023,11,5,17,Vaccine protected
S,82,2,1,2023,7.5,3,15,Vaccine protected
S,83,2,1,2023,8,1,11,Vaccine protected
S,84,2,1,2023,5,0,15,Vaccine protected
S,85,2,1,2023,4,2,10,Vaccine protected
S,86,2,1,2023,2,0,7,Vaccine protected
S,87,2,1,2023,2,0,6,Vaccine protected
S,88,2,1,2023,0,0,3,Vaccine protected
S,89,2,1,2023,1,0,2,Vaccine protected
S,90,2,1,2023,0,0,2,Vaccine protected
S,91,2,1,2023,0,0,1,Vaccine protected
S,92,2,1,2023,0,0,1,Vaccine protected
S,93,2,1,2023,0,0,0,Vaccine protected
S,94,2,1,2023,0,0,0,Vaccine protected
S,95,2,1,2023,0,0,0,Vaccine protected
S,96,2,1,2023,0,0,0,Vaccine protected
S,97,2,1,2023,0,0,0,Vaccine protected
S,98,2,1,2023,0,0,0,Vaccine protected
S,99,2,1,2023,0,0,0,Vaccine protected
S,100,2,1,2023,0,0,0,Vaccine protected
S,101,2,1,2023,0,0,0,Vaccine protected
S,1,3,1,2023,1642371,928263,2897434,Vaccine protected
S,2,3,1,2023,2119107.5,1643324,2355555,Vaccine protected
S,3,3,1,2023,1901397.5,1750702,1924257,Vaccine protected
S,4,3,1,2023,1564435,1547308,1574121,Vaccine protected
S,5,3,1,2023,1273916.5,1251006,1288764,Vaccine protected
S,6,3,1,2023,1028896.5,1009019,1046676,Vaccine protected
S,7,3,1,2023,829210.5,812776,844878,Vaccine protected
S,8,3,1,2023,666957,652967,681360,Vaccine protected
S,9,3,1,2023,536244.5,524043,548423,Vaccine protected
S,10,3,1,2023,431086.5,421003,441535,Vaccine protected
S,11,3,1,2023,345546.5,338002,354153,Vaccine protected
S,12,3,1,2023,277884.5,271810,284637,Vaccine protected
S,13,3,1,2023,223972.5,219490,228773,Vaccine protected
S,14,3,1,2023,180681,177212,184661,Vaccine protected
S,15,3,1,2023,145820.5,142704,148859,Vaccine protected
S,16,3,1,2023,117581.5,115477,120187,Vaccine protected
S,17,3,1,2023,95182,93211,96830,Vaccine protected
S,18,3,1,2023,76449.5,74640,78227,Vaccine protected
S,19,3,1,2023,61035.5,59337,62546,Vaccine protected
S,20,3,1,2023,48373,46840,49878,Vaccine protected
S,21,3,1,2023,38184.5,36866,39667,Vaccine protected
S,22,3,1,2023,29835,28497,31240,Vaccine protected
S,23,3,1,2023,23095.5,21857,24150,Vaccine protected
S,24,3,1,2023,17741,16791,18786,Vaccine protected
S,25,3,1,2023,13646,12900,14475,Vaccine protected
S,26,3,1,2023,10553.5,9908,11156,Vaccine protected
S,27,3,1,2023,8042.5,7597,8639,Vaccine protected
S,28,3,1,2023,6249,5889,6687,Vaccine protected
S,29,3,1,2023,4776,4494,5119,Vaccine protected
S,30,3,1,2023,3766,3463,3996,Vaccine protected
