state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,53051,34460,82444,Susceptible
S,2,1,1,2023,78580.5,68703,81414,Susceptible
S,3,1,1,2023,85301.5,79682,87117,Susceptible
S,4,1,1,2023,93668.5,89307,97855,Susceptible
S,5,1,1,2023,113226.5,112486,114348,Susceptible
S,6,1,1,2023,147051,142427,154079,Susceptible
S,7,1,1,2023,194724.5,184344,208160,Susceptible
S,8,1,1,2023,254523.5,238956,272440,Susceptible
S,9,1,1,2023,322230.5,302841,342968,Susceptible
S,10,1,1,2023,393999.5,372520,416359,Susceptible
S,11,1,1,2023,467259.5,445016,490235,Susceptible
S,12,1,1,2023,541517,518570,564020,Susceptible
S,13,1,1,2023,614473,591460,637684,Susceptible
S,14,1,1,2023,687463.5,664100,712476,Susceptible
S,15,1,1,2023,759951,735495,785759,Susceptible
S,16,1,1,2023,831071,804376,858216,Susceptible
S,17,1,1,2023,899349.5,872480,926705,Susceptible
S,18,1,1,2023,962058,935957,987290,Susceptible
S,19,1,1,2023,1015935,991596,1039043,Susceptible
S,20,1,1,2023,1061461.5,1037587,1081387,Susceptible
S,21,1,1,2023,1097241.5,1073075,1112520,Susceptible
S,22,1,1,2023,1119148,1097404,1132770,Susceptible
S,23,1,1,2023,1129952.5,1108805,1145360,Susceptible
S,24,1,1,2023,1131634,1111522,1150684,Susceptible
S,25,1,1,2023,1126811.5,1105384,1148641,Susceptible
S,26,1,1,2023,1117067,1095109,1140490,Susceptible
S,27,1,1,2023,1103903,1080966,1126358,Susceptible
S,28,1,1,2023,1089504.5,1068189,1111757,Susceptible
S,29,1,1,2023,1074472,1053947,1094530,Susceptible
S,30,1,1,2023,1061751.5,1040893,1079874,Susceptible
S,31,1,1,2023,1050860.5,1032002,1069339,Susceptible
S,32,1,1,2023,1041298.5,1023449,1057386,Susceptible
S,33,1,1,2023,1031844,1014451,1047562,Susceptible
S,34,1,1,2023,1022801.5,1006048,1037688,Susceptible
S,35,1,1,2023,1013322.5,999038,1028446,Susceptible
S,36,1,1,2023,1003030,988839,1016008,Susceptible
S,37,1,1,2023,991138,976019,1003135,Susceptible
S,38,1,1,2023,977191,960815,990237,Susceptible
S,39,1,1,2023,959954.5,944318,975121,Susceptible
S,40,1,1,2023,940399.5,922755,954834,Susceptible
S,41,1,1,2023,918871,898399,933676,Susceptible
S,42,1,1,2023,894398,872542,911663,Susceptible
S,43,1,1,2023,868890.5,849044,886968,Susceptible
S,44,1,1,2023,842071,822751,860322,Susceptible
S,45,1,1,2023,813911.5,793822,832802,Susceptible
S,46,1,1,2023,784471,766792,802404,Susceptible
S,47,1,1,2023,755293,736682,772944,Susceptible
S,48,1,1,2023,724989.5,707337,743163,Susceptible
S,49,1,1,2023,695080,677570,713875,Susceptible
S,50,1,1,2023,665266,648068,683942,Susceptible
S,51,1,1,2023,635796,617666,652888,Susceptible
S,52,1,1,2023,605756.5,588961,622536,Susceptible
S,53,1,1,2023,576244,559407,592603,Susceptible
S,54,1,1,2023,547298,531368,562890,Susceptible
S,55,1,1,2023,519180.5,503611,534431,Susceptible
S,56,1,1,2023,491055,477591,505903,Susceptible
S,57,1,1,2023,463639,449864,477837,Susceptible
S,58,1,1,2023,437946,423818,451351,Susceptible
S,59,1,1,2023,412866,399420,425869,Susceptible
S,60,1,1,2023,388022.5,375321,401453,Susceptible
S,61,1,1,2023,363923.5,351753,376649,Susceptible
S,62,1,1,2023,340389.5,327873,352716,Susceptible
S,63,1,1,2023,316857.5,305160,329041,Susceptible
S,64,1,1,2023,293762,282556,306095,Susceptible
S,65,1,1,2023,271666,259491,283860,Susceptible
S,66,1,1,2023,249783.5,238039,261627,Susceptible
S,67,1,1,2023,228215.5,217089,239617,Susceptible
S,68,1,1,2023,207484,196640,218733,Susceptible
S,69,1,1,2023,187962.5,177728,197939,Susceptible
S,70,1,1,2023,168824,159131,178395,Susceptible
S,71,1,1,2023,150439,141548,159785,Susceptible
S,72,1,1,2023,133241.5,124494,141954,Susceptible
S,73,1,1,2023,116989.5,108910,125423,Susceptible
S,74,1,1,2023,102029.5,94450,109793,Susceptible
S,75,1,1,2023,88309.5,81513,95438,Susceptible
S,76,1,1,2023,75860,69528,82260,Susceptible
S,77,1,1,2023,64326.5,58520,70168,Susceptible
S,78,1,1,2023,54206,49264,59616,Susceptible
S,79,1,1,2023,45072.5,40961,49797,Susceptible
S,80,1,1,2023,37346,33519,41490,Susceptible
S,81,1,1,2023,30565,27374,34132,Susceptible
S,82,1,1,2023,24675.5,21946,27863,Susceptible
S,83,1,1,2023,19716.5,17327,22330,Susceptible
S,84,1,1,2023,15578.5,13635,17734,Susceptible
S,85,1,1,2023,12166,10629,13886,Susceptible
S,86,1,1,2023,9396,8144,10845,Susceptible
S,87,1,1,2023,7252.5,6222,8325,Susceptible
S,88,1,1,2023,5497.5,4650,6399,Susceptible
S,89,1,1,2023,4082.5,3432,4824,Susceptible
S,90,1,1,2023,2994.5,2479,3540,Susceptible
S,91,1,1,2023,2198,1790,2656,Susceptible
S,92,1,1,2023,1577,1289,1932,Susceptible
S,93,1,1,2023,1111,878,1351,Susceptible
S,94,1,1,2023,760,578,972,Susceptible
S,95,1,1,2023,515,401,670,Susceptible
S,96,1,1,2023,346.5,249,437,Susceptible
S,97,1,1,2023,233,160,307,Susceptible
S,98,1,1,2023,153,99,220,Susceptible
S,99,1,1,2023,97,62,143,Susceptible
S,100,1,1,2023,59,36,104,Susceptible
S,101,1,1,2023,85,54,137,Susceptible
S,1,2,1,2023,327885.5,266009,356944,Vaccine protected
S,2,2,1,2023,667853.5,627562,673995,Vaccine protected
S,3,2,1,2023,940791,933946,945647,Vaccine protected
S,4,2,1,2023,1165511,1149279,1176613,Vaccine protected
S,5,2,1,2023,1341775,1319476,1361510,Vaccine protected
S,6,2,1,2023,1478155,1451243,1504731,Vaccine protected
S,7,2,1,2023,1579271.5,1549394,1609417,Vaccine protected
S,8,2,1,2023,1651983.5,1619222,1684356,Vaccine protected
S,9,2,1,2023,1703869,1671437,1736700,Vaccine protected
S,10,2,1,2023,1737855.5,1706094,1770757,Vaccine protected
S,11,2,1,2023,1758261,1727026,1789223,Vaccine protected
S,12,2,1,2023,1766384,1736287,1795677,Vaccine protected
S,13,2,1,2023,1761972.5,1730758,1793049,Vaccine protected
S,14,2,1,2023,1744563,1711593,1776007,Vaccine protected
S,15,2,1,2023,1714694.5,1678898,1748722,Vaccine protected
S,16,2,1,2023,1671745,1633730,1708499,Vaccine protected
S,17,2,1,2023,1618825.5,1577916,1657999,Vaccine protected
S,18,2,1,2023,1556301.5,1514990,1597240,Vaccine protected
S,19,2,1,2023,1488503,1447324,1531080,Vaccine protected
S,20,2,1,2023,1417233,1377130,1459075,Vaccine protected
S,21,2,1,2023,1348123,1308276,1387539,Vaccine protected
S,22,2,1,2023,1280327.5,1243678,1317176,Vaccine protected
S,23,2,1,2023,1215537,1181288,1250911,Vaccine protected
S,24,2,1,2023,1156341,1125283,1187613,Vaccine protected
S,25,2,1,2023,1100443.5,1071276,1128773,Vaccine protected
S,26,2,1,2023,1044706.5,1018608,1072005,Vaccine protected
S,27,2,1,2023,990796.5,966001,1016599,Vaccine protected
S,28,2,1,2023,935835.5,911650,960619,Vaccine protected
S,29,2,1,2023,881439,855580,905923,Vaccine protected
S,30,2,1,2023,824190.5,798419,849091,Vaccine protected
S,31,2,1,2023,766070.5,739968,792498,Vaccine protected
S,32,2,1,2023,707479.5,681021,733784,Vaccine protected
S,33,2,1,2023,647773.5,621860,674394,Vaccine protected
S,34,2,1,2023,589442.5,564202,615228,Vaccine protected
S,35,2,1,2023,532775,507876,557926,Vaccine protected
S,36,2,1,2023,478582,454642,502971,Vaccine protected
S,37,2,1,2023,428057.5,405291,451031,Vaccine protected
S,38,2,1,2023,381023,359816,402520,Vaccine protected
S,39,2,1,2023,338414.5,318662,358175,Vaccine protected
S,40,2,1,2023,299319.5,282020,317820,Vaccine protected
S,41,2,1,2023,265428.5,250271,281770,Vaccine protected
S,42,2,1,2023,235065,221716,249237,Vaccine protected
S,43,2,1,2023,208254.5,196427,220328,Vaccine protected
S,44,2,1,2023,184825,174442,195583,Vaccine protected
S,45,2,1,2023,164167.5,154881,173907,Vaccine protected
S,46,2,1,2023,145957,137477,154534,Vaccine protected
S,47,2,1,2023,129764.5,122394,137587,Vaccine protected
S,48,2,1,2023,115317.5,108832,122498,Vaccine protected
S,49,2,1,2023,102538.5,96582,108675,Vaccine protected
S,50,2,1,2023,91344,86029,96858,Vaccine protected
S,51,2,1,2023,80960,75900,86207,Vaccine protected
S,52,2,1,2023,71537,66910,76224,Vaccine protected
S,53,2,1,2023,62955.5,58968,67260,Vaccine protected
S,54,2,1,2023,55171,51269,59095,Vaccine protected
