state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,280637,174836,450661,Susceptible
S,2,1,1,2023,315627,284649,326493,Susceptible
S,3,1,1,2023,261475.5,223563,280616,Susceptible
S,4,1,1,2023,207478.5,182372,234857,Susceptible
S,5,1,1,2023,177137,162365,197503,Susceptible
S,6,1,1,2023,166356.5,158834,177627,Susceptible
S,7,1,1,2023,205702.5,195613,226481,Susceptible
S,8,1,1,2023,269997,247257,297977,Susceptible
S,9,1,1,2023,344085,315332,374891,Susceptible
S,10,1,1,2023,420502,389705,451744,Susceptible
S,11,1,1,2023,496663.5,465876,527631,Susceptible
S,12,1,1,2023,570749,540867,601105,Susceptible
S,13,1,1,2023,645324,615085,675668,Susceptible
S,14,1,1,2023,719285.5,689610,749592,Susceptible
S,15,1,1,2023,794660.5,764570,825389,Susceptible
S,16,1,1,2023,869078,838984,899473,Susceptible
S,17,1,1,2023,944224,913993,975444,Susceptible
S,18,1,1,2023,1023451,990447,1057745,Susceptible
S,19,1,1,2023,1111105,1074623,1150001,Susceptible
S,20,1,1,2023,1205770.5,1166444,1248343,Susceptible
S,21,1,1,2023,1301245,1260212,1343362,Susceptible
S,22,1,1,2023,1389298,1350834,1427558,Susceptible
S,23,1,1,2023,1458770,1427137,1490211,Susceptible
S,24,1,1,2023,1508062.5,1482865,1530076,Susceptible
S,25,1,1,2023,1535977.5,1518515,1550173,Susceptible
S,26,1,1,2023,1547281.5,1537907,1555747,Susceptible
S,27,1,1,2023,1546630.5,1537524,1555227,Susceptible
S,28,1,1,2023,1538129,1527815,1549876,Susceptible
S,29,1,1,2023,1524116,1512324,1537191,Susceptible
S,30,1,1,2023,1506627,1491741,1521705,Susceptible
S,31,1,1,2023,1486437,1470204,1502361,Susceptible
S,32,1,1,2023,1464666,1448443,1479303,Susceptible
S,33,1,1,2023,1439676,1422715,1456708,Susceptible
S,34,1,1,2023,1412383.5,1395830,1429321,Susceptible
S,35,1,1,2023,1384414,1367371,1400919,Susceptible
S,36,1,1,2023,1353935.5,1335813,1372106,Susceptible
S,37,1,1,2023,1320255.5,1301778,1338940,Susceptible
S,38,1,1,2023,1285994,1265155,1305641,Susceptible
S,39,1,1,2023,1249167.5,1227885,1269296,Susceptible
S,40,1,1,2023,1210592,1189062,1231351,Susceptible
S,41,1,1,2023,1170483,1149479,1192069,Susceptible
S,42,1,1,2023,1129669.5,1108762,1151109,Susceptible
S,43,1,1,2023,1088439.5,1066467,1109939,Susceptible
S,44,1,1,2023,1046146,1024540,1067287,Susceptible
S,45,1,1,2023,1003366,982502,1025133,Susceptible
S,46,1,1,2023,960692,938872,982517,Susceptible
S,47,1,1,2023,917393,896671,940165,Susceptible
S,48,1,1,2023,875316,854265,896868,Susceptible
S,49,1,1,2023,832791,812320,853529,Susceptible
S,50,1,1,2023,790869.5,770809,811537,Susceptible
S,51,1,1,2023,748915.5,729371,769695,Susceptible
S,52,1,1,2023,708253,689429,728616,Susceptible
S,53,1,1,2023,668894,650126,688430,Susceptible
S,54,1,1,2023,630629,611849,649403,Susceptible
S,55,1,1,2023,593221.5,574733,612066,Susceptible
S,56,1,1,2023,557351,539509,574975,Susceptible
S,57,1,1,2023,522246,505437,539495,Susceptible
S,58,1,1,2023,488762,472199,506009,Susceptible
S,59,1,1,2023,456788,441593,472981,Susceptible
S,60,1,1,2023,426233,411020,441925,Susceptible
S,61,1,1,2023,396075.5,381745,412065,Susceptible
S,62,1,1,2023,367948.5,353853,382352,Susceptible
S,63,1,1,2023,340775,327134,354744,Susceptible
S,64,1,1,2023,314650,301299,328273,Susceptible
S,65,1,1,2023,289390,276494,302043,Susceptible
S,66,1,1,2023,264978,253548,277617,Susceptible
S,67,1,1,2023,242668,231686,254064,Susceptible
S,68,1,1,2023,220709,209970,231485,Susceptible
S,69,1,1,2023,200275.5,190392,210436,Susceptible
S,70,1,1,2023,181149.5,172170,190539,Susceptible
S,71,1,1,2023,163097.5,154500,171863,Susceptible
S,72,1,1,2023,146335,138212,154513,Susceptible
S,73,1,1,2023,130692.5,122747,138496,Susceptible
S,74,1,1,2023,115953,108977,123428,Susceptible
S,75,1,1,2023,102556,95981,109352,Susceptible
S,76,1,1,2023,90269.5,84395,96461,Susceptible
S,77,1,1,2023,78901.5,73477,84360,Susceptible
S,78,1,1,2023,68597.5,63754,73569,Susceptible
S,79,1,1,2023,59368,55037,64032,Susceptible
S,80,1,1,2023,50744,46861,55107,Susceptible
S,81,1,1,2023,43370,39623,47126,Susceptible
S,82,1,1,2023,36658.5,33327,40140,Susceptible
S,83,1,1,2023,30758.5,27877,33904,Susceptible
S,84,1,1,2023,25530.5,22909,28215,Susceptible
S,85,1,1,2023,20829,18642,23399,Susceptible
S,86,1,1,2023,16906,15062,18992,Susceptible
S,87,1,1,2023,13525,11957,15285,Susceptible
S,88,1,1,2023,10698.5,9347,12205,Susceptible
S,89,1,1,2023,8365,7235,9525,Susceptible
S,90,1,1,2023,6398,5404,7510,Susceptible
S,91,1,1,2023,4747.5,3985,5652,Susceptible
S,92,1,1,2023,3517.5,2938,4192,Susceptible
S,93,1,1,2023,2567,2140,3077,Susceptible
S,94,1,1,2023,1861.5,1528,2253,Susceptible
S,95,1,1,2023,1287,1025,1569,Susceptible
S,96,1,1,2023,888,690,1131,Susceptible
S,97,1,1,2023,582,444,766,Susceptible
S,98,1,1,2023,380.5,278,513,Susceptible
S,99,1,1,2023,251.5,148,351,Susceptible
S,100,1,1,2023,157,98,225,Susceptible
S,101,1,1,2023,249.5,164,365,Susceptible
S,1,2,1,2023,126447.5,103532,137447,Vaccine protected
S,2,2,1,2023,68146,59075,76612,Vaccine protected
S,3,2,1,2023,141834,125638,158771,Vaccine protected
S,4,2,1,2023,245424,220655,271550,Vaccine protected
S,5,2,1,2023,373382,341466,405447,Vaccine protected
S,6,2,1,2023,509140.5,476151,539072,Vaccine protected
S,7,2,1,2023,632197.5,606744,650961,Vaccine protected
S,8,2,1,2023,730161,715788,737531,Vaccine protected
S,9,2,1,2023,800141,794603,803107,Vaccine protected
S,10,2,1,2023,848853.5,836213,857322,Vaccine protected
S,11,2,1,2023,880955,863403,896944,Vaccine protected
S,12,2,1,2023,900578,879532,919966,Vaccine protected
S,13,2,1,2023,910068,887123,931866,Vaccine protected
S,14,2,1,2023,909548,884064,934490,Vaccine protected
S,15,2,1,2023,900690.5,873347,927673,Vaccine protected
S,16,2,1,2023,883463.5,854305,911797,Vaccine protected
S,17,2,1,2023,858057.5,826894,888042,Vaccine protected
S,18,2,1,2023,825025,792123,857915,Vaccine protected
S,19,2,1,2023,785257.5,751286,819330,Vaccine protected
S,20,2,1,2023,740141.5,704788,775076,Vaccine protected
S,21,2,1,2023,690507.5,656898,725720,Vaccine protected
S,22,2,1,2023,641013.5,608099,674766,Vaccine protected
S,23,2,1,2023,593356,563894,624673,Vaccine protected
S,24,2,1,2023,548708.5,522533,576865,Vaccine protected
S,25,2,1,2023,508843,485683,534261,Vaccine protected
S,26,2,1,2023,472097.5,450592,494995,Vaccine protected
S,27,2,1,2023,437194,417527,457695,Vaccine protected
S,28,2,1,2023,403992.5,385216,423545,Vaccine protected
S,29,2,1,2023,371419,354201,389724,Vaccine protected
S,30,2,1,2023,340154,323400,357771,Vaccine protected
S,31,2,1,2023,309479,292996,325954,Vaccine protected
S,32,2,1,2023,279535.5,263873,295344,Vaccine protected
S,33,2,1,2023,251103.5,236308,266209,Vaccine protected
S,34,2,1,2023,223991.5,210466,238417,Vaccine protected
S,35,2,1,2023,198514,186018,211540,Vaccine protected
S,36,2,1,2023,175455,163772,187314,Vaccine protected
S,37,2,1,2023,154010.5,143213,164846,Vaccine protected
S,38,2,1,2023,134373.5,124592,144231,Vaccine protected
S,39,2,1,2023,116585.5,107857,125711,Vaccine protected
S,40,2,1,2023,100592,92782,108823,Vaccine protected
S,41,2,1,2023,86718.5,79783,93895,Vaccine protected
S,42,2,1,2023,74350.5,68403,80649,Vaccine protected
S,43,2,1,2023,63702,58582,69244,Vaccine protected
S,44,2,1,2023,54448.5,49933,59111,Vaccine protected
S,45,2,1,2023,46331.5,42548,50472,Vaccine protected
S,46,2,1,2023,39468.5,36254,43135,Vaccine protected
S,47,2,1,2023,33616.5,30802,36658,Vaccine protected
S,48,2,1,2023,28712.5,26347,31401,Vaccine protected
S,49,2,1,2023,24731.5,22413,26879,Vaccine protected
S,50,2,1,2023,21153.5,19369,22966,Vaccine protected
S,51,2,1,2023,18093.5,16585,19717,Vaccine protected
S,52,2,1,2023,15511,14183,16885,Vaccine protected
S,53,2,1,2023,13345.5,12256,14549,Vaccine protected
S,54,2,1,2023,11457,10404,12494,Vaccine protected
S,55,2,1,2023,9837.5,8990,10743,Vaccine protected
S,56,2,1,2023,8384.5,7667,9207,Vaccine protected
S,57,2,1,2023,7282.5,6618,7911,Vaccine protected
S,58,2,1,2023,6246,5625,6808,Vaccine protected
S,59,2,1,2023,5291,4824,5834,Vaccine protected
S,60,2,1,2023,4477.5,4043,4999,Vaccine protected
S,61,2,1,2023,3820,3420,4221,Vaccine protected
S,62,2,1,2023,3287,2977,3605,Vaccine protected
S,63,2,1,2023,2865,2553,3203,Vaccine protected
S,64,2,1,2023,2487.5,2180,2737,Vaccine protected
S,65,2,1,2023,2161,1840,2394,Vaccine protected
S,66,2,1,2023,1874,1656,2077,Vaccine protected
S,67,2,1,2023,1623,1454,1854,Vaccine protected
S,68,2,1,2023,1415.5,1286,1617,Vaccine protected
S,69,2,1,2023,1256,1135,1420,Vaccine protected
S,70,2,1,2023,1079,955,1296,Vaccine protected
S,71,2,1,2023,932.5,806,1085,Vaccine protected
S,72,2,1,2023,803.5,683,893,Vaccine protected
S,73,2,1,2023,686.5,585,772,Vaccine protected
S,74,2,1,2023,601.5,506,682,Vaccine protected
S,75,2,1,2023,505.5,436,584,Vaccine protected
S,76,2,1,2023,422,328,495,Vaccine protected
S,77,2,1,2023,353,278,426,Vaccine protected
S,78,2,1,2023,286.5,215,345,Vaccine protected
S,79,2,1,2023,213,163,272,Vaccine protected
S,80,2,1,2023,171,134,236,Vaccine protected
S,81,2,1,2023,122,67,169,Vaccine protected
S,82,2,1,2023,104,56,137,Vaccine protected
S,83,2,1,2023,79,49,121,Vaccine protected
S,84,2,1,2023,55,38,95,Vaccine protected
S,85,2,1,2023,39,17,79,Vaccine protected
S,86,2,1,2023,25,13,49,Vaccine protected
S,87,2,1,2023,20,6,29,Vaccine protected
S,88,2,1,2023,14,3,22,Vaccine protected
S,89,2,1,2023,10,2,17,Vaccine protected
S,90,2,1,2023,7,3,15,Vaccine protected
S,91,2,1,2023,5,2,11,Vaccine protected
S,92,2,1,2023,2,0,7,Vaccine protected
S,93,2,1,2023,1,0,7,Vaccine protected
S,94,2,1,2023,1,0,5,Vaccine protected
S,95,2,1,2023,1,0,4,Vaccine protected
S,96,2,1,2023,1,0,4,Vaccine protected
S,97,2,1,2023,0,0,4,Vaccine protected
S,98,2,1,2023,0,0,0,Vaccine protected
S,99,2,1,2023,0,0,1,Vaccine protected
S,100,2,1,2023,0,0,3,Vaccine protected
S,101,2,1,2023,0,0,1,Vaccine protected
S,1,3,1,2023,2218529,1351232,3628546,Vaccine protected
S,2,3,1,2023,739925.5,560903,918572,Vaccine protected
S,3,3,1,2023,1039281.5,874410,1196858,Vaccine protected
S,4,3,1,2023,1332521,1169005,1502336,Vaccine protected
S,5,3,1,2023,1638255.5,1465236,1819847,Vaccine protected
S,6,3,1,2023,1920740.5,1749895,2089546,Vaccine protected
S,7,3,1,2023,2093647.5,1962784,2205905,Vaccine protected
S,8,3,1,2023,2154657.5,2071069,2217500,Vaccine protected
S,9,3,1,2023,2127765.5,2087269,2150850,Vaccine protected
S,10,3,1,2023,2039163.5,2025704,2048476,Vaccine protected
S,11,3,1,2023,1925842.5,1900939,1945168,Vaccine protected
S,12,3,1,2023,1805338.5,1776657,1830780,Vaccine protected
S,13,3,1,2023,1686311.5,1659019,1712557,Vaccine protected
S,14,3,1,2023,1573012.5,1546296,1599685,Vaccine protected
S,15,3,1,2023,1464399.5,1439535,1490805,Vaccine protected
S,16,3,1,2023,1361401,1336897,1385670,Vaccine protected
S,17,3,1,2023,1259927,1235110,1284652,Vaccine protected
S,18,3,1,2023,1157085,1128670,1184064,Vaccine protected
S,19,3,1,2023,1047828.5,1013830,1079388,Vaccine protected
S,20,3,1,2023,931712,892061,967554,Vaccine protected
S,21,3,1,2023,813114.5,769852,852549,Vaccine protected
S,22,3,1,2023,698495.5,656330,739885,Vaccine protected
S,23,3,1,2023,595429,558855,633492,Vaccine protected
S,24,3,1,2023,508294,478272,541001,Vaccine protected
S,25,3,1,2023,437046.5,412617,463650,Vaccine protected
S,26,3,1,2023,378548,359064,400124,Vaccine protected
S,27,3,1,2023,330860,314794,347965,Vaccine protected
S,28,3,1,2023,290238,277036,304918,Vaccine protected
S,29,3,1,2023,255178.5,243068,267441,Vaccine protected
S,30,3,1,2023,223126,212522,234458,Vaccine protected
S,31,3,1,2023,194962,185158,205053,Vaccine protected
S,32,3,1,2023,169723.5,160969,178650,Vaccine protected
S,33,3,1,2023,147006,138866,155234,Vaccine protected
S,34,3,1,2023,126393,119263,134002,Vaccine protected
S,35,3,1,2023,108362.5,101979,114927,Vaccine protected
S,36,3,1,2023,92087.5,86251,98309,Vaccine protected
S,37,3,1,2023,78030.5,72730,83444,Vaccine protected
S,38,3,1,2023,65807,61258,70554,Vaccine protected
S,39,3,1,2023,55256.5,51216,59346,Vaccine protected
S,40,3,1,2023,46146.5,42740,49765,Vaccine protected
S,41,3,1,2023,38237.5,35303,41416,Vaccine protected
S,42,3,1,2023,31637.5,29066,34376,Vaccine protected
S,43,3,1,2023,26212.5,24007,28607,Vaccine protected
S,44,3,1,2023,21688,19853,23867,Vaccine protected
S,45,3,1,2023,17895.5,16410,19549,Vaccine protected
S,46,3,1,2023,14849.5,13520,16124,Vaccine protected
S,47,3,1,2023,12146,11195,13256,Vaccine protected
S,48,3,1,2023,10013.5,9172,10942,Vaccine protected
S,49,3,1,2023,8247,7550,9072,Vaccine protected
S,50,3,1,2023,6808.5,6128,7467,Vaccine protected
S,51,3,1,2023,5599,5099,6196,Vaccine protected
S,52,3,1,2023,4595,4144,4998,Vaccine protected
S,53,3,1,2023,3783.5,3452,4212,Vaccine protected
S,54,3,1,2023,3159,2855,3494,Vaccine protected
S,55,3,1,2023,2613.5,2326,2871,Vaccine protected
S,56,3,1,2023,2179.5,1917,2401,Vaccine protected
S,57,3,1,2023,1806,1597,2001,Vaccine protected
S,58,3,1,2023,1469.5,1301,1658,Vaccine protected
S,59,3,1,2023,1211,1054,1409,Vaccine protected
S,60,3,1,2023,1016,877,1164,Vaccine protected
S,61,3,1,2023,846,714,1008,Vaccine protected
S,62,3,1,2023,728,621,914,Vaccine protected
S,63,3,1,2023,575,497,756,Vaccine protected
S,64,3,1,2023,481,398,625,Vaccine protected
S,65,3,1,2023,393.5,319,488,Vaccine protected
S,66,3,1,2023,337,262,413,Vaccine protected
S,67,3,1,2023,272.5,227,345,Vaccine protected
S,68,3,1,2023,228.5,178,314,Vaccine protected
S,69,3,1,2023,209,160,259,Vaccine protected
S,70,3,1,2023,176,115,217,Vaccine protected
S,71,3,1,2023,143,104,173,Vaccine protected
S,72,3,1,2023,115,93,143,Vaccine protected
S,73,3,1,2023,95,74,140,Vaccine protected
S,74,3,1,2023,91,55,123,Vaccine protected
S,75,3,1,2023,72,43,96,Vaccine protected
S,76,3,1,2023,55,27,94,Vaccine protected
S,77,3,1,2023,44,23,72,Vaccine protected
S,78,3,1,2023,38,20,58,Vaccine protected
S,79,3,1,2023,33,14,54,Vaccine protected
S,80,3,1,2023,22,13,34,Vaccine protected
S,81,3,1,2023,19,4,33,Vaccine protected
S,82,3,1,2023,16,0,28,Vaccine protected
S,83,3,1,2023,11,4,24,Vaccine protected
S,84,3,1,2023,9,2,14,Vaccine protected
S,85,3,1,2023,7,0,13,Vaccine protected
S,86,3,1,2023,4,0,8,Vaccine protected
S,87,3,1,2023,3,1,6,Vaccine protected
S,88,3,1,2023,2,0,8,Vaccine protected
S,89,3,1,2023,1,0,8,Vaccine protected
S,90,3,1,2023,1,0,5,Vaccine protected
S,91,3,1,2023,0,0,2,Vaccine protected
S,92,3,1,2023,0,0,1,Vaccine protected
S,93,3,1,2023,0,0,1,Vaccine protected
S,94,3,1,2023,0,0,1,Vaccine protected
S,95,3,1,2023,0,0,0,Vaccine protected
S,96,3,1,2023,0,0,0,Vaccine protected
S,97,3,1,2023,0,0,0,Vaccine protected
S,98,3,1,2023,0,0,0,Vaccine protected
S,99,3,1,2023,0,0,0,Vaccine protected
S,100,3,1,2023,0,0,0,Vaccine protected
S,101,3,1,2023,0,0,0,Vaccine protected
S,1,4,1,2023,0,0,0,Vaccine protected
S,2,4,1,2023,98466,94561,99968,Vaccine protected
S,3,4,1,2023,165352.5,149747,175875,Vaccine protected
S,4,4,1,2023,188374,161098,212646,Vaccine protected
S,5,4,1,2023,172420.5,136652,206820,Vaccine protected
S,6,4,1,2023,132531.5,97119,171133,Vaccine protected
S,7,4,1,2023,88189,58776,123045,Vaccine protected
S,8,4,1,2023,51670.5,31105,78218,Vaccine protected
S,9,4,1,2023,26721.5,14576,44104,Vaccine protected
S,10,4,1,2023,12438.5,6055,22692,Vaccine protected
S,11,4,1,2023,5233,2295,10507,Vaccine protected
S,12,4,1,2023,1998,791,4446,Vaccine protected
S,13,4,1,2023,711,257,1708,Vaccine protected
S,14,4,1,2023,238.5,73,630,Vaccine protected
S,15,4,1,2023,68,16,218,Vaccine protected
S,16,4,1,2023,17,1,74,Vaccine protected
S,17,4,1,2023,4,0,28,Vaccine protected
S,18,4,1,2023,1,0,6,Vaccine protected
S,19,4,1,2023,0,0,2,Vaccine protected
S,20,4,1,2023,0,0,0,Vaccine protected
S,21,4,1,2023,0,0,0,Vaccine protected
S,22,4,1,2023,0,0,0,Vaccine protected
S,23,4,1,2023,0,0,0,Vaccine protected
S,24,4,1,2023,0,0,0,Vaccine protected
S,25,4,1,2023,0,0,0,Vaccine protected
S,26,4,1,2023,0,0,0,Vaccine protected
S,27,4,1,2023,0,0,0,Vaccine protected
S,28,4,1,2023,0,0,0,Vaccine protected
S,29,4,1,2023,0,0,0,Vaccine protected
S,30,4,1,2023,0,0,0,Vaccine protected
S,31,4,1,2023,0,0,0,Vaccine protected
S,32,4,1,2023,0,0,0,Vaccine protected
S,33,4,1,2023,0,0,0,Vaccine protected
S,34,4,1,2023,0,0,0,Vaccine protected
S,35,4,1,2023,0,0,0,Vaccine protected
S,36,4,1,2023,0,0,0,Vaccine protected
S,37,4,1,2023,0,0,0,Vaccine protected
S,38,4,1,2023,0,0,0,Vaccine protected
S,39,4,1,2023,0,0,0,Vaccine protected
S,40,4,1,2023,0,0,0,Vaccine protected
S,41,4,1,2023,0,0,0,Vaccine protected
S,42,4,1,2023,0,0,0,Vaccine protected
S,43,4,1,2023,0,0,0,Vaccine protected
S,44,4,1,2023,0,0,0,Vaccine protected
S,45,4,1,2023,0,0,0,Vaccine protected
S,46,4,1,2023,0,0,0,Vaccine protected
S,47,4,1,2023,0,0,0,Vaccine protected
S,48,4,1,2023,0,0,0,Vaccine protected
S,49,4,1,2023,0,0,0,Vaccine protected
S,50,4,1,2023,0,0,0,Vaccine protected
S,51,4,1,2023,0,0,0,Vaccine protected
S,52,4,1,2023,0,0,0,Vaccine protected
S,53,4,1,2023,0,0,0,Vaccine protected
S,54,4,1,2023,0,0,0,Vaccine protected
S,55,4,1,2023,0,0,0,Vaccine protected
S,56,4,1,2023,0,0,0,Vaccine protected
S,57,4,1,2023,0,0,0,Vaccine protected
S,58,4,1,2023,0,0,0,Vaccine protected
S,59,4,1,2023,0,0,0,Vaccine protected
S,60,4,1,2023,0,0,0,Vaccine protected
S,61,4,1,2023,0,0,0,Vaccine protected
S,62,4,1,2023,0,0,0,Vaccine protected
S,63,4,1,2023,0,0,0,Vaccine protected
S,64,4,1,2023,0,0,0,Vaccine protected
S,65,4,1,2023,0,0,0,Vaccine protected
S,66,4,1,2023,0,0,0,Vaccine protected
