state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,5130956.5,4809176,5701636
new_case,All,All,All,1951,1764064.5,1389567,2149915
new_case,All,All,All,1952,711705,665705,769037
new_case,All,All,All,1953,572411.5,531767,603463
new_case,All,All,All,1954,471301,447718,487853
new_case,All,All,All,1955,418983,406005,435553
new_case,All,All,All,1956,383841,380485,401012
new_case,All,All,All,1957,374585.5,370591,381277
new_case,All,All,All,1958,356785.5,351410,373540
new_case,All,All,All,1959,346099,337090,356201
new_case,All,All,All,1960,334474,322649,344081
new_case,All,All,All,1961,327378.5,317504,337548
new_case,All,All,All,1962,321437,314263,328692
new_case,All,All,All,1963,318687.5,315614,327331
new_case,All,All,All,1964,322828.5,319873,333054
new_case,All,All,All,1965,318285.5,315148,325541
new_case,All,All,All,1966,320911,315376,332417
new_case,All,All,All,1967,324119,322043,329698
new_case,All,All,All,1968,326197,321745,330715
new_case,All,All,All,1969,327345,325316,334738
new_case,All,All,All,1970,331033,327398,338606
new_case,All,All,All,1971,342348,339188,346047
new_case,All,All,All,1972,339335,334766,341835
new_case,All,All,All,1973,343366,340007,351552
new_case,All,All,All,1974,349082.5,347583,352300
new_case,All,All,All,1975,355072.5,351271,360235
new_case,All,All,All,1976,358734.5,357092,366826
new_case,All,All,All,1977,360518.5,357271,364940
new_case,All,All,All,1978,366221.5,360896,374066
new_case,All,All,All,1979,358732.5,356073,363695
new_case,All,All,All,1980,71705,71336,74226
new_case,All,All,All,1981,24833,24375,25273
new_case,All,All,All,1982,27975,27366,28267
new_case,All,All,All,1983,16585.5,16305,16899
new_case,All,All,All,1984,27976,26881,28371
new_case,All,All,All,1985,193772.5,191661,195496
new_case,All,All,All,1986,11371,11172,11871
new_case,All,All,All,1987,15247,14249,16012
new_case,All,All,All,1988,23992.5,23165,24307
new_case,All,All,All,1989,13746,13316,14177
new_case,All,All,All,1990,6324,5922,6785
new_case,All,All,All,1991,1548,1442,1771
new_case,All,All,All,1992,16608,16034,17787
new_case,All,All,All,1993,4279,3985,4343
new_case,All,All,All,1994,4284.5,3989,5042
new_case,All,All,All,1995,2017,1819,2164
new_case,All,All,All,1996,5920,5640,6250
new_case,All,All,All,1997,4376,4082,4736
new_case,All,All,All,1998,6279.5,6020,6932
new_case,All,All,All,1999,19540.5,19023,20515
new_case,All,All,All,2000,6343.5,5859,7034
new_case,All,All,All,2001,8681,8470,11859
new_case,All,All,All,2002,12499,11853,14273
new_case,All,All,All,2003,792,723,1257
new_case,All,All,All,2004,230,163,315
new_case,All,All,All,2005,1168.5,893,1209
new_case,All,All,All,2006,5538.5,5341,7586
new_case,All,All,All,2007,5740,5092,6576
new_case,All,All,All,2008,12724.5,11855,13555
new_case,All,All,All,2009,4370.5,4043,5306
new_case,All,All,All,2010,14943,14623,17742
new_case,All,All,All,2011,11710,10500,12334
new_case,All,All,All,2012,14370.5,13439,15631
new_case,All,All,All,2013,17094,16171,21920
new_case,All,All,All,2014,40195,38608,46847
new_case,All,All,All,2015,54393,52470,62544
new_case,All,All,All,2016,13568,12932,22576
new_case,All,All,All,2017,5679.5,5365,5872
new_case,All,All,All,2018,4792.5,4477,5178
new_case,All,All,All,2019,11059.5,10685,12273
new_case,All,All,All,2020,5104,5002,5628
new_case,All,All,All,2021,5293.5,4705,6233
new_case,All,All,All,2022,23467.5,22073,25455
new_case,All,All,All,2023,62152,59758,66952
S,1,1,1,2023,280637,174836,450661
S,2,1,1,2023,315627,284649,326493
S,3,1,1,2023,261475.5,223563,280616
S,4,1,1,2023,207478.5,182372,234857
S,5,1,1,2023,177137,162365,197503
S,6,1,1,2023,166356.5,158834,177627
S,7,1,1,2023,205702.5,195613,226481
S,8,1,1,2023,269997,247257,297977
S,9,1,1,2023,344085,315332,374891
S,10,1,1,2023,420502,389705,451744
S,11,1,1,2023,496663.5,465876,527631
S,12,1,1,2023,570749,540867,601105
S,13,1,1,2023,645324,615085,675668
S,14,1,1,2023,719285.5,689610,749592
S,15,1,1,2023,794660.5,764570,825389
S,16,1,1,2023,869078,838984,899473
S,17,1,1,2023,944224,913993,975444
S,18,1,1,2023,1023451,990447,1057745
S,19,1,1,2023,1111105,1074623,1150001
S,20,1,1,2023,1205770.5,1166444,1248343
S,21,1,1,2023,1301245,1260212,1343362
S,22,1,1,2023,1389298,1350834,1427558
S,23,1,1,2023,1458770,1427137,1490211
S,24,1,1,2023,1508062.5,1482865,1530076
S,25,1,1,2023,1535977.5,1518515,1550173
S,26,1,1,2023,1547281.5,1537907,1555747
S,27,1,1,2023,1546630.5,1537524,1555227
S,28,1,1,2023,1538129,1527815,1549876
S,29,1,1,2023,1524116,1512324,1537191
S,30,1,1,2023,1506627,1491741,1521705
S,31,1,1,2023,1486437,1470204,1502361
S,32,1,1,2023,1464666,1448443,1479303
S,33,1,1,2023,1439676,1422715,1456708
S,34,1,1,2023,1412383.5,1395830,1429321
S,35,1,1,2023,1384414,1367371,1400919
S,36,1,1,2023,1353935.5,1335813,1372106
S,37,1,1,2023,1320255.5,1301778,1338940
S,38,1,1,2023,1285994,1265155,1305641
S,39,1,1,2023,1249167.5,1227885,1269296
S,40,1,1,2023,1210592,1189062,1231351
S,41,1,1,2023,1170483,1149479,1192069
S,42,1,1,2023,1129669.5,1108762,1151109
S,43,1,1,2023,1088439.5,1066467,1109939
S,44,1,1,2023,1046146,1024540,1067287
S,45,1,1,2023,1003366,982502,1025133
S,46,1,1,2023,960692,938872,982517
S,47,1,1,2023,917393,896671,940165
S,48,1,1,2023,875316,854265,896868
S,49,1,1,2023,832791,812320,853529
S,50,1,1,2023,790869.5,770809,811537
S,51,1,1,2023,748915.5,729371,769695
S,52,1,1,2023,708253,689429,728616
S,53,1,1,2023,668894,650126,688430
S,54,1,1,2023,630629,611849,649403
S,55,1,1,2023,593221.5,574733,612066
S,56,1,1,2023,557351,539509,574975
S,57,1,1,2023,522246,505437,539495
S,58,1,1,2023,488762,472199,506009
S,59,1,1,2023,456788,441593,472981
S,60,1,1,2023,426233,411020,441925
S,61,1,1,2023,396075.5,381745,412065
S,62,1,1,2023,367948.5,353853,382352
S,63,1,1,2023,340775,327134,354744
S,64,1,1,2023,314650,301299,328273
S,65,1,1,2023,289390,276494,302043
S,66,1,1,2023,264978,253548,277617
S,67,1,1,2023,242668,231686,254064
S,68,1,1,2023,220709,209970,231485
S,69,1,1,2023,200275.5,190392,210436
S,70,1,1,2023,181149.5,172170,190539
S,71,1,1,2023,163097.5,154500,171863
S,72,1,1,2023,146335,138212,154513
S,73,1,1,2023,130692.5,122747,138496
S,74,1,1,2023,115953,108977,123428
S,75,1,1,2023,102556,95981,109352
S,76,1,1,2023,90269.5,84395,96461
S,77,1,1,2023,78901.5,73477,84360
S,78,1,1,2023,68597.5,63754,73569
S,79,1,1,2023,59368,55037,64032
S,80,1,1,2023,50744,46861,55107
S,81,1,1,2023,43370,39623,47126
S,82,1,1,2023,36658.5,33327,40140
S,83,1,1,2023,30758.5,27877,33904
S,84,1,1,2023,25530.5,22909,28215
S,85,1,1,2023,20829,18642,23399
S,86,1,1,2023,16906,15062,18992
S,87,1,1,2023,13525,11957,15285
S,88,1,1,2023,10698.5,9347,12205
S,89,1,1,2023,8365,7235,9525
S,90,1,1,2023,6398,5404,7510
S,91,1,1,2023,4747.5,3985,5652
S,92,1,1,2023,3517.5,2938,4192
S,93,1,1,2023,2567,2140,3077
S,94,1,1,2023,1861.5,1528,2253
S,95,1,1,2023,1287,1025,1569
S,96,1,1,2023,888,690,1131
S,97,1,1,2023,582,444,766
S,98,1,1,2023,380.5,278,513
S,99,1,1,2023,251.5,148,351
S,100,1,1,2023,157,98,225
S,101,1,1,2023,249.5,164,365
S,1,2,1,2023,126447.5,103532,137447
S,2,2,1,2023,68146,59075,76612
S,3,2,1,2023,141834,125638,158771
S,4,2,1,2023,245424,220655,271550
S,5,2,1,2023,373382,341466,405447
S,6,2,1,2023,509140.5,476151,539072
S,7,2,1,2023,632197.5,606744,650961
S,8,2,1,2023,730161,715788,737531
S,9,2,1,2023,800141,794603,803107
S,10,2,1,2023,848853.5,836213,857322
S,11,2,1,2023,880955,863403,896944
S,12,2,1,2023,900578,879532,919966
S,13,2,1,2023,910068,887123,931866
S,14,2,1,2023,909548,884064,934490
S,15,2,1,2023,900690.5,873347,927673
S,16,2,1,2023,883463.5,854305,911797
S,17,2,1,2023,858057.5,826894,888042
S,18,2,1,2023,825025,792123,857915
S,19,2,1,2023,785257.5,751286,819330
S,20,2,1,2023,740141.5,704788,775076
S,21,2,1,2023,690507.5,656898,725720
S,22,2,1,2023,641013.5,608099,674766
S,23,2,1,2023,593356,563894,624673
S,24,2,1,2023,548708.5,522533,576865
S,25,2,1,2023,508843,485683,534261
S,26,2,1,2023,472097.5,450592,494995
S,27,2,1,2023,437194,417527,457695
S,28,2,1,2023,403992.5,385216,423545
S,29,2,1,2023,371419,354201,389724
S,30,2,1,2023,340154,323400,357771
S,31,2,1,2023,309479,292996,325954
S,32,2,1,2023,279535.5,263873,295344
S,33,2,1,2023,251103.5,236308,266209
S,34,2,1,2023,223991.5,210466,238417
S,35,2,1,2023,198514,186018,211540
S,36,2,1,2023,175455,163772,187314
S,37,2,1,2023,154010.5,143213,164846
S,38,2,1,2023,134373.5,124592,144231
S,39,2,1,2023,116585.5,107857,125711
S,40,2,1,2023,100592,92782,108823
S,41,2,1,2023,86718.5,79783,93895
S,42,2,1,2023,74350.5,68403,80649
S,43,2,1,2023,63702,58582,69244
S,44,2,1,2023,54448.5,49933,59111
S,45,2,1,2023,46331.5,42548,50472
S,46,2,1,2023,39468.5,36254,43135
S,47,2,1,2023,33616.5,30802,36658
S,48,2,1,2023,28712.5,26347,31401
S,49,2,1,2023,24731.5,22413,26879
S,50,2,1,2023,21153.5,19369,22966
S,51,2,1,2023,18093.5,16585,19717
S,52,2,1,2023,15511,14183,16885
S,53,2,1,2023,13345.5,12256,14549
S,54,2,1,2023,11457,10404,12494
S,55,2,1,2023,9837.5,8990,10743
S,56,2,1,2023,8384.5,7667,9207
S,57,2,1,2023,7282.5,6618,7911
S,58,2,1,2023,6246,5625,6808
S,59,2,1,2023,5291,4824,5834
S,60,2,1,2023,4477.5,4043,4999
S,61,2,1,2023,3820,3420,4221
S,62,2,1,2023,3287,2977,3605
S,63,2,1,2023,2865,2553,3203
S,64,2,1,2023,2487.5,2180,2737
S,65,2,1,2023,2161,1840,2394
S,66,2,1,2023,1874,1656,2077
S,67,2,1,2023,1623,1454,1854
S,68,2,1,2023,1415.5,1286,1617
S,69,2,1,2023,1256,1135,1420
S,70,2,1,2023,1079,955,1296
S,71,2,1,2023,932.5,806,1085
S,72,2,1,2023,803.5,683,893
S,73,2,1,2023,686.5,585,772
S,74,2,1,2023,601.5,506,682
S,75,2,1,2023,505.5,436,584
S,76,2,1,2023,422,328,495
S,77,2,1,2023,353,278,426
S,78,2,1,2023,286.5,215,345
S,79,2,1,2023,213,163,272
S,80,2,1,2023,171,134,236
S,81,2,1,2023,122,67,169
S,82,2,1,2023,104,56,137
S,83,2,1,2023,79,49,121
S,84,2,1,2023,55,38,95
S,85,2,1,2023,39,17,79
S,86,2,1,2023,25,13,49
S,87,2,1,2023,20,6,29
S,88,2,1,2023,14,3,22
S,89,2,1,2023,10,2,17
S,90,2,1,2023,7,3,15
S,91,2,1,2023,5,2,11
S,92,2,1,2023,2,0,7
S,93,2,1,2023,1,0,7
S,94,2,1,2023,1,0,5
S,95,2,1,2023,1,0,4
S,96,2,1,2023,1,0,4
S,97,2,1,2023,0,0,4
S,98,2,1,2023,0,0,0
S,99,2,1,2023,0,0,1
S,100,2,1,2023,0,0,3
S,101,2,1,2023,0,0,1
S,1,3,1,2023,2218529,1351232,3628546
S,2,3,1,2023,739925.5,560903,918572
S,3,3,1,2023,1039281.5,874410,1196858
S,4,3,1,2023,1332521,1169005,1502336
S,5,3,1,2023,1638255.5,1465236,1819847
S,6,3,1,2023,1920740.5,1749895,2089546
S,7,3,1,2023,2093647.5,1962784,2205905
S,8,3,1,2023,2154657.5,2071069,2217500
S,9,3,1,2023,2127765.5,2087269,2150850
S,10,3,1,2023,2039163.5,2025704,2048476
S,11,3,1,2023,1925842.5,1900939,1945168
S,12,3,1,2023,1805338.5,1776657,1830780
S,13,3,1,2023,1686311.5,1659019,1712557
S,14,3,1,2023,1573012.5,1546296,1599685
S,15,3,1,2023,1464399.5,1439535,1490805
S,16,3,1,2023,1361401,1336897,1385670
S,17,3,1,2023,1259927,1235110,1284652
S,18,3,1,2023,1157085,1128670,1184064
S,19,3,1,2023,1047828.5,1013830,1079388
S,20,3,1,2023,931712,892061,967554
S,21,3,1,2023,813114.5,769852,852549
S,22,3,1,2023,698495.5,656330,739885
S,23,3,1,2023,595429,558855,633492
S,24,3,1,2023,508294,478272,541001
S,25,3,1,2023,437046.5,412617,463650
S,26,3,1,2023,378548,359064,400124
S,27,3,1,2023,330860,314794,347965
S,28,3,1,2023,290238,277036,304918
S,29,3,1,2023,255178.5,243068,267441
S,30,3,1,2023,223126,212522,234458
S,31,3,1,2023,194962,185158,205053
S,32,3,1,2023,169723.5,160969,178650
S,33,3,1,2023,147006,138866,155234
S,34,3,1,2023,126393,119263,134002
S,35,3,1,2023,108362.5,101979,114927
S,36,3,1,2023,92087.5,86251,98309
S,37,3,1,2023,78030.5,72730,83444
S,38,3,1,2023,65807,61258,70554
S,39,3,1,2023,55256.5,51216,59346
S,40,3,1,2023,46146.5,42740,49765
S,41,3,1,2023,38237.5,35303,41416
S,42,3,1,2023,31637.5,29066,34376
S,43,3,1,2023,26212.5,24007,28607
S,44,3,1,2023,21688,19853,23867
S,45,3,1,2023,17895.5,16410,19549
S,46,3,1,2023,14849.5,13520,16124
S,47,3,1,2023,12146,11195,13256
S,48,3,1,2023,10013.5,9172,10942
S,49,3,1,2023,8247,7550,9072
S,50,3,1,2023,6808.5,6128,7467
S,51,3,1,2023,5599,5099,6196
S,52,3,1,2023,4595,4144,4998
S,53,3,1,2023,3783.5,3452,4212
S,54,3,1,2023,3159,2855,3494
S,55,3,1,2023,2613.5,2326,2871
S,56,3,1,2023,2179.5,1917,2401
S,57,3,1,2023,1806,1597,2001
S,58,3,1,2023,1469.5,1301,1658
S,59,3,1,2023,1211,1054,1409
S,60,3,1,2023,1016,877,1164
S,61,3,1,2023,846,714,1008
S,62,3,1,2023,728,621,914
S,63,3,1,2023,575,497,756
S,64,3,1,2023,481,398,625
S,65,3,1,2023,393.5,319,488
S,66,3,1,2023,337,262,413
S,67,3,1,2023,272.5,227,345
S,68,3,1,2023,228.5,178,314
S,69,3,1,2023,209,160,259
S,70,3,1,2023,176,115,217
S,71,3,1,2023,143,104,173
S,72,3,1,2023,115,93,143
S,73,3,1,2023,95,74,140
S,74,3,1,2023,91,55,123
S,75,3,1,2023,72,43,96
S,76,3,1,2023,55,27,94
S,77,3,1,2023,44,23,72
S,78,3,1,2023,38,20,58
S,79,3,1,2023,33,14,54
S,80,3,1,2023,22,13,34
S,81,3,1,2023,19,4,33
S,82,3,1,2023,16,0,28
S,83,3,1,2023,11,4,24
S,84,3,1,2023,9,2,14
S,85,3,1,2023,7,0,13
S,86,3,1,2023,4,0,8
S,87,3,1,2023,3,1,6
S,88,3,1,2023,2,0,8
S,89,3,1,2023,1,0,8
S,90,3,1,2023,1,0,5
S,91,3,1,2023,0,0,2
S,92,3,1,2023,0,0,1
S,93,3,1,2023,0,0,1
S,94,3,1,2023,0,0,1
S,95,3,1,2023,0,0,0
S,96,3,1,2023,0,0,0
S,97,3,1,2023,0,0,0
S,98,3,1,2023,0,0,0
S,99,3,1,2023,0,0,0
S,100,3,1,2023,0,0,0
S,101,3,1,2023,0,0,0
S,1,4,1,2023,0,0,0
S,2,4,1,2023,98466,94561,99968
S,3,4,1,2023,165352.5,149747,175875
S,4,4,1,2023,188374,161098,212646
S,5,4,1,2023,172420.5,136652,206820
S,6,4,1,2023,132531.5,97119,171133
S,7,4,1,2023,88189,58776,123045
S,8,4,1,2023,51670.5,31105,78218
S,9,4,1,2023,26721.5,14576,44104
S,10,4,1,2023,12438.5,6055,22692
S,11,4,1,2023,5233,2295,10507
S,12,4,1,2023,1998,791,4446
S,13,4,1,2023,711,257,1708
S,14,4,1,2023,238.5,73,630
S,15,4,1,2023,68,16,218
S,16,4,1,2023,17,1,74
S,17,4,1,2023,4,0,28
S,18,4,1,2023,1,0,6
S,19,4,1,2023,0,0,2
S,20,4,1,2023,0,0,0
S,21,4,1,2023,0,0,0
S,22,4,1,2023,0,0,0
S,23,4,1,2023,0,0,0
S,24,4,1,2023,0,0,0
S,25,4,1,2023,0,0,0
S,26,4,1,2023,0,0,0
S,27,4,1,2023,0,0,0
S,28,4,1,2023,0,0,0
S,29,4,1,2023,0,0,0
S,30,4,1,2023,0,0,0
S,31,4,1,2023,0,0,0
S,32,4,1,2023,0,0,0
S,33,4,1,2023,0,0,0
S,34,4,1,2023,0,0,0
S,35,4,1,2023,0,0,0
S,36,4,1,2023,0,0,0
S,37,4,1,2023,0,0,0
S,38,4,1,2023,0,0,0
S,39,4,1,2023,0,0,0
S,40,4,1,2023,0,0,0
S,41,4,1,2023,0,0,0
S,42,4,1,2023,0,0,0
S,43,4,1,2023,0,0,0
S,44,4,1,2023,0,0,0
S,45,4,1,2023,0,0,0
S,46,4,1,2023,0,0,0
S,47,4,1,2023,0,0,0
S,48,4,1,2023,0,0,0
S,49,4,1,2023,0,0,0
S,50,4,1,2023,0,0,0
S,51,4,1,2023,0,0,0
S,52,4,1,2023,0,0,0
S,53,4,1,2023,0,0,0
S,54,4,1,2023,0,0,0
S,55,4,1,2023,0,0,0
S,56,4,1,2023,0,0,0
S,57,4,1,2023,0,0,0
S,58,4,1,2023,0,0,0
S,59,4,1,2023,0,0,0
S,60,4,1,2023,0,0,0
S,61,4,1,2023,0,0,0
S,62,4,1,2023,0,0,0
S,63,4,1,2023,0,0,0
S,64,4,1,2023,0,0,0
S,65,4,1,2023,0,0,0
S,66,4,1,2023,0,0,0
S,67,4,1,2023,0,0,0
S,68,4,1,2023,0,0,0
S,69,4,1,2023,0,0,0
S,70,4,1,2023,0,0,0
S,71,4,1,2023,0,0,0
S,72,4,1,2023,0,0,0
S,73,4,1,2023,0,0,0
S,74,4,1,2023,0,0,0
S,75,4,1,2023,0,0,0
S,76,4,1,2023,0,0,0
S,77,4,1,2023,0,0,0
S,78,4,1,2023,0,0,0
S,79,4,1,2023,0,0,0
S,80,4,1,2023,0,0,0
S,81,4,1,2023,0,0,0
S,82,4,1,2023,0,0,0
S,83,4,1,2023,0,0,0
S,84,4,1,2023,0,0,0
S,85,4,1,2023,0,0,0
S,86,4,1,2023,0,0,0
S,87,4,1,2023,0,0,0
S,88,4,1,2023,0,0,0
S,89,4,1,2023,0,0,0
S,90,4,1,2023,0,0,0
S,91,4,1,2023,0,0,0
S,92,4,1,2023,0,0,0
S,93,4,1,2023,0,0,0
S,94,4,1,2023,0,0,0
S,95,4,1,2023,0,0,0
S,96,4,1,2023,0,0,0
S,97,4,1,2023,0,0,0
S,98,4,1,2023,0,0,0
S,99,4,1,2023,0,0,0
S,100,4,1,2023,0,0,0
S,101,4,1,2023,0,0,0
S,1,5,1,2023,0,0,0
S,2,5,1,2023,2597940.5,2153453,2762134
S,3,5,1,2023,2402154,2307249,2433575
S,4,5,1,2023,1996936.5,1808284,2123035
S,5,5,1,2023,1503055.5,1286253,1693049
S,6,5,1,2023,1024134.5,815190,1228716
S,7,5,1,2023,627767.5,459542,806940
S,8,5,1,2023,345786.5,230668,481431
S,9,5,1,2023,171801,103560,261233
S,10,5,1,2023,77642.5,42207,129128
S,11,5,1,2023,31850,15582,58244
S,12,5,1,2023,11995,5223,24103
S,13,5,1,2023,4150,1622,9211
S,14,5,1,2023,1324.5,462,3288
S,15,5,1,2023,396.5,120,1090
S,16,5,1,2023,109,24,325
S,17,5,1,2023,26,4,96
S,18,5,1,2023,5,0,30
S,19,5,1,2023,1,0,8
S,20,5,1,2023,0,0,2
S,21,5,1,2023,0,0,0
S,22,5,1,2023,0,0,0
S,23,5,1,2023,0,0,0
S,24,5,1,2023,0,0,0
S,25,5,1,2023,0,0,0
S,26,5,1,2023,0,0,0
S,27,5,1,2023,0,0,0
S,28,5,1,2023,0,0,0
S,29,5,1,2023,0,0,0
S,30,5,1,2023,0,0,0
S,31,5,1,2023,0,0,0
S,32,5,1,2023,0,0,0
S,33,5,1,2023,0,0,0
S,34,5,1,2023,0,0,0
S,35,5,1,2023,0,0,0
S,36,5,1,2023,0,0,0
S,37,5,1,2023,0,0,0
S,38,5,1,2023,0,0,0
S,39,5,1,2023,0,0,0
S,40,5,1,2023,0,0,0
S,41,5,1,2023,0,0,0
S,42,5,1,2023,0,0,0
S,43,5,1,2023,0,0,0
S,44,5,1,2023,0,0,0
S,45,5,1,2023,0,0,0
S,46,5,1,2023,0,0,0
S,47,5,1,2023,0,0,0
S,48,5,1,2023,0,0,0
S,49,5,1,2023,0,0,0
S,50,5,1,2023,0,0,0
S,51,5,1,2023,0,0,0
S,52,5,1,2023,0,0,0
S,53,5,1,2023,0,0,0
S,54,5,1,2023,0,0,0
S,55,5,1,2023,0,0,0
S,56,5,1,2023,0,0,0
S,57,5,1,2023,0,0,0
S,58,5,1,2023,0,0,0
S,59,5,1,2023,0,0,0
S,60,5,1,2023,0,0,0
S,61,5,1,2023,0,0,0
S,62,5,1,2023,0,0,0
S,63,5,1,2023,0,0,0
S,64,5,1,2023,0,0,0
S,65,5,1,2023,0,0,0
S,66,5,1,2023,0,0,0
S,67,5,1,2023,0,0,0
S,68,5,1,2023,0,0,0
S,69,5,1,2023,0,0,0
S,70,5,1,2023,0,0,0
S,71,5,1,2023,0,0,0
S,72,5,1,2023,0,0,0
S,73,5,1,2023,0,0,0
S,74,5,1,2023,0,0,0
S,75,5,1,2023,0,0,0
S,76,5,1,2023,0,0,0
S,77,5,1,2023,0,0,0
S,78,5,1,2023,0,0,0
S,79,5,1,2023,0,0,0
S,80,5,1,2023,0,0,0
S,81,5,1,2023,0,0,0
S,82,5,1,2023,0,0,0
S,83,5,1,2023,0,0,0
