state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,64590.5,50076,84791,Susceptible
S,2,1,1,2023,131988,122819,137574,Susceptible
S,3,1,1,2023,194456,187069,201496,Susceptible
S,4,1,1,2023,255871.5,246362,265830,Susceptible
S,5,1,1,2023,316893,304991,328809,Susceptible
S,6,1,1,2023,376993,364651,391105,Susceptible
S,7,1,1,2023,435687,421923,450471,Susceptible
S,8,1,1,2023,490369.5,477087,505964,Susceptible
S,9,1,1,2023,544991.5,529142,561830,Susceptible
S,10,1,1,2023,595392,578803,614955,Susceptible
S,11,1,1,2023,640684,622340,659768,Susceptible
S,12,1,1,2023,681538.5,662030,700347,Susceptible
S,13,1,1,2023,716030.5,697483,738215,Susceptible
S,14,1,1,2023,748875.5,728582,771428,Susceptible
S,15,1,1,2023,775215.5,752349,799200,Susceptible
S,16,1,1,2023,796471,770890,821045,Susceptible
S,17,1,1,2023,812778,787053,840020,Susceptible
S,18,1,1,2023,823363,796994,852472,Susceptible
S,19,1,1,2023,825788,800968,855607,Susceptible
S,20,1,1,2023,824489,799344,855081,Susceptible
S,21,1,1,2023,820981,793125,849901,Susceptible
S,22,1,1,2023,812808,784508,840757,Susceptible
S,23,1,1,2023,801725.5,773651,831609,Susceptible
S,24,1,1,2023,785862.5,757392,816362,Susceptible
S,25,1,1,2023,767906,738090,798155,Susceptible
S,26,1,1,2023,747627.5,721018,777652,Susceptible
S,27,1,1,2023,728384.5,703354,758496,Susceptible
S,28,1,1,2023,708226,683138,739836,Susceptible
S,29,1,1,2023,687315,661278,715405,Susceptible
S,30,1,1,2023,665593,640150,692731,Susceptible
S,31,1,1,2023,644341,620505,670323,Susceptible
S,32,1,1,2023,622304.5,599699,648634,Susceptible
S,33,1,1,2023,601369.5,580312,625777,Susceptible
S,34,1,1,2023,579803,558853,606832,Susceptible
S,35,1,1,2023,559557,538147,582801,Susceptible
S,36,1,1,2023,538772.5,519394,560659,Susceptible
S,37,1,1,2023,519110.5,499882,540271,Susceptible
S,38,1,1,2023,499051.5,479944,517538,Susceptible
S,39,1,1,2023,479846.5,460405,498729,Susceptible
S,40,1,1,2023,460482.5,443373,481240,Susceptible
