state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,9431,6123,14523,Susceptible
S,2,1,1,2023,15425,13024,16762,Susceptible
S,3,1,1,2023,19181,18295,19552,Susceptible
S,4,1,1,2023,23160,22687,23581,Susceptible
S,5,1,1,2023,28192,27465,28856,Susceptible
S,6,1,1,2023,34229.5,33056,34746,Susceptible
S,7,1,1,2023,40873.5,39686,41741,Susceptible
S,8,1,1,2023,48226.5,47005,49378,Susceptible
S,9,1,1,2023,56051.5,54761,57559,Susceptible
S,10,1,1,2023,64368.5,63086,65260,Susceptible
S,11,1,1,2023,72426.5,71612,73683,Susceptible
S,12,1,1,2023,80735,79919,81827,Susceptible
S,13,1,1,2023,88747.5,87927,89789,Susceptible
S,14,1,1,2023,96629.5,95945,97272,Susceptible
S,15,1,1,2023,9922,9714,10144,Susceptible
S,16,1,1,2023,18007.5,17763,18411,Susceptible
S,17,1,1,2023,26323.5,25986,26656,Susceptible
S,18,1,1,2023,34753,34470,35056,Susceptible
S,19,1,1,2023,43317.5,42888,43820,Susceptible
S,20,1,1,2023,52134,51499,52588,Susceptible
S,21,1,1,2023,60956,60351,61855,Susceptible
S,22,1,1,2023,70281.5,68955,71523,Susceptible
S,23,1,1,2023,79367.5,78287,80458,Susceptible
S,24,1,1,2023,88723,88170,89993,Susceptible
S,25,1,1,2023,98505.5,97485,99688,Susceptible
S,26,1,1,2023,108520.5,107203,109400,Susceptible
S,27,1,1,2023,118074.5,117294,119124,Susceptible
S,28,1,1,2023,128292,126954,129130,Susceptible
S,29,1,1,2023,137813.5,137155,138661,Susceptible
S,30,1,1,2023,147766,146328,148472,Susceptible
S,31,1,1,2023,157361,156017,158270,Susceptible
S,32,1,1,2023,166976,165648,167994,Susceptible
S,33,1,1,2023,175887,175295,177823,Susceptible
S,34,1,1,2023,184677,183885,187272,Susceptible
S,35,1,1,2023,193767.5,192920,195635,Susceptible
S,36,1,1,2023,203413,202057,204731,Susceptible
S,37,1,1,2023,212543.5,211863,213370,Susceptible
S,38,1,1,2023,222217,220058,223402,Susceptible
S,39,1,1,2023,232053,229737,233031,Susceptible
S,40,1,1,2023,241888.5,238085,242973,Susceptible
S,41,1,1,2023,252182,250085,253423,Susceptible
S,42,1,1,2023,262926,260529,265269,Susceptible
S,43,1,1,2023,274639.5,271789,277990,Susceptible
S,44,1,1,2023,286464,283014,290615,Susceptible
S,45,1,1,2023,299625,295801,303505,Susceptible
S,46,1,1,2023,312429,308583,316778,Susceptible
S,47,1,1,2023,325668,321824,330599,Susceptible
S,48,1,1,2023,339856.5,335327,343885,Susceptible
S,49,1,1,2023,353625.5,349376,358590,Susceptible
S,50,1,1,2023,367568,362842,371592,Susceptible
S,51,1,1,2023,380668,376982,383687,Susceptible
S,52,1,1,2023,393503.5,390525,396664,Susceptible
S,53,1,1,2023,405318.5,402437,407949,Susceptible
S,54,1,1,2023,415320.5,412774,417258,Susceptible
S,55,1,1,2023,424664.5,422916,426288,Susceptible
S,56,1,1,2023,431716,430704,433268,Susceptible
S,57,1,1,2023,436837,435493,438224,Susceptible
S,58,1,1,2023,439870,437012,441845,Susceptible
S,59,1,1,2023,440483.5,435734,443344,Susceptible
S,60,1,1,2023,438400.5,433432,442163,Susceptible
S,61,1,1,2023,433518,427687,439457,Susceptible
S,62,1,1,2023,427244,420707,433341,Susceptible
S,63,1,1,2023,417818.5,410310,424873,Susceptible
S,64,1,1,2023,406765.5,397611,414874,Susceptible
S,65,1,1,2023,392391.5,382715,401462,Susceptible
S,66,1,1,2023,375707.5,365418,385807,Susceptible
S,67,1,1,2023,357863,347006,369105,Susceptible
S,68,1,1,2023,338089.5,326231,349756,Susceptible
S,69,1,1,2023,316040.5,304249,328695,Susceptible
S,70,1,1,2023,293674.5,281240,306165,Susceptible
S,71,1,1,2023,270305.5,257734,282819,Susceptible
S,72,1,1,2023,246146.5,233423,258935,Susceptible
S,73,1,1,2023,222210.5,209873,235137,Susceptible
S,74,1,1,2023,198810.5,186907,211006,Susceptible
S,75,1,1,2023,176541,164294,187890,Susceptible
S,76,1,1,2023,154550.5,143299,165660,Susceptible
S,77,1,1,2023,134150.5,123753,144552,Susceptible
S,78,1,1,2023,114877.5,105150,124985,Susceptible
S,79,1,1,2023,96819.5,88450,106001,Susceptible
S,80,1,1,2023,80666,72914,88794,Susceptible
S,81,1,1,2023,66427.5,59649,73823,Susceptible
S,82,1,1,2023,53961.5,48173,60432,Susceptible
S,83,1,1,2023,43349,38093,48869,Susceptible
S,84,1,1,2023,34241.5,29785,38984,Susceptible
S,85,1,1,2023,26753,23252,30723,Susceptible
S,86,1,1,2023,20610,17614,23844,Susceptible
S,87,1,1,2023,15538,13187,18201,Susceptible
S,88,1,1,2023,11495.5,9592,13628,Susceptible
S,89,1,1,2023,8446.5,6972,10111,Susceptible
S,90,1,1,2023,6064.5,4955,7381,Susceptible
S,91,1,1,2023,4314.5,3413,5280,Susceptible
S,92,1,1,2023,2923.5,2307,3705,Susceptible
S,93,1,1,2023,1982,1496,2573,Susceptible
S,94,1,1,2023,1342.5,1005,1764,Susceptible
S,95,1,1,2023,880,671,1169,Susceptible
S,96,1,1,2023,589.5,450,780,Susceptible
S,97,1,1,2023,394,280,502,Susceptible
S,98,1,1,2023,241.5,168,339,Susceptible
S,99,1,1,2023,150,97,217,Susceptible
S,100,1,1,2023,91,65,171,Susceptible
