state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,50356784,50355872,50365666
new_case,All,All,All,1951,2918,2861,2954
new_case,All,All,All,1952,3306,3246,3442
new_case,All,All,All,1953,4100,4081,4235
new_case,All,All,All,1954,5939,5518,6519
new_case,All,All,All,1955,12121,10494,12259
new_case,All,All,All,1956,32627,31255,37184
new_case,All,All,All,1957,166033,145654,183559
new_case,All,All,All,1958,594144,585619,617582
new_case,All,All,All,1959,478635,423474,500259
new_case,All,All,All,1960,130261,119598,136011
new_case,All,All,All,1961,61601,55657,68911
new_case,All,All,All,1962,70112,65442,74776
new_case,All,All,All,1963,128612,119707,140100
new_case,All,All,All,1964,287939,269803,301875
new_case,All,All,All,1965,481779,468051,486142
new_case,All,All,All,1966,419330,405734,457856
new_case,All,All,All,1967,237842,228521,251140
new_case,All,All,All,1968,151907,148461,157697
new_case,All,All,All,1969,147447,136456,149286
new_case,All,All,All,1970,199662,181369,209725
new_case,All,All,All,1971,317896,278956,337947
new_case,All,All,All,1972,417325,376903,422280
new_case,All,All,All,1973,394822,388079,437912
new_case,All,All,All,1974,302078,287316,330258
new_case,All,All,All,1975,221404,206867,231561
new_case,All,All,All,1976,203662,185594,213890
new_case,All,All,All,1977,225957,217507,234585
new_case,All,All,All,1978,288277,271891,309722
new_case,All,All,All,1979,351711,308161,378216
new_case,All,All,All,1980,22486,19012,22884
new_case,All,All,All,1981,2,2,2
new_case,All,All,All,1982,4,4,4
new_case,All,All,All,1983,4,4,4
new_case,All,All,All,1984,4,4,4
new_case,All,All,All,1985,4,4,4
new_case,All,All,All,1986,4,4,4
new_case,All,All,All,1987,2,2,2
new_case,All,All,All,1988,2,2,2
new_case,All,All,All,1989,2,2,2
new_case,All,All,All,1990,2,2,2
new_case,All,All,All,1991,1,1,1
new_case,All,All,All,1992,3,3,3
new_case,All,All,All,1993,5,5,5
new_case,All,All,All,1994,4,4,4
new_case,All,All,All,1995,1,1,1
new_case,All,All,All,1996,4,4,4
new_case,All,All,All,1997,0,0,0
new_case,All,All,All,1998,0,0,0
new_case,All,All,All,1999,0,0,0
new_case,All,All,All,2000,2,2,2
new_case,All,All,All,2001,4,4,4
new_case,All,All,All,2002,6,6,6
new_case,All,All,All,2003,3,3,3
new_case,All,All,All,2004,0,0,0
new_case,All,All,All,2005,0,0,0
new_case,All,All,All,2006,3,3,3
new_case,All,All,All,2007,3,3,3
new_case,All,All,All,2008,5,5,5
new_case,All,All,All,2009,3,3,3
new_case,All,All,All,2010,0,0,0
new_case,All,All,All,2011,2,2,2
new_case,All,All,All,2012,0,0,0
new_case,All,All,All,2013,1,1,1
new_case,All,All,All,2014,0,0,0
new_case,All,All,All,2015,1,1,1
new_case,All,All,All,2016,1,1,1
new_case,All,All,All,2017,6,6,6
new_case,All,All,All,2018,15,15,15
new_case,All,All,All,2019,12,12,12
new_case,All,All,All,2020,1,1,1
new_case,All,All,All,2021,10,10,10
new_case,All,All,All,2022,88,88,88
new_case,All,All,All,2023,2,2,2
S,1,1,1,2023,9519,6186,14755
S,2,1,1,2023,15509,13124,16857
S,3,1,1,2023,19409,18351,20130
S,4,1,1,2023,23441,22791,23957
S,5,1,1,2023,28478,27906,29004
S,6,1,1,2023,34425.5,33680,35240
S,7,1,1,2023,41296.5,40553,42496
S,8,1,1,2023,48947.5,47820,50313
S,9,1,1,2023,56953,55764,58113
S,10,1,1,2023,65298.5,63712,66205
S,11,1,1,2023,73661,72595,74596
S,12,1,1,2023,81997,80794,82620
S,13,1,1,2023,90318,88650,91049
S,14,1,1,2023,98009,96485,98934
S,15,1,1,2023,9979.5,9811,10163
S,16,1,1,2023,18125.5,17788,18440
S,17,1,1,2023,26575.5,26071,26908
S,18,1,1,2023,35106,34599,35673
S,19,1,1,2023,43833.5,43414,44224
S,20,1,1,2023,52680.5,52138,53155
S,21,1,1,2023,62041.5,61003,62457
S,22,1,1,2023,71115.5,70399,71644
S,23,1,1,2023,80504.5,79923,81211
S,24,1,1,2023,90372,89635,91019
S,25,1,1,2023,100273.5,99173,101365
S,26,1,1,2023,110425.5,110010,111572
S,27,1,1,2023,120209.5,119246,121580
S,28,1,1,2023,129780,129063,131595
S,29,1,1,2023,140082.5,139204,141274
S,30,1,1,2023,150233,149433,151422
S,31,1,1,2023,159774,158579,161671
S,32,1,1,2023,169430.5,167734,171273
S,33,1,1,2023,178575,177485,180411
S,34,1,1,2023,187457,186103,189924
S,35,1,1,2023,195869.5,194590,197795
S,36,1,1,2023,204049.5,203065,206313
S,37,1,1,2023,212552.5,211225,214349
S,38,1,1,2023,220178.5,218669,222232
S,39,1,1,2023,227660,226399,230170
S,40,1,1,2023,235881.5,234353,237161
S,41,1,1,2023,243517.5,241877,244316
S,42,1,1,2023,250750,249807,251543
S,43,1,1,2023,258202.5,256984,259769
S,44,1,1,2023,265530,264766,267841
S,45,1,1,2023,272552.5,271733,275387
S,46,1,1,2023,280462,279428,282883
S,47,1,1,2023,288379,287339,289621
S,48,1,1,2023,295831,294596,296828
S,49,1,1,2023,302685.5,301417,304332
S,50,1,1,2023,309612,306875,311494
S,51,1,1,2023,315848.5,313429,318780
S,52,1,1,2023,321626,319197,324231
S,53,1,1,2023,326884.5,323289,328638
S,54,1,1,2023,330542,326536,332906
S,55,1,1,2023,333576,328941,336162
S,56,1,1,2023,335215.5,330442,337483
S,57,1,1,2023,334888.5,329958,338561
S,58,1,1,2023,333801.5,328954,338318
S,59,1,1,2023,331395,327353,336405
S,60,1,1,2023,327485,321345,332169
S,61,1,1,2023,321764,314913,327751
S,62,1,1,2023,314244,307306,320724
S,63,1,1,2023,305029.5,297457,311809
S,64,1,1,2023,294026,285849,302241
S,65,1,1,2023,281826.5,273971,289916
S,66,1,1,2023,268943,259668,277451
S,67,1,1,2023,254662.5,244898,263414
S,68,1,1,2023,239503,229603,249017
S,69,1,1,2023,223675,213562,233089
S,70,1,1,2023,207437,197254,217541
S,71,1,1,2023,190313,179995,200740
S,72,1,1,2023,173143.5,163259,183024
S,73,1,1,2023,156140,146724,165869
S,74,1,1,2023,139171,130540,148716
S,75,1,1,2023,123293,114524,131726
S,76,1,1,2023,107857,99615,115753
S,77,1,1,2023,93415.5,85992,100830
S,78,1,1,2023,80187.5,73381,86935
S,79,1,1,2023,67715,61352,74028
S,80,1,1,2023,56743,51052,62639
S,81,1,1,2023,46549,41833,51809
S,82,1,1,2023,37872,33726,42278
S,83,1,1,2023,30224,26646,34161
S,84,1,1,2023,23992,20986,27236
S,85,1,1,2023,18717,16250,21429
S,86,1,1,2023,14470,12296,16694
S,87,1,1,2023,10968.5,9178,12748
S,88,1,1,2023,8069,6695,9576
S,89,1,1,2023,5883,4802,7082
S,90,1,1,2023,4178,3429,5128
S,91,1,1,2023,2919.5,2341,3592
S,92,1,1,2023,2030.5,1585,2546
S,93,1,1,2023,1344.5,1048,1758
S,94,1,1,2023,890,633,1157
S,95,1,1,2023,569.5,413,779
S,96,1,1,2023,341.5,252,460
S,97,1,1,2023,198.5,135,287
S,98,1,1,2023,127,83,173
S,99,1,1,2023,65,35,111
S,100,1,1,2023,38,18,61
S,101,1,1,2023,50,25,88
S,1,2,1,2023,55118,44256,61195
S,2,2,1,2023,115290.5,106923,118134
S,3,2,1,2023,169278,164558,171385
S,4,2,1,2023,218609,215630,221351
S,5,2,1,2023,264912,261951,268501
S,6,2,1,2023,308055,304186,312055
S,7,2,1,2023,347495.5,343226,351762
S,8,2,1,2023,383136,379518,386698
S,9,2,1,2023,414891.5,410803,417994
S,10,2,1,2023,443246.5,439826,446594
S,11,2,1,2023,467762,464471,470137
S,12,2,1,2023,487000,485153,488804
S,13,2,1,2023,503579,499720,504353
S,14,2,1,2023,515717,514261,517639
