state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,449551,277743,718867,Susceptible
S,2,1,1,2023,66502.5,55070,72062,Susceptible
S,3,1,1,2023,69794.5,66697,71006,Susceptible
S,4,1,1,2023,69795.5,68982,70405,Susceptible
S,5,1,1,2023,70212,69585,71054,Susceptible
S,6,1,1,2023,71317,70633,72226,Susceptible
S,7,1,1,2023,73039,72410,73731,Susceptible
S,8,1,1,2023,75963.5,75135,76546,Susceptible
S,9,1,1,2023,80197,78770,81049,Susceptible
S,10,1,1,2023,85790.5,84032,87552,Susceptible
S,11,1,1,2023,93284.5,91118,95736,Susceptible
S,12,1,1,2023,102436.5,99078,105504,Susceptible
S,13,1,1,2023,112591.5,109162,115617,Susceptible
S,14,1,1,2023,123092,119640,126501,Susceptible
S,15,1,1,2023,133702,130351,137042,Susceptible
S,16,1,1,2023,143348,139913,146225,Susceptible
S,17,1,1,2023,152352.5,149196,154674,Susceptible
S,18,1,1,2023,160222.5,157781,162054,Susceptible
S,19,1,1,2023,167117.5,165304,168441,Susceptible
S,20,1,1,2023,172273,171550,173483,Susceptible
S,21,1,1,2023,176958,176316,178018,Susceptible
S,22,1,1,2023,180817.5,179814,181359,Susceptible
S,23,1,1,2023,184213.5,183076,185369,Susceptible
S,24,1,1,2023,187251,185237,188273,Susceptible
S,25,1,1,2023,190722,188799,191925,Susceptible
S,26,1,1,2023,194449,192861,196040,Susceptible
S,27,1,1,2023,198717.5,197237,201719,Susceptible
S,28,1,1,2023,203596,202551,205645,Susceptible
S,29,1,1,2023,209957.5,208652,211107,Susceptible
S,30,1,1,2023,217049,215123,218422,Susceptible
S,31,1,1,2023,225065.5,223041,226646,Susceptible
S,32,1,1,2023,234007,232215,236351,Susceptible
S,33,1,1,2023,243725,240664,246366,Susceptible
S,34,1,1,2023,252803,249961,254977,Susceptible
S,35,1,1,2023,261999.5,258184,265667,Susceptible
S,36,1,1,2023,270368,267140,274737,Susceptible
S,37,1,1,2023,277893,275135,281340,Susceptible
S,38,1,1,2023,284186,282584,287253,Susceptible
S,39,1,1,2023,289217,288194,290717,Susceptible
S,40,1,1,2023,292582.5,290738,294420,Susceptible
S,41,1,1,2023,294398,291912,296494,Susceptible
S,42,1,1,2023,293384.5,290292,296078,Susceptible
S,43,1,1,2023,290822,287215,294125,Susceptible
S,44,1,1,2023,285491.5,280553,290486,Susceptible
S,45,1,1,2023,278408,272403,284255,Susceptible
S,46,1,1,2023,268827,262297,275240,Susceptible
S,47,1,1,2023,258307.5,251358,265332,Susceptible
S,48,1,1,2023,246560.5,238973,253720,Susceptible
S,49,1,1,2023,233353,225135,241045,Susceptible
S,50,1,1,2023,219022,210335,227077,Susceptible
S,51,1,1,2023,204601.5,196055,212551,Susceptible
S,52,1,1,2023,189543.5,181012,198510,Susceptible
S,53,1,1,2023,175179.5,166859,184181,Susceptible
S,54,1,1,2023,160983,152878,169579,Susceptible
S,55,1,1,2023,147113.5,139371,155054,Susceptible
S,56,1,1,2023,133726.5,126095,141268,Susceptible
S,57,1,1,2023,120634.5,113496,127970,Susceptible
S,58,1,1,2023,108472,102086,115309,Susceptible
