state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,50922886,50917049,50928563
new_case,All,All,All,1951,444526,441717,451633
new_case,All,All,All,1952,8562141,8542811,8565779
new_case,All,All,All,1953,2494504,2491172,2520884
new_case,All,All,All,1954,6873186,6860218,6882883
new_case,All,All,All,1955,3852615,3833069,3874072
new_case,All,All,All,1956,5875984,5855878,5879257
new_case,All,All,All,1957,4755190,4734178,4757827
new_case,All,All,All,1958,5405471,5393014,5420236
new_case,All,All,All,1959,5016713,4994085,5027947
new_case,All,All,All,1960,5258100,5240554,5265959
new_case,All,All,All,1961,5214303,5207830,5234008
new_case,All,All,All,1962,5300106,5277954,5308928
new_case,All,All,All,1963,5288423,5282928,5317008
new_case,All,All,All,1964,5390035,5362839,5414343
new_case,All,All,All,1965,5335065,5317374,5342247
new_case,All,All,All,1966,5326720,5309468,5344576
new_case,All,All,All,1967,5348585,5335959,5370093
new_case,All,All,All,1968,5360198,5322600,5378522
new_case,All,All,All,1969,5339756,5323670,5359327
new_case,All,All,All,1970,5379971,5357444,5388775
new_case,All,All,All,1971,5481966,5467310,5512433
new_case,All,All,All,1972,5419777,5377592,5444168
new_case,All,All,All,1973,5336379,5320025,5368329
new_case,All,All,All,1974,5347630,5304485,5364546
new_case,All,All,All,1975,5303605,5280192,5344655
new_case,All,All,All,1976,5322334,5302387,5344335
new_case,All,All,All,1977,5294865,5273191,5305071
new_case,All,All,All,1978,5436460,5394678,5443551
new_case,All,All,All,1979,5339668,5323126,5369639
new_case,All,All,All,1980,343578,339544,345199
new_case,All,All,All,1981,21461,21461,21461
new_case,All,All,All,1982,70928,70928,70928
new_case,All,All,All,1983,21589,21589,21589
new_case,All,All,All,1984,6419,6419,6419
new_case,All,All,All,1985,24244,24244,24244
new_case,All,All,All,1986,39939,39939,39939
new_case,All,All,All,1987,16791,16791,16791
new_case,All,All,All,1988,5473,5473,5473
new_case,All,All,All,1989,12305,12305,12305
new_case,All,All,All,1990,16605,16605,16605
new_case,All,All,All,1991,6282,6282,6282
new_case,All,All,All,1992,2750,2750,2750
new_case,All,All,All,1993,4718,4718,4718
new_case,All,All,All,1994,4837,4837,4837
new_case,All,All,All,1995,2399,2399,2399
new_case,All,All,All,1996,2724,2724,2724
new_case,All,All,All,1997,3669,3669,3669
new_case,All,All,All,1998,0,0,0
new_case,All,All,All,1999,0,0,0
new_case,All,All,All,2000,866,866,866
new_case,All,All,All,2001,1049,1049,1049
new_case,All,All,All,2002,1054,1054,1054
new_case,All,All,All,2003,521,521,521
new_case,All,All,All,2004,169,169,169
new_case,All,All,All,2005,358,358,358
new_case,All,All,All,2006,478,478,478
new_case,All,All,All,2007,1163,1163,1163
new_case,All,All,All,2008,1028,1028,1028
new_case,All,All,All,2009,846,846,846
new_case,All,All,All,2010,518,518,518
new_case,All,All,All,2011,1243,1243,1243
new_case,All,All,All,2012,11980,11980,11980
new_case,All,All,All,2013,6090,6090,6090
new_case,All,All,All,2014,4046,4046,4046
new_case,All,All,All,2015,5207,5207,5207
new_case,All,All,All,2016,7085,7085,7085
new_case,All,All,All,2017,5097,5097,5097
new_case,All,All,All,2018,3423,3423,3423
new_case,All,All,All,2019,4613,4613,4613
new_case,All,All,All,2020,1226,1226,1226
new_case,All,All,All,2021,54,54,54
new_case,All,All,All,2022,79,79,79
new_case,All,All,All,2023,942,942,942
S,1,1,1,2023,20240.5,14972,27967
S,2,1,1,2023,41262,37334,43212
S,3,1,1,2023,62692,61356,63454
S,4,1,1,2023,26874.5,26411,27374
S,5,1,1,2023,56135.5,55113,56969
S,6,1,1,2023,88407,86605,89557
S,7,1,1,2023,123155.5,121368,124607
S,8,1,1,2023,158879,157324,160560
S,9,1,1,2023,194623.5,192938,196265
S,10,1,1,2023,230896.5,227835,233239
S,11,1,1,2023,265728,263011,268153
S,12,1,1,2023,298954.5,296683,301191
S,13,1,1,2023,330395,327964,332605
S,14,1,1,2023,359179,356907,363078
S,15,1,1,2023,387192.5,383579,390607
S,16,1,1,2023,412639,409159,415439
S,17,1,1,2023,436105.5,433313,438082
S,18,1,1,2023,457605.5,454604,460779
S,19,1,1,2023,478822,475992,481228
S,20,1,1,2023,499125,496769,501770
S,21,1,1,2023,519009,515512,520571
S,22,1,1,2023,537282.5,535260,542303
S,23,1,1,2023,557795.5,555139,562913
S,24,1,1,2023,577447,574291,581584
S,25,1,1,2023,596737.5,593856,602808
S,26,1,1,2023,615512,611250,623266
S,27,1,1,2023,633545,629964,641077
S,28,1,1,2023,650791.5,647282,657244
S,29,1,1,2023,667938.5,663491,674237
S,30,1,1,2023,683503,679457,690234
S,31,1,1,2023,697403.5,694018,704624
S,32,1,1,2023,709690,707151,714791
S,33,1,1,2023,720964.5,718403,725072
S,34,1,1,2023,730108.5,727245,735455
S,35,1,1,2023,738720,735230,743741
S,36,1,1,2023,744332,741724,750557
S,37,1,1,2023,750772,748066,754552
S,38,1,1,2023,754735,752922,759354
S,39,1,1,2023,759006,757525,763878
S,40,1,1,2023,762647.5,758861,766557
S,41,1,1,2023,766405,763396,771396
S,42,1,1,2023,770350.5,767168,773517
S,43,1,1,2023,775006.5,772112,779595
S,44,1,1,2023,781267,779011,785519
S,45,1,1,2023,788679.5,785316,791500
S,46,1,1,2023,796286,790771,800575
S,47,1,1,2023,804458,797475,809412
S,48,1,1,2023,813764,805919,818085
S,49,1,1,2023,823502.5,814683,828205
S,50,1,1,2023,831860,823494,838100
S,51,1,1,2023,841224.5,835587,848199
S,52,1,1,2023,849631,844402,856938
S,53,1,1,2023,857744.5,851965,864124
S,54,1,1,2023,866174.5,858152,870297
S,55,1,1,2023,870913,862940,876534
S,56,1,1,2023,873275,868456,878731
S,57,1,1,2023,875706,871251,880106
S,58,1,1,2023,875142.5,871488,881499
S,59,1,1,2023,873204,868446,879956
S,60,1,1,2023,871025,863973,877926
S,61,1,1,2023,864807.5,856449,870267
S,62,1,1,2023,856459,847590,864077
S,63,1,1,2023,846984,837899,855880
S,64,1,1,2023,836990.5,826933,846075
S,65,1,1,2023,824763,814898,834280
S,66,1,1,2023,810837.5,800210,823129
S,67,1,1,2023,795915.5,785140,807254
S,68,1,1,2023,780409,770827,790946
S,69,1,1,2023,764507.5,753744,775625
S,70,1,1,2023,746112.5,735246,758348
S,71,1,1,2023,728895,717847,740762
S,72,1,1,2023,710922.5,700336,721130
S,73,1,1,2023,691202.5,679516,702365
S,74,1,1,2023,671687.5,659345,683837
S,75,1,1,2023,649547,636460,663336
S,76,1,1,2023,626059.5,612423,638980
S,77,1,1,2023,600335.5,586931,614685
S,78,1,1,2023,574694,560359,589141
S,79,1,1,2023,547440,532826,562299
S,80,1,1,2023,518686.5,503321,533453
S,81,1,1,2023,488740,473747,504410
S,82,1,1,2023,457621,442364,473070
S,83,1,1,2023,426277.5,409832,441990
S,84,1,1,2023,394030,378432,410868
S,85,1,1,2023,361413,345600,377864
S,86,1,1,2023,329401.5,313132,345358
S,87,1,1,2023,296692.5,280913,312748
S,88,1,1,2023,264514.5,249184,280506
S,89,1,1,2023,232715,217457,248228
S,90,1,1,2023,201869.5,187204,216826
S,91,1,1,2023,172246.5,158666,186580
S,92,1,1,2023,144713,131707,157775
S,93,1,1,2023,119559,107688,131596
S,94,1,1,2023,96884.5,86357,107702
S,95,1,1,2023,76763,67746,86496
S,96,1,1,2023,59753,51910,67998
S,97,1,1,2023,45600.5,39181,52506
S,98,1,1,2023,33928.5,28680,39931
S,99,1,1,2023,24706.5,20663,29540
S,100,1,1,2023,17589,14429,21307
S,101,1,1,2023,36051,28497,45237
S,1,2,1,2023,88655.5,69382,99583
S,2,2,1,2023,173613,158901,178287
S,3,2,1,2023,236475.5,229210,241077
S,4,2,1,2023,293472.5,288652,298940
S,5,2,1,2023,337212.5,332605,342092
S,6,2,1,2023,368405.5,363090,372838
S,7,2,1,2023,389329.5,384466,393907
S,8,2,1,2023,401957.5,397553,405586
S,9,2,1,2023,407661.5,403938,411528
S,10,2,1,2023,406224,402559,410142
S,11,2,1,2023,400153,395994,405266
S,12,2,1,2023,390465,387421,394011
S,13,2,1,2023,377642,375242,380050
S,14,2,1,2023,361669.5,359668,364287
S,15,2,1,2023,343949.5,342835,345543
S,16,2,1,2023,325950,324827,326844
S,17,2,1,2023,306605,304959,308015
S,18,2,1,2023,287629,286642,289089
S,19,2,1,2023,269204,268139,270739
S,20,2,1,2023,251767.5,250124,253558
S,21,2,1,2023,235014.5,233003,236913
S,22,2,1,2023,219876.5,218042,221703
S,23,2,1,2023,204568.5,203816,206725
S,24,2,1,2023,190723.5,189699,193837
S,25,2,1,2023,178978.5,177257,181421
S,26,2,1,2023,167494,166248,169667
S,27,2,1,2023,157292.5,155081,158086
S,28,2,1,2023,146970.5,145764,148113
S,29,2,1,2023,136895.5,136038,138626
S,30,2,1,2023,128160,127449,129674
S,31,2,1,2023,119976,119015,121246
S,32,2,1,2023,111937.5,110810,112669
S,33,2,1,2023,104536.5,103763,105009
S,34,2,1,2023,97171.5,96335,97994
S,35,2,1,2023,90187,88950,90685
S,36,2,1,2023,83574.5,82086,83968
S,37,2,1,2023,76854.5,75579,77513
S,38,2,1,2023,70569.5,69369,71269
S,39,2,1,2023,64350.5,63490,65111
S,40,2,1,2023,59000,57643,59531
S,41,2,1,2023,53958,52752,54522
S,42,2,1,2023,48921,47946,49494
S,43,2,1,2023,44220,43409,45175
