state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,20307.5,15005,27811,Susceptible
S,2,1,1,2023,41128,37258,43289,Susceptible
S,3,1,1,2023,62861,61208,63513,Susceptible
S,4,1,1,2023,26910.5,26427,27443,Susceptible
S,5,1,1,2023,56192,55543,57069,Susceptible
S,6,1,1,2023,88493,87122,89595,Susceptible
S,7,1,1,2023,122636.5,121348,124142,Susceptible
S,8,1,1,2023,158402.5,156868,159802,Susceptible
S,9,1,1,2023,194663.5,192875,196619,Susceptible
S,10,1,1,2023,230539,228302,232419,Susceptible
S,11,1,1,2023,265336.5,264172,266831,Susceptible
S,12,1,1,2023,298766,297191,299975,Susceptible
S,13,1,1,2023,330999,329884,332230,Susceptible
S,14,1,1,2023,360167.5,359107,361304,Susceptible
S,15,1,1,2023,387476,386161,389039,Susceptible
S,16,1,1,2023,412127.5,410101,413871,Susceptible
S,17,1,1,2023,435597,431837,437962,Susceptible
S,18,1,1,2023,457523.5,452947,459414,Susceptible
S,19,1,1,2023,479322,474137,480470,Susceptible
S,20,1,1,2023,499796.5,495904,500953,Susceptible
S,21,1,1,2023,519550,515523,521192,Susceptible
S,22,1,1,2023,538472.5,536234,539451,Susceptible
S,23,1,1,2023,557340,554829,559035,Susceptible
S,24,1,1,2023,577237.5,574533,579748,Susceptible
S,25,1,1,2023,597002.5,593572,600635,Susceptible
S,26,1,1,2023,616359,610264,619257,Susceptible
S,27,1,1,2023,634139,629878,638686,Susceptible
S,28,1,1,2023,652481.5,648350,656037,Susceptible
S,29,1,1,2023,668390.5,664619,671303,Susceptible
S,30,1,1,2023,682849.5,679095,685351,Susceptible
S,31,1,1,2023,695701,692730,699713,Susceptible
S,32,1,1,2023,707646,704334,713006,Susceptible
S,33,1,1,2023,718353.5,715526,724590,Susceptible
S,34,1,1,2023,728803,724264,731247,Susceptible
S,35,1,1,2023,736200.5,732763,738491,Susceptible
S,36,1,1,2023,742243.5,738359,744640,Susceptible
S,37,1,1,2023,748165.5,745209,750433,Susceptible
S,38,1,1,2023,752509,750653,755516,Susceptible
S,39,1,1,2023,756698,754316,759421,Susceptible
S,40,1,1,2023,761679.5,758487,763509,Susceptible
S,41,1,1,2023,765322.5,762701,769047,Susceptible
S,42,1,1,2023,769652.5,768301,774047,Susceptible
S,43,1,1,2023,775029.5,773637,778427,Susceptible
S,44,1,1,2023,781139.5,779407,785066,Susceptible
S,45,1,1,2023,786667.5,784567,791264,Susceptible
S,46,1,1,2023,793875,790464,798215,Susceptible
S,47,1,1,2023,802310,797199,806076,Susceptible
S,48,1,1,2023,810352.5,805552,816063,Susceptible
S,49,1,1,2023,820061.5,813615,825422,Susceptible
S,50,1,1,2023,828524.5,822847,833136,Susceptible
S,51,1,1,2023,837251,831666,842942,Susceptible
S,52,1,1,2023,845678,840348,854564,Susceptible
S,53,1,1,2023,853168,847356,862369,Susceptible
S,54,1,1,2023,861441,854253,867614,Susceptible
S,55,1,1,2023,867566.5,860566,873444,Susceptible
S,56,1,1,2023,873245.5,865125,876735,Susceptible
S,57,1,1,2023,875208.5,869529,879276,Susceptible
S,58,1,1,2023,875428.5,870110,878761,Susceptible
S,59,1,1,2023,873588,868697,876285,Susceptible
S,60,1,1,2023,870057,864538,875120,Susceptible
S,61,1,1,2023,865094.5,858665,869952,Susceptible
S,62,1,1,2023,856975.5,849068,862893,Susceptible
S,63,1,1,2023,846697.5,837699,853607,Susceptible
S,64,1,1,2023,835199.5,825065,842179,Susceptible
S,65,1,1,2023,823386,811937,831401,Susceptible
S,66,1,1,2023,809381,799509,818352,Susceptible
S,67,1,1,2023,795578.5,785732,803629,Susceptible
S,68,1,1,2023,781034.5,770307,789108,Susceptible
S,69,1,1,2023,765306.5,754720,774676,Susceptible
S,70,1,1,2023,747875.5,737067,757584,Susceptible
S,71,1,1,2023,729802.5,719060,739247,Susceptible
S,72,1,1,2023,711408.5,699342,721525,Susceptible
S,73,1,1,2023,690369,677955,701671,Susceptible
S,74,1,1,2023,670286,658222,681767,Susceptible
S,75,1,1,2023,649131,637374,659791,Susceptible
S,76,1,1,2023,624796,612766,636802,Susceptible
S,77,1,1,2023,600681,588477,612860,Susceptible
S,78,1,1,2023,575471.5,562622,587831,Susceptible
S,79,1,1,2023,547627.5,534022,561137,Susceptible
S,80,1,1,2023,519246.5,505100,532883,Susceptible
S,81,1,1,2023,489466.5,475054,503637,Susceptible
S,82,1,1,2023,459041.5,443793,473779,Susceptible
S,83,1,1,2023,427488.5,412525,442534,Susceptible
S,84,1,1,2023,395652,379860,410839,Susceptible
S,85,1,1,2023,362654,346621,378409,Susceptible
S,86,1,1,2023,330065,313981,345677,Susceptible
S,87,1,1,2023,297213.5,281230,312767,Susceptible
S,88,1,1,2023,264455,248797,280144,Susceptible
S,89,1,1,2023,232710.5,217005,248408,Susceptible
S,90,1,1,2023,202276.5,187586,217476,Susceptible
S,91,1,1,2023,172584.5,158963,186820,Susceptible
S,92,1,1,2023,144666.5,131698,158162,Susceptible
S,93,1,1,2023,119426,107858,131703,Susceptible
S,94,1,1,2023,97107,86936,108306,Susceptible
S,95,1,1,2023,77293,67802,87003,Susceptible
S,96,1,1,2023,60181,52062,68537,Susceptible
S,97,1,1,2023,45682,39145,52830,Susceptible
S,98,1,1,2023,33907.5,28539,39636,Susceptible
S,99,1,1,2023,24631.5,20578,29204,Susceptible
S,100,1,1,2023,17504,14403,21017,Susceptible
S,101,1,1,2023,35694,28145,44740,Susceptible
S,1,2,1,2023,88516,68969,99587,Vaccine protected
S,2,2,1,2023,173320,158603,178190,Vaccine protected
S,3,2,1,2023,236138.5,229413,239645,Vaccine protected
S,4,2,1,2023,293033.5,288230,296571,Vaccine protected
S,5,2,1,2023,336208,331698,341083,Vaccine protected
S,6,2,1,2023,367664,362621,372469,Vaccine protected
S,7,2,1,2023,389057,384441,393140,Vaccine protected
S,8,2,1,2023,400725,396742,404855,Vaccine protected
S,9,2,1,2023,406111,402354,408985,Vaccine protected
S,10,2,1,2023,404936,402000,407783,Vaccine protected
S,11,2,1,2023,398844,396385,401823,Vaccine protected
S,12,2,1,2023,388932.5,386158,391771,Vaccine protected
S,13,2,1,2023,376033.5,372958,378631,Vaccine protected
S,14,2,1,2023,360564.5,358968,362074,Vaccine protected
S,15,2,1,2023,343247,342489,344969,Vaccine protected
S,16,2,1,2023,324577.5,323103,326369,Vaccine protected
S,17,2,1,2023,305692.5,304303,307790,Vaccine protected
S,18,2,1,2023,287326,284486,288575,Vaccine protected
S,19,2,1,2023,269190.5,267118,270254,Vaccine protected
S,20,2,1,2023,251623,249933,253363,Vaccine protected
S,21,2,1,2023,234127.5,232649,236112,Vaccine protected
S,22,2,1,2023,219620.5,217296,220854,Vaccine protected
S,23,2,1,2023,204526,203003,206323,Vaccine protected
S,24,2,1,2023,191663.5,190535,192398,Vaccine protected
S,25,2,1,2023,179317,178065,180068,Vaccine protected
S,26,2,1,2023,167473.5,165891,168794,Vaccine protected
S,27,2,1,2023,157049.5,155971,158322,Vaccine protected
S,28,2,1,2023,146711.5,145472,148932,Vaccine protected
S,29,2,1,2023,137585,136005,138648,Vaccine protected
S,30,2,1,2023,128294,126961,129945,Vaccine protected
S,31,2,1,2023,120201,118708,121335,Vaccine protected
S,32,2,1,2023,111672,110526,112615,Vaccine protected
S,33,2,1,2023,103792.5,102455,105036,Vaccine protected
S,34,2,1,2023,96612.5,95678,97542,Vaccine protected
S,35,2,1,2023,89767.5,88776,90179,Vaccine protected
S,36,2,1,2023,82846,82113,83323,Vaccine protected
S,37,2,1,2023,76290,75758,77026,Vaccine protected
S,38,2,1,2023,70064.5,69059,70956,Vaccine protected
S,39,2,1,2023,64069,63295,65102,Vaccine protected
S,40,2,1,2023,58673.5,57753,59689,Vaccine protected
S,41,2,1,2023,53477.5,52744,54663,Vaccine protected
S,42,2,1,2023,49033.5,47950,49840,Vaccine protected
S,43,2,1,2023,44474.5,43335,45279,Vaccine protected
S,44,2,1,2023,40030,39139,41258,Vaccine protected
S,45,2,1,2023,36237,35226,37185,Vaccine protected
S,46,2,1,2023,32719.5,31968,33496,Vaccine protected
S,47,2,1,2023,29468.5,28913,30298,Vaccine protected
S,48,2,1,2023,26705,26179,27214,Vaccine protected
S,49,2,1,2023,24029.5,23462,24585,Vaccine protected
S,50,2,1,2023,21640,21194,22245,Vaccine protected
S,51,2,1,2023,19587,19227,20131,Vaccine protected
S,52,2,1,2023,17808,17455,18209,Vaccine protected
S,53,2,1,2023,16291,15946,16635,Vaccine protected
S,54,2,1,2023,14900.5,14651,15250,Vaccine protected
S,55,2,1,2023,13547,13318,13932,Vaccine protected
S,56,2,1,2023,12468,12158,12876,Vaccine protected
S,57,2,1,2023,11359.5,11148,11897,Vaccine protected
S,58,2,1,2023,10427,10243,10826,Vaccine protected
S,59,2,1,2023,9688,9347,9912,Vaccine protected
S,60,2,1,2023,8867,8723,9269,Vaccine protected
S,61,2,1,2023,8088.5,7941,8348,Vaccine protected
S,62,2,1,2023,7373,7218,7597,Vaccine protected
S,63,2,1,2023,6676,6551,6842,Vaccine protected
S,64,2,1,2023,6055,5912,6273,Vaccine protected
S,65,2,1,2023,5518,5366,5665,Vaccine protected
S,66,2,1,2023,4954,4787,5142,Vaccine protected
S,67,2,1,2023,4375,4233,4568,Vaccine protected
S,68,2,1,2023,3835,3685,3970,Vaccine protected
S,69,2,1,2023,3396,3248,3536,Vaccine protected
S,70,2,1,2023,2969,2843,3102,Vaccine protected
S,71,2,1,2023,2635.5,2517,2740,Vaccine protected
S,72,2,1,2023,2277,2151,2398,Vaccine protected
S,73,2,1,2023,1957.5,1791,2090,Vaccine protected
S,74,2,1,2023,1638.5,1502,1791,Vaccine protected
S,75,2,1,2023,1367,1226,1527,Vaccine protected
S,76,2,1,2023,1148,1025,1302,Vaccine protected
S,77,2,1,2023,942,825,1073,Vaccine protected
S,78,2,1,2023,761.5,654,887,Vaccine protected
S,79,2,1,2023,611.5,533,758,Vaccine protected
S,80,2,1,2023,479,412,573,Vaccine protected
S,81,2,1,2023,376.5,304,462,Vaccine protected
S,82,2,1,2023,290.5,241,372,Vaccine protected
S,83,2,1,2023,233,204,274,Vaccine protected
S,84,2,1,2023,182,145,219,Vaccine protected
S,85,2,1,2023,139.5,108,188,Vaccine protected
S,86,2,1,2023,106,91,152,Vaccine protected
S,87,2,1,2023,84,66,98,Vaccine protected
S,88,2,1,2023,58,34,82,Vaccine protected
S,89,2,1,2023,47,28,62,Vaccine protected
S,90,2,1,2023,33,17,47,Vaccine protected
S,91,2,1,2023,20,11,38,Vaccine protected
S,92,2,1,2023,21,7,29,Vaccine protected
S,93,2,1,2023,10,1,18,Vaccine protected
S,94,2,1,2023,5,2,11,Vaccine protected
S,95,2,1,2023,4,1,7,Vaccine protected
S,96,2,1,2023,1,0,6,Vaccine protected
S,97,2,1,2023,0,0,8,Vaccine protected
S,98,2,1,2023,0,0,6,Vaccine protected
S,99,2,1,2023,0,0,3,Vaccine protected
S,100,2,1,2023,0,0,3,Vaccine protected
S,101,2,1,2023,0,0,2,Vaccine protected
S,1,3,1,2023,300086,169601,530858,Vaccine protected
S,2,3,1,2023,397126,305318,447418,Vaccine protected
S,3,3,1,2023,368694.5,334059,378871,Vaccine protected
S,4,3,1,2023,368292,357392,372459,Vaccine protected
S,5,3,1,2023,312648.5,308230,316195,Vaccine protected
S,6,3,1,2023,265492,261608,268993,Vaccine protected
S,7,3,1,2023,225393,222504,228584,Vaccine protected
S,8,3,1,2023,191013,189235,193460,Vaccine protected
S,9,3,1,2023,161810,160156,163390,Vaccine protected
S,10,3,1,2023,136678.5,135389,137526,Vaccine protected
S,11,3,1,2023,115448,114399,116529,Vaccine protected
S,12,3,1,2023,97081.5,96259,98174,Vaccine protected
S,13,3,1,2023,81570,80817,82228,Vaccine protected
