state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,1601319,1593389,1607269
new_case,All,All,All,1951,229734,219618,238446
new_case,All,All,All,1952,11733,11255,11901
new_case,All,All,All,1953,12313,12126,12739
new_case,All,All,All,1954,13092,12488,13333
new_case,All,All,All,1955,13817,13544,14748
new_case,All,All,All,1956,14665,14469,15128
new_case,All,All,All,1957,16306,15626,16507
new_case,All,All,All,1958,16591,16068,17110
new_case,All,All,All,1959,17650,16950,18034
new_case,All,All,All,1960,17826,17657,18698
new_case,All,All,All,1961,18626,18281,18785
new_case,All,All,All,1962,19994,18799,20655
new_case,All,All,All,1963,20130,19394,20343
new_case,All,All,All,1964,20936,20385,21883
new_case,All,All,All,1965,20757,20605,22093
new_case,All,All,All,1966,21736,19922,21967
new_case,All,All,All,1967,21992,20725,23506
new_case,All,All,All,1968,22288,21547,23241
new_case,All,All,All,1969,22348,21566,23725
new_case,All,All,All,1970,23151,21855,23570
new_case,All,All,All,1971,23544,22403,24270
new_case,All,All,All,1972,23468,22651,24039
new_case,All,All,All,1973,22905,21710,24029
new_case,All,All,All,1974,23588,22973,24258
new_case,All,All,All,1975,23906,22572,24315
new_case,All,All,All,1976,23132,22431,23561
new_case,All,All,All,1977,22645,22612,23563
new_case,All,All,All,1978,23210,23133,24024
new_case,All,All,All,1979,23161,22861,23850
new_case,All,All,All,1980,1142,1121,1191
new_case,All,All,All,1981,17,17,17
new_case,All,All,All,1982,14,14,14
new_case,All,All,All,1983,13,13,13
new_case,All,All,All,1984,3,3,3
new_case,All,All,All,1985,17,17,17
new_case,All,All,All,1986,0,0,0
new_case,All,All,All,1987,0,0,0
new_case,All,All,All,1988,0,0,0
new_case,All,All,All,1989,10,10,10
new_case,All,All,All,1990,2,2,2
new_case,All,All,All,1991,1,1,1
new_case,All,All,All,1992,3,3,3
new_case,All,All,All,1993,0,0,0
new_case,All,All,All,1994,0,0,0
new_case,All,All,All,1995,0,0,0
new_case,All,All,All,1996,0,0,0
new_case,All,All,All,1997,1,1,1
new_case,All,All,All,1998,0,0,0
new_case,All,All,All,1999,0,0,0
new_case,All,All,All,2000,0,0,0
