state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,16083,10091,25505,Susceptible
S,2,1,1,2023,23275,19533,24633,Susceptible
S,3,1,1,2023,23190,21917,23610,Susceptible
S,4,1,1,2023,22469.5,21028,23763,Susceptible
S,5,1,1,2023,23018,22075,23975,Susceptible
S,6,1,1,2023,24830.5,24254,25488,Susceptible
S,7,1,1,2023,27309.5,26680,27795,Susceptible
S,8,1,1,2023,30147.5,29828,30662,Susceptible
S,9,1,1,2023,33718.5,33162,34037,Susceptible
S,10,1,1,2023,37304.5,36926,37991,Susceptible
S,11,1,1,2023,41656.5,41012,41961,Susceptible
S,12,1,1,2023,46083,45495,46431,Susceptible
S,13,1,1,2023,50536.5,50200,50985,Susceptible
S,14,1,1,2023,54949,54312,55861,Susceptible
S,15,1,1,2023,59416.5,58901,60696,Susceptible
S,16,1,1,2023,64401.5,63700,64894,Susceptible
S,17,1,1,2023,68968.5,68062,69574,Susceptible
S,18,1,1,2023,73889,72703,74996,Susceptible
S,19,1,1,2023,78877.5,78093,79915,Susceptible
S,20,1,1,2023,84085.5,83323,85111,Susceptible
S,21,1,1,2023,89701,88548,90943,Susceptible
S,22,1,1,2023,95368.5,94219,97026,Susceptible
S,23,1,1,2023,101209.5,99978,103262,Susceptible
S,24,1,1,2023,107444.5,105858,108770,Susceptible
S,25,1,1,2023,113597.5,111758,114984,Susceptible
S,26,1,1,2023,119867.5,118252,121565,Susceptible
S,27,1,1,2023,125799.5,123666,127323,Susceptible
S,28,1,1,2023,131503,129525,133660,Susceptible
S,29,1,1,2023,137193,135003,139359,Susceptible
S,30,1,1,2023,142721.5,140674,144730,Susceptible
S,31,1,1,2023,147395.5,145110,149840,Susceptible
S,32,1,1,2023,151206,148435,153657,Susceptible
S,33,1,1,2023,154496.5,152703,155969,Susceptible
S,34,1,1,2023,157080,155174,158495,Susceptible
S,35,1,1,2023,159745,157436,161107,Susceptible
S,36,1,1,2023,160672.5,158024,162376,Susceptible
S,37,1,1,2023,160240.5,158547,162860,Susceptible
S,38,1,1,2023,159601,157504,162345,Susceptible
S,39,1,1,2023,157756,154708,160251,Susceptible
S,40,1,1,2023,154578,150914,157415,Susceptible
S,41,1,1,2023,150568,147102,154173,Susceptible
S,42,1,1,2023,145996,142806,150082,Susceptible
S,43,1,1,2023,140758,136710,144648,Susceptible
S,44,1,1,2023,134812,130577,138977,Susceptible
S,45,1,1,2023,128356,124415,132573,Susceptible
S,46,1,1,2023,121433,116986,125972,Susceptible
S,47,1,1,2023,114205.5,109836,118818,Susceptible
S,48,1,1,2023,106940.5,102756,111405,Susceptible
S,49,1,1,2023,99801.5,95722,103865,Susceptible
S,50,1,1,2023,92965,88896,96810,Susceptible
S,51,1,1,2023,86106,81853,90238,Susceptible
S,52,1,1,2023,79349,75305,83269,Susceptible
S,53,1,1,2023,73005,69537,76825,Susceptible
S,54,1,1,2023,66781.5,63377,70414,Susceptible
S,55,1,1,2023,60762.5,57639,64031,Susceptible
S,56,1,1,2023,55316,52433,58347,Susceptible
S,57,1,1,2023,50255.5,47352,53197,Susceptible
