state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,299092.5,185475,479928,Susceptible
S,2,1,1,2023,55578.5,45141,61909,Susceptible
S,3,1,1,2023,54488.5,52373,55918,Susceptible
S,4,1,1,2023,47940.5,43428,50938,Susceptible
S,5,1,1,2023,40758.5,37154,44522,Susceptible
S,6,1,1,2023,36430,34023,39183,Susceptible
S,7,1,1,2023,34488.5,33151,36306,Susceptible
S,8,1,1,2023,34624,33759,35531,Susceptible
S,9,1,1,2023,36350.5,35947,37060,Susceptible
S,10,1,1,2023,39583.5,38871,41000,Susceptible
S,11,1,1,2023,43864,42671,45229,Susceptible
S,12,1,1,2023,48245,46884,49532,Susceptible
S,13,1,1,2023,51847,50469,52734,Susceptible
S,14,1,1,2023,54748,54045,55408,Susceptible
S,15,1,1,2023,57356,56828,58224,Susceptible
S,16,1,1,2023,59678,59117,60610,Susceptible
S,17,1,1,2023,62223.5,61729,63164,Susceptible
S,18,1,1,2023,65263.5,64519,66544,Susceptible
S,19,1,1,2023,69014,67784,70233,Susceptible
S,20,1,1,2023,73279,71638,74396,Susceptible
S,21,1,1,2023,78197.5,76594,79716,Susceptible
S,22,1,1,2023,83495.5,82170,85388,Susceptible
S,23,1,1,2023,89791,88012,91775,Susceptible
S,24,1,1,2023,96186,93330,98519,Susceptible
S,25,1,1,2023,102799,99774,105296,Susceptible
S,26,1,1,2023,110324,107226,113122,Susceptible
S,27,1,1,2023,117877,114839,120918,Susceptible
S,28,1,1,2023,125521.5,122362,128559,Susceptible
S,29,1,1,2023,133204.5,129647,136756,Susceptible
S,30,1,1,2023,140771.5,137364,144424,Susceptible
S,31,1,1,2023,148339.5,145112,151910,Susceptible
S,32,1,1,2023,155751,152113,158896,Susceptible
S,33,1,1,2023,162642.5,158860,165317,Susceptible
S,34,1,1,2023,168237.5,164683,170521,Susceptible
S,35,1,1,2023,172616,169519,174628,Susceptible
S,36,1,1,2023,175841,174252,177572,Susceptible
S,37,1,1,2023,177538,176433,178899,Susceptible
S,38,1,1,2023,177320.5,175656,178303,Susceptible
S,39,1,1,2023,175323,173458,177156,Susceptible
S,40,1,1,2023,171473,168698,174228,Susceptible
S,41,1,1,2023,165535,161450,168858,Susceptible
S,42,1,1,2023,157980.5,153275,161960,Susceptible
S,43,1,1,2023,149091,143068,153894,Susceptible
S,44,1,1,2023,138644,132841,144203,Susceptible
S,45,1,1,2023,127394.5,121415,133167,Susceptible
S,46,1,1,2023,115329.5,109696,121141,Susceptible
S,47,1,1,2023,103435.5,97455,109103,Susceptible
S,48,1,1,2023,91623.5,85566,97148,Susceptible
S,49,1,1,2023,79841,74230,85586,Susceptible
S,50,1,1,2023,68862.5,63278,74323,Susceptible
S,51,1,1,2023,58722.5,53478,63998,Susceptible
S,52,1,1,2023,49493,44856,54411,Susceptible
S,53,1,1,2023,41201,36939,45769,Susceptible
S,54,1,1,2023,33899.5,30489,37868,Susceptible
S,55,1,1,2023,27662,24607,30829,Susceptible
S,56,1,1,2023,22364.5,19789,25147,Susceptible
S,57,1,1,2023,17865.5,15703,20210,Susceptible
S,58,1,1,2023,14137.5,12465,16145,Susceptible
S,59,1,1,2023,11118.5,9614,12809,Susceptible
S,60,1,1,2023,8678.5,7392,9955,Susceptible
S,61,1,1,2023,6763,5753,7780,Susceptible
S,62,1,1,2023,5268,4465,6115,Susceptible
S,63,1,1,2023,4062.5,3366,4768,Susceptible
S,64,1,1,2023,3016.5,2460,3613,Susceptible
S,65,1,1,2023,2280.5,1901,2734,Susceptible
S,66,1,1,2023,1743.5,1445,2133,Susceptible
S,67,1,1,2023,1326,1010,1654,Susceptible
S,68,1,1,2023,977.5,710,1301,Susceptible
S,69,1,1,2023,735,594,955,Susceptible
S,70,1,1,2023,577.5,495,737,Susceptible
S,71,1,1,2023,465,380,533,Susceptible
S,72,1,1,2023,355,300,450,Susceptible
S,73,1,1,2023,288,226,364,Susceptible
S,74,1,1,2023,235.5,178,279,Susceptible
S,75,1,1,2023,173,109,219,Susceptible
S,76,1,1,2023,128,88,190,Susceptible
S,77,1,1,2023,99.5,69,160,Susceptible
S,78,1,1,2023,84.5,51,117,Susceptible
S,79,1,1,2023,64,39,99,Susceptible
S,80,1,1,2023,47,35,81,Susceptible
S,81,1,1,2023,34,27,64,Susceptible
S,82,1,1,2023,31,20,47,Susceptible
S,83,1,1,2023,30,9,41,Susceptible
S,84,1,1,2023,17,9,28,Susceptible
S,85,1,1,2023,11,2,19,Susceptible
S,86,1,1,2023,6,2,11,Susceptible
S,87,1,1,2023,3,0,13,Susceptible
S,88,1,1,2023,1,0,5,Susceptible
S,89,1,1,2023,1,0,4,Susceptible
S,90,1,1,2023,0,0,3,Susceptible
S,91,1,1,2023,0,0,2,Susceptible
S,92,1,1,2023,0,0,1,Susceptible
S,93,1,1,2023,0,0,3,Susceptible
S,94,1,1,2023,0,0,4,Susceptible
S,95,1,1,2023,0,0,5,Susceptible
S,96,1,1,2023,0,0,2,Susceptible
S,97,1,1,2023,0,0,0,Susceptible
S,98,1,1,2023,0,0,0,Susceptible
S,99,1,1,2023,0,0,0,Susceptible
S,100,1,1,2023,0,0,0,Susceptible
