state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,3163927,3162938,3164436
new_case,All,All,All,1951,59611,59445,60268
new_case,All,All,All,1952,102202,100660,103220
new_case,All,All,All,1953,200192,195883,202051
new_case,All,All,All,1954,190106,186088,191567
new_case,All,All,All,1955,191022,187477,193011
new_case,All,All,All,1956,198482,195218,200261
new_case,All,All,All,1957,207291,202207,208512
new_case,All,All,All,1958,210126,205307,210539
new_case,All,All,All,1959,214326,208243,214843
new_case,All,All,All,1960,221761,216218,223075
new_case,All,All,All,1961,227776,225564,233859
new_case,All,All,All,1962,234359,226281,236604
new_case,All,All,All,1963,241038,234250,244903
new_case,All,All,All,1964,249722,243953,255878
new_case,All,All,All,1965,249244,243497,251136
new_case,All,All,All,1966,251355,247539,258273
new_case,All,All,All,1967,247119,242278,250619
new_case,All,All,All,1968,244810,237923,249434
new_case,All,All,All,1969,246150,239104,250307
new_case,All,All,All,1970,238885,233733,244145
new_case,All,All,All,1971,245040,239771,247856
new_case,All,All,All,1972,250397,247225,252650
new_case,All,All,All,1973,252120,249904,256081
new_case,All,All,All,1974,258018,255021,262265
new_case,All,All,All,1975,267563,260144,270432
new_case,All,All,All,1976,269073,265380,272539
new_case,All,All,All,1977,275954,271132,278711
new_case,All,All,All,1978,292728,290180,300214
new_case,All,All,All,1979,294176,283804,296340
new_case,All,All,All,1980,21675,21112,22338
new_case,All,All,All,1981,3472,3472,3472
new_case,All,All,All,1982,3992,3992,3992
new_case,All,All,All,1983,2762,2762,2762
new_case,All,All,All,1984,3072,3072,3072
new_case,All,All,All,1985,2272,2272,2272
new_case,All,All,All,1986,1650,1650,1650
new_case,All,All,All,1987,400,400,400
new_case,All,All,All,1988,182,182,182
new_case,All,All,All,1989,2413,2413,2413
new_case,All,All,All,1990,8802,8802,8802
new_case,All,All,All,1991,209,209,209
new_case,All,All,All,1992,97,97,97
new_case,All,All,All,1993,17,17,17
new_case,All,All,All,1994,204,204,204
new_case,All,All,All,1995,23,23,23
new_case,All,All,All,1996,1,1,1
new_case,All,All,All,1997,8,8,8
new_case,All,All,All,1998,1,1,1
new_case,All,All,All,1999,0,0,0
new_case,All,All,All,2000,0,0,0
new_case,All,All,All,2001,0,0,0
new_case,All,All,All,2002,0,0,0
new_case,All,All,All,2003,0,0,0
new_case,All,All,All,2004,0,0,0
new_case,All,All,All,2005,0,0,0
new_case,All,All,All,2006,0,0,0
new_case,All,All,All,2007,0,0,0
new_case,All,All,All,2008,0,0,0
new_case,All,All,All,2009,0,0,0
new_case,All,All,All,2010,0,0,0
new_case,All,All,All,2011,0,0,0
new_case,All,All,All,2012,0,0,0
new_case,All,All,All,2013,0,0,0
new_case,All,All,All,2014,0,0,0
new_case,All,All,All,2015,0,0,0
new_case,All,All,All,2016,0,0,0
new_case,All,All,All,2017,0,0,0
new_case,All,All,All,2018,1,1,1
new_case,All,All,All,2019,0,0,0
new_case,All,All,All,2020,0,0,0
new_case,All,All,All,2021,0,0,0
new_case,All,All,All,2022,0,0,0
new_case,All,All,All,2023,0,0,0
S,1,1,1,2023,302335,187692,484373
S,2,1,1,2023,56188,45502,62621
S,3,1,1,2023,55230,53117,56185
S,4,1,1,2023,48551,44057,51413
S,5,1,1,2023,41380.5,37530,45070
S,6,1,1,2023,36767,34179,39732
S,7,1,1,2023,34620,33326,36400
S,8,1,1,2023,34839,34384,35763
S,9,1,1,2023,36910,36291,37288
S,10,1,1,2023,40216.5,38921,41415
S,11,1,1,2023,44543,43215,45793
S,12,1,1,2023,48531,47320,49708
S,13,1,1,2023,52329,51547,53645
S,14,1,1,2023,55020,54507,55904
S,15,1,1,2023,57610.5,57073,58416
S,16,1,1,2023,60167,59678,60951
S,17,1,1,2023,63236,62269,63676
S,18,1,1,2023,66104.5,65392,66706
S,19,1,1,2023,69894,68532,70758
S,20,1,1,2023,74205.5,72952,75563
S,21,1,1,2023,79286,77470,81032
S,22,1,1,2023,84896.5,83230,86574
S,23,1,1,2023,90576,88155,92588
S,24,1,1,2023,97143,94336,99420
S,25,1,1,2023,103967,100709,106787
S,26,1,1,2023,111333.5,108345,113982
