state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,20937.5,14489,30528,Susceptible
S,2,1,1,2023,36719,32516,38447,Susceptible
S,3,1,1,2023,47874,46835,48754,Susceptible
S,4,1,1,2023,61113.5,59772,62120,Susceptible
S,5,1,1,2023,76494.5,75693,77587,Susceptible
S,6,1,1,2023,93802,93092,95318,Susceptible
S,7,1,1,2023,111716.5,110763,114253,Susceptible
S,8,1,1,2023,129882,129108,132466,Susceptible
S,9,1,1,2023,147810,147090,149310,Susceptible
S,10,1,1,2023,164999,163413,166683,Susceptible
S,11,1,1,2023,181690.5,179990,183494,Susceptible
S,12,1,1,2023,197494,196050,199357,Susceptible
S,13,1,1,2023,212374,210415,215274,Susceptible
S,14,1,1,2023,227034.5,224373,228948,Susceptible
S,15,1,1,2023,239604,237224,242330,Susceptible
S,16,1,1,2023,251277,249782,254306,Susceptible
S,17,1,1,2023,263143,261459,265602,Susceptible
S,18,1,1,2023,273575,271594,275943,Susceptible
S,19,1,1,2023,282053,279829,284504,Susceptible
S,20,1,1,2023,289569,287911,292583,Susceptible
S,21,1,1,2023,296332,294172,299793,Susceptible
S,22,1,1,2023,302002,298976,304244,Susceptible
S,23,1,1,2023,306247,303377,309166,Susceptible
S,24,1,1,2023,309757,306927,314046,Susceptible
S,25,1,1,2023,312589.5,308598,316547,Susceptible
S,26,1,1,2023,313997.5,310144,318332,Susceptible
S,27,1,1,2023,313976.5,309568,317636,Susceptible
S,28,1,1,2023,313436.5,309844,317923,Susceptible
S,29,1,1,2023,312037.5,308644,316165,Susceptible
S,30,1,1,2023,309588.5,305899,313953,Susceptible
S,31,1,1,2023,307332.5,304058,311271,Susceptible
S,32,1,1,2023,304031,299850,308048,Susceptible
S,33,1,1,2023,299630,295459,304036,Susceptible
S,34,1,1,2023,294428.5,290205,299270,Susceptible
S,35,1,1,2023,288770,283749,293568,Susceptible
S,36,1,1,2023,282927,277493,287379,Susceptible
S,37,1,1,2023,275930,269588,280720,Susceptible
S,38,1,1,2023,268546,261869,273656,Susceptible
S,39,1,1,2023,260745,254788,265952,Susceptible
S,40,1,1,2023,253315.5,247886,258892,Susceptible
S,41,1,1,2023,245142,239881,250765,Susceptible
S,42,1,1,2023,237121.5,231854,243819,Susceptible
S,43,1,1,2023,229157.5,223590,235736,Susceptible
S,44,1,1,2023,220393,216018,227258,Susceptible
S,45,1,1,2023,212949.5,208360,219553,Susceptible
S,46,1,1,2023,205543.5,200822,212708,Susceptible
S,47,1,1,2023,198122.5,193062,204950,Susceptible
S,48,1,1,2023,190725.5,185672,197270,Susceptible
S,49,1,1,2023,183117,178537,188896,Susceptible
S,50,1,1,2023,176302.5,171636,181544,Susceptible
S,51,1,1,2023,169280,165051,174308,Susceptible
S,52,1,1,2023,161987,157942,166806,Susceptible
S,53,1,1,2023,155398,150905,159893,Susceptible
S,54,1,1,2023,149086.5,144195,152900,Susceptible
S,55,1,1,2023,143158,138768,146826,Susceptible
S,56,1,1,2023,137220.5,132939,141077,Susceptible
S,57,1,1,2023,131018,127436,134942,Susceptible
S,58,1,1,2023,125672,122702,129095,Susceptible
