state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,3187281,3185541,3190938
new_case,All,All,All,1951,104804,103450,105549
new_case,All,All,All,1952,344885,339952,347909
new_case,All,All,All,1953,441353,439309,448484
new_case,All,All,All,1954,401018,398793,403104
new_case,All,All,All,1955,436976,434644,446809
new_case,All,All,All,1956,439147,432632,445921
new_case,All,All,All,1957,463036,460307,467684
new_case,All,All,All,1958,466148,463291,469317
new_case,All,All,All,1959,479672,476512,483418
new_case,All,All,All,1960,498136,496271,500596
new_case,All,All,All,1961,508314,504138,511996
new_case,All,All,All,1962,517045,512109,519822
new_case,All,All,All,1963,520112,517175,527463
new_case,All,All,All,1964,540149,535728,541075
new_case,All,All,All,1965,534535,530215,541392
new_case,All,All,All,1966,541084,534993,546152
new_case,All,All,All,1967,555483,545482,557066
new_case,All,All,All,1968,562625,557404,570687
new_case,All,All,All,1969,579584,571907,584144
new_case,All,All,All,1970,588932,583068,590604
new_case,All,All,All,1971,616395,607963,618432
new_case,All,All,All,1972,613438,608499,615551
new_case,All,All,All,1973,630818,630577,640679
new_case,All,All,All,1974,639854,626019,657238
new_case,All,All,All,1975,660074,651291,669092
new_case,All,All,All,1976,669087,663845,677719
new_case,All,All,All,1977,685038,679084,699221
new_case,All,All,All,1978,720696,712540,723484
new_case,All,All,All,1979,726586,714686,741441
new_case,All,All,All,1980,44460,43837,46064
new_case,All,All,All,1981,1211,1211,1211
new_case,All,All,All,1982,1539,1539,1539
new_case,All,All,All,1983,1280,1280,1280
new_case,All,All,All,1984,1970,1970,1970
new_case,All,All,All,1985,1507,1507,1507
new_case,All,All,All,1986,509,509,509
new_case,All,All,All,1987,53,53,53
new_case,All,All,All,1988,625,625,625
new_case,All,All,All,1989,145,145,145
new_case,All,All,All,1990,130,130,130
new_case,All,All,All,1991,149,149,149
new_case,All,All,All,1992,156,156,156
new_case,All,All,All,1993,34,34,34
new_case,All,All,All,1994,29,29,29
new_case,All,All,All,1995,34,34,34
new_case,All,All,All,1996,65,65,65
new_case,All,All,All,1997,567,567,567
new_case,All,All,All,1998,441,441,441
new_case,All,All,All,1999,291,291,291
new_case,All,All,All,2000,146,146,146
new_case,All,All,All,2001,229,229,229
new_case,All,All,All,2002,50,50,50
new_case,All,All,All,2003,350,350,350
new_case,All,All,All,2004,391,391,391
new_case,All,All,All,2005,0,0,0
new_case,All,All,All,2006,48,48,48
new_case,All,All,All,2007,97,97,97
new_case,All,All,All,2008,60,60,60
new_case,All,All,All,2009,0,0,0
new_case,All,All,All,2010,0,0,0
new_case,All,All,All,2011,0,0,0
new_case,All,All,All,2012,273,273,273
new_case,All,All,All,2013,34,34,34
new_case,All,All,All,2014,25,25,25
new_case,All,All,All,2015,83,83,83
new_case,All,All,All,2016,152,152,152
new_case,All,All,All,2017,62,62,62
new_case,All,All,All,2018,67,67,67
new_case,All,All,All,2019,60,60,60
new_case,All,All,All,2020,13,13,13
new_case,All,All,All,2021,0,0,0
new_case,All,All,All,2022,0,0,0
new_case,All,All,All,2023,0,0,0
S,1,1,1,2023,20865,14404,30591
S,2,1,1,2023,36563.5,32515,38203
S,3,1,1,2023,47822,46818,48383
S,4,1,1,2023,60783.5,59576,62027
S,5,1,1,2023,76063.5,75166,77931
S,6,1,1,2023,93593.5,92640,94713
S,7,1,1,2023,111670,109898,113172
S,8,1,1,2023,129198,127461,130992
S,9,1,1,2023,146596,145520,148162
S,10,1,1,2023,163414.5,162437,165137
S,11,1,1,2023,180312.5,178864,182183
S,12,1,1,2023,196048.5,194465,198131
S,13,1,1,2023,211286.5,209381,213309
S,14,1,1,2023,225378,223531,226954
S,15,1,1,2023,238268.5,236685,239827
S,16,1,1,2023,250605.5,249065,251867
S,17,1,1,2023,261835,259877,263946
S,18,1,1,2023,271872.5,268517,274435
S,19,1,1,2023,281173.5,276708,283752
S,20,1,1,2023,289091.5,283674,291579
S,21,1,1,2023,296233.5,290908,299141
S,22,1,1,2023,302081,297621,305439
S,23,1,1,2023,306677,301102,309530
S,24,1,1,2023,309263.5,304899,313440
S,25,1,1,2023,311361,307029,315293
S,26,1,1,2023,312824.5,308182,316360
S,27,1,1,2023,313031,308671,316263
S,28,1,1,2023,312860.5,308953,315992
S,29,1,1,2023,311174.5,307922,314118
S,30,1,1,2023,309217.5,306190,312404
S,31,1,1,2023,307335,304096,310254
S,32,1,1,2023,303527,299530,306618
S,33,1,1,2023,298678,294990,302169
S,34,1,1,2023,294274.5,289612,297633
S,35,1,1,2023,288814.5,284185,293840
S,36,1,1,2023,282818.5,277372,288569
S,37,1,1,2023,275787,270061,281657
S,38,1,1,2023,268115,262590,274076
S,39,1,1,2023,260008,255168,265333
S,40,1,1,2023,252385,246573,257318
S,41,1,1,2023,244102.5,238585,248987
S,42,1,1,2023,236536,230950,241289
S,43,1,1,2023,228534.5,223278,234350
S,44,1,1,2023,220987.5,215190,226390
S,45,1,1,2023,212968,206954,218483
S,46,1,1,2023,204342,198702,209992
S,47,1,1,2023,196592.5,190580,202458
S,48,1,1,2023,189141.5,183136,194516
S,49,1,1,2023,182191,176491,186850
S,50,1,1,2023,175020,169741,179971
S,51,1,1,2023,167825.5,163517,173235
S,52,1,1,2023,161576.5,157392,166036
S,53,1,1,2023,155275,151256,159407
S,54,1,1,2023,149047.5,145263,152879
S,55,1,1,2023,143038.5,139605,146765
S,56,1,1,2023,136775.5,133635,140645
S,57,1,1,2023,130911,127630,134127
S,58,1,1,2023,125488.5,122362,128396
S,59,1,1,2023,120270.5,117026,123129
S,60,1,1,2023,114960.5,111898,117949
S,61,1,1,2023,109715.5,106730,112806
S,62,1,1,2023,104626.5,101386,107682
S,63,1,1,2023,99680,97129,102318
S,64,1,1,2023,95186.5,92576,97587
S,65,1,1,2023,90294.5,88127,92734
S,66,1,1,2023,86399.5,83922,88381
S,67,1,1,2023,81706.5,79216,84187
S,68,1,1,2023,77219,74291,79328
S,69,1,1,2023,72832.5,70078,75152
S,70,1,1,2023,68365,65713,70766
S,71,1,1,2023,64100,61669,66571
S,72,1,1,2023,59957.5,57847,62230
S,73,1,1,2023,55918.5,53789,57838
S,74,1,1,2023,51964.5,49520,53953
S,75,1,1,2023,48112,45427,50463
S,76,1,1,2023,44237,42041,46234
S,77,1,1,2023,40558.5,38374,42607
S,78,1,1,2023,37066,35151,38948
S,79,1,1,2023,33732.5,31614,35672
S,80,1,1,2023,30281,28493,32195
S,81,1,1,2023,27076.5,25370,28842
S,82,1,1,2023,23895.5,22277,25728
S,83,1,1,2023,20890,19196,22477
S,84,1,1,2023,17810.5,16254,19331
S,85,1,1,2023,15091,13663,16616
S,86,1,1,2023,12573.5,11311,13794
S,87,1,1,2023,10286,9085,11441
S,88,1,1,2023,8302.5,7347,9367
S,89,1,1,2023,6590,5713,7556
S,90,1,1,2023,5077.5,4395,5856
S,91,1,1,2023,3925,3307,4562
S,92,1,1,2023,2983.5,2516,3457
S,93,1,1,2023,2190,1793,2630
S,94,1,1,2023,1580,1258,1971
S,95,1,1,2023,1115,890,1416
S,96,1,1,2023,765,605,1013
S,97,1,1,2023,521.5,398,668
S,98,1,1,2023,350.5,238,450
S,99,1,1,2023,211.5,155,293
S,100,1,1,2023,145,102,204
S,101,1,1,2023,237,146,346
S,1,2,1,2023,55355,43337,62045
S,2,2,1,2023,109195,99840,112458
S,3,2,1,2023,149338.5,144511,153235
S,4,2,1,2023,179050.5,175341,182774
S,5,2,1,2023,200097.5,197200,204800
S,6,2,1,2023,214426.5,211419,217633
S,7,2,1,2023,221838,220574,225513
S,8,2,1,2023,224432.5,222807,227015
S,9,2,1,2023,222460.5,220531,225934
S,10,2,1,2023,217309,215939,220339
S,11,2,1,2023,210554,208369,212708
S,12,2,1,2023,201457.5,199567,203260
S,13,2,1,2023,191447.5,189270,193426
S,14,2,1,2023,181081.5,179928,183313
S,15,2,1,2023,170489.5,169479,172294
S,16,2,1,2023,160805.5,159470,161914
S,17,2,1,2023,150732.5,148504,152063
S,18,2,1,2023,140438.5,138343,142349
S,19,2,1,2023,131047,128574,132149
S,20,2,1,2023,121650.5,118923,123070
S,21,2,1,2023,112220,110366,113826
S,22,2,1,2023,103160.5,101101,105085
S,23,2,1,2023,94861.5,93142,96444
S,24,2,1,2023,86755.5,85049,88097
S,25,2,1,2023,78626,76715,80191
S,26,2,1,2023,71154.5,69618,72552
S,27,2,1,2023,64429.5,62499,65651
S,28,2,1,2023,57805.5,56351,59255
S,29,2,1,2023,51724.5,49863,52806
S,30,2,1,2023,45867,44296,47230
S,31,2,1,2023,40570.5,39099,41915
S,32,2,1,2023,36057.5,34467,37231
S,33,2,1,2023,31717.5,30615,33016
S,34,2,1,2023,27908,26847,28996
S,35,2,1,2023,24630,23759,25683
S,36,2,1,2023,21542.5,20732,22583
S,37,2,1,2023,18840.5,17937,19792
S,38,2,1,2023,16460.5,15740,17194
S,39,2,1,2023,14333,13731,14898
S,40,2,1,2023,12345,11825,12945
S,41,2,1,2023,10779,10312,11379
S,42,2,1,2023,9388,9035,9761
S,43,2,1,2023,8268.5,7896,8539
S,44,2,1,2023,7124,6916,7382
S,45,2,1,2023,6260.5,6014,6585
S,46,2,1,2023,5530,5289,5751
S,47,2,1,2023,4893,4599,5056
S,48,2,1,2023,4342,4130,4472
S,49,2,1,2023,3844,3591,4015
S,50,2,1,2023,3375.5,3142,3562
S,51,2,1,2023,2935,2737,3201
S,52,2,1,2023,2577,2389,2821
S,53,2,1,2023,2215.5,2058,2421
S,54,2,1,2023,1976,1803,2118
S,55,2,1,2023,1705,1546,1872
S,56,2,1,2023,1490.5,1328,1639
S,57,2,1,2023,1302.5,1175,1458
S,58,2,1,2023,1126,1043,1299
S,59,2,1,2023,956,904,1103
S,60,2,1,2023,837,755,972
S,61,2,1,2023,678,607,797
S,62,2,1,2023,581,525,693
S,63,2,1,2023,497,424,606
S,64,2,1,2023,431,356,516
S,65,2,1,2023,333.5,287,400
S,66,2,1,2023,275,238,337
S,67,2,1,2023,223,195,268
S,68,2,1,2023,191.5,140,242
S,69,2,1,2023,154,121,188
S,70,2,1,2023,114,87,135
S,71,2,1,2023,84,55,122
S,72,2,1,2023,80,41,122
S,73,2,1,2023,57,34,95
S,74,2,1,2023,58,29,73
S,75,2,1,2023,40,20,59
S,76,2,1,2023,35,9,47
S,77,2,1,2023,26,3,39
S,78,2,1,2023,19,6,30
S,79,2,1,2023,12,4,24
S,80,2,1,2023,9,4,16
S,81,2,1,2023,8,3,14
S,82,2,1,2023,7,1,11
S,83,2,1,2023,5,1,14
S,84,2,1,2023,4,0,15
S,85,2,1,2023,1,0,16
S,86,2,1,2023,1,0,8
S,87,2,1,2023,0,0,4
S,88,2,1,2023,0,0,1
S,89,2,1,2023,0,0,0
S,90,2,1,2023,0,0,0
S,91,2,1,2023,0,0,0
S,92,2,1,2023,0,0,0
S,93,2,1,2023,0,0,0
S,94,2,1,2023,0,0,0
S,95,2,1,2023,0,0,0
S,96,2,1,2023,0,0,0
S,97,2,1,2023,0,0,0
S,98,2,1,2023,0,0,0
S,99,2,1,2023,0,0,0
S,100,2,1,2023,0,0,0
S,101,2,1,2023,0,0,0
S,1,3,1,2023,190319.5,106602,335297
S,2,3,1,2023,250691.5,192833,282991
S,3,3,1,2023,232933.5,211331,241027
S,4,3,1,2023,201326,193942,205239
S,5,3,1,2023,171594,167378,174485
S,6,3,1,2023,145317,142878,147223
S,7,3,1,2023,122547.5,120991,123681
S,8,3,1,2023,102704.5,102116,103756
S,9,3,1,2023,85950.5,85452,86553
S,10,3,1,2023,71819.5,71047,72131
S,11,3,1,2023,59640.5,58694,60141
S,12,3,1,2023,49349,48483,50024
S,13,3,1,2023,40767.5,39748,41304
S,14,3,1,2023,33568.5,32993,34028
S,15,3,1,2023,27536,27127,27949
S,16,3,1,2023,22831,22250,23306
S,17,3,1,2023,18986,18438,19271
S,18,3,1,2023,15557.5,15168,15917
S,19,3,1,2023,12901.5,12602,13119
S,20,3,1,2023,10606.5,10276,10908
S,21,3,1,2023,8753.5,8473,9025
S,22,3,1,2023,7265,7063,7468
S,23,3,1,2023,5934.5,5779,6151
S,24,3,1,2023,4910,4725,4993
S,25,3,1,2023,4066,3943,4175
S,26,3,1,2023,3315,3139,3398
S,27,3,1,2023,2693.5,2531,2819
S,28,3,1,2023,2191,2072,2284
S,29,3,1,2023,1787,1739,1869
S,30,3,1,2023,1443,1331,1510
S,31,3,1,2023,1164.5,1018,1212
S,32,3,1,2023,940,768,1013
S,33,3,1,2023,761,632,830
S,34,3,1,2023,632,509,671
S,35,3,1,2023,507,464,563
S,36,3,1,2023,398,365,447
S,37,3,1,2023,313,293,339
S,38,3,1,2023,253,227,285
S,39,3,1,2023,197.5,160,230
S,40,3,1,2023,153.5,118,182
S,41,3,1,2023,119,99,147
S,42,3,1,2023,100,91,129
S,43,3,1,2023,82,60,104
S,44,3,1,2023,62,40,83
S,45,3,1,2023,45,28,59
S,46,3,1,2023,29,23,44
S,47,3,1,2023,24,18,50
