state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,60040,59519,60090
new_case,All,All,All,1951,76406,75609,79389
new_case,All,All,All,1952,61969,59370,62750
new_case,All,All,All,1953,53693,53394,55621
new_case,All,All,All,1954,48142,47896,49223
new_case,All,All,All,1955,44851,42977,46586
new_case,All,All,All,1956,43534,43119,43708
new_case,All,All,All,1957,42411,42194,43381
new_case,All,All,All,1958,39920,39472,40270
new_case,All,All,All,1959,38893,38435,39957
new_case,All,All,All,1960,37415,35917,38448
new_case,All,All,All,1961,36797,36539,36917
new_case,All,All,All,1962,35517,34003,36972
new_case,All,All,All,1963,35203,34133,36073
new_case,All,All,All,1964,35315,34412,35707
new_case,All,All,All,1965,34512,33332,35581
new_case,All,All,All,1966,33804,33408,34384
new_case,All,All,All,1967,33329,32539,35036
new_case,All,All,All,1968,32655,32402,34051
new_case,All,All,All,1969,33350,33055,34023
new_case,All,All,All,1970,32795,31446,33485
new_case,All,All,All,1971,32535,31712,32742
new_case,All,All,All,1972,32031,31485,32252
new_case,All,All,All,1973,31157,30900,31610
new_case,All,All,All,1974,31039,30535,31375
new_case,All,All,All,1975,30978,30059,31578
new_case,All,All,All,1976,30219,30150,30614
new_case,All,All,All,1977,30572,30175,31260
new_case,All,All,All,1978,30994,30211,31394
new_case,All,All,All,1979,30131,29689,30269
new_case,All,All,All,1980,1326,1249,1365
new_case,All,All,All,1981,24,24,24
new_case,All,All,All,1982,26,26,26
new_case,All,All,All,1983,21,21,21
new_case,All,All,All,1984,25,25,25
new_case,All,All,All,1985,55,55,55
new_case,All,All,All,1986,4,4,4
new_case,All,All,All,1987,7,7,7
new_case,All,All,All,1988,29,29,29
new_case,All,All,All,1989,2,2,2
new_case,All,All,All,1990,0,0,0
new_case,All,All,All,1991,0,0,0
new_case,All,All,All,1992,0,0,0
new_case,All,All,All,1993,0,0,0
new_case,All,All,All,1994,0,0,0
new_case,All,All,All,1995,0,0,0
new_case,All,All,All,1996,0,0,0
new_case,All,All,All,1997,0,0,0
new_case,All,All,All,1998,0,0,0
new_case,All,All,All,1999,8,8,8
new_case,All,All,All,2000,0,0,0
new_case,All,All,All,2001,5,5,5
new_case,All,All,All,2002,6,6,6
new_case,All,All,All,2003,2,2,2
new_case,All,All,All,2004,37,37,37
new_case,All,All,All,2005,3,3,3
new_case,All,All,All,2006,5,5,5
new_case,All,All,All,2007,5,5,5
new_case,All,All,All,2008,3,3,3
new_case,All,All,All,2009,0,0,0
new_case,All,All,All,2010,46,46,46
new_case,All,All,All,2011,2,2,2
new_case,All,All,All,2012,0,0,0
new_case,All,All,All,2013,0,0,0
new_case,All,All,All,2014,3,3,3
new_case,All,All,All,2015,32,32,32
new_case,All,All,All,2016,5,5,5
new_case,All,All,All,2017,76,76,76
new_case,All,All,All,2018,105,105,105
new_case,All,All,All,2019,55,55,55
new_case,All,All,All,2020,66,66,66
new_case,All,All,All,2021,28,28,28
new_case,All,All,All,2022,38,38,38
new_case,All,All,All,2023,0,0,0
S,1,1,1,2023,21440.5,13352,34322
S,2,1,1,2023,24064,21863,24967
S,3,1,1,2023,18895.5,14961,21156
S,4,1,1,2023,14890,12893,17322
S,5,1,1,2023,14686.5,14086,15824
S,6,1,1,2023,16926.5,16456,17429
S,7,1,1,2023,19883.5,19081,20650
S,8,1,1,2023,22987.5,22266,23657
S,9,1,1,2023,26198.5,25411,27210
S,10,1,1,2023,29865.5,28693,30874
S,11,1,1,2023,34333,32998,35584
S,12,1,1,2023,39172,37603,41108
S,13,1,1,2023,45265.5,42872,47826
S,14,1,1,2023,51686.5,49210,54396
S,15,1,1,2023,58118.5,55621,60647
S,16,1,1,2023,64178.5,61938,66310
S,17,1,1,2023,69539.5,67216,71470
S,18,1,1,2023,74281.5,72119,76134
S,19,1,1,2023,78759.5,77013,80451
S,20,1,1,2023,82164.5,80926,83572
S,21,1,1,2023,85502.5,84474,87080
S,22,1,1,2023,87849,87039,89446
S,23,1,1,2023,90139.5,89141,91882
S,24,1,1,2023,92452.5,91387,93868
S,25,1,1,2023,94210,92571,96491
S,26,1,1,2023,95696.5,94732,99082
S,27,1,1,2023,97417,96621,100875
S,28,1,1,2023,98895.5,98449,101800
S,29,1,1,2023,99921.5,99557,102555
S,30,1,1,2023,101529.5,100128,103437
S,31,1,1,2023,102748,101768,104204
S,32,1,1,2023,104425,103064,106320
S,33,1,1,2023,105415.5,104482,107015
S,34,1,1,2023,107495,105688,108811
S,35,1,1,2023,109013,106799,110350
S,36,1,1,2023,110238,107935,111857
S,37,1,1,2023,110704.5,109409,112999
S,38,1,1,2023,111438.5,110422,114083
S,39,1,1,2023,111680,110972,114840
S,40,1,1,2023,112146,111535,115817
S,41,1,1,2023,112196.5,110835,115401
S,42,1,1,2023,111455,109967,114511
S,43,1,1,2023,110774,109447,113436
S,44,1,1,2023,109602.5,107790,112376
S,45,1,1,2023,108286,106262,111572
S,46,1,1,2023,106611,104342,109650
S,47,1,1,2023,104704.5,102412,107688
S,48,1,1,2023,102049,100054,104532
S,49,1,1,2023,99277.5,96914,101676
S,50,1,1,2023,96658.5,94384,99381
S,51,1,1,2023,93863.5,91613,96127
S,52,1,1,2023,90613,88693,92988
S,53,1,1,2023,87898,85789,89818
S,54,1,1,2023,85235,82728,87372
S,55,1,1,2023,82179.5,79387,84478
S,56,1,1,2023,79150.5,76399,81636
S,57,1,1,2023,76247,73934,78229
S,58,1,1,2023,73005.5,70949,74988
