state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,20493,12684,32840,Susceptible
S,2,1,1,2023,23000,20949,24041,Susceptible
S,3,1,1,2023,18116,14453,20284,Susceptible
S,4,1,1,2023,14424.5,12432,16735,Susceptible
S,5,1,1,2023,14230.5,13589,15239,Susceptible
S,6,1,1,2023,16266.5,15786,16890,Susceptible
S,7,1,1,2023,19017.5,18427,19842,Susceptible
S,8,1,1,2023,22079.5,21235,23036,Susceptible
S,9,1,1,2023,25301.5,24261,26308,Susceptible
S,10,1,1,2023,28986,27593,30076,Susceptible
S,11,1,1,2023,33097.5,31439,34617,Susceptible
S,12,1,1,2023,38006,35865,39977,Susceptible
S,13,1,1,2023,43694.5,41505,46146,Susceptible
S,14,1,1,2023,49686,47224,52288,Susceptible
S,15,1,1,2023,55625.5,53106,58195,Susceptible
S,16,1,1,2023,61369,58785,64229,Susceptible
S,17,1,1,2023,66779,64162,69089,Susceptible
S,18,1,1,2023,71222.5,69389,73721,Susceptible
S,19,1,1,2023,75538.5,73445,77721,Susceptible
S,20,1,1,2023,79289.5,76932,81001,Susceptible
S,21,1,1,2023,82045,80443,84345,Susceptible
S,22,1,1,2023,84474,82988,86453,Susceptible
S,23,1,1,2023,87365.5,85275,88814,Susceptible
S,24,1,1,2023,89324,87589,90883,Susceptible
S,25,1,1,2023,90981.5,89263,91921,Susceptible
S,26,1,1,2023,92575.5,90609,93177,Susceptible
S,27,1,1,2023,93908,92069,95693,Susceptible
S,28,1,1,2023,95296,93528,96566,Susceptible
S,29,1,1,2023,96612.5,94830,97291,Susceptible
S,30,1,1,2023,97940,96213,98614,Susceptible
S,31,1,1,2023,99018,97434,99644,Susceptible
S,32,1,1,2023,100445,98580,101126,Susceptible
S,33,1,1,2023,102049,100367,102956,Susceptible
S,34,1,1,2023,103411,101051,103755,Susceptible
S,35,1,1,2023,104473.5,102610,105620,Susceptible
S,36,1,1,2023,105306,103598,106410,Susceptible
S,37,1,1,2023,106241.5,104849,107625,Susceptible
S,38,1,1,2023,106904.5,105218,109033,Susceptible
S,39,1,1,2023,107030.5,105134,108487,Susceptible
S,40,1,1,2023,106942.5,104796,108667,Susceptible
S,41,1,1,2023,106624.5,105041,107431,Susceptible
S,42,1,1,2023,105753,104876,106574,Susceptible
S,43,1,1,2023,104894,103543,105765,Susceptible
S,44,1,1,2023,103850,102338,105016,Susceptible
S,45,1,1,2023,101696.5,100568,102762,Susceptible
S,46,1,1,2023,99778.5,98398,101168,Susceptible
S,47,1,1,2023,97585,95366,99104,Susceptible
S,48,1,1,2023,95046,92469,96874,Susceptible
S,49,1,1,2023,92216.5,89423,94061,Susceptible
S,50,1,1,2023,88878.5,86161,91297,Susceptible
S,51,1,1,2023,85346.5,82804,88400,Susceptible
S,52,1,1,2023,82215.5,79686,84986,Susceptible
S,53,1,1,2023,78935.5,75886,81408,Susceptible
S,54,1,1,2023,75530,72345,77878,Susceptible
S,55,1,1,2023,71670,68110,74451,Susceptible
S,56,1,1,2023,68010.5,64552,70375,Susceptible
S,57,1,1,2023,64185.5,61424,66452,Susceptible
S,58,1,1,2023,60548,58014,62756,Susceptible
S,59,1,1,2023,57068,54778,59405,Susceptible
S,60,1,1,2023,53864.5,51887,56031,Susceptible
S,61,1,1,2023,50604,48550,52732,Susceptible
S,62,1,1,2023,47652.5,45682,49622,Susceptible
S,63,1,1,2023,44458,42120,46507,Susceptible
S,64,1,1,2023,41287,39506,43300,Susceptible
S,65,1,1,2023,38293,36330,40356,Susceptible
S,66,1,1,2023,35354.5,33303,37321,Susceptible
S,67,1,1,2023,32245,30552,34074,Susceptible
S,68,1,1,2023,29327.5,27772,31047,Susceptible
S,69,1,1,2023,26642,24970,28357,Susceptible
S,70,1,1,2023,24152.5,22666,25659,Susceptible
S,71,1,1,2023,21625,20266,22950,Susceptible
S,72,1,1,2023,19255,18086,20585,Susceptible
S,73,1,1,2023,17044,15818,18260,Susceptible
S,74,1,1,2023,14991.5,13769,16146,Susceptible
S,75,1,1,2023,13156,12130,14200,Susceptible
S,76,1,1,2023,11514.5,10451,12607,Susceptible
S,77,1,1,2023,9914,9132,11030,Susceptible
S,78,1,1,2023,8542.5,7732,9476,Susceptible
S,79,1,1,2023,7181.5,6358,8097,Susceptible
S,80,1,1,2023,6054.5,5247,6785,Susceptible
S,81,1,1,2023,4978,4375,5599,Susceptible
S,82,1,1,2023,4048,3532,4636,Susceptible
S,83,1,1,2023,3253.5,2855,3771,Susceptible
S,84,1,1,2023,2607,2272,3011,Susceptible
S,85,1,1,2023,2100.5,1775,2494,Susceptible
S,86,1,1,2023,1684,1435,1987,Susceptible
S,87,1,1,2023,1296,1075,1539,Susceptible
S,88,1,1,2023,945,772,1198,Susceptible
S,89,1,1,2023,689.5,543,873,Susceptible
S,90,1,1,2023,506,404,677,Susceptible
S,91,1,1,2023,379,282,477,Susceptible
S,92,1,1,2023,258.5,182,353,Susceptible
S,93,1,1,2023,172,133,238,Susceptible
S,94,1,1,2023,120,89,168,Susceptible
S,95,1,1,2023,78,53,117,Susceptible
S,96,1,1,2023,51,36,86,Susceptible
S,97,1,1,2023,30,16,59,Susceptible
S,98,1,1,2023,19,9,27,Susceptible
S,99,1,1,2023,11,4,20,Susceptible
S,100,1,1,2023,5,2,13,Susceptible
S,101,1,1,2023,6,2,21,Susceptible
S,1,2,1,2023,17832,14344,19702,Vaccine protected
S,2,2,1,2023,38335.5,35317,39824,Vaccine protected
S,3,2,1,2023,56553,54894,57930,Vaccine protected
S,4,2,1,2023,72326,71596,73141,Vaccine protected
S,5,2,1,2023,85874,84674,86274,Vaccine protected
S,6,2,1,2023,96821.5,95974,97885,Vaccine protected
S,7,2,1,2023,106319,105350,107568,Vaccine protected
S,8,2,1,2023,114503,113263,115948,Vaccine protected
S,9,2,1,2023,121258.5,118870,122652,Vaccine protected
S,10,2,1,2023,126370,124163,127778,Vaccine protected
S,11,2,1,2023,129997,128102,131536,Vaccine protected
S,12,2,1,2023,132159.5,129347,134298,Vaccine protected
S,13,2,1,2023,132586.5,128933,135639,Vaccine protected
S,14,2,1,2023,131716.5,129040,134515,Vaccine protected
S,15,2,1,2023,130212,127026,133412,Vaccine protected
S,16,2,1,2023,128453,124987,131788,Vaccine protected
S,17,2,1,2023,126097,122570,129256,Vaccine protected
S,18,2,1,2023,123559.5,120620,127628,Vaccine protected
S,19,2,1,2023,121813,118561,124706,Vaccine protected
S,20,2,1,2023,119526.5,116814,122314,Vaccine protected
S,21,2,1,2023,117398.5,114550,120060,Vaccine protected
S,22,2,1,2023,114900,112493,117454,Vaccine protected
S,23,2,1,2023,112244,110007,114516,Vaccine protected
S,24,2,1,2023,109944,108205,112260,Vaccine protected
S,25,2,1,2023,107202,105719,109370,Vaccine protected
S,26,2,1,2023,104920,102985,106477,Vaccine protected
S,27,2,1,2023,102090,99647,104005,Vaccine protected
S,28,2,1,2023,98897.5,96480,101096,Vaccine protected
S,29,2,1,2023,95397,93207,97700,Vaccine protected
S,30,2,1,2023,91887.5,89761,94439,Vaccine protected
S,31,2,1,2023,88034.5,85848,90804,Vaccine protected
S,32,2,1,2023,83787.5,81141,86735,Vaccine protected
S,33,2,1,2023,79186,77199,81938,Vaccine protected
S,34,2,1,2023,74639,72239,76678,Vaccine protected
S,35,2,1,2023,69843,66837,72518,Vaccine protected
S,36,2,1,2023,64409.5,61415,67278,Vaccine protected
S,37,2,1,2023,59197,56523,61792,Vaccine protected
S,38,2,1,2023,54140,51250,57164,Vaccine protected
S,39,2,1,2023,49167.5,46028,51802,Vaccine protected
S,40,2,1,2023,44345.5,41574,47053,Vaccine protected
S,41,2,1,2023,39979,37192,42571,Vaccine protected
S,42,2,1,2023,35667.5,33378,37881,Vaccine protected
S,43,2,1,2023,31587.5,29368,33744,Vaccine protected
S,44,2,1,2023,28087.5,26339,29949,Vaccine protected
S,45,2,1,2023,24858,23147,26542,Vaccine protected
S,46,2,1,2023,22060,20690,23520,Vaccine protected
S,47,2,1,2023,19498,18369,20846,Vaccine protected
S,48,2,1,2023,17454.5,16349,18627,Vaccine protected
S,49,2,1,2023,15531,14459,16509,Vaccine protected
S,50,2,1,2023,13953,12929,14787,Vaccine protected
S,51,2,1,2023,12215.5,11382,13125,Vaccine protected
S,52,2,1,2023,10768,10127,11480,Vaccine protected
S,53,2,1,2023,9596.5,8822,10184,Vaccine protected
S,54,2,1,2023,8371.5,7631,9032,Vaccine protected
S,55,2,1,2023,7365.5,6673,8035,Vaccine protected
S,56,2,1,2023,6352.5,5819,6984,Vaccine protected
S,57,2,1,2023,5440.5,4883,6086,Vaccine protected
S,58,2,1,2023,4708,4175,5254,Vaccine protected
S,59,2,1,2023,3979,3495,4548,Vaccine protected
S,60,2,1,2023,3397.5,2998,3858,Vaccine protected
S,61,2,1,2023,2823.5,2471,3158,Vaccine protected
S,62,2,1,2023,2331.5,2020,2638,Vaccine protected
S,63,2,1,2023,1905,1643,2162,Vaccine protected
S,64,2,1,2023,1540,1318,1764,Vaccine protected
S,65,2,1,2023,1240,1081,1473,Vaccine protected
S,66,2,1,2023,1005.5,833,1156,Vaccine protected
S,67,2,1,2023,792.5,700,905,Vaccine protected
S,68,2,1,2023,641,524,774,Vaccine protected
S,69,2,1,2023,491,437,603,Vaccine protected
S,70,2,1,2023,383,320,456,Vaccine protected
S,71,2,1,2023,295,225,353,Vaccine protected
S,72,2,1,2023,229,187,294,Vaccine protected
S,73,2,1,2023,174,135,219,Vaccine protected
S,74,2,1,2023,130,94,179,Vaccine protected
S,75,2,1,2023,96,61,152,Vaccine protected
S,76,2,1,2023,80,39,122,Vaccine protected
S,77,2,1,2023,57,40,94,Vaccine protected
S,78,2,1,2023,42,20,69,Vaccine protected
S,79,2,1,2023,31,21,55,Vaccine protected
S,80,2,1,2023,25,14,43,Vaccine protected
S,81,2,1,2023,20,10,35,Vaccine protected
S,82,2,1,2023,16,5,29,Vaccine protected
S,83,2,1,2023,10,1,24,Vaccine protected
S,84,2,1,2023,7,2,22,Vaccine protected
S,85,2,1,2023,5,0,11,Vaccine protected
S,86,2,1,2023,3,0,7,Vaccine protected
S,87,2,1,2023,2,0,7,Vaccine protected
S,88,2,1,2023,2,0,6,Vaccine protected
S,89,2,1,2023,0,0,4,Vaccine protected
S,90,2,1,2023,0,0,3,Vaccine protected
S,91,2,1,2023,0,0,0,Vaccine protected
S,92,2,1,2023,0,0,0,Vaccine protected
S,93,2,1,2023,0,0,0,Vaccine protected
S,94,2,1,2023,0,0,0,Vaccine protected
