state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,43945.5,26994,70900,Susceptible
S,2,1,1,2023,61774,51442,65879,Susceptible
S,3,1,1,2023,58397.5,55123,59812,Susceptible
S,4,1,1,2023,50449.5,45522,54276,Susceptible
S,5,1,1,2023,42645,38741,46731,Susceptible
S,6,1,1,2023,38290,36066,41177,Susceptible
S,7,1,1,2023,38848,38244,39739,Susceptible
S,8,1,1,2023,44528,42258,47666,Susceptible
S,9,1,1,2023,54946,50821,59924,Susceptible
S,10,1,1,2023,67723,62187,74024,Susceptible
S,11,1,1,2023,81308.5,75307,87913,Susceptible
S,12,1,1,2023,94166,87997,100184,Susceptible
S,13,1,1,2023,105061,99797,110341,Susceptible
S,14,1,1,2023,113436.5,109143,117897,Susceptible
S,15,1,1,2023,119523,116197,122990,Susceptible
S,16,1,1,2023,122912.5,120690,124979,Susceptible
S,17,1,1,2023,124463,122682,125749,Susceptible
S,18,1,1,2023,124017.5,122238,125422,Susceptible
S,19,1,1,2023,123019,121171,125072,Susceptible
S,20,1,1,2023,122333,120279,124517,Susceptible
S,21,1,1,2023,121361.5,119234,123678,Susceptible
S,22,1,1,2023,120207.5,118072,122214,Susceptible
S,23,1,1,2023,119513.5,117973,122035,Susceptible
S,24,1,1,2023,119387,117740,121885,Susceptible
S,25,1,1,2023,119564,117783,121817,Susceptible
S,26,1,1,2023,119191.5,117525,121505,Susceptible
S,27,1,1,2023,118655.5,117402,120254,Susceptible
S,28,1,1,2023,117386,115883,119302,Susceptible
S,29,1,1,2023,116268.5,114332,118069,Susceptible
S,30,1,1,2023,114328.5,112360,116308,Susceptible
S,31,1,1,2023,112166.5,109623,114588,Susceptible
S,32,1,1,2023,109715.5,107663,112280,Susceptible
S,33,1,1,2023,107287,104644,109508,Susceptible
S,34,1,1,2023,104655,101253,106818,Susceptible
S,35,1,1,2023,101787,98953,104457,Susceptible
S,36,1,1,2023,98812.5,95337,101616,Susceptible
S,37,1,1,2023,95699.5,92995,97850,Susceptible
S,38,1,1,2023,92562.5,89624,94748,Susceptible
S,39,1,1,2023,89044.5,86437,92218,Susceptible
S,40,1,1,2023,85002,82315,88175,Susceptible
S,41,1,1,2023,81016,78491,84335,Susceptible
S,42,1,1,2023,76772.5,73683,80658,Susceptible
S,43,1,1,2023,72083,69309,75532,Susceptible
S,44,1,1,2023,67121,64506,70385,Susceptible
S,45,1,1,2023,61934,59126,64892,Susceptible
S,46,1,1,2023,56452,53446,59287,Susceptible
S,47,1,1,2023,50672.5,47486,53642,Susceptible
S,48,1,1,2023,44851.5,41976,47846,Susceptible
S,49,1,1,2023,39369.5,36402,42409,Susceptible
S,50,1,1,2023,33988,31034,36697,Susceptible
S,51,1,1,2023,28741.5,26141,31629,Susceptible
S,52,1,1,2023,24062,21482,26725,Susceptible
S,53,1,1,2023,19784,17460,22264,Susceptible
S,54,1,1,2023,15855,13716,18174,Susceptible
S,55,1,1,2023,12649.5,10654,14669,Susceptible
S,56,1,1,2023,9876,8405,11642,Susceptible
S,57,1,1,2023,7692.5,6377,9187,Susceptible
S,58,1,1,2023,5825.5,4829,7101,Susceptible
S,59,1,1,2023,4401,3645,5354,Susceptible
S,60,1,1,2023,3270,2714,4061,Susceptible
S,61,1,1,2023,2373,1893,2997,Susceptible
S,62,1,1,2023,1696,1349,2128,Susceptible
S,63,1,1,2023,1192,951,1493,Susceptible
S,64,1,1,2023,839,691,1076,Susceptible
S,65,1,1,2023,610,464,757,Susceptible
S,66,1,1,2023,427,311,531,Susceptible
S,67,1,1,2023,299,228,401,Susceptible
S,68,1,1,2023,207,158,282,Susceptible
S,69,1,1,2023,145.5,95,200,Susceptible
S,70,1,1,2023,100,69,136,Susceptible
S,71,1,1,2023,75,45,98,Susceptible
S,72,1,1,2023,51,32,77,Susceptible
S,73,1,1,2023,36,20,59,Susceptible
S,74,1,1,2023,25,13,33,Susceptible
S,75,1,1,2023,17.5,5,30,Susceptible
S,76,1,1,2023,14,9,27,Susceptible
S,77,1,1,2023,12,6,16,Susceptible
S,78,1,1,2023,8,3,18,Susceptible
S,79,1,1,2023,7,0,14,Susceptible
S,80,1,1,2023,6,0,12,Susceptible
S,81,1,1,2023,2,0,9,Susceptible
S,82,1,1,2023,1,0,8,Susceptible
S,83,1,1,2023,1,0,4,Susceptible
S,84,1,1,2023,0,0,2,Susceptible
S,85,1,1,2023,1,0,3,Susceptible
S,86,1,1,2023,0,0,2,Susceptible
S,87,1,1,2023,0,0,3,Susceptible
S,88,1,1,2023,0,0,3,Susceptible
S,89,1,1,2023,0,0,3,Susceptible
S,90,1,1,2023,0,0,1,Susceptible
S,91,1,1,2023,0,0,0,Susceptible
S,92,1,1,2023,0,0,0,Susceptible
S,93,1,1,2023,0,0,0,Susceptible
S,94,1,1,2023,0,0,0,Susceptible
S,95,1,1,2023,0,0,0,Susceptible
S,96,1,1,2023,0,0,0,Susceptible
S,97,1,1,2023,0,0,0,Susceptible
S,98,1,1,2023,0,0,0,Susceptible
S,99,1,1,2023,0,0,0,Susceptible
S,100,1,1,2023,0,0,0,Susceptible
S,101,1,1,2023,0,0,0,Susceptible
S,1,2,1,2023,7901.5,6360,8654,Vaccine protected
S,2,2,1,2023,17122.5,15780,17807,Vaccine protected
S,3,2,1,2023,26352,25648,27199,Vaccine protected
S,4,2,1,2023,35156,34707,36101,Vaccine protected
S,5,2,1,2023,43404,42665,44459,Vaccine protected
S,6,2,1,2023,50621.5,49421,51809,Vaccine protected
S,7,2,1,2023,56647,55365,58130,Vaccine protected
S,8,2,1,2023,60881,59342,62764,Vaccine protected
S,9,2,1,2023,63525,61569,66026,Vaccine protected
S,10,2,1,2023,64902,62098,67246,Vaccine protected
S,11,2,1,2023,65466,62831,68063,Vaccine protected
S,12,2,1,2023,65763.5,63178,68093,Vaccine protected
S,13,2,1,2023,65724,63119,67998,Vaccine protected
S,14,2,1,2023,65938.5,63840,68035,Vaccine protected
S,15,2,1,2023,66948.5,64584,68366,Vaccine protected
S,16,2,1,2023,68264.5,66480,69423,Vaccine protected
S,17,2,1,2023,70064,68079,70814,Vaccine protected
S,18,2,1,2023,71577,70060,72435,Vaccine protected
S,19,2,1,2023,73153.5,71875,73879,Vaccine protected
