state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,3348592,3348062,3351187
new_case,All,All,All,1951,107487,107102,107575
new_case,All,All,All,1952,346942,343726,347838
new_case,All,All,All,1953,412440,410651,417342
new_case,All,All,All,1954,381511,375007,383167
new_case,All,All,All,1955,406630,402591,409505
new_case,All,All,All,1956,404421,401638,405684
new_case,All,All,All,1957,423438,420464,425806
new_case,All,All,All,1958,423248,420277,431106
new_case,All,All,All,1959,433827,427438,437361
new_case,All,All,All,1960,440313,439516,442956
new_case,All,All,All,1961,448272,446646,453397
new_case,All,All,All,1962,455846,450618,463432
new_case,All,All,All,1963,468139,462251,478493
new_case,All,All,All,1964,483447,473802,490219
new_case,All,All,All,1965,486215,476468,489776
new_case,All,All,All,1966,490927,484927,498726
new_case,All,All,All,1967,503030,499300,508454
new_case,All,All,All,1968,508139,506770,516217
new_case,All,All,All,1969,520036,519390,521073
new_case,All,All,All,1970,524783,522297,529427
new_case,All,All,All,1971,540730,539191,542289
new_case,All,All,All,1972,542237,535967,545555
new_case,All,All,All,1973,549447,541608,551861
new_case,All,All,All,1974,558498,556126,563702
new_case,All,All,All,1975,571411,565211,573847
new_case,All,All,All,1976,579164,576082,587674
new_case,All,All,All,1977,587715,585395,594989
new_case,All,All,All,1978,616050,611290,624514
new_case,All,All,All,1979,613975,606855,617845
new_case,All,All,All,1980,36729,36241,37835
new_case,All,All,All,1981,730,730,730
new_case,All,All,All,1982,1559,1559,1559
new_case,All,All,All,1983,524,524,524
new_case,All,All,All,1984,749,749,749
new_case,All,All,All,1985,1373,1373,1373
new_case,All,All,All,1986,469,469,469
new_case,All,All,All,1987,1299,1299,1299
new_case,All,All,All,1988,637,637,637
new_case,All,All,All,1989,1835,1835,1835
new_case,All,All,All,1990,913,913,913
new_case,All,All,All,1991,0,0,0
new_case,All,All,All,1992,0,0,0
new_case,All,All,All,1993,0,0,0
new_case,All,All,All,1994,0,0,0
new_case,All,All,All,1995,0,0,0
new_case,All,All,All,1996,0,0,0
new_case,All,All,All,1997,0,0,0
new_case,All,All,All,1998,0,0,0
new_case,All,All,All,1999,24,24,24
new_case,All,All,All,2000,14,14,14
new_case,All,All,All,2001,30,30,30
new_case,All,All,All,2002,2,2,2
new_case,All,All,All,2003,5,5,5
new_case,All,All,All,2004,44,44,44
new_case,All,All,All,2005,496,496,496
new_case,All,All,All,2006,0,0,0
new_case,All,All,All,2007,824,824,824
new_case,All,All,All,2008,696,696,696
new_case,All,All,All,2009,4,4,4
new_case,All,All,All,2010,13,13,13
new_case,All,All,All,2011,0,0,0
new_case,All,All,All,2012,0,0,0
new_case,All,All,All,2013,0,0,0
new_case,All,All,All,2014,2,2,2
new_case,All,All,All,2015,4,4,4
