state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,23799,15600,36763,Susceptible
S,2,1,1,2023,31282.5,28857,32561,Susceptible
S,3,1,1,2023,32707.5,28741,34799,Susceptible
S,4,1,1,2023,36208,33707,38818,Susceptible
S,5,1,1,2023,43530,42880,44927,Susceptible
S,6,1,1,2023,53838,53114,54748,Susceptible
S,7,1,1,2023,64977,64229,65626,Susceptible
S,8,1,1,2023,75789.5,74993,76648,Susceptible
S,9,1,1,2023,86316,85652,87361,Susceptible
S,10,1,1,2023,96613.5,95319,97544,Susceptible
S,11,1,1,2023,106967.5,105546,107875,Susceptible
S,12,1,1,2023,116863,115102,117720,Susceptible
S,13,1,1,2023,126436.5,124802,127719,Susceptible
S,14,1,1,2023,135727.5,133526,136803,Susceptible
S,15,1,1,2023,144091,141862,145003,Susceptible
S,16,1,1,2023,151520,149304,152802,Susceptible
S,17,1,1,2023,158362.5,155939,159695,Susceptible
S,18,1,1,2023,163878.5,162093,165716,Susceptible
S,19,1,1,2023,168495.5,166874,170457,Susceptible
S,20,1,1,2023,172783.5,170817,174532,Susceptible
S,21,1,1,2023,175999.5,173744,177654,Susceptible
S,22,1,1,2023,179073,177100,180140,Susceptible
S,23,1,1,2023,181380,179041,182907,Susceptible
S,24,1,1,2023,183099.5,180817,186223,Susceptible
S,25,1,1,2023,183889,180944,187852,Susceptible
S,26,1,1,2023,184905,181077,188484,Susceptible
S,27,1,1,2023,184805.5,181126,187573,Susceptible
S,28,1,1,2023,184153,180153,186574,Susceptible
S,29,1,1,2023,182888,180266,185802,Susceptible
S,30,1,1,2023,182275.5,179249,184702,Susceptible
S,31,1,1,2023,180364,178207,183850,Susceptible
S,32,1,1,2023,179168.5,176294,182122,Susceptible
S,33,1,1,2023,177054.5,173219,179812,Susceptible
S,34,1,1,2023,174355,171146,177271,Susceptible
S,35,1,1,2023,171405.5,168714,174571,Susceptible
S,36,1,1,2023,168420,165595,171621,Susceptible
S,37,1,1,2023,165366,162541,168283,Susceptible
S,38,1,1,2023,161629,158526,164271,Susceptible
S,39,1,1,2023,157801,154964,160326,Susceptible
S,40,1,1,2023,153574.5,151023,156797,Susceptible
S,41,1,1,2023,149424.5,147325,152125,Susceptible
S,42,1,1,2023,145142,142877,147568,Susceptible
S,43,1,1,2023,141334.5,138799,143399,Susceptible
S,44,1,1,2023,137321.5,134268,140611,Susceptible
S,45,1,1,2023,132936,129703,136562,Susceptible
S,46,1,1,2023,128920.5,125849,132570,Susceptible
S,47,1,1,2023,124965,122317,128352,Susceptible
S,48,1,1,2023,121227.5,118073,124231,Susceptible
S,49,1,1,2023,117104.5,114021,120159,Susceptible
S,50,1,1,2023,112985.5,110084,115624,Susceptible
S,51,1,1,2023,109270.5,106758,111936,Susceptible
S,52,1,1,2023,105400.5,102258,108216,Susceptible
S,53,1,1,2023,101557,98786,104167,Susceptible
S,54,1,1,2023,97691,95026,100537,Susceptible
S,55,1,1,2023,94012,90945,96919,Susceptible
S,56,1,1,2023,90205,87449,93279,Susceptible
S,57,1,1,2023,86462,83630,89663,Susceptible
S,58,1,1,2023,82936,80586,85784,Susceptible
S,59,1,1,2023,79495,77119,81863,Susceptible
S,60,1,1,2023,76075,73262,78177,Susceptible
S,61,1,1,2023,72441.5,70176,74725,Susceptible
S,62,1,1,2023,69016,66941,71434,Susceptible
