state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,157489.5,96964,253508,Susceptible
S,2,1,1,2023,242819.5,197173,268396,Susceptible
S,3,1,1,2023,229022.5,211614,232330,Susceptible
S,4,1,1,2023,177825,147212,199513,Susceptible
S,5,1,1,2023,132214.5,109668,156059,Susceptible
S,6,1,1,2023,108401,96453,124399,Susceptible
S,7,1,1,2023,102414.5,98065,110174,Susceptible
S,8,1,1,2023,107249.5,106054,109409,Susceptible
S,9,1,1,2023,117040.5,115669,119419,Susceptible
S,10,1,1,2023,128889.5,126894,131459,Susceptible
S,11,1,1,2023,142031,139386,144945,Susceptible
S,12,1,1,2023,155095.5,152404,158158,Susceptible
S,13,1,1,2023,168900,165913,172048,Susceptible
S,14,1,1,2023,182908.5,179690,186173,Susceptible
S,15,1,1,2023,197009.5,193813,201118,Susceptible
S,16,1,1,2023,211562,208426,215234,Susceptible
S,17,1,1,2023,225243,222452,227679,Susceptible
S,18,1,1,2023,238129,235791,240309,Susceptible
S,19,1,1,2023,249196,247131,251689,Susceptible
S,20,1,1,2023,259451.5,257678,261403,Susceptible
S,21,1,1,2023,267321.5,266398,269170,Susceptible
S,22,1,1,2023,273884,272422,276383,Susceptible
S,23,1,1,2023,279740.5,276861,282382,Susceptible
S,24,1,1,2023,285485.5,281873,288387,Susceptible
S,25,1,1,2023,291838,288748,293929,Susceptible
S,26,1,1,2023,299751.5,296185,301421,Susceptible
S,27,1,1,2023,309714.5,306394,312701,Susceptible
S,28,1,1,2023,322463.5,318778,326881,Susceptible
S,29,1,1,2023,339133,332998,344750,Susceptible
S,30,1,1,2023,359509.5,351438,366432,Susceptible
S,31,1,1,2023,382086,372467,390792,Susceptible
S,32,1,1,2023,407380.5,396142,416461,Susceptible
S,33,1,1,2023,433644,420527,443986,Susceptible
S,34,1,1,2023,461203.5,448820,473173,Susceptible
S,35,1,1,2023,489019,476642,501379,Susceptible
S,36,1,1,2023,516338.5,503992,528321,Susceptible
S,37,1,1,2023,543107.5,530739,555268,Susceptible
S,38,1,1,2023,566448.5,554538,576456,Susceptible
S,39,1,1,2023,586558.5,576961,593463,Susceptible
S,40,1,1,2023,602012,595611,608334,Susceptible
S,41,1,1,2023,614787,608460,620581,Susceptible
S,42,1,1,2023,622827,618814,627548,Susceptible
S,43,1,1,2023,627350,625006,629261,Susceptible
S,44,1,1,2023,627261,624631,629863,Susceptible
S,45,1,1,2023,623342,619615,626988,Susceptible
