state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,181216.5,112662,291037,Susceptible
S,2,1,1,2023,265795.5,219044,287692,Susceptible
S,3,1,1,2023,244470,223446,248259,Susceptible
S,4,1,1,2023,189560.5,159576,211619,Susceptible
S,5,1,1,2023,143114.5,121603,166217,Susceptible
S,6,1,1,2023,116627,105536,132133,Susceptible
S,7,1,1,2023,106179.5,101582,114099,Susceptible
S,8,1,1,2023,106336,104851,109218,Susceptible
S,9,1,1,2023,112245,110711,114733,Susceptible
S,10,1,1,2023,122206,119602,126106,Susceptible
S,11,1,1,2023,133941.5,130129,137706,Susceptible
S,12,1,1,2023,146463.5,141827,150889,Susceptible
S,13,1,1,2023,160354.5,155646,164943,Susceptible
S,14,1,1,2023,174635.5,169749,179947,Susceptible
S,15,1,1,2023,188820.5,184242,193854,Susceptible
S,16,1,1,2023,201801,196699,206486,Susceptible
S,17,1,1,2023,213444.5,209482,218106,Susceptible
S,18,1,1,2023,223589.5,219954,226431,Susceptible
S,19,1,1,2023,232118.5,229161,234119,Susceptible
S,20,1,1,2023,239038.5,237413,240425,Susceptible
S,21,1,1,2023,244783.5,243271,245477,Susceptible
S,22,1,1,2023,249043,248258,250484,Susceptible
S,23,1,1,2023,253692,252926,255835,Susceptible
S,24,1,1,2023,260542.5,258537,262736,Susceptible
S,25,1,1,2023,269057,266691,271523,Susceptible
S,26,1,1,2023,279787,276561,284352,Susceptible
S,27,1,1,2023,295330,290081,300820,Susceptible
S,28,1,1,2023,315073,307420,323022,Susceptible
S,29,1,1,2023,339234,330295,348758,Susceptible
S,30,1,1,2023,367068,355853,379332,Susceptible
S,31,1,1,2023,399118,385833,412722,Susceptible
S,32,1,1,2023,432857.5,418234,448033,Susceptible
S,33,1,1,2023,467742,452112,482967,Susceptible
S,34,1,1,2023,501698,486566,516845,Susceptible
S,35,1,1,2023,533057.5,519532,547521,Susceptible
S,36,1,1,2023,560897,548339,572828,Susceptible
S,37,1,1,2023,582832.5,571797,592140,Susceptible
S,38,1,1,2023,598265.5,589798,604032,Susceptible
S,39,1,1,2023,605413,600902,608423,Susceptible
S,40,1,1,2023,603764,600974,606533,Susceptible
S,41,1,1,2023,594615.5,588046,599043,Susceptible
S,42,1,1,2023,578583.5,568218,585999,Susceptible
S,43,1,1,2023,554625.5,541870,566151,Susceptible
S,44,1,1,2023,525127,509137,539742,Susceptible
S,45,1,1,2023,490632.5,472006,507987,Susceptible
S,46,1,1,2023,452302,432118,471079,Susceptible
S,47,1,1,2023,412102,391172,431879,Susceptible
S,48,1,1,2023,370363.5,349718,390651,Susceptible
S,49,1,1,2023,329337,309072,349690,Susceptible
S,50,1,1,2023,289243,269575,308724,Susceptible
S,51,1,1,2023,251829.5,232846,270416,Susceptible
S,52,1,1,2023,217323,199663,234975,Susceptible
S,53,1,1,2023,185403,170118,201932,Susceptible
S,54,1,1,2023,156596,143372,171493,Susceptible
S,55,1,1,2023,131658,119422,144185,Susceptible
S,56,1,1,2023,109217,98827,120287,Susceptible
S,57,1,1,2023,90064,81199,99718,Susceptible
S,58,1,1,2023,73744,66275,81791,Susceptible
S,59,1,1,2023,59912,53658,66812,Susceptible
S,60,1,1,2023,48493,42981,54240,Susceptible
S,61,1,1,2023,39008,34282,44011,Susceptible
S,62,1,1,2023,31101.5,27066,35288,Susceptible
S,63,1,1,2023,24848,21830,28363,Susceptible
S,64,1,1,2023,19679,17221,22513,Susceptible
S,65,1,1,2023,15572,13554,17736,Susceptible
S,66,1,1,2023,12270.5,10689,14129,Susceptible
S,67,1,1,2023,9510,8254,11001,Susceptible
S,68,1,1,2023,7386.5,6395,8518,Susceptible
S,69,1,1,2023,5775,4942,6635,Susceptible
S,70,1,1,2023,4423,3773,5181,Susceptible
S,71,1,1,2023,3350.5,2866,3979,Susceptible
S,72,1,1,2023,2592.5,2162,2995,Susceptible
S,73,1,1,2023,1968.5,1654,2307,Susceptible
S,74,1,1,2023,1470,1210,1711,Susceptible
S,75,1,1,2023,1058,840,1296,Susceptible
S,76,1,1,2023,750.5,575,952,Susceptible
S,77,1,1,2023,537.5,380,692,Susceptible
S,78,1,1,2023,392.5,269,518,Susceptible
S,79,1,1,2023,276.5,168,395,Susceptible
S,80,1,1,2023,188.5,99,286,Susceptible
S,81,1,1,2023,127,54,203,Susceptible
S,82,1,1,2023,83.5,32,149,Susceptible
S,83,1,1,2023,46.5,21,85,Susceptible
S,84,1,1,2023,27,12,54,Susceptible
S,85,1,1,2023,19,7,37,Susceptible
S,86,1,1,2023,9,2,28,Susceptible
S,87,1,1,2023,4,1,21,Susceptible
S,88,1,1,2023,3,0,7,Susceptible
S,89,1,1,2023,2,0,7,Susceptible
S,90,1,1,2023,1,0,4,Susceptible
