state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,167045.5,106249,263867,Susceptible
S,2,1,1,2023,269306.5,222946,295777,Susceptible
S,3,1,1,2023,278325.5,262962,282254,Susceptible
S,4,1,1,2023,256329.5,226960,276260,Susceptible
S,5,1,1,2023,241247,219302,263747,Susceptible
S,6,1,1,2023,248962,237113,264058,Susceptible
S,7,1,1,2023,273563,268024,281436,Susceptible
S,8,1,1,2023,307845,305652,310938,Susceptible
S,9,1,1,2023,345566.5,343870,347411,Susceptible
S,10,1,1,2023,384243.5,382591,386730,Susceptible
S,11,1,1,2023,421779,419736,425995,Susceptible
S,12,1,1,2023,458783.5,455632,461797,Susceptible
S,13,1,1,2023,492949,490229,495945,Susceptible
S,14,1,1,2023,527665.5,523287,530034,Susceptible
S,15,1,1,2023,559547.5,555366,561787,Susceptible
S,16,1,1,2023,590507,585960,593925,Susceptible
S,17,1,1,2023,618663.5,615090,623121,Susceptible
S,18,1,1,2023,645478.5,642377,649685,Susceptible
S,19,1,1,2023,669862.5,666948,675699,Susceptible
S,20,1,1,2023,692552.5,687353,696009,Susceptible
S,21,1,1,2023,711974,705891,713764,Susceptible
S,22,1,1,2023,729539.5,724550,731700,Susceptible
S,23,1,1,2023,744984.5,739805,747580,Susceptible
S,24,1,1,2023,758287.5,753515,761090,Susceptible
S,25,1,1,2023,770363,765394,774009,Susceptible
S,26,1,1,2023,781724,776392,785788,Susceptible
S,27,1,1,2023,792732.5,787028,797130,Susceptible
S,28,1,1,2023,802547,797069,806273,Susceptible
S,29,1,1,2023,810717.5,806461,815303,Susceptible
S,30,1,1,2023,818493,815128,823105,Susceptible
S,31,1,1,2023,827374,824268,830000,Susceptible
S,32,1,1,2023,834378,832462,837025,Susceptible
S,33,1,1,2023,840206.5,837508,844749,Susceptible
S,34,1,1,2023,846527.5,843279,850514,Susceptible
S,35,1,1,2023,851106.5,847920,853831,Susceptible
S,36,1,1,2023,853480,851817,856033,Susceptible
