state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,1414139,877877,2277601,Susceptible
S,2,1,1,2023,2069547,1704640,2243250,Susceptible
S,3,1,1,2023,2202014.5,2084302,2240099,Susceptible
S,4,1,1,2023,2254673,2196186,2280923,Susceptible
S,5,1,1,2023,2319368,2260251,2357831,Susceptible
S,6,1,1,2023,2392373.5,2325735,2433530,Susceptible
S,7,1,1,2023,2447453.5,2378598,2473473,Susceptible
S,8,1,1,2023,2457243.5,2394911,2479009,Susceptible
S,9,1,1,2023,2408382,2335794,2454045,Susceptible
S,10,1,1,2023,2329836,2252047,2396027,Susceptible
S,11,1,1,2023,2245020,2164230,2319790,Susceptible
S,12,1,1,2023,2166891.5,2089909,2238256,Susceptible
S,13,1,1,2023,2110630.5,2043922,2174279,Susceptible
S,14,1,1,2023,2085887.5,2027106,2133792,Susceptible
S,15,1,1,2023,2090384.5,2040342,2120535,Susceptible
S,16,1,1,2023,2115168,2068944,2132688,Susceptible
S,17,1,1,2023,2154468.5,2103085,2173399,Susceptible
S,18,1,1,2023,2199052,2148360,2221515,Susceptible
S,19,1,1,2023,2240334.5,2192869,2263794,Susceptible
S,20,1,1,2023,2269133,2225957,2289931,Susceptible
S,21,1,1,2023,2277401,2243327,2301951,Susceptible
S,22,1,1,2023,2269195.5,2226772,2295787,Susceptible
S,23,1,1,2023,2237826.5,2195094,2271810,Susceptible
S,24,1,1,2023,2187909.5,2143182,2229350,Susceptible
S,25,1,1,2023,2126323,2076031,2172385,Susceptible
S,26,1,1,2023,2057123,2004813,2105715,Susceptible
S,27,1,1,2023,1981582,1928591,2032213,Susceptible
S,28,1,1,2023,1909178,1855880,1959922,Susceptible
S,29,1,1,2023,1839716,1787860,1889439,Susceptible
S,30,1,1,2023,1776631,1729120,1822419,Susceptible
S,31,1,1,2023,1721522.5,1675574,1763404,Susceptible
S,32,1,1,2023,1675153.5,1630678,1714686,Susceptible
S,33,1,1,2023,1638403,1592556,1672245,Susceptible
S,34,1,1,2023,1610333.5,1567913,1641126,Susceptible
S,35,1,1,2023,1589038,1546510,1615824,Susceptible
S,36,1,1,2023,1569283.5,1530287,1594342,Susceptible
S,37,1,1,2023,1553044.5,1515515,1574296,Susceptible
S,38,1,1,2023,1537252,1502592,1556130,Susceptible
S,39,1,1,2023,1520663.5,1488464,1539468,Susceptible
S,40,1,1,2023,1503071,1473002,1522812,Susceptible
S,41,1,1,2023,1482483.5,1454518,1503444,Susceptible
S,42,1,1,2023,1458468.5,1427373,1479273,Susceptible
S,43,1,1,2023,1428894.5,1399079,1451725,Susceptible
S,44,1,1,2023,1394945.5,1365616,1421388,Susceptible
S,45,1,1,2023,1359415.5,1328085,1386102,Susceptible
S,46,1,1,2023,1319367,1288401,1348019,Susceptible
S,47,1,1,2023,1276635,1245291,1305947,Susceptible
S,48,1,1,2023,1232370.5,1199549,1262035,Susceptible
S,49,1,1,2023,1186746.5,1154806,1216702,Susceptible
S,50,1,1,2023,1139940.5,1109885,1170496,Susceptible
S,51,1,1,2023,1092142.5,1062229,1122974,Susceptible
S,52,1,1,2023,1045842.5,1016986,1076514,Susceptible
S,53,1,1,2023,998889,970987,1026564,Susceptible
S,54,1,1,2023,953271.5,927658,980825,Susceptible
S,55,1,1,2023,908349.5,883962,934371,Susceptible
S,56,1,1,2023,865441,840140,889911,Susceptible
S,57,1,1,2023,822024,799432,846189,Susceptible
S,58,1,1,2023,780242,758651,803209,Susceptible
S,59,1,1,2023,739468,719689,761032,Susceptible
S,60,1,1,2023,699166,678924,720388,Susceptible
S,61,1,1,2023,659297,639161,678994,Susceptible
S,62,1,1,2023,619053,599654,640207,Susceptible
S,63,1,1,2023,578987.5,560020,599631,Susceptible
S,64,1,1,2023,540094.5,520953,559903,Susceptible
S,65,1,1,2023,500928,482389,520699,Susceptible
S,66,1,1,2023,462245,443577,481651,Susceptible
S,67,1,1,2023,424011.5,405357,443659,Susceptible
S,68,1,1,2023,386975,368616,406024,Susceptible
S,69,1,1,2023,350604,331949,369164,Susceptible
S,70,1,1,2023,314671,297347,332580,Susceptible
S,71,1,1,2023,280900,264502,297722,Susceptible
S,72,1,1,2023,248264,232734,263937,Susceptible
S,73,1,1,2023,217718.5,203497,232674,Susceptible
S,74,1,1,2023,189103.5,176051,203276,Susceptible
S,75,1,1,2023,162763,150201,175696,Susceptible
S,76,1,1,2023,138483,127138,150459,Susceptible
S,77,1,1,2023,116852.5,107014,127390,Susceptible
S,78,1,1,2023,97487.5,88612,106448,Susceptible
S,79,1,1,2023,80563,72578,89037,Susceptible
S,80,1,1,2023,65725,58810,73151,Susceptible
S,81,1,1,2023,53114.5,47321,59556,Susceptible
S,82,1,1,2023,42532.5,37612,47924,Susceptible
S,83,1,1,2023,33748.5,29699,38218,Susceptible
S,84,1,1,2023,26532.5,23149,30158,Susceptible
S,85,1,1,2023,20505,17852,23483,Susceptible
S,86,1,1,2023,15718.5,13617,18037,Susceptible
S,87,1,1,2023,11827.5,10155,13738,Susceptible
S,88,1,1,2023,8792,7460,10350,Susceptible
S,89,1,1,2023,6518.5,5455,7756,Susceptible
S,90,1,1,2023,4741,3929,5690,Susceptible
S,91,1,1,2023,3433,2821,4144,Susceptible
S,92,1,1,2023,2420.5,1955,2982,Susceptible
S,93,1,1,2023,1656.5,1320,2098,Susceptible
S,94,1,1,2023,1119.5,869,1425,Susceptible
S,95,1,1,2023,744,598,958,Susceptible
S,96,1,1,2023,503.5,382,655,Susceptible
S,97,1,1,2023,331,241,446,Susceptible
S,98,1,1,2023,208,153,277,Susceptible
S,99,1,1,2023,140,95,195,Susceptible
S,100,1,1,2023,93,56,139,Susceptible
S,101,1,1,2023,138,92,197,Susceptible
S,1,2,1,2023,412888.5,337419,445645,Vaccine protected
S,2,2,1,2023,844152.5,795841,853733,Vaccine protected
S,3,2,1,2023,1195955,1184024,1204385,Vaccine protected
S,4,2,1,2023,1487189,1463144,1504633,Vaccine protected
S,5,2,1,2023,1720008,1691361,1746796,Vaccine protected
S,6,2,1,2023,1912061,1881050,1941402,Vaccine protected
S,7,2,1,2023,2080236,2052615,2107650,Vaccine protected
S,8,2,1,2023,2235876,2215694,2256398,Vaccine protected
S,9,2,1,2023,2382502.5,2364977,2394612,Vaccine protected
S,10,2,1,2023,2509754,2490198,2520465,Vaccine protected
S,11,2,1,2023,2610026.5,2588161,2625238,Vaccine protected
S,12,2,1,2023,2675868.5,2650223,2698379,Vaccine protected
S,13,2,1,2023,2700293,2661841,2734226,Vaccine protected
S,14,2,1,2023,2681466,2630295,2727169,Vaccine protected
S,15,2,1,2023,2619802,2554821,2680129,Vaccine protected
S,16,2,1,2023,2523911,2448482,2595225,Vaccine protected
S,17,2,1,2023,2398598,2317172,2477058,Vaccine protected
S,18,2,1,2023,2258740.5,2176837,2340105,Vaccine protected
S,19,2,1,2023,2114677.5,2034901,2195722,Vaccine protected
S,20,2,1,2023,1975524,1902068,2051905,Vaccine protected
S,21,2,1,2023,1849214,1785259,1917532,Vaccine protected
S,22,2,1,2023,1739093,1685418,1797513,Vaccine protected
S,23,2,1,2023,1647879.5,1605741,1695599,Vaccine protected
