state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,14276976.5,13574328,15899568
new_case,All,All,All,1951,2672662,2137047,3054622
new_case,All,All,All,1952,1241330.5,1080689,1357545
new_case,All,All,All,1953,964063,842468,1028619
new_case,All,All,All,1954,795854.5,718151,846424
new_case,All,All,All,1955,710901,660087,771484
new_case,All,All,All,1956,658302.5,622785,687536
new_case,All,All,All,1957,636719,609935,677155
new_case,All,All,All,1958,601672,573126,626770
new_case,All,All,All,1959,591227,563140,596811
new_case,All,All,All,1960,577597.5,558394,586808
new_case,All,All,All,1961,574310.5,546896,579502
new_case,All,All,All,1962,569893.5,542719,577655
new_case,All,All,All,1963,569704.5,541006,575455
new_case,All,All,All,1964,576636.5,552810,586982
new_case,All,All,All,1965,570808.5,550942,579389
new_case,All,All,All,1966,570579,554273,585166
new_case,All,All,All,1967,575780.5,554561,589900
new_case,All,All,All,1968,575764.5,560019,582119
new_case,All,All,All,1969,570687.5,557751,579036
new_case,All,All,All,1970,560685.5,546887,572594
new_case,All,All,All,1971,557608,542441,566745
new_case,All,All,All,1972,526996.5,514934,538890
new_case,All,All,All,1973,506601,500846,526990
new_case,All,All,All,1974,491384,481626,503592
new_case,All,All,All,1975,480218.5,473418,489214
new_case,All,All,All,1976,470429,463592,478575
new_case,All,All,All,1977,459163,449975,467036
new_case,All,All,All,1978,460930.5,447575,465366
new_case,All,All,All,1979,442656.5,431679,449646
new_case,All,All,All,1980,388796,387236,391677
new_case,All,All,All,1981,268877,267785,270781
new_case,All,All,All,1982,289813,288419,290631
new_case,All,All,All,1983,289035.5,287099,290523
new_case,All,All,All,1984,392126,390065,393890
new_case,All,All,All,1985,352895.5,351167,355051
new_case,All,All,All,1986,257462.5,255390,258686
new_case,All,All,All,1987,176334,174461,180021
new_case,All,All,All,1988,175150.5,174544,178139
new_case,All,All,All,1989,78047,76576,78567
new_case,All,All,All,1990,271807,269747,273684
new_case,All,All,All,1991,103382.5,102070,105016
new_case,All,All,All,1992,202288.5,200803,206024
new_case,All,All,All,1993,130229.5,128245,132777
new_case,All,All,All,1994,253626,251332,255588
new_case,All,All,All,1995,29527.5,28845,30070
new_case,All,All,All,1996,215069,213209,218229
new_case,All,All,All,1997,52344.5,51532,53329
new_case,All,All,All,1998,351088.5,349582,354873
new_case,All,All,All,1999,547373,541326,551932
new_case,All,All,All,2000,534823,529427,554061
new_case,All,All,All,2001,424512,420414,432281
new_case,All,All,All,2002,106808,106214,110425
new_case,All,All,All,2003,362879.5,359325,363824
new_case,All,All,All,2004,81814,80913,83400
new_case,All,All,All,2005,291293.5,285834,297495
new_case,All,All,All,2006,1773.5,1655,1976
new_case,All,All,All,2007,6882.5,6606,7317
new_case,All,All,All,2008,24796,24248,25391
new_case,All,All,All,2009,3209.5,2991,3734
new_case,All,All,All,2010,21012.5,20468,21739
new_case,All,All,All,2011,46611.5,45357,48428
new_case,All,All,All,2012,15336,15162,15969
new_case,All,All,All,2013,126467,123005,130295
new_case,All,All,All,2014,15845,15547,18384
new_case,All,All,All,2015,28659,28205,29781
new_case,All,All,All,2016,40570,38569,46124
new_case,All,All,All,2017,26331,26026,26776
new_case,All,All,All,2018,17125.5,16135,17341
new_case,All,All,All,2019,67558,64741,72561
new_case,All,All,All,2020,20315,19683,24658
new_case,All,All,All,2021,24299.5,23600,37505
new_case,All,All,All,2022,54613,53915,57914
new_case,All,All,All,2023,46090.5,44613,47429
S,1,1,1,2023,1896442,1180539,3048827
S,2,1,1,2023,2653140,2217672,2819188
S,3,1,1,2023,2559597.5,2465231,2590049
S,4,1,1,2023,2309964,2166475,2412182
S,5,1,1,2023,2057464,1939824,2181852
S,6,1,1,2023,1856104.5,1759693,1962965
S,7,1,1,2023,1752229,1705780,1819721
S,8,1,1,2023,1742333,1724389,1765846
S,9,1,1,2023,1758518.5,1749466,1767228
S,10,1,1,2023,1759963.5,1746098,1771224
S,11,1,1,2023,1737999.5,1712719,1757784
S,12,1,1,2023,1708485,1682410,1733536
S,13,1,1,2023,1697218.5,1678481,1716679
S,14,1,1,2023,1723586,1713537,1733901
S,15,1,1,2023,1791687.5,1769502,1822805
S,16,1,1,2023,1903007.5,1862146,1952593
S,17,1,1,2023,2043881.5,1987639,2107210
S,18,1,1,2023,2197439.5,2132768,2263819
S,19,1,1,2023,2344572,2280895,2407267
S,20,1,1,2023,2471801.5,2415814,2522895
S,21,1,1,2023,2568365.5,2523957,2606478
S,22,1,1,2023,2630058.5,2600150,2651624
S,23,1,1,2023,2654521.5,2640008,2664028
S,24,1,1,2023,2645778.5,2627865,2657085
S,25,1,1,2023,2610011.5,2581012,2631269
S,26,1,1,2023,2551460,2513735,2584560
S,27,1,1,2023,2481140.5,2439500,2521438
S,28,1,1,2023,2403534.5,2359964,2448032
S,29,1,1,2023,2324237,2278865,2368159
S,30,1,1,2023,2247134,2204824,2291216
S,31,1,1,2023,2174785,2133485,2217434
S,32,1,1,2023,2106745.5,2068948,2146839
S,33,1,1,2023,2045373,2010636,2083561
S,34,1,1,2023,1989517,1956758,2024176
S,35,1,1,2023,1936374,1904995,1967535
S,36,1,1,2023,1883773.5,1852392,1914111
S,37,1,1,2023,1829918,1797177,1860447
S,38,1,1,2023,1773649,1740983,1807160
S,39,1,1,2023,1714290,1680494,1748556
S,40,1,1,2023,1651975,1617411,1686966
S,41,1,1,2023,1587163,1550641,1622731
S,42,1,1,2023,1520268,1483359,1556907
S,43,1,1,2023,1451432,1414421,1488421
S,44,1,1,2023,1382091.5,1346095,1419335
S,45,1,1,2023,1315661,1280638,1352111
S,46,1,1,2023,1250573,1217096,1285451
S,47,1,1,2023,1188679,1156388,1221690
S,48,1,1,2023,1130021,1099803,1161602
S,49,1,1,2023,1075017,1047360,1105632
S,50,1,1,2023,1025494.5,999471,1053473
S,51,1,1,2023,978611.5,954081,1004291
S,52,1,1,2023,935071.5,913075,958896
S,53,1,1,2023,895250,873516,918082
S,54,1,1,2023,856834,836803,878971
S,55,1,1,2023,820833,800779,840740
S,56,1,1,2023,786073.5,767241,804108
S,57,1,1,2023,751595.5,732639,770953
S,58,1,1,2023,717302,699081,735585
S,59,1,1,2023,683095,665031,701276
S,60,1,1,2023,648861.5,629853,667409
S,61,1,1,2023,613576,594081,632386
S,62,1,1,2023,577747,558297,596924
S,63,1,1,2023,541563.5,521956,560876
S,64,1,1,2023,505228.5,486446,524741
S,65,1,1,2023,469355,450926,487776
S,66,1,1,2023,434024.5,415326,452294
S,67,1,1,2023,399233.5,381025,416745
S,68,1,1,2023,364762.5,347544,381962
S,69,1,1,2023,331469,315608,348089
S,70,1,1,2023,299539,284170,314942
S,71,1,1,2023,268855.5,254316,283744
S,72,1,1,2023,239475.5,225959,253990
S,73,1,1,2023,212552.5,199219,225720
S,74,1,1,2023,187302.5,175198,199933
S,75,1,1,2023,163754,152724,175336
S,76,1,1,2023,142302,132479,152656
S,77,1,1,2023,123199.5,113755,132776
S,78,1,1,2023,105158.5,96777,114034
S,79,1,1,2023,89183.5,81671,97136
S,80,1,1,2023,74893,68613,82101
S,81,1,1,2023,62833,57080,69009
S,82,1,1,2023,51924,46897,57452
S,83,1,1,2023,42565.5,38095,47387
S,84,1,1,2023,34629.5,30961,38845
S,85,1,1,2023,27799.5,24559,31227
S,86,1,1,2023,21979.5,19309,24938
S,87,1,1,2023,17211,14936,19572
S,88,1,1,2023,13295.5,11321,15425
S,89,1,1,2023,10094.5,8651,11732
S,90,1,1,2023,7541,6305,8880
S,91,1,1,2023,5518,4594,6542
S,92,1,1,2023,3989.5,3287,4844
S,93,1,1,2023,2876.5,2326,3476
S,94,1,1,2023,2012.5,1590,2488
S,95,1,1,2023,1375,1069,1721
S,96,1,1,2023,921,684,1155
S,97,1,1,2023,610,457,799
S,98,1,1,2023,396,299,532
S,99,1,1,2023,253,187,343
S,100,1,1,2023,151.5,106,222
S,101,1,1,2023,241.5,164,341
S,1,2,1,2023,149594,123309,160048
S,2,2,1,2023,218349.5,201787,226741
S,3,2,1,2023,366867.5,348714,382251
S,4,2,1,2023,536913,515591,555790
S,5,2,1,2023,713791.5,692750,729504
S,6,2,1,2023,886399.5,869404,898021
S,7,2,1,2023,1045445.5,1035154,1052817
S,8,2,1,2023,1189225.5,1181289,1195798
S,9,2,1,2023,1320744,1314301,1324828
S,10,2,1,2023,1436945.5,1431443,1443931
S,11,2,1,2023,1534766.5,1526218,1543071
S,12,2,1,2023,1610331.5,1594584,1623231
S,13,2,1,2023,1655149.5,1625909,1676851
S,14,2,1,2023,1663425,1621617,1697971
S,15,2,1,2023,1635802,1582164,1684597
S,16,2,1,2023,1576523.5,1511896,1635909
S,17,2,1,2023,1492137,1421131,1559744
S,18,2,1,2023,1390661.5,1317400,1463910
S,19,2,1,2023,1282080.5,1209692,1355533
S,20,2,1,2023,1174795,1109066,1245095
S,21,2,1,2023,1076402.5,1017075,1140428
S,22,2,1,2023,991246.5,939750,1046930
S,23,2,1,2023,919839.5,877994,966579
S,24,2,1,2023,864054,830212,901365
S,25,2,1,2023,820921,794737,850973
S,26,2,1,2023,788106,768407,812029
S,27,2,1,2023,763941,747752,782203
S,28,2,1,2023,743965.5,730149,758770
S,29,2,1,2023,725433.5,712222,738972
S,30,2,1,2023,706678,692766,719850
S,31,2,1,2023,686637,672241,700483
S,32,2,1,2023,665020.5,650119,678796
S,33,2,1,2023,641542.5,627313,656131
S,34,2,1,2023,617624.5,603559,631407
S,35,2,1,2023,593958,580405,607881
S,36,2,1,2023,571731.5,558708,584969
S,37,2,1,2023,550611,539641,562746
S,38,2,1,2023,532850,523569,542850
S,39,2,1,2023,517623.5,508509,526601
S,40,2,1,2023,504551,495859,511981
S,41,2,1,2023,494304.5,487189,501053
S,42,2,1,2023,485586,480011,491071
S,43,2,1,2023,477273,472615,482855
S,44,2,1,2023,469576.5,464303,474576
S,45,2,1,2023,459955,454170,464197
S,46,2,1,2023,447648,440778,453510
S,47,2,1,2023,433371,424778,440213
S,48,2,1,2023,415542,406487,423627
S,49,2,1,2023,394846,383622,404574
S,50,2,1,2023,371403.5,359379,382481
S,51,2,1,2023,345173.5,332131,357128
S,52,2,1,2023,316929,303567,329926
S,53,2,1,2023,287818.5,273929,301352
S,54,2,1,2023,258023,244133,271915
S,55,2,1,2023,229008.5,215173,242529
S,56,2,1,2023,200250.5,186970,213421
S,57,2,1,2023,173588.5,160847,186295
S,58,2,1,2023,148579.5,136845,160744
S,59,2,1,2023,125851.5,115226,136726
S,60,2,1,2023,105167,95665,115014
S,61,2,1,2023,87044.5,79095,95939
S,62,2,1,2023,71351,64240,78936
S,63,2,1,2023,57845.5,51784,64522
S,64,2,1,2023,46251,41288,51859
S,65,2,1,2023,37097.5,32810,41629
S,66,2,1,2023,29353,25945,33294
S,67,2,1,2023,23162.5,20311,26261
S,68,2,1,2023,18025.5,15799,20554
S,69,2,1,2023,13995,12336,16020
S,70,2,1,2023,10898.5,9535,12477
S,71,2,1,2023,8459.5,7323,9686
S,72,2,1,2023,6565,5647,7582
S,73,2,1,2023,5144.5,4237,5914
S,74,2,1,2023,3990,3323,4673
S,75,2,1,2023,3053.5,2534,3592
S,76,2,1,2023,2391,1903,2841
S,77,2,1,2023,1848,1521,2225
S,78,2,1,2023,1449.5,1160,1766
S,79,2,1,2023,1102,871,1329
S,80,2,1,2023,827.5,689,998
S,81,2,1,2023,623.5,527,765
S,82,2,1,2023,478,403,571
S,83,2,1,2023,357,288,442
S,84,2,1,2023,263,211,317
S,85,2,1,2023,190,143,240
S,86,2,1,2023,130,93,179
S,87,2,1,2023,87,56,119
S,88,2,1,2023,61,29,85
S,89,2,1,2023,41,13,68
S,90,2,1,2023,28,4,47
S,91,2,1,2023,16,1,36
S,92,2,1,2023,9,2,15
S,93,2,1,2023,6,0,12
S,94,2,1,2023,4,0,11
S,95,2,1,2023,3,0,9
S,96,2,1,2023,2,0,7
S,97,2,1,2023,1,0,6
S,98,2,1,2023,0,0,2
S,99,2,1,2023,0,0,2
S,100,2,1,2023,0,0,0
S,101,2,1,2023,0,0,0
S,1,3,1,2023,2687621.5,1636680,4398994
S,2,3,1,2023,2568949,2058559,2881306
S,3,3,1,2023,3004191.5,2695451,3239300
S,4,3,1,2023,3379203.5,3128364,3625959
S,5,3,1,2023,3701837.5,3475272,3921713
