state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,1896442,1180539,3048827,Susceptible
S,2,1,1,2023,2653140,2217672,2819188,Susceptible
S,3,1,1,2023,2559597.5,2465231,2590049,Susceptible
S,4,1,1,2023,2309964,2166475,2412182,Susceptible
S,5,1,1,2023,2057464,1939824,2181852,Susceptible
S,6,1,1,2023,1856104.5,1759693,1962965,Susceptible
S,7,1,1,2023,1752229,1705780,1819721,Susceptible
S,8,1,1,2023,1742333,1724389,1765846,Susceptible
S,9,1,1,2023,1758518.5,1749466,1767228,Susceptible
S,10,1,1,2023,1759963.5,1746098,1771224,Susceptible
S,11,1,1,2023,1737999.5,1712719,1757784,Susceptible
S,12,1,1,2023,1708485,1682410,1733536,Susceptible
S,13,1,1,2023,1697218.5,1678481,1716679,Susceptible
S,14,1,1,2023,1723586,1713537,1733901,Susceptible
S,15,1,1,2023,1791687.5,1769502,1822805,Susceptible
S,16,1,1,2023,1903007.5,1862146,1952593,Susceptible
S,17,1,1,2023,2043881.5,1987639,2107210,Susceptible
S,18,1,1,2023,2197439.5,2132768,2263819,Susceptible
S,19,1,1,2023,2344572,2280895,2407267,Susceptible
S,20,1,1,2023,2471801.5,2415814,2522895,Susceptible
S,21,1,1,2023,2568365.5,2523957,2606478,Susceptible
S,22,1,1,2023,2630058.5,2600150,2651624,Susceptible
S,23,1,1,2023,2654521.5,2640008,2664028,Susceptible
S,24,1,1,2023,2645778.5,2627865,2657085,Susceptible
S,25,1,1,2023,2610011.5,2581012,2631269,Susceptible
S,26,1,1,2023,2551460,2513735,2584560,Susceptible
S,27,1,1,2023,2481140.5,2439500,2521438,Susceptible
S,28,1,1,2023,2403534.5,2359964,2448032,Susceptible
S,29,1,1,2023,2324237,2278865,2368159,Susceptible
S,30,1,1,2023,2247134,2204824,2291216,Susceptible
S,31,1,1,2023,2174785,2133485,2217434,Susceptible
S,32,1,1,2023,2106745.5,2068948,2146839,Susceptible
S,33,1,1,2023,2045373,2010636,2083561,Susceptible
S,34,1,1,2023,1989517,1956758,2024176,Susceptible
S,35,1,1,2023,1936374,1904995,1967535,Susceptible
S,36,1,1,2023,1883773.5,1852392,1914111,Susceptible
S,37,1,1,2023,1829918,1797177,1860447,Susceptible
S,38,1,1,2023,1773649,1740983,1807160,Susceptible
S,39,1,1,2023,1714290,1680494,1748556,Susceptible
S,40,1,1,2023,1651975,1617411,1686966,Susceptible
S,41,1,1,2023,1587163,1550641,1622731,Susceptible
S,42,1,1,2023,1520268,1483359,1556907,Susceptible
S,43,1,1,2023,1451432,1414421,1488421,Susceptible
S,44,1,1,2023,1382091.5,1346095,1419335,Susceptible
S,45,1,1,2023,1315661,1280638,1352111,Susceptible
S,46,1,1,2023,1250573,1217096,1285451,Susceptible
S,47,1,1,2023,1188679,1156388,1221690,Susceptible
S,48,1,1,2023,1130021,1099803,1161602,Susceptible
S,49,1,1,2023,1075017,1047360,1105632,Susceptible
S,50,1,1,2023,1025494.5,999471,1053473,Susceptible
S,51,1,1,2023,978611.5,954081,1004291,Susceptible
S,52,1,1,2023,935071.5,913075,958896,Susceptible
S,53,1,1,2023,895250,873516,918082,Susceptible
S,54,1,1,2023,856834,836803,878971,Susceptible
S,55,1,1,2023,820833,800779,840740,Susceptible
S,56,1,1,2023,786073.5,767241,804108,Susceptible
S,57,1,1,2023,751595.5,732639,770953,Susceptible
S,58,1,1,2023,717302,699081,735585,Susceptible
S,59,1,1,2023,683095,665031,701276,Susceptible
S,60,1,1,2023,648861.5,629853,667409,Susceptible
S,61,1,1,2023,613576,594081,632386,Susceptible
S,62,1,1,2023,577747,558297,596924,Susceptible
S,63,1,1,2023,541563.5,521956,560876,Susceptible
S,64,1,1,2023,505228.5,486446,524741,Susceptible
S,65,1,1,2023,469355,450926,487776,Susceptible
S,66,1,1,2023,434024.5,415326,452294,Susceptible
S,67,1,1,2023,399233.5,381025,416745,Susceptible
S,68,1,1,2023,364762.5,347544,381962,Susceptible
S,69,1,1,2023,331469,315608,348089,Susceptible
S,70,1,1,2023,299539,284170,314942,Susceptible
S,71,1,1,2023,268855.5,254316,283744,Susceptible
S,72,1,1,2023,239475.5,225959,253990,Susceptible
S,73,1,1,2023,212552.5,199219,225720,Susceptible
S,74,1,1,2023,187302.5,175198,199933,Susceptible
S,75,1,1,2023,163754,152724,175336,Susceptible
S,76,1,1,2023,142302,132479,152656,Susceptible
S,77,1,1,2023,123199.5,113755,132776,Susceptible
S,78,1,1,2023,105158.5,96777,114034,Susceptible
S,79,1,1,2023,89183.5,81671,97136,Susceptible
S,80,1,1,2023,74893,68613,82101,Susceptible
S,81,1,1,2023,62833,57080,69009,Susceptible
S,82,1,1,2023,51924,46897,57452,Susceptible
S,83,1,1,2023,42565.5,38095,47387,Susceptible
S,84,1,1,2023,34629.5,30961,38845,Susceptible
S,85,1,1,2023,27799.5,24559,31227,Susceptible
S,86,1,1,2023,21979.5,19309,24938,Susceptible
S,87,1,1,2023,17211,14936,19572,Susceptible
S,88,1,1,2023,13295.5,11321,15425,Susceptible
S,89,1,1,2023,10094.5,8651,11732,Susceptible
S,90,1,1,2023,7541,6305,8880,Susceptible
S,91,1,1,2023,5518,4594,6542,Susceptible
S,92,1,1,2023,3989.5,3287,4844,Susceptible
S,93,1,1,2023,2876.5,2326,3476,Susceptible
S,94,1,1,2023,2012.5,1590,2488,Susceptible
S,95,1,1,2023,1375,1069,1721,Susceptible
S,96,1,1,2023,921,684,1155,Susceptible
S,97,1,1,2023,610,457,799,Susceptible
S,98,1,1,2023,396,299,532,Susceptible
S,99,1,1,2023,253,187,343,Susceptible
S,100,1,1,2023,151.5,106,222,Susceptible
S,101,1,1,2023,241.5,164,341,Susceptible
S,1,2,1,2023,149594,123309,160048,Vaccine protected
S,2,2,1,2023,218349.5,201787,226741,Vaccine protected
S,3,2,1,2023,366867.5,348714,382251,Vaccine protected
S,4,2,1,2023,536913,515591,555790,Vaccine protected
