state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,1128359,658661,1942787,Susceptible
S,2,1,1,2023,1551866,1232885,1720682,Susceptible
S,3,1,1,2023,1545841,1435398,1584574,Susceptible
S,4,1,1,2023,1484506,1452350,1516149,Susceptible
S,5,1,1,2023,1458846.5,1433403,1489597,Susceptible
S,6,1,1,2023,1460169,1430370,1490128,Susceptible
S,7,1,1,2023,1469910.5,1441882,1501839,Susceptible
S,8,1,1,2023,1479327,1457054,1513884,Susceptible
S,9,1,1,2023,1493398.5,1472020,1529687,Susceptible
S,10,1,1,2023,1498008,1475999,1540856,Susceptible
S,11,1,1,2023,1496354,1471417,1540387,Susceptible
S,12,1,1,2023,1490096.5,1462802,1537321,Susceptible
S,13,1,1,2023,1483436.5,1457396,1530648,Susceptible
S,14,1,1,2023,1485650.5,1460544,1531046,Susceptible
S,15,1,1,2023,1484468,1458248,1530101,Susceptible
S,16,1,1,2023,1479586,1454490,1524177,Susceptible
S,17,1,1,2023,1471879.5,1447225,1516135,Susceptible
S,18,1,1,2023,1457756.5,1433014,1502859,Susceptible
S,19,1,1,2023,1440073.5,1416672,1482175,Susceptible
S,20,1,1,2023,1418152,1395301,1459815,Susceptible
S,21,1,1,2023,1392866.5,1369086,1434769,Susceptible
S,22,1,1,2023,1364661,1341143,1404884,Susceptible
S,23,1,1,2023,1335049.5,1312578,1374917,Susceptible
S,24,1,1,2023,1296985,1274956,1336505,Susceptible
S,25,1,1,2023,1260460.5,1236700,1299773,Susceptible
S,26,1,1,2023,1222354.5,1200423,1260643,Susceptible
S,27,1,1,2023,1185847,1166134,1222733,Susceptible
S,28,1,1,2023,1150337.5,1130101,1187568,Susceptible
S,29,1,1,2023,1114306,1094602,1150840,Susceptible
S,30,1,1,2023,1077854.5,1058867,1113489,Susceptible
S,31,1,1,2023,1045080,1027037,1080234,Susceptible
S,32,1,1,2023,1012825.5,996331,1046173,Susceptible
S,33,1,1,2023,982646,966269,1015773,Susceptible
S,34,1,1,2023,953240.5,937375,984166,Susceptible
S,35,1,1,2023,926279.5,909908,955086,Susceptible
S,36,1,1,2023,897861,882616,928009,Susceptible
S,37,1,1,2023,872300.5,856933,901927,Susceptible
S,38,1,1,2023,845995,831577,874023,Susceptible
S,39,1,1,2023,821285.5,808260,846422,Susceptible
S,40,1,1,2023,797066.5,783426,821680,Susceptible
S,41,1,1,2023,772568.5,759586,795631,Susceptible
S,42,1,1,2023,747530,734842,770149,Susceptible
S,43,1,1,2023,722616,708982,745375,Susceptible
S,44,1,1,2023,698556.5,685503,723003,Susceptible
S,45,1,1,2023,674418,661569,697410,Susceptible
S,46,1,1,2023,650050.5,636813,670639,Susceptible
S,47,1,1,2023,624943,612376,646481,Susceptible
S,48,1,1,2023,600635,588352,620969,Susceptible
S,49,1,1,2023,576811.5,564527,596689,Susceptible
S,50,1,1,2023,553051,540769,572644,Susceptible
S,51,1,1,2023,528713.5,516772,548888,Susceptible
S,52,1,1,2023,505380,493332,524949,Susceptible
S,53,1,1,2023,482291.5,469952,500265,Susceptible
S,54,1,1,2023,459545.5,447838,476892,Susceptible
S,55,1,1,2023,437996.5,426864,453925,Susceptible
S,56,1,1,2023,417003,406147,433445,Susceptible
S,57,1,1,2023,396463,386897,412240,Susceptible
