state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,6581,5512,6734
new_case,All,All,All,1951,8720,8016,9504
new_case,All,All,All,1952,7933,7515,8281
new_case,All,All,All,1953,7428,6886,8033
new_case,All,All,All,1954,6921,6234,7118
new_case,All,All,All,1955,6599,5922,7084
new_case,All,All,All,1956,6163,5654,6744
new_case,All,All,All,1957,6093,5426,7098
new_case,All,All,All,1958,6229,5616,6442
new_case,All,All,All,1959,6160,6114,6584
new_case,All,All,All,1960,6087,5813,6910
new_case,All,All,All,1961,6071,5757,6864
new_case,All,All,All,1962,6028,5905,6044
new_case,All,All,All,1963,6012,5424,6137
new_case,All,All,All,1964,5929,5534,6356
new_case,All,All,All,1965,6039,5688,6459
new_case,All,All,All,1966,5784,4933,6148
new_case,All,All,All,1967,5702,5379,6114
new_case,All,All,All,1968,5640,5407,6395
new_case,All,All,All,1969,5298,5083,5777
new_case,All,All,All,1970,5426,5154,5684
new_case,All,All,All,1971,5587,5178,5739
new_case,All,All,All,1972,4988,4739,5729
new_case,All,All,All,1973,5002,4600,5664
new_case,All,All,All,1974,5008,4856,5566
new_case,All,All,All,1975,5083,4219,5229
new_case,All,All,All,1976,5177,4771,5637
new_case,All,All,All,1977,4645,4453,4891
new_case,All,All,All,1978,4661,4318,5008
new_case,All,All,All,1979,4428,4273,4545
new_case,All,All,All,1980,4181,3973,4438
new_case,All,All,All,1981,201,166,219
new_case,All,All,All,1982,0,0,0
new_case,All,All,All,1983,0,0,0
new_case,All,All,All,1984,0,0,0
new_case,All,All,All,1985,0,0,0
new_case,All,All,All,1986,0,0,0
new_case,All,All,All,1987,0,0,0
new_case,All,All,All,1988,0,0,0
new_case,All,All,All,1989,0,0,0
new_case,All,All,All,1990,0,0,0
new_case,All,All,All,1991,0,0,0
new_case,All,All,All,1992,0,0,0
new_case,All,All,All,1993,0,0,0
new_case,All,All,All,1994,0,0,0
new_case,All,All,All,1995,0,0,0
new_case,All,All,All,1996,0,0,0
new_case,All,All,All,1997,0,0,0
new_case,All,All,All,1998,645,645,645
new_case,All,All,All,1999,0,0,0
new_case,All,All,All,2000,15,15,15
new_case,All,All,All,2001,311,311,311
new_case,All,All,All,2002,26,26,26
new_case,All,All,All,2003,403,403,403
new_case,All,All,All,2004,0,0,0
new_case,All,All,All,2005,593,593,593
new_case,All,All,All,2006,0,0,0
new_case,All,All,All,2007,0,0,0
new_case,All,All,All,2008,0,0,0
new_case,All,All,All,2009,0,0,0
new_case,All,All,All,2010,0,0,0
new_case,All,All,All,2011,0,0,0
new_case,All,All,All,2012,0,0,0
new_case,All,All,All,2013,0,0,0
new_case,All,All,All,2014,0,0,0
new_case,All,All,All,2015,0,0,0
new_case,All,All,All,2016,0,0,0
new_case,All,All,All,2017,0,0,0
new_case,All,All,All,2018,0,0,0
new_case,All,All,All,2019,18,18,18
new_case,All,All,All,2020,1,1,1
new_case,All,All,All,2021,0,0,0
new_case,All,All,All,2022,0,0,0
new_case,All,All,All,2023,0,0,0
S,1,1,1,2023,73628,45572,117685
S,2,1,1,2023,108544,89287,117783
S,3,1,1,2023,112605.5,107951,114029
S,4,1,1,2023,107994,104159,110262
S,5,1,1,2023,99377,94428,103645
S,6,1,1,2023,90039,84474,94986
