state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,73433,45211,118355,Susceptible
S,2,1,1,2023,108452.5,89431,118070,Susceptible
S,3,1,1,2023,112542,108094,114667,Susceptible
S,4,1,1,2023,107380.5,103249,110190,Susceptible
S,5,1,1,2023,98913,93922,103426,Susceptible
S,6,1,1,2023,89395,83846,94509,Susceptible
S,7,1,1,2023,80062.5,74697,85204,Susceptible
S,8,1,1,2023,72055.5,67836,76919,Susceptible
S,9,1,1,2023,66623,63477,70403,Susceptible
S,10,1,1,2023,63614,61173,66052,Susceptible
S,11,1,1,2023,62707,61097,64272,Susceptible
S,12,1,1,2023,63287.5,62401,64212,Susceptible
S,13,1,1,2023,64457.5,63544,65055,Susceptible
S,14,1,1,2023,66098.5,65522,66598,Susceptible
S,15,1,1,2023,67362,66960,68140,Susceptible
S,16,1,1,2023,68384.5,67809,68749,Susceptible
S,17,1,1,2023,69194,67821,70058,Susceptible
S,18,1,1,2023,69310,68009,70477,Susceptible
S,19,1,1,2023,69175,67891,70149,Susceptible
S,20,1,1,2023,68471,67087,70186,Susceptible
S,21,1,1,2023,68098,66602,69311,Susceptible
S,22,1,1,2023,67754,66570,68929,Susceptible
S,23,1,1,2023,67663.5,65959,68945,Susceptible
S,24,1,1,2023,67202.5,65403,68725,Susceptible
S,25,1,1,2023,66522.5,64982,68153,Susceptible
S,26,1,1,2023,66055.5,64685,67747,Susceptible
S,27,1,1,2023,66149.5,65200,67545,Susceptible
S,28,1,1,2023,66235.5,65560,66974,Susceptible
S,29,1,1,2023,66871,65790,67708,Susceptible
S,30,1,1,2023,67682,66720,68226,Susceptible
S,31,1,1,2023,68277.5,67486,68786,Susceptible
S,32,1,1,2023,69020.5,68605,69704,Susceptible
S,33,1,1,2023,69997,69383,70310,Susceptible
S,34,1,1,2023,71301,70393,71705,Susceptible
S,35,1,1,2023,72330.5,71913,72912,Susceptible
S,36,1,1,2023,73306.5,72624,73768,Susceptible
S,37,1,1,2023,74347,73885,74936,Susceptible
S,38,1,1,2023,74993.5,74308,75373,Susceptible
S,39,1,1,2023,75822.5,74380,76255,Susceptible
S,40,1,1,2023,76205,75191,76801,Susceptible
S,41,1,1,2023,76596,74902,77062,Susceptible
S,42,1,1,2023,76438,74996,77311,Susceptible
S,43,1,1,2023,75942.5,74184,76821,Susceptible
S,44,1,1,2023,75070,73104,76453,Susceptible
S,45,1,1,2023,73941,72506,75734,Susceptible
S,46,1,1,2023,72816,71645,74479,Susceptible
S,47,1,1,2023,71685,70299,72904,Susceptible
S,48,1,1,2023,70036,68918,71231,Susceptible
S,49,1,1,2023,68469,67419,69676,Susceptible
S,50,1,1,2023,67166.5,66362,68495,Susceptible
S,51,1,1,2023,65956.5,64960,67055,Susceptible
S,52,1,1,2023,64301.5,63064,65128,Susceptible
S,53,1,1,2023,62852.5,61324,64006,Susceptible
S,54,1,1,2023,60682.5,59092,61996,Susceptible
S,55,1,1,2023,58673.5,56873,60599,Susceptible
S,56,1,1,2023,56659,54824,58769,Susceptible
S,57,1,1,2023,54553,52996,56559,Susceptible
S,58,1,1,2023,52241,50918,53848,Susceptible
S,59,1,1,2023,50333.5,48871,51447,Susceptible
S,60,1,1,2023,48099.5,46755,49368,Susceptible
S,61,1,1,2023,45677,44421,46903,Susceptible
S,62,1,1,2023,43470.5,42114,44621,Susceptible
S,63,1,1,2023,40925.5,39330,42108,Susceptible
S,64,1,1,2023,38071,36527,39790,Susceptible
S,65,1,1,2023,35230,33682,36704,Susceptible
S,66,1,1,2023,32596,30983,34156,Susceptible
S,67,1,1,2023,29850,28122,31488,Susceptible
S,68,1,1,2023,26930,25479,28683,Susceptible
S,69,1,1,2023,24332,23063,25721,Susceptible
S,70,1,1,2023,21980,20560,23436,Susceptible
S,71,1,1,2023,19401.5,18037,20928,Susceptible
S,72,1,1,2023,17223,16184,18395,Susceptible
S,73,1,1,2023,15156,14031,16251,Susceptible
S,74,1,1,2023,13203,12084,14339,Susceptible
S,75,1,1,2023,11125.5,10104,12289,Susceptible
S,76,1,1,2023,9459.5,8650,10315,Susceptible
S,77,1,1,2023,7857.5,7015,8656,Susceptible
S,78,1,1,2023,6541,5812,7224,Susceptible
S,79,1,1,2023,5365.5,4749,5989,Susceptible
S,80,1,1,2023,4402,3972,4954,Susceptible
S,81,1,1,2023,3561.5,3129,4060,Susceptible
S,82,1,1,2023,2826,2460,3228,Susceptible
S,83,1,1,2023,2269.5,1892,2573,Susceptible
S,84,1,1,2023,1739.5,1517,1988,Susceptible
S,85,1,1,2023,1370,1182,1602,Susceptible
S,86,1,1,2023,1020.5,852,1208,Susceptible
S,87,1,1,2023,758,604,907,Susceptible
S,88,1,1,2023,556,443,673,Susceptible
S,89,1,1,2023,429.5,318,542,Susceptible
S,90,1,1,2023,303.5,231,369,Susceptible
S,91,1,1,2023,215,176,265,Susceptible
S,92,1,1,2023,149,120,185,Susceptible
S,93,1,1,2023,109.5,90,154,Susceptible
S,94,1,1,2023,83,52,110,Susceptible
S,95,1,1,2023,55,34,68,Susceptible
S,96,1,1,2023,30,22,52,Susceptible
S,97,1,1,2023,17,12,37,Susceptible
S,98,1,1,2023,13,8,23,Susceptible
S,99,1,1,2023,12,5,16,Susceptible
S,100,1,1,2023,6,1,12,Susceptible
S,101,1,1,2023,7,3,20,Susceptible
S,1,2,1,2023,12396.5,10067,13475,Vaccine protected
S,2,2,1,2023,25952,24075,26540,Vaccine protected
S,3,2,1,2023,38581,37424,39390,Vaccine protected
S,4,2,1,2023,51161,49803,52554,Vaccine protected
S,5,2,1,2023,63824,62038,65394,Vaccine protected
S,6,2,1,2023,76440.5,74310,78699,Vaccine protected
S,7,2,1,2023,88639,86505,90439,Vaccine protected
S,8,2,1,2023,98867.5,97033,100094,Vaccine protected
S,9,2,1,2023,107381.5,106017,108337,Vaccine protected
S,10,2,1,2023,113717.5,113211,114716,Vaccine protected
S,11,2,1,2023,118712.5,117261,120181,Vaccine protected
S,12,2,1,2023,121569,119933,123771,Vaccine protected
S,13,2,1,2023,123263,121864,125091,Vaccine protected
S,14,2,1,2023,124615,122770,126141,Vaccine protected
S,15,2,1,2023,124918.5,123207,126802,Vaccine protected
S,16,2,1,2023,125011,123948,127342,Vaccine protected
S,17,2,1,2023,126089.5,124768,127881,Vaccine protected
S,18,2,1,2023,126021.5,124687,127943,Vaccine protected
S,19,2,1,2023,125665.5,124924,126984,Vaccine protected
S,20,2,1,2023,125391.5,124449,126553,Vaccine protected
S,21,2,1,2023,124472,123682,125654,Vaccine protected
S,22,2,1,2023,123086.5,121846,124067,Vaccine protected
S,23,2,1,2023,121662,120710,122581,Vaccine protected
S,24,2,1,2023,119803.5,118627,121081,Vaccine protected
S,25,2,1,2023,118093,116184,119049,Vaccine protected
S,26,2,1,2023,115799,114635,117254,Vaccine protected
S,27,2,1,2023,113353.5,112124,115268,Vaccine protected
S,28,2,1,2023,110909,110044,112362,Vaccine protected
S,29,2,1,2023,108373.5,106599,109749,Vaccine protected
S,30,2,1,2023,104460,102726,106119,Vaccine protected
S,31,2,1,2023,100850.5,98557,102291,Vaccine protected
S,32,2,1,2023,96191.5,93892,97988,Vaccine protected
S,33,2,1,2023,91772.5,88758,94012,Vaccine protected
S,34,2,1,2023,86868,84523,89031,Vaccine protected
S,35,2,1,2023,81814,79541,84162,Vaccine protected
S,36,2,1,2023,77172.5,74727,79314,Vaccine protected
S,37,2,1,2023,72052,70494,74763,Vaccine protected
S,38,2,1,2023,67684.5,65746,69566,Vaccine protected
S,39,2,1,2023,63079,61159,64991,Vaccine protected
S,40,2,1,2023,58928,57357,60665,Vaccine protected
S,41,2,1,2023,54923,53125,56981,Vaccine protected
S,42,2,1,2023,51399.5,49662,53686,Vaccine protected
S,43,2,1,2023,47540,46160,49542,Vaccine protected
S,44,2,1,2023,44323.5,42536,46051,Vaccine protected
S,45,2,1,2023,40965.5,39477,42445,Vaccine protected
S,46,2,1,2023,37981,36515,39284,Vaccine protected
S,47,2,1,2023,35130,33943,36787,Vaccine protected
S,48,2,1,2023,32636.5,31228,34649,Vaccine protected
S,49,2,1,2023,30045.5,28884,31821,Vaccine protected
S,50,2,1,2023,27677.5,26358,28908,Vaccine protected
S,51,2,1,2023,25269.5,23680,26851,Vaccine protected
S,52,2,1,2023,22941,21279,24589,Vaccine protected
S,53,2,1,2023,20370,18940,22153,Vaccine protected
S,54,2,1,2023,18466.5,16768,19886,Vaccine protected
S,55,2,1,2023,16363,14739,17777,Vaccine protected
S,56,2,1,2023,14289.5,12844,15595,Vaccine protected
S,57,2,1,2023,12379,10927,13701,Vaccine protected
S,58,2,1,2023,10608.5,9441,11712,Vaccine protected
S,59,2,1,2023,9117,8064,9998,Vaccine protected
S,60,2,1,2023,7684,6862,8390,Vaccine protected
S,61,2,1,2023,6475,5760,6998,Vaccine protected
S,62,2,1,2023,5253,4740,5769,Vaccine protected
S,63,2,1,2023,4248,3758,4776,Vaccine protected
S,64,2,1,2023,3390.5,2938,3846,Vaccine protected
S,65,2,1,2023,2753.5,2324,3175,Vaccine protected
S,66,2,1,2023,2127,1823,2567,Vaccine protected
S,67,2,1,2023,1691,1419,1966,Vaccine protected
S,68,2,1,2023,1333,1100,1595,Vaccine protected
S,69,2,1,2023,1027,810,1238,Vaccine protected
S,70,2,1,2023,793.5,606,990,Vaccine protected
S,71,2,1,2023,602,451,781,Vaccine protected
S,72,2,1,2023,470.5,341,596,Vaccine protected
S,73,2,1,2023,365,273,448,Vaccine protected
S,74,2,1,2023,259,184,337,Vaccine protected
S,75,2,1,2023,177.5,110,235,Vaccine protected
S,76,2,1,2023,123,88,166,Vaccine protected
S,77,2,1,2023,88.5,70,112,Vaccine protected
S,78,2,1,2023,70,54,81,Vaccine protected
S,79,2,1,2023,51.5,43,87,Vaccine protected
S,80,2,1,2023,35,21,53,Vaccine protected
S,81,2,1,2023,24,15,38,Vaccine protected
S,82,2,1,2023,15,9,25,Vaccine protected
S,83,2,1,2023,6,1,15,Vaccine protected
S,84,2,1,2023,5,2,8,Vaccine protected
S,85,2,1,2023,8,2,12,Vaccine protected
S,86,2,1,2023,4.5,1,9,Vaccine protected
S,87,2,1,2023,2,1,6,Vaccine protected
S,88,2,1,2023,1,0,3,Vaccine protected
