state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,1593996,1592864,1595535
new_case,All,All,All,1951,52600,52373,52637
new_case,All,All,All,1952,64866,64525,65199
new_case,All,All,All,1953,83949,83566,84292
new_case,All,All,All,1954,103169,101658,104015
new_case,All,All,All,1955,110780,110280,112018
new_case,All,All,All,1956,113172,112819,114265
new_case,All,All,All,1957,116990,116182,118700
new_case,All,All,All,1958,119648,117754,121574
new_case,All,All,All,1959,120707,119485,121735
new_case,All,All,All,1960,123670,121031,126531
new_case,All,All,All,1961,125809,122257,126231
new_case,All,All,All,1962,123930,123720,125425
new_case,All,All,All,1963,127428,126077,127736
new_case,All,All,All,1964,129790,127221,132031
new_case,All,All,All,1965,127952,126253,129877
new_case,All,All,All,1966,130625,129135,132450
new_case,All,All,All,1967,135516,134481,137189
new_case,All,All,All,1968,137261,134746,138749
new_case,All,All,All,1969,141689,138100,142856
new_case,All,All,All,1970,143688,142002,146318
new_case,All,All,All,1971,153233,151202,155879
new_case,All,All,All,1972,151391,149241,153517
new_case,All,All,All,1973,156492,154920,159628
new_case,All,All,All,1974,157641,153508,160137
new_case,All,All,All,1975,161735,160098,162448
new_case,All,All,All,1976,164519,162153,165139
new_case,All,All,All,1977,165779,163159,167557
new_case,All,All,All,1978,171008,167623,171949
new_case,All,All,All,1979,171674,168377,172775
new_case,All,All,All,1980,22275,22069,22402
new_case,All,All,All,1981,16519,16519,16519
new_case,All,All,All,1982,12771,12771,12771
new_case,All,All,All,1983,10023,10023,10023
new_case,All,All,All,1984,9874,9874,9874
new_case,All,All,All,1985,5680,5680,5680
new_case,All,All,All,1986,19024,19024,19024
new_case,All,All,All,1987,10206,10206,10206
new_case,All,All,All,1988,6543,6543,6543
new_case,All,All,All,1989,9799,9799,9799
new_case,All,All,All,1990,4575,4575,4575
new_case,All,All,All,1991,2740,2740,2740
new_case,All,All,All,1992,6634,6634,6634
new_case,All,All,All,1993,8212,8212,8212
new_case,All,All,All,1994,6821,6821,6821
new_case,All,All,All,1995,3730,3730,3730
new_case,All,All,All,1996,2313,2313,2313
new_case,All,All,All,1997,678,678,678
new_case,All,All,All,1998,1148,1148,1148
new_case,All,All,All,1999,6304,6304,6304
new_case,All,All,All,2000,7135,7135,7135
new_case,All,All,All,2001,4023,4023,4023
new_case,All,All,All,2002,17620,17620,17620
new_case,All,All,All,2003,3863,3863,3863
new_case,All,All,All,2004,1385,1385,1385
new_case,All,All,All,2005,1222,1222,1222
new_case,All,All,All,2006,1,1,1
new_case,All,All,All,2007,0,0,0
new_case,All,All,All,2008,0,0,0
new_case,All,All,All,2009,0,0,0
new_case,All,All,All,2010,0,0,0
new_case,All,All,All,2011,0,0,0
new_case,All,All,All,2012,0,0,0
new_case,All,All,All,2013,12,12,12
new_case,All,All,All,2014,2299,2299,2299
new_case,All,All,All,2015,38,38,38
new_case,All,All,All,2016,0,0,0
new_case,All,All,All,2017,7,7,7
new_case,All,All,All,2018,19,19,19
new_case,All,All,All,2019,1,1,1
new_case,All,All,All,2020,4,4,4
new_case,All,All,All,2021,0,0,0
new_case,All,All,All,2022,2,2,2
new_case,All,All,All,2023,12,12,12
S,1,1,1,2023,132101,81265,211911
S,2,1,1,2023,188033.5,155778,202755
S,3,1,1,2023,183956.5,178116,188452
S,4,1,1,2023,166418.5,155200,174638
S,5,1,1,2023,145633,135420,155964
S,6,1,1,2023,128286,119743,137298
S,7,1,1,2023,114971,108927,122251
S,8,1,1,2023,107302,103686,112038
S,9,1,1,2023,105311.5,103792,107932
S,10,1,1,2023,106795,106193,108542
S,11,1,1,2023,110031,108485,112267
S,12,1,1,2023,112850,111034,114860
S,13,1,1,2023,114006.5,112326,115644
S,14,1,1,2023,113678,110850,115366
S,15,1,1,2023,112076,108445,114202
S,16,1,1,2023,109771,106641,112175
S,17,1,1,2023,107905.5,104502,110377
S,18,1,1,2023,106508,103379,108685
S,19,1,1,2023,105307.5,103594,107310
S,20,1,1,2023,105480,104198,107027
S,21,1,1,2023,106068,104752,107752
S,22,1,1,2023,106638.5,105751,109550
S,23,1,1,2023,108486.5,107386,110927
S,24,1,1,2023,109928.5,109267,113317
S,25,1,1,2023,111864.5,111312,114231
S,26,1,1,2023,113342.5,112868,115296
S,27,1,1,2023,114695,113969,116866
S,28,1,1,2023,115607.5,114985,116809
S,29,1,1,2023,117153,116223,118425
S,30,1,1,2023,117916.5,117081,119123
S,31,1,1,2023,118998,118583,120457
S,32,1,1,2023,119755.5,119054,121644
S,33,1,1,2023,121225,119510,122201
S,34,1,1,2023,122059.5,120034,123659
S,35,1,1,2023,122727.5,120694,123929
S,36,1,1,2023,122909,120866,124419
S,37,1,1,2023,122244,119834,124266
S,38,1,1,2023,120251.5,117712,122460
S,39,1,1,2023,117520.5,115564,120825
S,40,1,1,2023,114135,111231,117280
S,41,1,1,2023,109333,106002,112876
S,42,1,1,2023,103374.5,99501,107569
S,43,1,1,2023,96806.5,92462,101005
S,44,1,1,2023,89469,85197,93994
S,45,1,1,2023,81551,77094,86206
S,46,1,1,2023,73480,69110,77885
S,47,1,1,2023,65394,61117,69740
