state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,105488.5,64687,170261,Susceptible
S,2,1,1,2023,151273.5,124723,162648,Susceptible
S,3,1,1,2023,147705,143486,150636,Susceptible
S,4,1,1,2023,133768.5,124810,139948,Susceptible
S,5,1,1,2023,117184,108740,125457,Susceptible
S,6,1,1,2023,102933.5,95820,110477,Susceptible
S,7,1,1,2023,92746.5,86957,98600,Susceptible
S,8,1,1,2023,86588,82951,90673,Susceptible
S,9,1,1,2023,85062,83514,87371,Susceptible
S,10,1,1,2023,86887.5,85450,88001,Susceptible
S,11,1,1,2023,89325,87934,90515,Susceptible
S,12,1,1,2023,91414,90549,92318,Susceptible
S,13,1,1,2023,92213,91891,92497,Susceptible
S,14,1,1,2023,91834.5,90485,92682,Susceptible
S,15,1,1,2023,90378.5,88718,91829,Susceptible
S,16,1,1,2023,88660.5,86718,90356,Susceptible
S,17,1,1,2023,86906,84963,89043,Susceptible
S,18,1,1,2023,85472.5,83709,87081,Susceptible
S,19,1,1,2023,84771.5,83866,85883,Susceptible
S,20,1,1,2023,84516.5,83667,84983,Susceptible
S,21,1,1,2023,84664.5,84187,85141,Susceptible
S,22,1,1,2023,85168,84834,85452,Susceptible
S,23,1,1,2023,86154,85658,86613,Susceptible
S,24,1,1,2023,87160.5,86192,87774,Susceptible
S,25,1,1,2023,88085,86917,88582,Susceptible
S,26,1,1,2023,89078.5,87566,89994,Susceptible
S,27,1,1,2023,89925.5,87981,90711,Susceptible
S,28,1,1,2023,90324.5,88656,90968,Susceptible
S,29,1,1,2023,90457,89341,91079,Susceptible
S,30,1,1,2023,90610,89583,91976,Susceptible
S,31,1,1,2023,91424.5,90738,92661,Susceptible
S,32,1,1,2023,92617,92033,93225,Susceptible
S,33,1,1,2023,93832.5,92006,94606,Susceptible
S,34,1,1,2023,94995.5,93171,95883,Susceptible
S,35,1,1,2023,96729.5,94008,97669,Susceptible
S,36,1,1,2023,98552,94578,99684,Susceptible
S,37,1,1,2023,99310.5,96490,101088,Susceptible
S,38,1,1,2023,100526,97117,101098,Susceptible
S,39,1,1,2023,100467.5,96924,101645,Susceptible
S,40,1,1,2023,100020.5,97476,101300,Susceptible
S,41,1,1,2023,99184.5,96563,100458,Susceptible
