state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,1605511,1603911,1606453
new_case,All,All,All,1951,84647,83165,85462
new_case,All,All,All,1952,180725,178936,183158
new_case,All,All,All,1953,220576,219171,221496
new_case,All,All,All,1954,213241,210188,215868
new_case,All,All,All,1955,224077,221758,228379
new_case,All,All,All,1956,230368,227168,232990
new_case,All,All,All,1957,241559,235781,243692
new_case,All,All,All,1958,242387,239908,247379
new_case,All,All,All,1959,248874,247097,252165
new_case,All,All,All,1960,254101,253134,255960
new_case,All,All,All,1961,256832,255428,263604
new_case,All,All,All,1962,262083,256295,262522
new_case,All,All,All,1963,266323,263431,267078
new_case,All,All,All,1964,272933,270520,277420
new_case,All,All,All,1965,274649,273810,275598
new_case,All,All,All,1966,283630,279949,284490
new_case,All,All,All,1967,287591,283355,289300
new_case,All,All,All,1968,290263,289101,293379
new_case,All,All,All,1969,294356,292506,297711
new_case,All,All,All,1970,297838,294937,300494
new_case,All,All,All,1971,305626,304374,311219
new_case,All,All,All,1972,302778,298079,303572
new_case,All,All,All,1973,304910,300507,306595
new_case,All,All,All,1974,311285,306654,314715
new_case,All,All,All,1975,314292,311751,320135
new_case,All,All,All,1976,323192,319179,325512
new_case,All,All,All,1977,328498,323979,330518
new_case,All,All,All,1978,337769,337324,349692
new_case,All,All,All,1979,340127,338678,346413
new_case,All,All,All,1980,21771,21462,21814
new_case,All,All,All,1981,2884,2884,2884
new_case,All,All,All,1982,1422,1422,1422
new_case,All,All,All,1983,2656,2656,2656
new_case,All,All,All,1984,1337,1337,1337
new_case,All,All,All,1985,1757,1757,1757
new_case,All,All,All,1986,2487,2487,2487
new_case,All,All,All,1987,1560,1560,1560
new_case,All,All,All,1988,2452,2452,2452
new_case,All,All,All,1989,2380,2380,2380
new_case,All,All,All,1990,2084,2084,2084
new_case,All,All,All,1991,775,775,775
new_case,All,All,All,1992,2042,2042,2042
new_case,All,All,All,1993,2369,2369,2369
new_case,All,All,All,1994,2031,2031,2031
new_case,All,All,All,1995,2814,2814,2814
new_case,All,All,All,1996,1274,1274,1274
new_case,All,All,All,1997,2871,2871,2871
new_case,All,All,All,1998,550,550,550
new_case,All,All,All,1999,4773,4773,4773
new_case,All,All,All,2000,2280,2280,2280
new_case,All,All,All,2001,2099,2099,2099
new_case,All,All,All,2002,5002,5002,5002
new_case,All,All,All,2003,2123,2123,2123
new_case,All,All,All,2004,2050,2050,2050
new_case,All,All,All,2005,2692,2692,2692
new_case,All,All,All,2006,3051,3051,3051
new_case,All,All,All,2007,0,0,0
new_case,All,All,All,2008,0,0,0
new_case,All,All,All,2009,2932,2932,2932
new_case,All,All,All,2010,4949,4949,4949
new_case,All,All,All,2011,4625,4625,4625
new_case,All,All,All,2012,6472,6472,6472
new_case,All,All,All,2013,3188,3188,3188
new_case,All,All,All,2014,0,0,0
new_case,All,All,All,2015,0,0,0
new_case,All,All,All,2016,0,0,0
new_case,All,All,All,2017,0,0,0
new_case,All,All,All,2018,0,0,0
new_case,All,All,All,2019,462,462,462
new_case,All,All,All,2020,51,51,51
new_case,All,All,All,2021,10,10,10
new_case,All,All,All,2022,8,8,8
new_case,All,All,All,2023,1840,1840,1840
S,1,1,1,2023,75552.5,47043,119699
S,2,1,1,2023,113442.5,94158,123187
S,3,1,1,2023,121872.5,116860,123133
S,4,1,1,2023,122581.5,119165,124311
S,5,1,1,2023,120719.5,116150,124566
S,6,1,1,2023,118284.5,113510,123006
S,7,1,1,2023,117092.5,112342,122115
S,8,1,1,2023,117157,113296,121575
S,9,1,1,2023,119194.5,115828,122907
S,10,1,1,2023,122660,119464,126039
S,11,1,1,2023,127420,124556,129838
S,12,1,1,2023,132965,130202,135720
S,13,1,1,2023,138207.5,136076,141072
S,14,1,1,2023,143775.5,142429,146145
S,15,1,1,2023,149082,147518,151318
S,16,1,1,2023,153609,151959,155813
S,17,1,1,2023,157016.5,154378,158850
S,18,1,1,2023,159826.5,157696,161894
S,19,1,1,2023,161541,158874,164197
S,20,1,1,2023,162322.5,159985,165210
S,21,1,1,2023,163563,160705,165868
S,22,1,1,2023,164111,161727,165957
S,23,1,1,2023,164236.5,162312,166843
S,24,1,1,2023,164235.5,161789,166600
S,25,1,1,2023,163763,161187,166410
S,26,1,1,2023,163250,161020,166191
S,27,1,1,2023,162265,159821,164650
S,28,1,1,2023,161077.5,158474,163749
S,29,1,1,2023,159485,155936,162406
S,30,1,1,2023,157437,154542,160016
S,31,1,1,2023,155425.5,152932,157883
S,32,1,1,2023,153394,150835,155689
S,33,1,1,2023,150956,148430,153384
S,34,1,1,2023,148848,146412,151082
S,35,1,1,2023,146202,143653,148669
S,36,1,1,2023,143610,140249,147179
S,37,1,1,2023,140753,137039,143551
S,38,1,1,2023,137237,134285,141157
S,39,1,1,2023,133652,130156,137596
S,40,1,1,2023,129879,126199,133688
S,41,1,1,2023,126146,122829,129453
S,42,1,1,2023,122561.5,119281,125984
S,43,1,1,2023,118994.5,115557,121979
S,44,1,1,2023,115420,112578,118282
S,45,1,1,2023,111846,108629,114718
S,46,1,1,2023,107837,105268,111391
S,47,1,1,2023,104137.5,101643,107032
S,48,1,1,2023,100749.5,98480,103653
S,49,1,1,2023,97288.5,95150,100185
S,50,1,1,2023,93810,91476,97158
S,51,1,1,2023,90569.5,87763,93460
S,52,1,1,2023,87082.5,84919,89543
S,53,1,1,2023,83835,81261,86514
S,54,1,1,2023,80320,78095,83366
S,55,1,1,2023,77165.5,75150,80089
S,56,1,1,2023,74082,71990,77054
S,57,1,1,2023,70981,68631,73208
S,58,1,1,2023,68043,65357,70184
S,59,1,1,2023,65089.5,62755,67656
S,60,1,1,2023,62235,59738,64460
S,61,1,1,2023,59279.5,56992,61510
S,62,1,1,2023,56053.5,53863,58572
S,63,1,1,2023,53190,50239,55489
S,64,1,1,2023,49875,47788,52202
S,65,1,1,2023,46998.5,45371,49119
S,66,1,1,2023,44273,42679,46087
S,67,1,1,2023,41577,39954,43217
S,68,1,1,2023,38702.5,37044,40398
