state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,56725.5,31637,99647,Susceptible
S,2,1,1,2023,78228.5,58661,89227,Susceptible
S,3,1,1,2023,76087.5,68069,79100,Susceptible
S,4,1,1,2023,69367.5,66033,71799,Susceptible
S,5,1,1,2023,63028.5,59795,66029,Susceptible
S,6,1,1,2023,57685.5,55334,61612,Susceptible
S,7,1,1,2023,54534.5,52238,58087,Susceptible
S,8,1,1,2023,52881.5,50634,55955,Susceptible
S,9,1,1,2023,52243.5,50185,54992,Susceptible
S,10,1,1,2023,52540.5,50971,55035,Susceptible
S,11,1,1,2023,53256,51493,56132,Susceptible
S,12,1,1,2023,54458,52796,57056,Susceptible
S,13,1,1,2023,55391,53790,58565,Susceptible
S,14,1,1,2023,57343.5,55431,60159,Susceptible
S,15,1,1,2023,58602,56971,60988,Susceptible
S,16,1,1,2023,60057.5,58229,62586,Susceptible
S,17,1,1,2023,60767,58789,63483,Susceptible
S,18,1,1,2023,61331.5,59269,64292,Susceptible
S,19,1,1,2023,61696,59309,64589,Susceptible
S,20,1,1,2023,61997,59890,65096,Susceptible
S,21,1,1,2023,62295.5,59891,65092,Susceptible
S,22,1,1,2023,62151,59463,65195,Susceptible
S,23,1,1,2023,62088,59207,64615,Susceptible
S,24,1,1,2023,61033,58750,63756,Susceptible
S,25,1,1,2023,60541,57978,63395,Susceptible
S,26,1,1,2023,59686,57000,61994,Susceptible
S,27,1,1,2023,58901.5,56681,60993,Susceptible
S,28,1,1,2023,58204,55991,60504,Susceptible
S,29,1,1,2023,56858.5,54754,59373,Susceptible
S,30,1,1,2023,55685.5,54088,58101,Susceptible
S,31,1,1,2023,54514,52819,57176,Susceptible
S,32,1,1,2023,53342.5,51737,55724,Susceptible
S,33,1,1,2023,51762,50216,54253,Susceptible
S,34,1,1,2023,50747,49156,53107,Susceptible
S,35,1,1,2023,49447,47687,51842,Susceptible
S,36,1,1,2023,48159.5,46260,50397,Susceptible
S,37,1,1,2023,46526,45110,48829,Susceptible
S,38,1,1,2023,45197.5,43887,47424,Susceptible
S,39,1,1,2023,43830,42595,45948,Susceptible
S,40,1,1,2023,42366,41073,44530,Susceptible
S,41,1,1,2023,40984,39758,42936,Susceptible
S,42,1,1,2023,39340.5,38231,41524,Susceptible
S,43,1,1,2023,38212.5,37042,40385,Susceptible
S,44,1,1,2023,37245.5,36114,39462,Susceptible
S,45,1,1,2023,35784,34824,38151,Susceptible
S,46,1,1,2023,34543.5,33803,36369,Susceptible
S,47,1,1,2023,33470.5,32636,35487,Susceptible
S,48,1,1,2023,32295,31506,34124,Susceptible
S,49,1,1,2023,31520.5,30353,33065,Susceptible
S,50,1,1,2023,30233.5,29143,32111,Susceptible
S,51,1,1,2023,29185.5,28412,30973,Susceptible
S,52,1,1,2023,28115,27093,29731,Susceptible
S,53,1,1,2023,27019.5,26081,28540,Susceptible
S,54,1,1,2023,25968,25031,27186,Susceptible
S,55,1,1,2023,25041,24080,26442,Susceptible
S,56,1,1,2023,23890,23113,25117,Susceptible
S,57,1,1,2023,22927,22090,24189,Susceptible
S,58,1,1,2023,22076.5,20785,23233,Susceptible
S,59,1,1,2023,20915.5,19793,22139,Susceptible
S,60,1,1,2023,19916,19039,20785,Susceptible
S,61,1,1,2023,18859.5,18153,20176,Susceptible
S,62,1,1,2023,17939.5,17107,18879,Susceptible
S,63,1,1,2023,16895,16132,17932,Susceptible
S,64,1,1,2023,16023,15291,17094,Susceptible
S,65,1,1,2023,15286,14502,16020,Susceptible
S,66,1,1,2023,14144,13373,14909,Susceptible
S,67,1,1,2023,13172,12650,14090,Susceptible
S,68,1,1,2023,12188.5,11946,13422,Susceptible
S,69,1,1,2023,11436.5,10959,12483,Susceptible
S,70,1,1,2023,10550,10063,11769,Susceptible
S,71,1,1,2023,9770.5,9399,10938,Susceptible
S,72,1,1,2023,8786,8595,9831,Susceptible
S,73,1,1,2023,7873,7541,8949,Susceptible
S,74,1,1,2023,7201,7011,7982,Susceptible
S,75,1,1,2023,6633,6104,7206,Susceptible
S,76,1,1,2023,5886,5553,6524,Susceptible
S,77,1,1,2023,5232.5,4979,5915,Susceptible
S,78,1,1,2023,4553.5,4244,5061,Susceptible
S,79,1,1,2023,4002,3717,4339,Susceptible
S,80,1,1,2023,3470.5,3194,3863,Susceptible
S,81,1,1,2023,3020.5,2856,3319,Susceptible
S,82,1,1,2023,2594,2389,2971,Susceptible
S,83,1,1,2023,2167,2012,2426,Susceptible
S,84,1,1,2023,1803,1687,2046,Susceptible
S,85,1,1,2023,1529.5,1323,1734,Susceptible
S,86,1,1,2023,1242.5,1079,1460,Susceptible
S,87,1,1,2023,995,841,1108,Susceptible
S,88,1,1,2023,774,653,889,Susceptible
S,89,1,1,2023,592.5,523,703,Susceptible
S,90,1,1,2023,449,358,556,Susceptible
S,91,1,1,2023,378,305,451,Susceptible
S,92,1,1,2023,270,228,335,Susceptible
S,93,1,1,2023,204.5,171,290,Susceptible
S,94,1,1,2023,165,131,227,Susceptible
S,95,1,1,2023,118.5,87,178,Susceptible
S,96,1,1,2023,75.5,61,124,Susceptible
S,97,1,1,2023,58.5,24,73,Susceptible
S,98,1,1,2023,28,21,50,Susceptible
S,99,1,1,2023,27,15,47,Susceptible
S,100,1,1,2023,15,6,26,Susceptible
S,101,1,1,2023,21.5,13,36,Susceptible
S,1,2,1,2023,18590,14169,20942,Vaccine protected
S,2,2,1,2023,34589,31311,36007,Vaccine protected
S,3,2,1,2023,45326.5,43580,47024,Vaccine protected
S,4,2,1,2023,53407.5,51977,55142,Vaccine protected
S,5,2,1,2023,59778.5,58325,61843,Vaccine protected
S,6,2,1,2023,64953,63009,67289,Vaccine protected
S,7,2,1,2023,68527.5,66919,71107,Vaccine protected
S,8,2,1,2023,70583.5,69239,72869,Vaccine protected
S,9,2,1,2023,71187.5,70196,73222,Vaccine protected
S,10,2,1,2023,70727,70071,71771,Vaccine protected
S,11,2,1,2023,68962.5,68370,69670,Vaccine protected
S,12,2,1,2023,66383.5,65338,67063,Vaccine protected
S,13,2,1,2023,63085,62286,63877,Vaccine protected
S,14,2,1,2023,59758,58438,60341,Vaccine protected
S,15,2,1,2023,55950.5,54971,56663,Vaccine protected
S,16,2,1,2023,52729,51750,53306,Vaccine protected
S,17,2,1,2023,49297.5,48536,49683,Vaccine protected
S,18,2,1,2023,46440.5,45841,46788,Vaccine protected
S,19,2,1,2023,43164.5,43023,43437,Vaccine protected
S,20,2,1,2023,40421,39883,40738,Vaccine protected
S,21,2,1,2023,37737,37531,37966,Vaccine protected
S,22,2,1,2023,35321.5,35120,35599,Vaccine protected
S,23,2,1,2023,32882,32465,33139,Vaccine protected
S,24,2,1,2023,30364,30096,30712,Vaccine protected
S,25,2,1,2023,28109,27446,28423,Vaccine protected
S,26,2,1,2023,25983.5,25679,26329,Vaccine protected
S,27,2,1,2023,24110,23576,24469,Vaccine protected
S,28,2,1,2023,22433,21711,22673,Vaccine protected
S,29,2,1,2023,20382.5,19835,20800,Vaccine protected
S,30,2,1,2023,18385,17959,18783,Vaccine protected
S,31,2,1,2023,16670,16417,17334,Vaccine protected
S,32,2,1,2023,15113.5,14500,15441,Vaccine protected
S,33,2,1,2023,13623.5,13419,13823,Vaccine protected
S,34,2,1,2023,12415,12161,12781,Vaccine protected
S,35,2,1,2023,11200,10822,11466,Vaccine protected
S,36,2,1,2023,9878,9573,10166,Vaccine protected
S,37,2,1,2023,8682.5,8398,9077,Vaccine protected
S,38,2,1,2023,7693,7448,7960,Vaccine protected
S,39,2,1,2023,6706.5,6515,7104,Vaccine protected
S,40,2,1,2023,5941,5713,6244,Vaccine protected
S,41,2,1,2023,5190.5,4885,5586,Vaccine protected
S,42,2,1,2023,4500.5,4220,4902,Vaccine protected
S,43,2,1,2023,3926.5,3721,4127,Vaccine protected
S,44,2,1,2023,3418,3195,3742,Vaccine protected
S,45,2,1,2023,2999,2877,3261,Vaccine protected
S,46,2,1,2023,2576.5,2410,2776,Vaccine protected
