state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,994.5,676,1472,Susceptible
S,2,1,1,2023,1395.5,1284,1529,Susceptible
S,3,1,1,2023,1886.5,1715,1984,Susceptible
S,4,1,1,2023,2550,2388,2706,Susceptible
S,5,1,1,2023,3527,3413,3718,Susceptible
S,6,1,1,2023,4680.5,4524,4907,Susceptible
S,7,1,1,2023,5944,5717,6268,Susceptible
S,8,1,1,2023,7247.5,6878,7529,Susceptible
S,9,1,1,2023,8573,8027,8809,Susceptible
S,10,1,1,2023,9639.5,9407,9917,Susceptible
S,11,1,1,2023,10802,10518,11038,Susceptible
S,12,1,1,2023,11937.5,11458,12245,Susceptible
S,13,1,1,2023,12998,12498,13248,Susceptible
S,14,1,1,2023,14128,13624,14365,Susceptible
S,15,1,1,2023,15208,14903,15377,Susceptible
S,16,1,1,2023,16261,15835,16559,Susceptible
S,17,1,1,2023,17486,17107,17674,Susceptible
S,18,1,1,2023,18412.5,18154,18698,Susceptible
S,19,1,1,2023,19617,19225,19926,Susceptible
S,20,1,1,2023,20809.5,20283,21340,Susceptible
S,21,1,1,2023,21959,21232,22199,Susceptible
S,22,1,1,2023,22966,22179,23281,Susceptible
S,23,1,1,2023,23663.5,23176,24076,Susceptible
S,24,1,1,2023,24502.5,24182,25201,Susceptible
S,25,1,1,2023,25347,24781,25986,Susceptible
S,26,1,1,2023,25937,25489,26722,Susceptible
S,27,1,1,2023,26400,25690,27133,Susceptible
S,28,1,1,2023,26793.5,26124,27388,Susceptible
S,29,1,1,2023,27011.5,26304,27761,Susceptible
S,30,1,1,2023,27334,26770,27871,Susceptible
S,31,1,1,2023,27544,26515,28082,Susceptible
S,32,1,1,2023,27645.5,26837,28639,Susceptible
S,33,1,1,2023,27665.5,26735,28550,Susceptible
S,34,1,1,2023,27559.5,26382,28289,Susceptible
S,35,1,1,2023,27277,26377,28094,Susceptible
S,36,1,1,2023,27069.5,26142,27889,Susceptible
S,37,1,1,2023,26729.5,25869,27602,Susceptible
S,38,1,1,2023,26362,25413,27111,Susceptible
S,39,1,1,2023,26027.5,24979,26997,Susceptible
S,40,1,1,2023,25736,24451,26868,Susceptible
S,41,1,1,2023,25544.5,24211,26639,Susceptible
S,42,1,1,2023,25200.5,24010,26351,Susceptible
S,43,1,1,2023,24795.5,23542,25906,Susceptible
S,44,1,1,2023,24559,23272,25417,Susceptible
S,45,1,1,2023,24196.5,22992,24808,Susceptible
S,46,1,1,2023,23906,22801,24537,Susceptible
S,47,1,1,2023,23757,22790,24196,Susceptible
S,48,1,1,2023,23540.5,22709,24214,Susceptible
S,49,1,1,2023,23340,22790,23828,Susceptible
S,50,1,1,2023,23150.5,22533,23724,Susceptible
S,51,1,1,2023,22980,22627,23545,Susceptible
S,52,1,1,2023,23171.5,22767,23703,Susceptible
S,53,1,1,2023,22983.5,22735,23716,Susceptible
S,54,1,1,2023,23021,22625,23780,Susceptible
S,55,1,1,2023,22991,22775,23449,Susceptible
S,56,1,1,2023,22996,22490,23284,Susceptible
S,57,1,1,2023,22967,22161,23345,Susceptible
S,58,1,1,2023,22509,21828,23203,Susceptible
S,59,1,1,2023,22150,21517,22948,Susceptible
S,60,1,1,2023,21773.5,21350,22583,Susceptible
S,61,1,1,2023,21430,20969,22158,Susceptible
S,62,1,1,2023,20858.5,20391,21774,Susceptible
S,63,1,1,2023,20131.5,19661,20884,Susceptible
S,64,1,1,2023,19637,18883,20241,Susceptible
S,65,1,1,2023,19110.5,18067,19802,Susceptible
S,66,1,1,2023,18381,17286,19086,Susceptible
S,67,1,1,2023,17339,16390,18252,Susceptible
S,68,1,1,2023,16717.5,15635,17368,Susceptible
S,69,1,1,2023,15756.5,14784,16564,Susceptible
S,70,1,1,2023,14710,13913,15673,Susceptible
S,71,1,1,2023,13852,13259,14595,Susceptible
S,72,1,1,2023,13034,12424,13650,Susceptible
S,73,1,1,2023,12043.5,11392,12780,Susceptible
S,74,1,1,2023,11073.5,10305,11733,Susceptible
S,75,1,1,2023,10124,9500,10940,Susceptible
S,76,1,1,2023,9221.5,8625,9920,Susceptible
S,77,1,1,2023,8367.5,7704,8972,Susceptible
S,78,1,1,2023,7586,7005,8252,Susceptible
S,79,1,1,2023,6771.5,6293,7398,Susceptible
S,80,1,1,2023,6143.5,5708,6607,Susceptible
S,81,1,1,2023,5392.5,4916,5865,Susceptible
S,82,1,1,2023,4821,4212,5172,Susceptible
S,83,1,1,2023,4146,3763,4540,Susceptible
S,84,1,1,2023,3547,3198,3952,Susceptible
S,85,1,1,2023,2976.5,2678,3418,Susceptible
S,86,1,1,2023,2515.5,2171,2870,Susceptible
S,87,1,1,2023,2077,1855,2374,Susceptible
S,88,1,1,2023,1714,1430,1902,Susceptible
S,89,1,1,2023,1379,1171,1586,Susceptible
S,90,1,1,2023,1071,916,1283,Susceptible
S,91,1,1,2023,850,736,1011,Susceptible
S,92,1,1,2023,650,549,774,Susceptible
S,93,1,1,2023,482.5,370,585,Susceptible
S,94,1,1,2023,342.5,269,447,Susceptible
S,95,1,1,2023,250.5,185,324,Susceptible
S,96,1,1,2023,181.5,135,237,Susceptible
S,97,1,1,2023,123,98,163,Susceptible
S,98,1,1,2023,87,58,124,Susceptible
S,99,1,1,2023,58,37,86,Susceptible
S,100,1,1,2023,37,18,55,Susceptible
S,101,1,1,2023,56.5,25,82,Susceptible
S,1,2,1,2023,13962,11211,15415,Vaccine protected
S,2,2,1,2023,28406,26598,29210,Vaccine protected
