state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,0,0,0
new_case,All,All,All,1951,0,0,0
new_case,All,All,All,1952,0,0,0
new_case,All,All,All,1953,0,0,0
new_case,All,All,All,1954,0,0,0
new_case,All,All,All,1955,0,0,0
new_case,All,All,All,1956,0,0,0
new_case,All,All,All,1957,0,0,0
new_case,All,All,All,1958,0,0,0
new_case,All,All,All,1959,0,0,0
new_case,All,All,All,1960,0,0,0
new_case,All,All,All,1961,0,0,0
new_case,All,All,All,1962,0,0,0
new_case,All,All,All,1963,0,0,0
new_case,All,All,All,1964,0,0,0
new_case,All,All,All,1965,0,0,0
new_case,All,All,All,1966,0,0,0
new_case,All,All,All,1967,0,0,0
new_case,All,All,All,1968,0,0,0
new_case,All,All,All,1969,0,0,0
new_case,All,All,All,1970,0,0,0
new_case,All,All,All,1971,0,0,0
new_case,All,All,All,1972,0,0,0
new_case,All,All,All,1973,0,0,0
new_case,All,All,All,1974,0,0,0
new_case,All,All,All,1975,0,0,0
new_case,All,All,All,1976,0,0,0
new_case,All,All,All,1977,0,0,0
new_case,All,All,All,1978,0,0,0
new_case,All,All,All,1979,0,0,0
new_case,All,All,All,1980,0,0,0
new_case,All,All,All,1981,0,0,0
new_case,All,All,All,1982,0,0,0
new_case,All,All,All,1983,0,0,0
new_case,All,All,All,1984,0,0,0
new_case,All,All,All,1985,0,0,0
new_case,All,All,All,1986,0,0,0
new_case,All,All,All,1987,0,0,0
new_case,All,All,All,1988,0,0,0
new_case,All,All,All,1989,0,0,0
new_case,All,All,All,1990,0,0,0
new_case,All,All,All,1991,0,0,0
new_case,All,All,All,1992,0,0,0
new_case,All,All,All,1993,0,0,0
new_case,All,All,All,1994,0,0,0
new_case,All,All,All,1995,0,0,0
new_case,All,All,All,1996,0,0,0
new_case,All,All,All,1997,0,0,0
new_case,All,All,All,1998,0,0,0
new_case,All,All,All,1999,0,0,0
new_case,All,All,All,2000,0,0,0
new_case,All,All,All,2001,0,0,0
new_case,All,All,All,2002,0,0,0
new_case,All,All,All,2003,0,0,0
new_case,All,All,All,2004,0,0,0
new_case,All,All,All,2005,0,0,0
new_case,All,All,All,2006,0,0,0
new_case,All,All,All,2007,0,0,0
new_case,All,All,All,2008,0,0,0
new_case,All,All,All,2009,0,0,0
new_case,All,All,All,2010,0,0,0
new_case,All,All,All,2011,0,0,0
new_case,All,All,All,2012,0,0,0
new_case,All,All,All,2013,0,0,0
new_case,All,All,All,2014,0,0,0
new_case,All,All,All,2015,0,0,0
new_case,All,All,All,2016,0,0,0
new_case,All,All,All,2017,0,0,0
new_case,All,All,All,2018,0,0,0
new_case,All,All,All,2019,0,0,0
new_case,All,All,All,2020,0,0,0
new_case,All,All,All,2021,0,0,0
new_case,All,All,All,2022,0,0,0
new_case,All,All,All,2023,0,0,0
S,1,1,1,2023,1027.5,687,1501
S,2,1,1,2023,1442.5,1294,1573
S,3,1,1,2023,1875,1750,2072
S,4,1,1,2023,2615.5,2366,2793
S,5,1,1,2023,3627.5,3327,3728
S,6,1,1,2023,4853,4401,4986
S,7,1,1,2023,6045.5,5551,6255
S,8,1,1,2023,7320,6897,7613
S,9,1,1,2023,8490,8136,8921
S,10,1,1,2023,9773,9292,10152
S,11,1,1,2023,10962,10419,11344
S,12,1,1,2023,12074.5,11591,12389
S,13,1,1,2023,13071,12623,13571
S,14,1,1,2023,14362,13814,14669
S,15,1,1,2023,15382,14897,15822
S,16,1,1,2023,16502,16001,16923
S,17,1,1,2023,17855.5,17314,18093
S,18,1,1,2023,19047,18699,19428
S,19,1,1,2023,20305.5,19851,20668
S,20,1,1,2023,21479.5,21228,21899
S,21,1,1,2023,22556,22191,23070
S,22,1,1,2023,23763,23156,24197
S,23,1,1,2023,24749,23754,25057
S,24,1,1,2023,25426.5,24607,26254
S,25,1,1,2023,26106.5,25014,27076
S,26,1,1,2023,26665.5,25629,28164
S,27,1,1,2023,27205.5,26083,28571
S,28,1,1,2023,27435.5,26351,29154
S,29,1,1,2023,27839.5,26556,29066
S,30,1,1,2023,28191,26918,29520
S,31,1,1,2023,28271.5,26690,29782
S,32,1,1,2023,28367.5,26755,29362
S,33,1,1,2023,28290.5,26672,29208
S,34,1,1,2023,28164.5,26606,28855
S,35,1,1,2023,27777.5,26645,28690
S,36,1,1,2023,27580.5,26533,28434
S,37,1,1,2023,27390,26264,28285
S,38,1,1,2023,26974,25997,27988
S,39,1,1,2023,26617,25657,27676
S,40,1,1,2023,26301.5,25225,27237
S,41,1,1,2023,25875.5,24841,26833
S,42,1,1,2023,25437,24566,26565
S,43,1,1,2023,25294.5,23995,26464
S,44,1,1,2023,24871,23514,25917
S,45,1,1,2023,24518.5,23693,25467
S,46,1,1,2023,24313.5,23321,25228
S,47,1,1,2023,24145.5,23118,24681
S,48,1,1,2023,23954.5,22546,24584
S,49,1,1,2023,23984.5,22508,24505
S,50,1,1,2023,23822.5,22484,24678
S,51,1,1,2023,23883.5,22523,24704
S,52,1,1,2023,24001,22354,24835
S,53,1,1,2023,24020.5,22433,24869
S,54,1,1,2023,23788,22260,24712
S,55,1,1,2023,23845,22135,24633
S,56,1,1,2023,23796.5,22292,24725
S,57,1,1,2023,23460.5,22187,24520
S,58,1,1,2023,22984.5,22228,24375
S,59,1,1,2023,22686,21828,24135
S,60,1,1,2023,22111.5,21499,23510
