state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,161413.5,99419,257185,Susceptible
S,2,1,1,2023,12816.5,7193,13644,Susceptible
S,3,1,1,2023,6999.5,4426,9483,Susceptible
S,4,1,1,2023,4091,2909,5937,Susceptible
S,5,1,1,2023,3079,2474,4017,Susceptible
S,6,1,1,2023,3147.5,2918,3526,Susceptible
S,7,1,1,2023,3881,3557,4050,Susceptible
S,8,1,1,2023,4775,4440,4975,Susceptible
S,9,1,1,2023,5857.5,5480,5982,Susceptible
S,10,1,1,2023,6940,6595,7101,Susceptible
S,11,1,1,2023,8027,7797,8230,Susceptible
S,12,1,1,2023,9068,8904,9259,Susceptible
S,13,1,1,2023,10096,9856,10357,Susceptible
S,14,1,1,2023,11095,10849,11367,Susceptible
S,15,1,1,2023,12184.5,11844,12372,Susceptible
S,16,1,1,2023,13018.5,12535,13353,Susceptible
S,17,1,1,2023,13888,13543,14280,Susceptible
S,18,1,1,2023,14789,14392,15261,Susceptible
S,19,1,1,2023,15713.5,15524,16299,Susceptible
S,20,1,1,2023,17049.5,16410,17421,Susceptible
S,21,1,1,2023,18500.5,17639,18964,Susceptible
S,22,1,1,2023,19909,18931,20471,Susceptible
S,23,1,1,2023,21214,20028,22135,Susceptible
S,24,1,1,2023,22772.5,21331,23686,Susceptible
S,25,1,1,2023,23883,22752,25156,Susceptible
S,26,1,1,2023,25049,24282,26386,Susceptible
S,27,1,1,2023,25926.5,25180,27087,Susceptible
S,28,1,1,2023,26905.5,26082,28044,Susceptible
S,29,1,1,2023,27652.5,26510,28939,Susceptible
S,30,1,1,2023,28001,27109,29340,Susceptible
S,31,1,1,2023,27862,27283,29670,Susceptible
S,32,1,1,2023,27933,26699,29384,Susceptible
S,33,1,1,2023,27602,25897,29150,Susceptible
S,34,1,1,2023,27186,25248,28685,Susceptible
S,35,1,1,2023,26530,24858,27782,Susceptible
S,36,1,1,2023,25825.5,24040,26966,Susceptible
