state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,959725,959456,959980
new_case,All,All,All,1951,15332,15174,15451
new_case,All,All,All,1952,19287,19118,19439
new_case,All,All,All,1953,26402,25932,26822
new_case,All,All,All,1954,36146,35118,36947
new_case,All,All,All,1955,41136,39828,42109
new_case,All,All,All,1956,42399,40660,43152
new_case,All,All,All,1957,44883,44071,45911
new_case,All,All,All,1958,46172,44916,47042
new_case,All,All,All,1959,47946,47491,50530
new_case,All,All,All,1960,50805,50302,53347
new_case,All,All,All,1961,52834,52349,54330
new_case,All,All,All,1962,54516,52185,56070
new_case,All,All,All,1963,56992,55887,59764
new_case,All,All,All,1964,56956,55980,59320
new_case,All,All,All,1965,53352,50275,53974
new_case,All,All,All,1966,48594,48211,50349
new_case,All,All,All,1967,45436,44565,47710
new_case,All,All,All,1968,39855,39239,41704
new_case,All,All,All,1969,35183,33877,36020
new_case,All,All,All,1970,33037,32223,33247
new_case,All,All,All,1971,31515,30891,31583
new_case,All,All,All,1972,27296,27097,28087
new_case,All,All,All,1973,24721,24583,25017
new_case,All,All,All,1974,23461,22928,23653
new_case,All,All,All,1975,22724,22503,23004
new_case,All,All,All,1976,22229,21878,22425
new_case,All,All,All,1977,22057,21940,22442
new_case,All,All,All,1978,22364,22179,22627
new_case,All,All,All,1979,22135,21775,22309
new_case,All,All,All,1980,21943,21908,22144
new_case,All,All,All,1981,22158,21812,22496
new_case,All,All,All,1982,22305,22078,22570
new_case,All,All,All,1983,22631,22465,22856
new_case,All,All,All,1984,22958,22820,23253
new_case,All,All,All,1985,23808,23686,24030
new_case,All,All,All,1986,23611,23318,24051
new_case,All,All,All,1987,24162,23772,24363
new_case,All,All,All,1988,24616,24343,24998
new_case,All,All,All,1989,25102,24799,25502
new_case,All,All,All,1990,25573,25408,25942
new_case,All,All,All,1991,26375,26147,26498
new_case,All,All,All,1992,27157,26753,27650
new_case,All,All,All,1993,27369,27204,27657
new_case,All,All,All,1994,28003,27747,28069
