state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,976185,975956,977981
new_case,All,All,All,1951,50973,50644,51082
new_case,All,All,All,1952,92336,91819,92768
new_case,All,All,All,1953,112061,111203,112476
new_case,All,All,All,1954,111959,110840,112961
new_case,All,All,All,1955,114978,113575,115754
new_case,All,All,All,1956,116915,114546,117494
new_case,All,All,All,1957,122118,121455,124542
new_case,All,All,All,1958,122248,120018,122800
new_case,All,All,All,1959,125931,124738,127565
new_case,All,All,All,1960,128887,127674,130580
new_case,All,All,All,1961,131548,126632,132502
new_case,All,All,All,1962,134133,129266,134552
new_case,All,All,All,1963,137012,135550,137617
new_case,All,All,All,1964,136477,133927,138323
new_case,All,All,All,1965,130090,128674,133136
new_case,All,All,All,1966,127265,125134,127565
new_case,All,All,All,1967,121137,117941,121579
new_case,All,All,All,1968,115512,113625,117222
new_case,All,All,All,1969,115234,113101,117629
new_case,All,All,All,1970,120330,118724,122319
new_case,All,All,All,1971,132167,130457,132585
new_case,All,All,All,1972,136437,133050,139526
new_case,All,All,All,1973,138179,137427,141460
new_case,All,All,All,1974,141306,139117,144504
new_case,All,All,All,1975,143373,140250,143897
new_case,All,All,All,1976,145526,142675,146592
new_case,All,All,All,1977,147779,146732,149440
new_case,All,All,All,1978,154306,150015,158561
new_case,All,All,All,1979,155388,151478,156507
new_case,All,All,All,1980,160612,157635,162122
new_case,All,All,All,1981,164151,164007,166710
new_case,All,All,All,1982,169869,166140,172735
new_case,All,All,All,1983,179379,176384,180654
new_case,All,All,All,1984,186731,186061,189789
new_case,All,All,All,1985,190732,188855,194994
new_case,All,All,All,1986,187794,185125,190748
new_case,All,All,All,1987,210521,207054,214210
new_case,All,All,All,1988,221413,216846,226219
new_case,All,All,All,1989,217215,216780,219054
new_case,All,All,All,1990,231622,227333,236369
new_case,All,All,All,1991,238867,237311,241063
new_case,All,All,All,1992,253394,250828,258069
new_case,All,All,All,1993,260896,253631,263130
new_case,All,All,All,1994,271673,269792,278304
new_case,All,All,All,1995,280044,279292,282707
new_case,All,All,All,1996,16471,15972,17077
new_case,All,All,All,1997,35,35,35
new_case,All,All,All,1998,3,3,3
new_case,All,All,All,1999,2,2,2
new_case,All,All,All,2000,26,26,26
new_case,All,All,All,2001,0,0,0
new_case,All,All,All,2002,0,0,0
new_case,All,All,All,2003,0,0,0
new_case,All,All,All,2004,0,0,0
new_case,All,All,All,2005,0,0,0
new_case,All,All,All,2006,0,0,0
new_case,All,All,All,2007,0,0,0
new_case,All,All,All,2008,0,0,0
new_case,All,All,All,2009,0,0,0
new_case,All,All,All,2010,45,45,45
