state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,3005.5,2490,3560,Susceptible
S,2,1,1,2023,6934.5,6612,7098,Susceptible
S,3,1,1,2023,11963.5,11504,12327,Susceptible
S,4,1,1,2023,17905,17381,18268,Susceptible
S,5,1,1,2023,24483,23552,24850,Susceptible
S,6,1,1,2023,31453.5,30202,31845,Susceptible
S,7,1,1,2023,38118,37031,38726,Susceptible
S,8,1,1,2023,44521.5,43607,45217,Susceptible
S,9,1,1,2023,50444.5,49202,51375,Susceptible
S,10,1,1,2023,56073,54386,57231,Susceptible
S,11,1,1,2023,60874.5,59273,61740,Susceptible
S,12,1,1,2023,65267.5,63774,66411,Susceptible
S,13,1,1,2023,69148,67050,70424,Susceptible
S,14,1,1,2023,72879,70541,74652,Susceptible
S,15,1,1,2023,76547.5,73876,78725,Susceptible
S,16,1,1,2023,79576,76921,81039,Susceptible
S,17,1,1,2023,81783,79493,84224,Susceptible
S,18,1,1,2023,84936.5,81902,86279,Susceptible
S,19,1,1,2023,86687,83851,88372,Susceptible
S,20,1,1,2023,88002.5,85534,89581,Susceptible
S,21,1,1,2023,89158,86754,90795,Susceptible
S,22,1,1,2023,90224.5,87649,92111,Susceptible
S,23,1,1,2023,90817.5,88243,92678,Susceptible
S,24,1,1,2023,91041.5,88129,92987,Susceptible
S,25,1,1,2023,90940.5,88528,93161,Susceptible
S,26,1,1,2023,90703.5,87752,93255,Susceptible
S,27,1,1,2023,90176.5,87742,92711,Susceptible
S,28,1,1,2023,89544.5,86179,91604,Susceptible
S,29,1,1,2023,88533.5,85631,91114,Susceptible
S,30,1,1,2023,87411,84770,89787,Susceptible
S,31,1,1,2023,86034,83491,88688,Susceptible
S,32,1,1,2023,84595.5,81643,87299,Susceptible
S,33,1,1,2023,82648,79969,85257,Susceptible
S,34,1,1,2023,80624,77620,83296,Susceptible
S,35,1,1,2023,78778,75616,81037,Susceptible
S,36,1,1,2023,76473.5,73303,78611,Susceptible
S,37,1,1,2023,74384,71244,76830,Susceptible
S,38,1,1,2023,72153.5,68568,74585,Susceptible
S,39,1,1,2023,69740.5,66063,72127,Susceptible
S,40,1,1,2023,67341,63276,69560,Susceptible
S,41,1,1,2023,64949.5,60577,67041,Susceptible
S,42,1,1,2023,62419.5,58006,64716,Susceptible
S,43,1,1,2023,60100,56196,62308,Susceptible
S,44,1,1,2023,57554,54649,59939,Susceptible
S,45,1,1,2023,54964,52696,57439,Susceptible
S,46,1,1,2023,52832.5,50668,55351,Susceptible
S,47,1,1,2023,50619.5,48676,52647,Susceptible
S,48,1,1,2023,48570,46432,50278,Susceptible
S,49,1,1,2023,46262,43984,48180,Susceptible
S,50,1,1,2023,44123.5,42296,45855,Susceptible
S,51,1,1,2023,41962.5,39748,43928,Susceptible
S,52,1,1,2023,40038,37865,41805,Susceptible
S,53,1,1,2023,37882.5,35919,39979,Susceptible
S,54,1,1,2023,35964,34349,37981,Susceptible
S,55,1,1,2023,34286,32818,35990,Susceptible
S,56,1,1,2023,32705.5,31346,34056,Susceptible
S,57,1,1,2023,31141,29603,32339,Susceptible
S,58,1,1,2023,29809,27766,30998,Susceptible
S,59,1,1,2023,28239,26100,29505,Susceptible
S,60,1,1,2023,26841,24996,28006,Susceptible
S,61,1,1,2023,25513.5,23811,26703,Susceptible
S,62,1,1,2023,24401,22824,25481,Susceptible
S,63,1,1,2023,23184.5,21742,24318,Susceptible
S,64,1,1,2023,21998,20588,23316,Susceptible
S,65,1,1,2023,20888.5,19704,21946,Susceptible
S,66,1,1,2023,19694.5,18559,20813,Susceptible
S,67,1,1,2023,18685,17564,19840,Susceptible
S,68,1,1,2023,17638.5,16752,18594,Susceptible
S,69,1,1,2023,16584,15641,17709,Susceptible
S,70,1,1,2023,15752,14476,16625,Susceptible
S,71,1,1,2023,14715,13539,15697,Susceptible
S,72,1,1,2023,13674.5,12847,14712,Susceptible
S,73,1,1,2023,12723,11991,13593,Susceptible
S,74,1,1,2023,11857,11186,12647,Susceptible
S,75,1,1,2023,11050,10474,11642,Susceptible
S,76,1,1,2023,10280.5,9516,10813,Susceptible
S,77,1,1,2023,9454,8674,9992,Susceptible
S,78,1,1,2023,8628.5,8063,9138,Susceptible
S,79,1,1,2023,7878,7191,8322,Susceptible
S,80,1,1,2023,7023,6429,7522,Susceptible
S,81,1,1,2023,6334,5821,6805,Susceptible
S,82,1,1,2023,5597,5173,6133,Susceptible
S,83,1,1,2023,4879.5,4396,5365,Susceptible
S,84,1,1,2023,4157.5,3788,4612,Susceptible
S,85,1,1,2023,3635.5,3284,3921,Susceptible
S,86,1,1,2023,3068.5,2635,3347,Susceptible
S,87,1,1,2023,2543,2178,2816,Susceptible
S,88,1,1,2023,2013.5,1739,2343,Susceptible
S,89,1,1,2023,1653,1439,1900,Susceptible
S,90,1,1,2023,1301,1131,1486,Susceptible
S,91,1,1,2023,1035,846,1206,Susceptible
S,92,1,1,2023,826.5,667,979,Susceptible
S,93,1,1,2023,613.5,491,784,Susceptible
S,94,1,1,2023,455,361,558,Susceptible
S,95,1,1,2023,342,278,443,Susceptible
S,96,1,1,2023,238,192,303,Susceptible
S,97,1,1,2023,167,129,211,Susceptible
S,98,1,1,2023,113,84,164,Susceptible
S,99,1,1,2023,84,55,119,Susceptible
S,100,1,1,2023,54,30,77,Susceptible
S,101,1,1,2023,86,47,136,Susceptible
S,1,2,1,2023,24567.5,19336,27804,Vaccine protected
S,2,2,1,2023,46924.5,43119,49038,Vaccine protected
S,3,2,1,2023,63298,60848,64416,Vaccine protected
S,4,2,1,2023,74441,71852,74906,Vaccine protected
S,5,2,1,2023,81331.5,79497,82200,Vaccine protected
S,6,2,1,2023,85479,83028,86904,Vaccine protected
S,7,2,1,2023,86821,83609,88376,Vaccine protected
S,8,2,1,2023,85807.5,83662,87837,Vaccine protected
S,9,2,1,2023,83876.5,81372,85336,Vaccine protected
S,10,2,1,2023,80541.5,78232,82416,Vaccine protected
S,11,2,1,2023,76614,75028,78449,Vaccine protected
S,12,2,1,2023,72476.5,71165,74337,Vaccine protected
S,13,2,1,2023,68269.5,67056,69470,Vaccine protected
S,14,2,1,2023,63693.5,61742,65004,Vaccine protected
S,15,2,1,2023,59630.5,57657,61036,Vaccine protected
S,16,2,1,2023,55467.5,53305,56374,Vaccine protected
S,17,2,1,2023,51333,49492,52389,Vaccine protected
S,18,2,1,2023,47272,45647,48511,Vaccine protected
S,19,2,1,2023,43645.5,41969,44886,Vaccine protected
S,20,2,1,2023,39881,38625,41074,Vaccine protected
S,21,2,1,2023,36375.5,35034,37553,Vaccine protected
S,22,2,1,2023,33347.5,32293,34419,Vaccine protected
S,23,2,1,2023,30478,29311,31328,Vaccine protected
S,24,2,1,2023,27842.5,26496,28606,Vaccine protected
S,25,2,1,2023,25305.5,24121,26031,Vaccine protected
S,26,2,1,2023,23143.5,22374,24005,Vaccine protected
S,27,2,1,2023,21210,20184,21755,Vaccine protected
S,28,2,1,2023,19107.5,18177,19579,Vaccine protected
S,29,2,1,2023,17342.5,16690,17908,Vaccine protected
S,30,2,1,2023,15686,15162,16222,Vaccine protected
S,31,2,1,2023,14243.5,13954,14722,Vaccine protected
S,32,2,1,2023,12830,12438,13641,Vaccine protected
S,33,2,1,2023,11496.5,11186,12239,Vaccine protected
S,34,2,1,2023,10425.5,10158,10986,Vaccine protected
S,35,2,1,2023,9313,9112,9969,Vaccine protected
S,36,2,1,2023,8475.5,8119,8942,Vaccine protected
S,37,2,1,2023,7628.5,7379,7983,Vaccine protected
S,38,2,1,2023,6865.5,6637,7250,Vaccine protected
S,39,2,1,2023,6137,5900,6422,Vaccine protected
S,40,2,1,2023,5495.5,5215,5720,Vaccine protected
S,41,2,1,2023,4818,4532,5124,Vaccine protected
S,42,2,1,2023,4285,3897,4584,Vaccine protected
S,43,2,1,2023,3834,3406,4011,Vaccine protected
S,44,2,1,2023,3451,3025,3592,Vaccine protected
S,45,2,1,2023,3032,2695,3203,Vaccine protected
S,46,2,1,2023,2703,2336,2889,Vaccine protected
S,47,2,1,2023,2398,2154,2584,Vaccine protected
S,48,2,1,2023,2074,1893,2231,Vaccine protected
S,49,2,1,2023,1792,1648,1948,Vaccine protected
S,50,2,1,2023,1513.5,1393,1719,Vaccine protected
S,51,2,1,2023,1335.5,1162,1487,Vaccine protected
S,52,2,1,2023,1134,996,1257,Vaccine protected
