state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,3492021,3488956,3497468
new_case,All,All,All,1951,244019,239015,246193
new_case,All,All,All,1952,82292,81882,83988
new_case,All,All,All,1953,83788,83178,84113
new_case,All,All,All,1954,85704,85035,85915
new_case,All,All,All,1955,87418,87021,87845
new_case,All,All,All,1956,89881,88837,90371
new_case,All,All,All,1957,94311,93549,95232
new_case,All,All,All,1958,95876,94194,96248
new_case,All,All,All,1959,99264,97295,99948
new_case,All,All,All,1960,102612,101374,104145
new_case,All,All,All,1961,107744,105137,108517
new_case,All,All,All,1962,112961,111976,113999
new_case,All,All,All,1963,116155,115558,117991
new_case,All,All,All,1964,124283,122427,125707
new_case,All,All,All,1965,127208,126607,129940
new_case,All,All,All,1966,133339,131831,133509
new_case,All,All,All,1967,140224,135173,142271
new_case,All,All,All,1968,144879,144478,145222
new_case,All,All,All,1969,153159,147947,154495
new_case,All,All,All,1970,158933,153568,159778
new_case,All,All,All,1971,169795,166596,172862
new_case,All,All,All,1972,168033,166118,171309
new_case,All,All,All,1973,173834,173092,178027
new_case,All,All,All,1974,182258,176707,185091
new_case,All,All,All,1975,182449,179831,186526
new_case,All,All,All,1976,189150,184908,195266
new_case,All,All,All,1977,186656,184796,193049
new_case,All,All,All,1978,196747,195661,201414
new_case,All,All,All,1979,202455,200586,204932
new_case,All,All,All,1980,11097,10970,11243
new_case,All,All,All,1981,982,982,982
new_case,All,All,All,1982,1008,1008,1008
new_case,All,All,All,1983,156,156,156
new_case,All,All,All,1984,166,166,166
new_case,All,All,All,1985,342,342,342
new_case,All,All,All,1986,892,892,892
new_case,All,All,All,1987,310,310,310
new_case,All,All,All,1988,845,845,845
new_case,All,All,All,1989,382,382,382
new_case,All,All,All,1990,1342,1342,1342
new_case,All,All,All,1991,432,432,432
new_case,All,All,All,1992,121,121,121
new_case,All,All,All,1993,42,42,42
new_case,All,All,All,1994,79,79,79
new_case,All,All,All,1995,17,17,17
new_case,All,All,All,1996,17,17,17
new_case,All,All,All,1997,15,15,15
new_case,All,All,All,1998,67,67,67
new_case,All,All,All,1999,21,21,21
new_case,All,All,All,2000,26,26,26
new_case,All,All,All,2001,28,28,28
new_case,All,All,All,2002,26,26,26
new_case,All,All,All,2003,156,156,156
new_case,All,All,All,2004,70,70,70
new_case,All,All,All,2005,13,13,13
new_case,All,All,All,2006,15,15,15
