state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,77270,48252,120874,Susceptible
S,2,1,1,2023,90678,81762,93840,Susceptible
S,3,1,1,2023,76444.5,63608,83139,Susceptible
S,4,1,1,2023,59694.5,48583,70208,Susceptible
S,5,1,1,2023,51000,43903,59523,Susceptible
S,6,1,1,2023,50581.5,46704,55990,Susceptible
S,7,1,1,2023,55355.5,53266,58262,Susceptible
S,8,1,1,2023,62610.5,61038,64548,Susceptible
S,9,1,1,2023,71645,70053,72718,Susceptible
S,10,1,1,2023,81425.5,80383,82939,Susceptible
S,11,1,1,2023,92152,91363,92945,Susceptible
S,12,1,1,2023,104117,103486,105113,Susceptible
S,13,1,1,2023,117909.5,116885,120026,Susceptible
S,14,1,1,2023,134222,131375,137202,Susceptible
S,15,1,1,2023,152327,148656,156142,Susceptible
S,16,1,1,2023,171834,167418,176758,Susceptible
S,17,1,1,2023,193255,188388,198966,Susceptible
S,18,1,1,2023,215002,209749,221025,Susceptible
S,19,1,1,2023,237055,230811,243410,Susceptible
S,20,1,1,2023,258460,252380,264396,Susceptible
S,21,1,1,2023,278499,272597,284165,Susceptible
S,22,1,1,2023,296514.5,290967,301058,Susceptible
S,23,1,1,2023,312073,307508,315424,Susceptible
S,24,1,1,2023,324143,321374,327380,Susceptible
S,25,1,1,2023,334310.5,331630,336121,Susceptible
S,26,1,1,2023,342255.5,338971,343177,Susceptible
S,27,1,1,2023,347332,343363,349801,Susceptible
S,28,1,1,2023,350870,346206,354641,Susceptible
S,29,1,1,2023,353886.5,349029,357840,Susceptible
S,30,1,1,2023,355610.5,351844,359930,Susceptible
S,31,1,1,2023,357698,354303,362006,Susceptible
S,32,1,1,2023,359116,357042,362887,Susceptible
S,33,1,1,2023,361342.5,359924,364482,Susceptible
S,34,1,1,2023,364537,362929,367852,Susceptible
S,35,1,1,2023,367425,365569,371031,Susceptible
S,36,1,1,2023,370320.5,368479,372170,Susceptible
S,37,1,1,2023,372823.5,370943,375347,Susceptible
S,38,1,1,2023,373508.5,371227,377073,Susceptible
S,39,1,1,2023,374756,371203,378073,Susceptible
S,40,1,1,2023,373889,369544,377661,Susceptible
S,41,1,1,2023,371246.5,367572,374277,Susceptible
S,42,1,1,2023,367495.5,363146,370735,Susceptible
S,43,1,1,2023,362012,356459,366377,Susceptible
S,44,1,1,2023,355112,348590,360015,Susceptible
S,45,1,1,2023,346493.5,338588,352315,Susceptible
S,46,1,1,2023,335895.5,327823,342626,Susceptible
S,47,1,1,2023,323824.5,316590,330999,Susceptible
S,48,1,1,2023,311146,304303,318263,Susceptible
S,49,1,1,2023,297397.5,290564,304095,Susceptible
S,50,1,1,2023,283604.5,276057,290522,Susceptible
S,51,1,1,2023,268434.5,260909,276298,Susceptible
S,52,1,1,2023,253201,245444,260719,Susceptible
S,53,1,1,2023,238348,230184,245760,Susceptible
S,54,1,1,2023,223436,214945,231297,Susceptible
S,55,1,1,2023,208147.5,200286,216258,Susceptible
