state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,209463.5,129457,330666,Susceptible
S,2,1,1,2023,275603,233121,286987,Susceptible
S,3,1,1,2023,247898.5,225761,253820,Susceptible
S,4,1,1,2023,199374,173314,220017,Susceptible
S,5,1,1,2023,154065,131399,177008,Susceptible
S,6,1,1,2023,120105,103258,138896,Susceptible
S,7,1,1,2023,99467.5,88925,112798,Susceptible
S,8,1,1,2023,89856.5,84451,97901,Susceptible
S,9,1,1,2023,88855.5,86345,92807,Susceptible
S,10,1,1,2023,92598.5,91748,94105,Susceptible
S,11,1,1,2023,98591,97676,99593,Susceptible
S,12,1,1,2023,107039.5,105423,108767,Susceptible
S,13,1,1,2023,119269,116043,123258,Susceptible
S,14,1,1,2023,136805,131506,143569,Susceptible
S,15,1,1,2023,158610,151383,166761,Susceptible
S,16,1,1,2023,180216,172515,188002,Susceptible
S,17,1,1,2023,198560,192293,205171,Susceptible
S,18,1,1,2023,213148.5,207998,217850,Susceptible
S,19,1,1,2023,223967.5,219612,227762,Susceptible
S,20,1,1,2023,234473,231214,238138,Susceptible
S,21,1,1,2023,246109,242513,249926,Susceptible
S,22,1,1,2023,259530.5,255083,264719,Susceptible
S,23,1,1,2023,275351,269881,281088,Susceptible
S,24,1,1,2023,291542.5,284853,299026,Susceptible
S,25,1,1,2023,307619,301384,314185,Susceptible
S,26,1,1,2023,321613,315665,328476,Susceptible
S,27,1,1,2023,333704,328720,339764,Susceptible
S,28,1,1,2023,344701.5,338553,348985,Susceptible
S,29,1,1,2023,354309,350214,358666,Susceptible
S,30,1,1,2023,362773,357501,366867,Susceptible
S,31,1,1,2023,371344.5,366367,375806,Susceptible
S,32,1,1,2023,379188.5,374869,382928,Susceptible
S,33,1,1,2023,384583,380823,388901,Susceptible
S,34,1,1,2023,388458.5,385195,392265,Susceptible
S,35,1,1,2023,390094,387980,395119,Susceptible
S,36,1,1,2023,388342.5,385934,394558,Susceptible
S,37,1,1,2023,384823,379921,390521,Susceptible
S,38,1,1,2023,378187,372292,384000,Susceptible
S,39,1,1,2023,368021,360106,375183,Susceptible
S,40,1,1,2023,354969.5,345862,363015,Susceptible
S,41,1,1,2023,338486,328669,347821,Susceptible
S,42,1,1,2023,319236,308735,329938,Susceptible
S,43,1,1,2023,298742,287392,310364,Susceptible
S,44,1,1,2023,276617,264673,288300,Susceptible
S,45,1,1,2023,253139,241365,265273,Susceptible
S,46,1,1,2023,228541,216134,240503,Susceptible
S,47,1,1,2023,204394,192388,216338,Susceptible
S,48,1,1,2023,180693.5,168545,192154,Susceptible
S,49,1,1,2023,157661.5,146227,169296,Susceptible
S,50,1,1,2023,136477.5,125970,147134,Susceptible
S,51,1,1,2023,116234,106633,126387,Susceptible
S,52,1,1,2023,97487,88782,106759,Susceptible
S,53,1,1,2023,80689.5,72805,88720,Susceptible
S,54,1,1,2023,66182,59179,73202,Susceptible
S,55,1,1,2023,53550.5,47569,59748,Susceptible
S,56,1,1,2023,42621.5,37739,48005,Susceptible
S,57,1,1,2023,33746,29586,38348,Susceptible
S,58,1,1,2023,26261,22906,29957,Susceptible
S,59,1,1,2023,20150.5,17406,23125,Susceptible
S,60,1,1,2023,15314,13039,17779,Susceptible
S,61,1,1,2023,11446.5,9635,13408,Susceptible
S,62,1,1,2023,8302.5,6835,9884,Susceptible
S,63,1,1,2023,5943,4927,7166,Susceptible
S,64,1,1,2023,4230,3438,5134,Susceptible
S,65,1,1,2023,2949,2369,3662,Susceptible
S,66,1,1,2023,1985.5,1563,2533,Susceptible
S,67,1,1,2023,1283,978,1662,Susceptible
S,68,1,1,2023,804,610,1078,Susceptible
S,69,1,1,2023,514.5,377,693,Susceptible
S,70,1,1,2023,302.5,204,428,Susceptible
S,71,1,1,2023,179,110,255,Susceptible
S,72,1,1,2023,83,50,142,Susceptible
S,73,1,1,2023,51,21,72,Susceptible
S,74,1,1,2023,21.5,10,48,Susceptible
S,75,1,1,2023,8,2,20,Susceptible
S,76,1,1,2023,3,0,8,Susceptible
S,77,1,1,2023,0,0,2,Susceptible
S,78,1,1,2023,0,0,1,Susceptible
S,79,1,1,2023,0,0,0,Susceptible
S,80,1,1,2023,0,0,1,Susceptible
S,81,1,1,2023,0,0,1,Susceptible
S,82,1,1,2023,0,0,1,Susceptible
S,83,1,1,2023,0,0,4,Susceptible
S,84,1,1,2023,0,0,3,Susceptible
S,85,1,1,2023,0,0,1,Susceptible
S,86,1,1,2023,0,0,2,Susceptible
S,87,1,1,2023,0,0,1,Susceptible
S,88,1,1,2023,0,0,0,Susceptible
S,89,1,1,2023,0,0,0,Susceptible
S,90,1,1,2023,0,0,0,Susceptible
S,91,1,1,2023,0,0,0,Susceptible
S,92,1,1,2023,0,0,0,Susceptible
S,93,1,1,2023,0,0,0,Susceptible
S,94,1,1,2023,0,0,0,Susceptible
S,95,1,1,2023,0,0,0,Susceptible
S,96,1,1,2023,0,0,0,Susceptible
S,97,1,1,2023,0,0,0,Susceptible
S,98,1,1,2023,0,0,0,Susceptible
S,99,1,1,2023,0,0,0,Susceptible
S,100,1,1,2023,0,0,0,Susceptible
S,101,1,1,2023,0,0,0,Susceptible
S,1,2,1,2023,47298.5,38411,51882,Vaccine protected
S,2,2,1,2023,101629.5,94776,104225,Vaccine protected
S,3,2,1,2023,153384,149790,155211,Vaccine protected
S,4,2,1,2023,201290.5,199929,203385,Vaccine protected
S,5,2,1,2023,245397,244407,247927,Vaccine protected
S,6,2,1,2023,286246.5,282662,289201,Vaccine protected
S,7,2,1,2023,321280,315768,324580,Vaccine protected
S,8,2,1,2023,349649.5,344159,355139,Vaccine protected
S,9,2,1,2023,372993,365952,379212,Vaccine protected
S,10,2,1,2023,391781.5,383584,399588,Vaccine protected
S,11,2,1,2023,406992.5,397192,415577,Vaccine protected
S,12,2,1,2023,417429.5,406735,427308,Vaccine protected
S,13,2,1,2023,424290,413832,434802,Vaccine protected
S,14,2,1,2023,427239.5,416606,438326,Vaccine protected
S,15,2,1,2023,427233.5,415925,438479,Vaccine protected
S,16,2,1,2023,424924,414424,436366,Vaccine protected
S,17,2,1,2023,421759.5,411672,432871,Vaccine protected
S,18,2,1,2023,417751.5,407520,429430,Vaccine protected
S,19,2,1,2023,412528.5,402210,423078,Vaccine protected
S,20,2,1,2023,405923,396341,416204,Vaccine protected
S,21,2,1,2023,399182,388905,409138,Vaccine protected
S,22,2,1,2023,390007,379943,399541,Vaccine protected
S,23,2,1,2023,379495.5,368578,389079,Vaccine protected
S,24,2,1,2023,366752.5,356222,377720,Vaccine protected
S,25,2,1,2023,354036,343598,364835,Vaccine protected
S,26,2,1,2023,338734.5,328153,349448,Vaccine protected
S,27,2,1,2023,322173,310594,333134,Vaccine protected
S,28,2,1,2023,304341.5,291601,315659,Vaccine protected
S,29,2,1,2023,284611,273780,296055,Vaccine protected
S,30,2,1,2023,264292.5,252290,275323,Vaccine protected
S,31,2,1,2023,242405,230241,254198,Vaccine protected
S,32,2,1,2023,219153.5,206547,231511,Vaccine protected
S,33,2,1,2023,195472.5,183283,207659,Vaccine protected
S,34,2,1,2023,172501.5,160653,184231,Vaccine protected
S,35,2,1,2023,150200,138577,161612,Vaccine protected
