state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,2790006.5,2760978,2900337
new_case,All,All,All,1951,535321.5,488251,568392
new_case,All,All,All,1952,314480.5,304418,321511
new_case,All,All,All,1953,253595.5,244555,256785
new_case,All,All,All,1954,224951,219282,228885
new_case,All,All,All,1955,206659,203961,211601
new_case,All,All,All,1956,195484.5,192903,197421
new_case,All,All,All,1957,192770.5,190488,194689
new_case,All,All,All,1958,184950,181758,185478
new_case,All,All,All,1959,181917,180963,183475
new_case,All,All,All,1960,180787,179039,182674
new_case,All,All,All,1961,180519,178951,182233
new_case,All,All,All,1962,181714,179337,183692
new_case,All,All,All,1963,183051.5,180193,184256
new_case,All,All,All,1964,187883,185125,189965
new_case,All,All,All,1965,186424.5,184881,189491
new_case,All,All,All,1966,189595,188770,191994
new_case,All,All,All,1967,192507,191034,196128
new_case,All,All,All,1968,196724.5,194560,198287
new_case,All,All,All,1969,199742,197275,201468
new_case,All,All,All,1970,203390,201827,205230
new_case,All,All,All,1971,211314.5,210096,212554
new_case,All,All,All,1972,211653,209156,212704
new_case,All,All,All,1973,218016.5,216298,220031
new_case,All,All,All,1974,224580,222244,227408
new_case,All,All,All,1975,230458,227072,232455
new_case,All,All,All,1976,235137,230850,236063
new_case,All,All,All,1977,240956,238132,242630
new_case,All,All,All,1978,253208.5,250117,254396
new_case,All,All,All,1979,256615.5,253337,258555
new_case,All,All,All,1980,135331.5,134258,136227
new_case,All,All,All,1981,144703,143091,145073
new_case,All,All,All,1982,155371.5,154653,155796
new_case,All,All,All,1983,6735,6496,6874
new_case,All,All,All,1984,5957.5,5671,6117
new_case,All,All,All,1985,166051.5,164276,166812
new_case,All,All,All,1986,67174,66214,67550
new_case,All,All,All,1987,4200.5,3915,4375
new_case,All,All,All,1988,19141.5,18787,19295
new_case,All,All,All,1989,38588.5,37962,39004
new_case,All,All,All,1990,36002.5,35038,36441
new_case,All,All,All,1991,75867.5,75300,76668
new_case,All,All,All,1992,42621.5,42220,42785
new_case,All,All,All,1993,1722,1629,1824
new_case,All,All,All,1994,2419.5,2166,2499
new_case,All,All,All,1995,2100,1870,2136
new_case,All,All,All,1996,6327,6055,6449
new_case,All,All,All,1997,841.5,738,981
new_case,All,All,All,1998,1233,1154,1295
new_case,All,All,All,1999,7937,7778,8109
new_case,All,All,All,2000,6676.5,6535,6843
new_case,All,All,All,2001,10064,9789,10615
new_case,All,All,All,2002,10233.5,10037,10378
new_case,All,All,All,2003,9901.5,9610,10103
new_case,All,All,All,2004,20846,20732,21263
new_case,All,All,All,2005,3084,2987,3260
new_case,All,All,All,2006,473,441,525
new_case,All,All,All,2007,681,589,748
new_case,All,All,All,2008,262.5,224,337
new_case,All,All,All,2009,124,95,167
new_case,All,All,All,2010,1363,1299,1549
new_case,All,All,All,2011,11467.5,10978,11716
new_case,All,All,All,2012,17053.5,16595,17141
new_case,All,All,All,2013,5590,5430,5888
new_case,All,All,All,2014,1328.5,1287,1393
new_case,All,All,All,2015,7083.5,6803,7362
new_case,All,All,All,2016,3315.5,3221,3789
new_case,All,All,All,2017,1170.5,1117,1283
new_case,All,All,All,2018,9230.5,9013,9385
new_case,All,All,All,2019,6400,6296,6706
new_case,All,All,All,2020,670,653,737
new_case,All,All,All,2021,0,0,0
new_case,All,All,All,2022,2811.5,2768,2966
new_case,All,All,All,2023,2436,2363,2570
S,1,1,1,2023,201201.5,124875,317306
S,2,1,1,2023,263373,223587,274462
S,3,1,1,2023,236550.5,214712,242536
S,4,1,1,2023,189395.5,164423,209251
S,5,1,1,2023,145525,124342,167336
S,6,1,1,2023,112922.5,96893,130890
S,7,1,1,2023,92632,82710,105354
S,8,1,1,2023,83633.5,78243,91315
S,9,1,1,2023,82492,80134,85977
S,10,1,1,2023,86160,84723,87237
S,11,1,1,2023,91997.5,90332,93018
S,12,1,1,2023,99735.5,98396,101997
S,13,1,1,2023,111828,108881,115659
S,14,1,1,2023,128681.5,123668,135291
S,15,1,1,2023,149527.5,142183,157243
S,16,1,1,2023,169804.5,162350,177211
S,17,1,1,2023,187264.5,180954,193513
S,18,1,1,2023,200961,196232,205619
S,19,1,1,2023,211656,207819,214653
S,20,1,1,2023,221490.5,217691,224500
S,21,1,1,2023,232737,229142,236558
S,22,1,1,2023,245849.5,241245,250827
S,23,1,1,2023,260934.5,255588,267308
S,24,1,1,2023,276957,271038,283711
S,25,1,1,2023,293201.5,286545,299914
S,26,1,1,2023,308271.5,301748,314703
S,27,1,1,2023,321895,316110,327466
S,28,1,1,2023,334517,329061,339748
S,29,1,1,2023,346564,341251,351583
S,30,1,1,2023,357960,352455,363492
S,31,1,1,2023,369467.5,364325,375532
S,32,1,1,2023,381336,375384,387321
S,33,1,1,2023,392275,386292,397762
S,34,1,1,2023,402218.5,396012,407771
S,35,1,1,2023,410458.5,404414,416490
S,36,1,1,2023,416618,411543,422418
S,37,1,1,2023,420531.5,416206,425729
S,38,1,1,2023,422583,417245,427212
S,39,1,1,2023,422135.5,416939,427228
S,40,1,1,2023,419453,413812,425357
S,41,1,1,2023,414476.5,409126,420422
S,42,1,1,2023,407180.5,401289,413622
S,43,1,1,2023,397707.5,391286,405255
S,44,1,1,2023,386561,380193,393448
S,45,1,1,2023,374428.5,366954,381835
S,46,1,1,2023,361198,352786,369015
S,47,1,1,2023,346269,336825,355880
S,48,1,1,2023,331125.5,322272,340615
S,49,1,1,2023,315639,306874,325516
S,50,1,1,2023,300154,291210,309681
S,51,1,1,2023,284412,275652,293283
S,52,1,1,2023,268024,260213,277749
S,53,1,1,2023,252646,244411,261128
S,54,1,1,2023,237028,228658,245673
S,55,1,1,2023,221726,213679,230332
S,56,1,1,2023,207261,198926,214980
S,57,1,1,2023,193156,186117,200197
S,58,1,1,2023,179529,172496,186639
S,59,1,1,2023,166159.5,159798,173000
S,60,1,1,2023,153480.5,147487,160057
S,61,1,1,2023,141537,135677,147431
S,62,1,1,2023,129740.5,124280,135647
S,63,1,1,2023,118472.5,112983,124182
S,64,1,1,2023,108135.5,102715,113666
S,65,1,1,2023,98142.5,93094,103327
S,66,1,1,2023,88837,84073,93497
S,67,1,1,2023,79680,75304,84174
S,68,1,1,2023,71195,66901,75629
S,69,1,1,2023,63328,59479,67510
S,70,1,1,2023,56182.5,52506,59825
S,71,1,1,2023,49318,45901,52861
S,72,1,1,2023,43155,40037,46379
S,73,1,1,2023,37417.5,34700,40382
S,74,1,1,2023,32374,29873,35049
S,75,1,1,2023,27785,25482,30109
S,76,1,1,2023,23671,21531,25872
S,77,1,1,2023,20097,18366,22083
S,78,1,1,2023,17013.5,15417,18827
S,79,1,1,2023,14262.5,12789,15916
S,80,1,1,2023,11818.5,10531,13280
S,81,1,1,2023,9743,8614,10875
S,82,1,1,2023,7908,6919,8952
S,83,1,1,2023,6388.5,5465,7286
S,84,1,1,2023,5006.5,4284,5880
S,85,1,1,2023,3991,3416,4598
S,86,1,1,2023,3097.5,2630,3600
S,87,1,1,2023,2397.5,2051,2854
S,88,1,1,2023,1879,1587,2245
S,89,1,1,2023,1398,1179,1652
S,90,1,1,2023,1053.5,832,1269
S,91,1,1,2023,779,590,970
S,92,1,1,2023,543.5,398,698
S,93,1,1,2023,362,264,519
