state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,95074,64763,140036,Susceptible
S,2,1,1,2023,139026.5,129624,142753,Susceptible
S,3,1,1,2023,164200,150186,171067,Susceptible
S,4,1,1,2023,191556.5,179367,203338,Susceptible
S,5,1,1,2023,229250.5,220313,239758,Susceptible
S,6,1,1,2023,275774,269120,283611,Susceptible
S,7,1,1,2023,326467.5,320374,332859,Susceptible
S,8,1,1,2023,376625.5,371268,382651,Susceptible
S,9,1,1,2023,425695,420039,431977,Susceptible
S,10,1,1,2023,470558,464631,477127,Susceptible
S,11,1,1,2023,513356.5,506777,520193,Susceptible
S,12,1,1,2023,552393.5,546346,559194,Susceptible
S,13,1,1,2023,587709,580310,594664,Susceptible
S,14,1,1,2023,619554.5,611636,628592,Susceptible
S,15,1,1,2023,647944.5,640601,658214,Susceptible
S,16,1,1,2023,672603.5,665248,681374,Susceptible
S,17,1,1,2023,694021,685744,703317,Susceptible
S,18,1,1,2023,713557.5,704082,722992,Susceptible
S,19,1,1,2023,727537.5,718869,737057,Susceptible
S,20,1,1,2023,738951.5,730269,747448,Susceptible
S,21,1,1,2023,746692,738591,755993,Susceptible
S,22,1,1,2023,751783,743639,761151,Susceptible
S,23,1,1,2023,753483.5,743960,763169,Susceptible
S,24,1,1,2023,752432,743572,762304,Susceptible
S,25,1,1,2023,748955,737819,758718,Susceptible
S,26,1,1,2023,741964.5,729274,753350,Susceptible
S,27,1,1,2023,732381,720454,745710,Susceptible
S,28,1,1,2023,721373.5,709726,734308,Susceptible
S,29,1,1,2023,708844.5,698106,720318,Susceptible
S,30,1,1,2023,694936.5,683483,706430,Susceptible
S,31,1,1,2023,679440,667938,691218,Susceptible
S,32,1,1,2023,664260,651821,675815,Susceptible
S,33,1,1,2023,647506.5,636007,658470,Susceptible
S,34,1,1,2023,630830.5,619719,641327,Susceptible
S,35,1,1,2023,614245.5,603676,624442,Susceptible
S,36,1,1,2023,597332.5,587036,608229,Susceptible
S,37,1,1,2023,580402.5,570817,591023,Susceptible
S,38,1,1,2023,564280,553958,574123,Susceptible
S,39,1,1,2023,547576.5,537468,556996,Susceptible
S,40,1,1,2023,531529,522379,540371,Susceptible
S,41,1,1,2023,516347,507863,525160,Susceptible
S,42,1,1,2023,502166.5,492708,511249,Susceptible
S,43,1,1,2023,486889.5,478563,495660,Susceptible
S,44,1,1,2023,472333,463852,480773,Susceptible
S,45,1,1,2023,457959,450230,465816,Susceptible
S,46,1,1,2023,444439.5,434928,452186,Susceptible
S,47,1,1,2023,430063.5,420141,437948,Susceptible
S,48,1,1,2023,416506,407345,423710,Susceptible
S,49,1,1,2023,403104,394398,410464,Susceptible
S,50,1,1,2023,389113,380688,396739,Susceptible
S,51,1,1,2023,374995.5,365378,382548,Susceptible
S,52,1,1,2023,361031.5,352662,368865,Susceptible
S,53,1,1,2023,346485.5,338341,354620,Susceptible
